//X Y Z Consensus 
-0.15000000 0.15000000 1.05000000 0.004285
0.00000000 0.15000000 1.05000000 0.004380
-0.15000000 0.30000000 1.05000000 0.004426
0.00000000 0.30000000 1.05000000 0.004593
0.00000000 0.00000000 1.05000000 0.004749
-0.15000000 0.00000000 1.05000000 0.004823
-0.30000000 0.15000000 1.05000000 0.004891
0.15000000 0.15000000 1.05000000 0.004898
-0.30000000 0.30000000 1.05000000 0.004987
0.15000000 0.30000000 1.05000000 0.005160
-0.15000000 0.45000000 1.05000000 0.005192
0.15000000 0.00000000 1.05000000 0.005264
-0.30000000 0.00000000 1.05000000 0.005326
0.00000000 0.45000000 1.05000000 0.005398
0.00000000 0.15000000 0.90000000 0.005642
-0.30000000 0.45000000 1.05000000 0.005672
-0.15000000 0.15000000 0.90000000 0.005719
0.00000000 -0.15000000 1.05000000 0.005760
0.30000000 0.15000000 1.05000000 0.005814
-0.15000000 -0.15000000 1.05000000 0.005850
-0.45000000 0.15000000 1.05000000 0.005956
0.15000000 0.45000000 1.05000000 0.005995
0.30000000 0.30000000 1.05000000 0.006002
0.30000000 0.00000000 1.05000000 0.006027
-0.45000000 0.30000000 1.05000000 0.006034
0.00000000 0.00000000 0.90000000 0.006052
0.15000000 -0.15000000 1.05000000 0.006117
-0.15000000 0.30000000 0.90000000 0.006156
0.15000000 0.15000000 0.90000000 0.006212
-0.15000000 0.00000000 0.90000000 0.006214
0.00000000 0.30000000 0.90000000 0.006239
-0.30000000 -0.15000000 1.05000000 0.006416
-0.45000000 0.00000000 1.05000000 0.006438
-0.30000000 0.15000000 0.90000000 0.006535
-0.15000000 0.60000000 1.05000000 0.006540
0.15000000 0.00000000 0.90000000 0.006540
0.30000000 0.45000000 1.05000000 0.006637
0.00000000 0.60000000 1.05000000 0.006653
-0.45000000 0.45000000 1.05000000 0.006708
0.15000000 0.30000000 0.90000000 0.006766
0.30000000 -0.15000000 1.05000000 0.006868
-0.30000000 0.30000000 0.90000000 0.006906
-0.30000000 0.60000000 1.05000000 0.006916
0.45000000 0.15000000 1.05000000 0.006967
0.45000000 0.30000000 1.05000000 0.007085
-0.30000000 0.00000000 0.90000000 0.007092
0.15000000 0.60000000 1.05000000 0.007105
0.45000000 0.00000000 1.05000000 0.007239
0.30000000 0.15000000 0.90000000 0.007241
-0.15000000 0.45000000 0.90000000 0.007284
0.00000000 0.45000000 0.90000000 0.007320
0.00000000 -0.30000000 1.05000000 0.007451
0.00000000 -0.15000000 0.90000000 0.007458
-0.45000000 -0.15000000 1.05000000 0.007478
-0.15000000 -0.30000000 1.05000000 0.007531
0.15000000 -0.30000000 1.05000000 0.007610
0.45000000 0.45000000 1.05000000 0.007610
0.30000000 0.00000000 0.90000000 0.007650
0.30000000 0.30000000 0.90000000 0.007723
0.30000000 0.60000000 1.05000000 0.007734
0.15000000 -0.15000000 0.90000000 0.007797
-0.15000000 -0.15000000 0.90000000 0.007802
-0.45000000 0.60000000 1.05000000 0.007806
0.15000000 0.45000000 0.90000000 0.007863
0.45000000 -0.15000000 1.05000000 0.007910
0.00000000 0.15000000 0.75000000 0.007933
-0.30000000 0.45000000 0.90000000 0.007940
0.30000000 -0.30000000 1.05000000 0.008076
-0.30000000 -0.30000000 1.05000000 0.008125
-0.15000000 0.15000000 0.75000000 0.008376
-0.60000000 0.15000000 1.05000000 0.008387
-0.60000000 0.30000000 1.05000000 0.008458
0.45000000 0.60000000 1.05000000 0.008530
0.15000000 0.15000000 0.75000000 0.008551
0.30000000 0.45000000 0.90000000 0.008559
0.00000000 0.30000000 0.75000000 0.008607
0.00000000 0.00000000 0.75000000 0.008663
-0.15000000 0.75000000 1.05000000 0.008684
0.30000000 -0.15000000 0.90000000 0.008725
-0.60000000 0.00000000 1.05000000 0.008815
0.00000000 0.75000000 1.05000000 0.008842
-0.30000000 -0.15000000 0.90000000 0.008862
-0.30000000 0.75000000 1.05000000 0.008969
-0.60000000 0.45000000 1.05000000 0.008994
0.45000000 -0.30000000 1.05000000 0.009001
-0.15000000 0.30000000 0.75000000 0.009044
-0.45000000 -0.30000000 1.05000000 0.009070
-0.45000000 0.15000000 0.90000000 0.009075
0.15000000 0.30000000 0.75000000 0.009118
0.15000000 0.00000000 0.75000000 0.009127
-0.45000000 0.30000000 0.90000000 0.009168
0.15000000 0.75000000 1.05000000 0.009245
-0.15000000 0.00000000 0.75000000 0.009324
0.60000000 0.15000000 1.05000000 0.009423
-0.15000000 0.60000000 0.90000000 0.009564
0.00000000 0.60000000 0.90000000 0.009584
0.60000000 0.30000000 1.05000000 0.009600
0.30000000 0.75000000 1.05000000 0.009711
-0.45000000 0.75000000 1.05000000 0.009715
-0.45000000 0.00000000 0.90000000 0.009828
0.60000000 0.00000000 1.05000000 0.009840
0.00000000 -0.45000000 1.05000000 0.009862
0.15000000 -0.45000000 1.05000000 0.009905
-0.60000000 -0.15000000 1.05000000 0.009925
