//X Y Z Consensus 
0.00000000 -0.15000000 1.05000000 0.010502
0.00000000 -0.30000000 1.05000000 0.010831
0.15000000 -0.15000000 1.05000000 0.011223
0.15000000 -0.30000000 1.05000000 0.011445
-0.15000000 -0.15000000 1.05000000 0.011761
-0.15000000 -0.30000000 1.05000000 0.012007
0.00000000 0.00000000 1.05000000 0.012028
0.00000000 -0.45000000 1.05000000 0.012444
0.15000000 0.00000000 1.05000000 0.012895
0.15000000 -0.45000000 1.05000000 0.013096
-0.15000000 0.00000000 1.05000000 0.013488
-0.15000000 -0.45000000 1.05000000 0.013547
0.30000000 -0.30000000 1.05000000 0.014344
0.30000000 -0.15000000 1.05000000 0.014410
-0.30000000 -0.15000000 1.05000000 0.014681
-0.30000000 -0.30000000 1.05000000 0.014785
0.00000000 -0.60000000 1.05000000 0.014864
0.00000000 0.15000000 1.05000000 0.015551
0.15000000 -0.60000000 1.05000000 0.015562
0.30000000 -0.45000000 1.05000000 0.015787
-0.15000000 -0.60000000 1.05000000 0.015856
-0.30000000 -0.45000000 1.05000000 0.015908
0.30000000 0.00000000 1.05000000 0.016117
0.15000000 0.15000000 1.05000000 0.016127
-0.30000000 0.00000000 1.05000000 0.016234
0.00000000 -0.15000000 0.90000000 0.016370
0.00000000 -0.30000000 0.90000000 0.016526
-0.15000000 -0.15000000 0.90000000 0.016796
-0.15000000 0.15000000 1.05000000 0.016911
-0.15000000 -0.30000000 0.90000000 0.017060
0.00000000 -0.75000000 1.05000000 0.017393
-0.30000000 -0.60000000 1.05000000 0.017955
-0.15000000 -0.75000000 1.05000000 0.018048
-0.45000000 -0.30000000 1.05000000 0.018073
0.15000000 -0.75000000 1.05000000 0.018249
-0.45000000 -0.15000000 1.05000000 0.018256
0.30000000 -0.60000000 1.05000000 0.018274
0.00000000 0.00000000 0.90000000 0.018381
0.15000000 -0.15000000 0.90000000 0.018527
0.00000000 -0.45000000 0.90000000 0.018544
-0.15000000 0.00000000 0.90000000 0.018690
0.15000000 -0.30000000 0.90000000 0.018752
-0.15000000 -0.45000000 0.90000000 0.018763
-0.45000000 -0.45000000 1.05000000 0.019148
0.30000000 0.15000000 1.05000000 0.019248
-0.30000000 -0.15000000 0.90000000 0.019349
-0.30000000 0.15000000 1.05000000 0.019422
-0.30000000 -0.30000000 0.90000000 0.019616
0.00000000 0.30000000 1.05000000 0.019692
-0.45000000 0.00000000 1.05000000 0.019900
0.00000000 -0.90000000 1.05000000 0.020192
-0.30000000 -0.75000000 1.05000000 0.020244
0.15000000 0.30000000 1.05000000 0.020500
-0.15000000 -0.90000000 1.05000000 0.020684
0.30000000 -0.75000000 1.05000000 0.020712
-0.15000000 0.30000000 1.05000000 0.020757
0.15000000 -0.90000000 1.05000000 0.020823
0.15000000 0.00000000 0.90000000 0.020851
0.15000000 -0.45000000 0.90000000 0.020913
-0.45000000 -0.60000000 1.05000000 0.020986
-0.30000000 -0.45000000 0.90000000 0.021048
-0.30000000 0.00000000 0.90000000 0.021125
0.00000000 -0.60000000 0.90000000 0.021183
-0.15000000 -0.60000000 0.90000000 0.021305
0.45000000 -0.30000000 1.05000000 0.021905
0.00000000 0.15000000 0.90000000 0.022023
0.45000000 -0.15000000 1.05000000 0.022064
-0.60000000 -0.30000000 1.05000000 0.022338
-0.15000000 0.15000000 0.90000000 0.022394
-0.30000000 -0.90000000 1.05000000 0.022508
-0.45000000 0.15000000 1.05000000 0.022619
-0.60000000 -0.15000000 1.05000000 0.022644
-0.45000000 -0.15000000 0.90000000 0.023067
0.45000000 -0.45000000 1.05000000 0.023067
-0.45000000 -0.75000000 1.05000000 0.023129
-0.30000000 0.30000000 1.05000000 0.023136
0.00000000 -1.05000000 1.05000000 0.023226
0.30000000 0.30000000 1.05000000 0.023271
-0.60000000 -0.45000000 1.05000000 0.023282
-0.30000000 -0.60000000 0.90000000 0.023337
0.30000000 -0.90000000 1.05000000 0.023438
-0.45000000 -0.30000000 0.90000000 0.023583
0.15000000 -0.60000000 0.90000000 0.023594
-0.15000000 -1.05000000 1.05000000 0.023663
-0.60000000 0.00000000 1.05000000 0.024027
0.15000000 -1.05000000 1.05000000 0.024052
