//X Y Z Consensus 
0.30000000 -0.15000000 -1.05000000 0.009969
0.45000000 0.00000000 -1.05000000 0.010002
0.30000000 0.00000000 -1.05000000 0.010158
0.30000000 -0.15000000 -0.90000000 0.010370
0.45000000 -0.15000000 -1.05000000 0.010403
0.30000000 0.00000000 -0.90000000 0.010808
0.45000000 0.00000000 -0.90000000 0.011222
0.45000000 -0.15000000 -0.90000000 0.011519
0.45000000 0.15000000 -1.05000000 0.011547
0.15000000 -0.15000000 -1.05000000 0.011802
0.15000000 -0.15000000 -0.90000000 0.011835
0.30000000 -0.30000000 -1.05000000 0.011887
0.60000000 0.00000000 -1.05000000 0.012179
0.30000000 -0.30000000 -0.90000000 0.012207
0.45000000 -0.30000000 -1.05000000 0.012377
0.30000000 -0.15000000 -0.75000000 0.012513
0.15000000 -0.30000000 -1.05000000 0.012636
0.30000000 0.15000000 -1.05000000 0.012721
0.60000000 -0.15000000 -1.05000000 0.012749
0.15000000 -0.30000000 -0.90000000 0.012768
0.15000000 0.00000000 -1.05000000 0.012772
0.30000000 0.00000000 -0.75000000 0.012867
0.15000000 0.00000000 -0.90000000 0.012947
0.45000000 -0.30000000 -0.90000000 0.013215
0.60000000 0.15000000 -1.05000000 0.013234
0.15000000 -0.15000000 -0.75000000 0.013526
0.30000000 0.15000000 1.05000000 0.013559
0.30000000 0.15000000 -0.90000000 0.013616
0.60000000 -0.30000000 -1.05000000 0.014026
0.60000000 -0.15000000 -0.90000000 0.014049
0.45000000 -0.15000000 -0.75000000 0.014256
0.30000000 -0.45000000 -1.05000000 0.014318
0.15000000 -0.45000000 -1.05000000 0.014365
0.30000000 0.00000000 1.05000000 0.014379
0.45000000 0.15000000 1.05000000 0.014445
0.30000000 -0.30000000 -0.75000000 0.014487
0.30000000 0.15000000 0.90000000 0.014530
0.45000000 0.15000000 -0.90000000 0.014567
0.00000000 -0.30000000 -1.05000000 0.014633
0.15000000 -0.45000000 -0.90000000 0.014765
0.15000000 0.00000000 -0.75000000 0.014803
0.30000000 0.00000000 0.90000000 0.014827
0.30000000 0.30000000 1.05000000 0.014850
0.60000000 0.00000000 -0.90000000 0.014883
0.15000000 0.15000000 1.05000000 0.014897
0.45000000 -0.45000000 -1.05000000 0.014902
0.30000000 -0.45000000 -0.90000000 0.014949
0.00000000 -0.30000000 -0.90000000 0.014963
0.60000000 -0.30000000 -0.90000000 0.014963
0.15000000 -0.30000000 -0.75000000 0.014991
0.75000000 0.00000000 -1.05000000 0.015090
0.00000000 -0.45000000 -1.05000000 0.015104
0.75000000 -0.15000000 -1.05000000 0.015109
0.00000000 -0.15000000 -1.05000000 0.015147
0.45000000 0.30000000 -1.05000000 0.015208
0.15000000 0.00000000 1.05000000 0.015349
0.15000000 0.00000000 0.90000000 0.015378
0.15000000 0.15000000 -1.05000000 0.015415
0.15000000 0.15000000 0.90000000 0.015463
0.45000000 -0.45000000 -0.90000000 0.015463
0.45000000 0.30000000 1.05000000 0.015561
0.00000000 -0.45000000 -0.90000000 0.015580
0.45000000 -0.30000000 -0.75000000 0.015646
0.60000000 -0.45000000 -1.05000000 0.015741
0.00000000 -0.15000000 -0.90000000 0.015773
0.45000000 0.00000000 1.05000000 0.015839
0.00000000 -0.60000000 -1.05000000 0.015882
0.75000000 -0.30000000 -1.05000000 0.015976
0.15000000 -0.60000000 -1.05000000 0.016066
0.15000000 0.15000000 -0.90000000 0.016193
0.30000000 0.30000000 -1.05000000 0.016315
0.60000000 -0.45000000 -0.90000000 0.016405
0.15000000 0.30000000 1.05000000 0.016442
0.30000000 -0.60000000 -1.05000000 0.016461
-0.15000000 -0.45000000 -1.05000000 0.016480
0.15000000 -0.60000000 -0.90000000 0.016659
0.45000000 0.15000000 0.90000000 0.016683
0.30000000 -0.15000000 1.05000000 0.016763
0.45000000 0.00000000 -0.75000000 0.016786
0.30000000 0.30000000 0.90000000 0.016843
0.30000000 -0.60000000 -0.90000000 0.016956
-0.15000000 -0.60000000 -1.05000000 0.016975
0.15000000 -0.15000000 1.05000000 0.016984
0.00000000 0.00000000 -1.05000000 0.017008
0.75000000 -0.45000000 -1.05000000 0.017041
0.45000000 -0.60000000 -1.05000000 0.017046
0.75000000 -0.30000000 -0.90000000 0.017154
0.45000000 0.00000000 0.90000000 0.017177
0.15000000 0.00000000 0.75000000 0.017258
0.15000000 -0.15000000 0.90000000 0.017324
0.30000000 0.00000000 0.75000000 0.017380
0.45000000 -0.60000000 -0.90000000 0.017380
0.90000000 -0.15000000 -1.05000000 0.017432
-0.15000000 -0.30000000 -1.05000000 0.017451
0.30000000 -0.15000000 0.90000000 0.017493
0.90000000 -0.30000000 -1.05000000 0.017503
0.15000000 0.15000000 0.75000000 0.017507
0.00000000 0.00000000 1.05000000 0.017512
0.00000000 0.00000000 -0.90000000 0.017517
0.60000000 -0.60000000 -1.05000000 0.017526
0.60000000 -0.30000000 -0.75000000 0.017559
0.45000000 -0.45000000 -0.75000000 0.017630
0.00000000 -0.60000000 -0.90000000 0.017644
0.30000000 -0.45000000 -0.75000000 0.017682
0.00000000 -0.15000000 -0.75000000 0.017686
0.00000000 0.15000000 1.05000000 0.017691
0.15000000 -0.75000000 -1.05000000 0.017715
0.75000000 -0.15000000 -0.90000000 0.017729
0.00000000 -0.30000000 -0.75000000 0.017733
0.30000000 -0.15000000 -0.60000000 0.017733
0.60000000 0.15000000 1.05000000 0.017748
0.30000000 0.45000000 1.05000000 0.017757
0.00000000 0.00000000 0.90000000 0.017818
0.75000000 -0.45000000 -0.90000000 0.017832
0.15000000 0.30000000 0.90000000 0.017889
0.00000000 -0.75000000 -1.05000000 0.017960
0.15000000 -0.45000000 -0.75000000 0.017988
0.60000000 -0.60000000 -0.90000000 0.018011
0.30000000 0.15000000 0.75000000 0.018068
0.30000000 -0.75000000 -1.05000000 0.018082
-0.15000000 -0.45000000 -0.90000000 0.018110
0.90000000 -0.45000000 -1.05000000 0.018124
0.15000000 0.15000000 -0.75000000 0.018162
0.15000000 -0.15000000 -0.60000000 0.018237
0.75000000 -0.60000000 -1.05000000 0.018318
0.00000000 -0.15000000 1.05000000 0.018322
-0.15000000 -0.30000000 -0.90000000 0.018379
0.60000000 -0.45000000 -0.75000000 0.018450
0.00000000 -0.15000000 0.90000000 0.018459
0.00000000 0.15000000 0.90000000 0.018544
0.75000000 -0.60000000 -0.90000000 0.018629
0.75000000 0.15000000 -1.05000000 0.018676
0.45000000 -0.75000000 -1.05000000 0.018690
0.15000000 0.30000000 -1.05000000 0.018694
0.60000000 0.30000000 1.05000000 0.018713
0.60000000 0.30000000 -1.05000000 0.018765
0.30000000 -0.75000000 -0.90000000 0.018803
-0.15000000 -0.75000000 -1.05000000 0.018808
0.45000000 0.45000000 1.05000000 0.018850
0.00000000 0.00000000 -0.75000000 0.018921
0.90000000 -0.45000000 -0.90000000 0.018944
0.00000000 0.30000000 1.05000000 0.018949
0.45000000 -0.75000000 -0.90000000 0.019043
-0.15000000 -0.15000000 -1.05000000 0.019067
0.90000000 -0.60000000 -1.05000000 0.019067
0.00000000 0.15000000 -1.05000000 0.019137
0.15000000 0.45000000 1.05000000 0.019161
0.15000000 -0.75000000 -0.90000000 0.019208
0.30000000 0.15000000 -0.75000000 0.019208
-0.30000000 -0.60000000 -1.05000000 0.019213
0.15000000 -0.90000000 -1.05000000 0.019312
-0.30000000 -0.45000000 -1.05000000 0.019335
0.45000000 0.30000000 0.90000000 0.019335
0.15000000 -0.15000000 0.75000000 0.019349
0.30000000 -0.90000000 -1.05000000 0.019349
-0.15000000 -0.60000000 -0.90000000 0.019359
0.45000000 -0.15000000 1.05000000 0.019406
0.60000000 -0.75000000 -1.05000000 0.019406
0.60000000 -0.15000000 -0.75000000 0.019425
0.75000000 -0.45000000 -0.75000000 0.019472
1.05000000 -0.45000000 -1.05000000 0.019472
0.90000000 -0.60000000 -0.90000000 0.019500
0.15000000 0.00000000 -0.60000000 0.019547
0.15000000 -0.30000000 1.05000000 0.019608
0.30000000 0.30000000 -0.90000000 0.019627
0.00000000 -0.30000000 1.05000000 0.019637
0.60000000 0.00000000 1.05000000 0.019670
1.05000000 -0.30000000 -1.05000000 0.019670
0.90000000 -0.30000000 -0.90000000 0.019674
0.60000000 0.15000000 -0.90000000 0.019703
0.45000000 -0.60000000 -0.75000000 0.019717
0.00000000 0.00000000 0.75000000 0.019740
1.05000000 -0.60000000 -1.05000000 0.019745
0.60000000 -0.75000000 -0.90000000 0.019792
0.75000000 -0.75000000 -1.05000000 0.019896
-0.30000000 -0.75000000 -1.05000000 0.019910
0.60000000 -0.60000000 -0.75000000 0.019915
0.30000000 -0.30000000 -0.60000000 0.019919
0.75000000 -0.60000000 -0.75000000 0.019919
-0.15000000 -0.15000000 -0.90000000 0.019943
0.00000000 -0.90000000 -1.05000000 0.019990
0.15000000 0.30000000 -0.90000000 0.020018
0.45000000 -0.90000000 -1.05000000 0.020075
0.00000000 -0.45000000 -0.75000000 0.020150
0.00000000 -0.75000000 -0.90000000 0.020150
0.00000000 0.15000000 -0.90000000 0.020155
0.90000000 -0.75000000 -1.05000000 0.020155
0.30000000 -0.15000000 0.75000000 0.020202
-0.15000000 -0.90000000 -1.05000000 0.020226
0.00000000 0.15000000 0.75000000 0.020245
0.30000000 -0.60000000 -0.75000000 0.020273
-0.15000000 -0.15000000 1.05000000 0.020329
0.00000000 -0.30000000 0.90000000 0.020329
0.45000000 -0.90000000 -0.90000000 0.020358
0.75000000 -0.75000000 -0.90000000 0.020376
0.15000000 -0.30000000 0.90000000 0.020485
1.05000000 -0.75000000 -1.05000000 0.020527
-0.15000000 -0.30000000 1.05000000 0.020532
0.15000000 -0.30000000 -0.60000000 0.020532
0.00000000 0.30000000 0.90000000 0.020537
0.90000000 0.00000000 -1.05000000 0.020541
-0.30000000 -0.30000000 -1.05000000 0.020603
-0.15000000 0.00000000 1.05000000 0.020621
0.30000000 -0.90000000 -0.90000000 0.020621
1.05000000 -0.60000000 -0.90000000 0.020631
0.00000000 0.45000000 1.05000000 0.020636
0.30000000 0.45000000 -1.05000000 0.020725
-0.15000000 -0.75000000 -0.90000000 0.020744
0.90000000 -0.75000000 -0.90000000 0.020744
-0.15000000 -0.15000000 0.90000000 0.020777
-0.15000000 0.15000000 1.05000000 0.020791
0.60000000 -0.90000000 -1.05000000 0.020815
0.60000000 0.45000000 1.05000000 0.020848
0.45000000 -0.15000000 0.90000000 0.020866
-0.30000000 -0.90000000 -1.05000000 0.020951
0.00000000 -0.15000000 0.75000000 0.020994
0.90000000 -0.60000000 -0.75000000 0.021027
