//X Y Z Consensus 
-0.30000000 -0.15000000 0.75000000 0.009029
-0.30000000 -0.30000000 0.75000000 0.009523
-0.15000000 -0.15000000 0.75000000 0.009530
-0.15000000 -0.30000000 0.75000000 0.009560
-0.30000000 0.00000000 0.75000000 0.009574
-0.45000000 -0.15000000 0.75000000 0.009574
-0.15000000 0.00000000 0.75000000 0.009677
-0.15000000 -0.15000000 0.60000000 0.009948
-0.45000000 0.00000000 0.75000000 0.009959
-0.30000000 0.15000000 0.75000000 0.010186
0.00000000 -0.15000000 0.75000000 0.010211
0.00000000 -0.30000000 0.75000000 0.010211
-0.30000000 -0.15000000 0.90000000 0.010237
-0.30000000 -0.30000000 0.90000000 0.010255
-0.45000000 -0.15000000 0.90000000 0.010351
-0.45000000 -0.30000000 0.90000000 0.010391
-0.15000000 -0.45000000 0.75000000 0.010395
-0.15000000 0.15000000 0.75000000 0.010395
0.00000000 0.00000000 0.75000000 0.010398
-0.30000000 0.00000000 0.60000000 0.010552
0.00000000 -0.30000000 0.60000000 0.010607
-0.15000000 0.00000000 0.60000000 0.010611
-0.45000000 0.15000000 0.75000000 0.010662
-0.15000000 -0.15000000 0.90000000 0.010665
-0.30000000 -0.15000000 0.60000000 0.010698
-0.30000000 -0.45000000 0.90000000 0.010698
0.00000000 -0.15000000 0.60000000 0.010702
0.00000000 -0.45000000 0.75000000 0.010731
-0.15000000 -0.30000000 0.90000000 0.010735
-0.30000000 0.00000000 0.90000000 0.010764
-0.15000000 -0.45000000 0.90000000 0.010827
-0.60000000 0.00000000 0.75000000 0.010834
-0.15000000 -0.30000000 0.60000000 0.010871
0.15000000 -0.15000000 0.75000000 0.010940
-0.45000000 0.00000000 0.90000000 0.011017
-0.15000000 0.00000000 0.90000000 0.011021
0.15000000 -0.30000000 0.75000000 0.011028
-0.60000000 -0.15000000 0.90000000 0.011046
0.00000000 0.15000000 0.75000000 0.011061
-0.30000000 0.30000000 0.75000000 0.011105
-0.60000000 0.15000000 0.75000000 0.011229
-0.45000000 -0.30000000 0.75000000 0.011266
