//X Y Z Consensus 
-0.15000000 0.15000000 1.05000000 0.008915
0.00000000 0.30000000 1.05000000 0.008938
0.00000000 0.15000000 1.05000000 0.008997
-0.15000000 0.30000000 1.05000000 0.009162
0.00000000 0.45000000 1.05000000 0.010171
-0.15000000 0.00000000 1.05000000 0.010200
-0.30000000 0.15000000 1.05000000 0.010315
0.15000000 0.30000000 1.05000000 0.010332
-0.15000000 0.45000000 1.05000000 0.010630
0.00000000 0.00000000 1.05000000 0.010728
-0.30000000 0.30000000 1.05000000 0.010742
0.15000000 0.15000000 1.05000000 0.010799
0.15000000 0.45000000 1.05000000 0.011006
-0.30000000 0.00000000 1.05000000 0.011247
0.00000000 0.30000000 0.90000000 0.011393
-0.15000000 0.30000000 0.90000000 0.011502
-0.15000000 0.15000000 0.90000000 0.011536
0.00000000 0.15000000 0.90000000 0.011628
-0.30000000 0.45000000 1.05000000 0.011993
0.00000000 0.60000000 1.05000000 0.012451
0.00000000 0.45000000 0.90000000 0.012658
0.15000000 0.00000000 1.05000000 0.012683
0.15000000 0.60000000 1.05000000 0.012696
-0.15000000 -0.15000000 1.05000000 0.012739
-0.45000000 0.15000000 1.05000000 0.012753
-0.15000000 0.60000000 1.05000000 0.012856
0.30000000 0.30000000 1.05000000 0.012950
-0.45000000 0.30000000 1.05000000 0.012960
-0.15000000 0.45000000 0.90000000 0.012980
0.15000000 0.30000000 0.90000000 0.012995
0.30000000 0.45000000 1.05000000 0.012995
-0.30000000 0.30000000 0.90000000 0.013266
-0.30000000 0.15000000 0.90000000 0.013329
-0.15000000 0.00000000 0.90000000 0.013453
0.00000000 -0.15000000 1.05000000 0.013522
0.15000000 0.45000000 0.90000000 0.013588
-0.30000000 -0.15000000 1.05000000 0.013641
0.30000000 0.15000000 1.05000000 0.013745
-0.45000000 0.00000000 1.05000000 0.013773
-0.30000000 0.60000000 1.05000000 0.013822
0.15000000 0.15000000 0.90000000 0.013873
0.30000000 0.60000000 1.05000000 0.013900
0.00000000 0.00000000 0.90000000 0.013909
-0.45000000 0.45000000 1.05000000 0.013910
-0.30000000 0.45000000 0.90000000 0.014274
0.00000000 0.60000000 0.90000000 0.014758
0.00000000 0.75000000 1.05000000 0.014822
0.15000000 0.75000000 1.05000000 0.014948
-0.15000000 0.60000000 0.90000000 0.015116
-0.30000000 0.00000000 0.90000000 0.015204
0.15000000 0.60000000 0.90000000 0.015214
-0.15000000 0.75000000 1.05000000 0.015248
-0.45000000 0.60000000 1.05000000 0.015364
0.15000000 -0.15000000 1.05000000 0.015466
0.00000000 0.30000000 0.75000000 0.015563
0.30000000 0.00000000 1.05000000 0.015576
0.45000000 0.45000000 1.05000000 0.015636
-0.60000000 0.30000000 1.05000000 0.015712
0.30000000 0.75000000 1.05000000 0.015769
0.30000000 0.45000000 0.90000000 0.015859
-0.15000000 0.30000000 0.75000000 0.015861
0.30000000 0.30000000 0.90000000 0.015865
-0.45000000 0.30000000 0.90000000 0.015921
-0.45000000 -0.15000000 1.05000000 0.015950
-0.30000000 0.75000000 1.05000000 0.016079
-0.60000000 0.15000000 1.05000000 0.016085
-0.30000000 0.60000000 0.90000000 0.016125
-0.60000000 0.45000000 1.05000000 0.016133
0.15000000 0.00000000 0.90000000 0.016148
0.45000000 0.30000000 1.05000000 0.016158
0.45000000 0.60000000 1.05000000 0.016201
0.00000000 0.15000000 0.75000000 0.016420
-0.45000000 0.45000000 0.90000000 0.016446
-0.15000000 0.15000000 0.75000000 0.016661
0.00000000 0.45000000 0.75000000 0.016678
-0.45000000 0.15000000 0.90000000 0.016688
-0.15000000 -0.30000000 1.05000000 0.016695
-0.15000000 0.45000000 0.75000000 0.016911
-0.60000000 0.60000000 1.05000000 0.017058
-0.45000000 0.75000000 1.05000000 0.017066
0.30000000 0.60000000 0.90000000 0.017184
-0.60000000 0.00000000 1.05000000 0.017189
0.00000000 -0.30000000 1.05000000 0.017236
0.00000000 0.90000000 1.05000000 0.017265
0.00000000 0.75000000 0.90000000 0.017281
0.30000000 0.15000000 0.90000000 0.017316
-0.15000000 -0.15000000 0.90000000 0.017320
0.45000000 0.15000000 1.05000000 0.017330
-0.30000000 -0.30000000 1.05000000 0.017390
0.15000000 0.30000000 0.75000000 0.017435
0.15000000 0.90000000 1.05000000 0.017528
-0.15000000 0.90000000 1.05000000 0.017572
-0.15000000 0.75000000 0.90000000 0.017580
0.00000000 -0.15000000 0.90000000 0.017627
-0.45000000 0.60000000 0.90000000 0.017664
0.15000000 0.75000000 0.90000000 0.017886
0.15000000 0.45000000 0.75000000 0.018045
0.30000000 -0.15000000 1.05000000 0.018071
0.45000000 0.75000000 1.05000000 0.018178
-0.30000000 0.30000000 0.75000000 0.018205
-0.30000000 0.90000000 1.05000000 0.018270
-0.45000000 0.00000000 0.90000000 0.018289
-0.30000000 0.75000000 0.90000000 0.018351
