//X Y Z Consensus 
-0.45000000 -0.75000000 1.05000000 0.001505
-0.30000000 -0.75000000 1.05000000 0.001554
-0.45000000 -0.90000000 1.05000000 0.001594
-0.45000000 -0.60000000 1.05000000 0.001617
-0.30000000 -0.60000000 1.05000000 0.001618
-0.30000000 -0.90000000 1.05000000 0.001622
-0.60000000 -0.75000000 1.05000000 0.001649
-0.15000000 -0.75000000 1.05000000 0.001683
-0.60000000 -0.90000000 1.05000000 0.001747
-0.60000000 -0.60000000 1.05000000 0.001753
-0.15000000 -0.60000000 1.05000000 0.001777
-0.15000000 -0.90000000 1.05000000 0.001780
-0.45000000 -1.05000000 1.05000000 0.001826
-0.30000000 -1.05000000 1.05000000 0.001840
-0.30000000 -0.45000000 1.05000000 0.001843
-0.45000000 -0.45000000 1.05000000 0.001862
-0.75000000 -0.75000000 1.05000000 0.001945
-0.60000000 -1.05000000 1.05000000 0.001995
-0.15000000 -1.05000000 1.05000000 0.002027
-0.60000000 -0.45000000 1.05000000 0.002041
-0.75000000 -0.90000000 1.05000000 0.002050
0.00000000 -0.75000000 1.05000000 0.002067
-0.15000000 -0.45000000 1.05000000 0.002072
-0.75000000 -0.60000000 1.05000000 0.002080
0.00000000 -0.60000000 1.05000000 0.002154
0.00000000 -0.90000000 1.05000000 0.002166
-0.30000000 -0.75000000 0.90000000 0.002221
-0.75000000 -1.05000000 1.05000000 0.002256
-0.45000000 -0.75000000 0.90000000 0.002273
-0.30000000 -0.60000000 0.90000000 0.002359
-0.45000000 -0.30000000 1.05000000 0.002363
-0.30000000 -0.30000000 1.05000000 0.002378
-0.45000000 -0.90000000 0.90000000 0.002384
-0.30000000 -0.90000000 0.90000000 0.002391
-0.45000000 -0.60000000 0.90000000 0.002392
0.00000000 -1.05000000 1.05000000 0.002396
-0.60000000 -0.75000000 0.90000000 0.002448
0.00000000 -0.45000000 1.05000000 0.002464
-0.75000000 -0.45000000 1.05000000 0.002474
-0.15000000 -0.75000000 0.90000000 0.002479
-0.15000000 -0.60000000 0.90000000 0.002503
-0.60000000 -0.90000000 0.90000000 0.002611
-0.15000000 -0.30000000 1.05000000 0.002615
-0.90000000 -0.75000000 1.05000000 0.002641
-0.60000000 -0.30000000 1.05000000 0.002646
-0.15000000 -0.90000000 0.90000000 0.002652
-0.90000000 -0.90000000 1.05000000 0.002653
0.15000000 -0.75000000 1.05000000 0.002662
-0.60000000 -0.60000000 0.90000000 0.002681
-0.45000000 -1.05000000 0.90000000 0.002685
-0.30000000 -1.05000000 0.90000000 0.002700
0.15000000 -0.90000000 1.05000000 0.002701
0.15000000 -0.60000000 1.05000000 0.002799
-0.30000000 -0.45000000 0.90000000 0.002803
-0.90000000 -0.60000000 1.05000000 0.002808
-0.90000000 -1.05000000 1.05000000 0.002808
-0.45000000 -0.45000000 0.90000000 0.002824
-0.60000000 -1.05000000 0.90000000 0.002892
0.15000000 -1.05000000 1.05000000 0.002904
-0.15000000 -1.05000000 0.90000000 0.002921
-0.15000000 -0.45000000 0.90000000 0.002970
0.00000000 -0.75000000 0.90000000 0.003020
-0.75000000 -0.75000000 0.90000000 0.003024
-0.75000000 -0.90000000 0.90000000 0.003039
-0.75000000 -0.30000000 1.05000000 0.003058
-0.45000000 -0.15000000 1.05000000 0.003094
0.00000000 -0.30000000 1.05000000 0.003106
-0.60000000 -0.45000000 0.90000000 0.003131
0.00000000 -0.60000000 0.90000000 0.003135
-0.30000000 -0.15000000 1.05000000 0.003142
0.00000000 -0.90000000 0.90000000 0.003153
0.15000000 -0.45000000 1.05000000 0.003173
-0.90000000 -0.45000000 1.05000000 0.003207
-0.75000000 -0.60000000 0.90000000 0.003229
0.30000000 -0.75000000 1.05000000 0.003321
-0.60000000 -0.15000000 1.05000000 0.003325
-0.75000000 -1.05000000 0.90000000 0.003346
-0.15000000 -0.15000000 1.05000000 0.003360
0.00000000 -1.05000000 0.90000000 0.003392
0.30000000 -0.90000000 1.05000000 0.003408
-0.30000000 -0.75000000 0.75000000 0.003511
-0.45000000 -0.30000000 0.90000000 0.003522
0.30000000 -1.05000000 1.05000000 0.003532
