//X Y Z Consensus 
0.00000000 -0.15000000 -1.05000000 0.006253
-0.15000000 -0.15000000 -1.05000000 0.006259
0.00000000 0.00000000 -1.05000000 0.006330
0.00000000 -0.30000000 -1.05000000 0.006342
-0.15000000 -0.30000000 -1.05000000 0.006434
-0.30000000 -0.15000000 -1.05000000 0.006437
0.00000000 -0.30000000 -0.90000000 0.006457
0.15000000 -0.30000000 -1.05000000 0.006469
0.15000000 -0.15000000 -1.05000000 0.006481
0.15000000 0.00000000 -1.05000000 0.006487
0.15000000 -0.30000000 -0.90000000 0.006508
0.00000000 -0.15000000 -0.90000000 0.006537
0.00000000 0.00000000 -0.90000000 0.006543
0.15000000 -0.15000000 -0.90000000 0.006543
-0.15000000 0.00000000 -1.05000000 0.006567
-0.15000000 -0.30000000 -0.90000000 0.006582
-0.15000000 -0.45000000 -1.05000000 0.006600
0.00000000 -0.45000000 -1.05000000 0.006614
-0.15000000 -0.15000000 -0.90000000 0.006629
0.15000000 -0.45000000 -1.05000000 0.006635
0.00000000 0.15000000 -1.05000000 0.006641
0.30000000 -0.15000000 -0.90000000 0.006641
-0.30000000 -0.45000000 -1.05000000 0.006653
0.15000000 0.15000000 -1.05000000 0.006662
0.30000000 -0.30000000 -0.90000000 0.006665
0.30000000 -0.30000000 -1.05000000 0.006668
-0.30000000 -0.30000000 -1.05000000 0.006694
0.15000000 0.00000000 -0.90000000 0.006694
-0.30000000 -0.30000000 -0.90000000 0.006712
0.30000000 -0.15000000 -1.05000000 0.006718
0.30000000 0.00000000 -1.05000000 0.006721
-0.30000000 0.15000000 -1.05000000 0.006724
0.45000000 -0.30000000 -0.90000000 0.006727
-0.30000000 0.00000000 -1.05000000 0.006739
-0.15000000 0.15000000 -1.05000000 0.006742
0.45000000 -0.30000000 -1.05000000 0.006757
0.30000000 0.15000000 -1.05000000 0.006760
0.45000000 -0.45000000 -1.05000000 0.006763
0.15000000 0.30000000 -1.05000000 0.006766
0.60000000 -0.45000000 -1.05000000 0.006780
-0.15000000 0.00000000 -0.90000000 0.006789
0.30000000 0.00000000 -0.90000000 0.006789
0.30000000 -0.45000000 -1.05000000 0.006798
0.00000000 -0.15000000 -0.75000000 0.006807
-0.45000000 0.30000000 -1.05000000 0.006810
-0.45000000 0.15000000 -1.05000000 0.006813
0.00000000 0.30000000 -1.05000000 0.006813
0.30000000 0.30000000 -1.05000000 0.006816
0.75000000 -0.30000000 -0.90000000 0.006819
-0.30000000 -0.15000000 -0.90000000 0.006828
0.60000000 0.15000000 -1.05000000 0.006837
-0.30000000 0.30000000 -1.05000000 0.006840
0.60000000 -0.30000000 -1.05000000 0.006848
0.15000000 -0.15000000 -0.75000000 0.006857
0.60000000 -0.30000000 -0.90000000 0.006857
0.15000000 -0.30000000 -0.75000000 0.006869
0.45000000 -0.15000000 -0.90000000 0.006869
0.45000000 -0.15000000 -1.05000000 0.006881
0.60000000 -0.15000000 -1.05000000 0.006881
-0.15000000 -0.30000000 -0.75000000 0.006893
0.45000000 0.15000000 -1.05000000 0.006896
0.75000000 -0.15000000 -0.90000000 0.006905
-0.15000000 -0.15000000 -0.75000000 0.006908
-0.15000000 0.30000000 -1.05000000 0.006911
0.00000000 -0.30000000 -0.75000000 0.006911
0.45000000 0.30000000 -1.05000000 0.006914
-0.45000000 -0.30000000 -1.05000000 0.006920
-0.45000000 -0.15000000 -1.05000000 0.006925
0.60000000 -0.15000000 -0.90000000 0.006928
-0.45000000 0.00000000 -1.05000000 0.006940
0.60000000 0.00000000 -1.05000000 0.006940
0.75000000 -0.30000000 -1.05000000 0.006943
0.75000000 -0.45000000 -1.05000000 0.006958
0.75000000 0.15000000 -1.05000000 0.006961
0.90000000 -0.15000000 -0.90000000 0.006964
0.90000000 -0.30000000 -0.90000000 0.006970
0.45000000 0.00000000 -1.05000000 0.006979
-0.75000000 -0.15000000 -1.05000000 0.006991
-0.60000000 -0.15000000 -1.05000000 0.007032
0.30000000 0.15000000 -0.90000000 0.007038
-0.90000000 -0.30000000 -1.05000000 0.007041
-0.90000000 -0.15000000 -1.05000000 0.007044
0.15000000 0.15000000 -0.90000000 0.007047
-0.30000000 -0.15000000 -0.75000000 0.007050
-0.45000000 -0.45000000 -1.05000000 0.007050
-0.75000000 -0.30000000 -1.05000000 0.007050
-0.45000000 -0.30000000 -0.90000000 0.007062
0.00000000 -0.45000000 -0.90000000 0.007062
-0.60000000 0.15000000 -1.05000000 0.007071
-0.60000000 0.00000000 -1.05000000 0.007080
-0.60000000 0.30000000 -1.05000000 0.007080
0.60000000 0.30000000 -1.05000000 0.007080
0.75000000 0.00000000 -1.05000000 0.007088
0.30000000 -0.30000000 -0.75000000 0.007100
0.90000000 0.00000000 -0.90000000 0.007103
-1.05000000 -0.15000000 -1.05000000 0.007106
0.60000000 -0.45000000 -0.90000000 0.007106
0.90000000 0.00000000 -1.05000000 0.007106
0.90000000 0.30000000 -1.05000000 0.007109
0.00000000 0.15000000 -0.90000000 0.007112
1.05000000 -0.30000000 -0.90000000 0.007112
0.45000000 -0.30000000 -0.75000000 0.007118
0.75000000 -0.45000000 -0.90000000 0.007118
-0.75000000 0.00000000 -1.05000000 0.007121
0.30000000 -0.45000000 -0.90000000 0.007121
0.60000000 0.00000000 -0.90000000 0.007124
0.75000000 -0.15000000 -1.05000000 0.007124
0.90000000 0.15000000 -1.05000000 0.007124
1.05000000 0.30000000 -1.05000000 0.007124
-0.15000000 -0.45000000 -0.90000000 0.007139
1.05000000 0.00000000 -1.05000000 0.007145
-0.90000000 0.00000000 -1.05000000 0.007151
1.05000000 -0.45000000 -1.05000000 0.007151
0.75000000 0.30000000 -1.05000000 0.007154
-0.60000000 -0.30000000 -1.05000000 0.007157
0.15000000 -0.45000000 -0.90000000 0.007157
0.90000000 -0.45000000 -1.05000000 0.007160
0.75000000 0.00000000 -0.90000000 0.007162
-0.45000000 -0.15000000 -0.90000000 0.007174
0.00000000 0.00000000 -0.75000000 0.007174
0.30000000 -0.60000000 -1.05000000 0.007177
0.45000000 -0.15000000 -0.75000000 0.007183
-0.30000000 0.00000000 -0.90000000 0.007189
-0.60000000 -0.45000000 -1.05000000 0.007189
-0.75000000 -0.45000000 -1.05000000 0.007192
0.45000000 -0.45000000 -0.90000000 0.007192
0.90000000 0.15000000 -0.90000000 0.007192
0.45000000 0.00000000 -0.90000000 0.007195
0.60000000 -0.30000000 -0.75000000 0.007198
-0.90000000 -0.45000000 -1.05000000 0.007207
-0.15000000 0.00000000 -0.75000000 0.007210
1.05000000 0.15000000 -1.05000000 0.007210
-0.60000000 -0.30000000 -0.90000000 0.007216
-0.75000000 0.15000000 -1.05000000 0.007216
0.90000000 -0.45000000 -0.90000000 0.007219
0.60000000 -0.15000000 -0.75000000 0.007222
0.30000000 -0.15000000 -0.75000000 0.007228
1.05000000 -0.30000000 -1.05000000 0.007245
-0.15000000 0.15000000 -0.90000000 0.007248
-0.30000000 -0.45000000 -0.90000000 0.007257
-1.05000000 -0.30000000 -1.05000000 0.007266
0.90000000 -0.30000000 -1.05000000 0.007275
-0.15000000 -0.60000000 -1.05000000 0.007278
0.45000000 -0.60000000 -1.05000000 0.007278
0.60000000 -0.60000000 -1.05000000 0.007278
1.05000000 -0.15000000 -0.90000000 0.007293
0.15000000 -0.60000000 -1.05000000 0.007299
0.00000000 -0.60000000 -1.05000000 0.007302
0.15000000 0.00000000 -0.75000000 0.007305
0.15000000 0.45000000 -1.05000000 0.007311
0.60000000 0.15000000 -0.90000000 0.007311
1.05000000 -0.15000000 -1.05000000 0.007322
-0.75000000 -0.30000000 -0.90000000 0.007325
-1.05000000 0.00000000 -1.05000000 0.007325
-0.45000000 0.45000000 -1.05000000 0.007331
-0.30000000 -0.30000000 -0.75000000 0.007334
0.30000000 0.45000000 -1.05000000 0.007334
0.75000000 -0.30000000 -0.75000000 0.007361
-0.15000000 0.45000000 -1.05000000 0.007373
-0.45000000 0.00000000 -0.90000000 0.007373
0.45000000 0.15000000 -0.90000000 0.007373
-1.05000000 -0.45000000 -1.05000000 0.007376
-0.30000000 0.15000000 -0.90000000 0.007379
-0.90000000 0.15000000 -1.05000000 0.007379
0.75000000 -0.60000000 -1.05000000 0.007379
1.05000000 0.00000000 -0.90000000 0.007388
0.75000000 0.15000000 -0.90000000 0.007396
-0.30000000 -0.60000000 -1.05000000 0.007399
1.05000000 0.15000000 -0.90000000 0.007402
-0.30000000 0.45000000 -1.05000000 0.007417
0.00000000 0.45000000 -1.05000000 0.007417
0.90000000 -0.15000000 -1.05000000 0.007438
0.60000000 0.00000000 -0.75000000 0.007441
0.45000000 0.45000000 -1.05000000 0.007462
1.05000000 0.45000000 -1.05000000 0.007462
-0.75000000 0.30000000 -1.05000000 0.007465
0.75000000 -0.15000000 -0.75000000 0.007485
0.90000000 -0.60000000 -1.05000000 0.007485
-0.90000000 -0.30000000 -0.90000000 0.007491
-0.45000000 -0.45000000 -0.90000000 0.007500
0.45000000 0.00000000 -0.75000000 0.007500
0.90000000 0.45000000 -1.05000000 0.007521
-0.45000000 -0.60000000 -1.05000000 0.007527
1.05000000 -0.45000000 -0.90000000 0.007530
0.15000000 0.30000000 -0.90000000 0.007536
-0.60000000 -0.15000000 -0.90000000 0.007542
1.05000000 -0.60000000 -1.05000000 0.007551
0.30000000 0.00000000 -0.75000000 0.007553
-0.75000000 -0.15000000 -0.90000000 0.007562
-0.75000000 -0.60000000 -1.05000000 0.007565
-0.90000000 -0.15000000 -0.90000000 0.007568
-0.60000000 0.45000000 -1.05000000 0.007574
-0.45000000 -0.15000000 -0.75000000 0.007616
-0.60000000 -0.60000000 -1.05000000 0.007616
-1.05000000 -0.60000000 -1.05000000 0.007616
0.75000000 0.45000000 -1.05000000 0.007616
-0.90000000 -0.60000000 -1.05000000 0.007642
0.75000000 0.00000000 -0.75000000 0.007645
-0.45000000 0.15000000 -0.90000000 0.007654
-0.60000000 0.00000000 -0.90000000 0.007672
-0.90000000 0.30000000 -1.05000000 0.007687
-0.60000000 -0.45000000 -0.90000000 0.007690
-0.75000000 -0.45000000 -0.90000000 0.007690
0.45000000 0.30000000 -0.90000000 0.007693
0.60000000 0.45000000 -1.05000000 0.007696
-0.90000000 -0.45000000 -0.90000000 0.007699
-0.30000000 0.00000000 -0.75000000 0.007722
0.75000000 0.30000000 -0.90000000 0.007722
-1.05000000 0.15000000 -1.05000000 0.007731
0.90000000 0.30000000 -0.90000000 0.007740
0.00000000 0.30000000 -0.90000000 0.007752
0.30000000 0.30000000 -0.90000000 0.007764
0.60000000 0.30000000 -0.90000000 0.007773
-0.45000000 -0.30000000 -0.75000000 0.007817
-0.75000000 0.00000000 -0.90000000 0.007859
-0.75000000 0.45000000 -1.05000000 0.007870
1.05000000 0.30000000 -0.90000000 0.007870
-0.15000000 0.30000000 -0.90000000 0.007873
0.90000000 -0.15000000 -0.75000000 0.007876
-0.60000000 -0.30000000 -0.75000000 0.007882
0.90000000 0.60000000 -1.05000000 0.007900
0.30000000 0.15000000 -0.75000000 0.007915
0.90000000 -0.30000000 -0.75000000 0.007921
1.05000000 0.60000000 -1.05000000 0.007924
-0.45000000 0.00000000 -0.75000000 0.007956
-0.60000000 0.15000000 -0.90000000 0.007956
-1.05000000 0.30000000 -1.05000000 0.007977
0.45000000 0.60000000 -1.05000000 0.007986
0.15000000 0.15000000 -0.75000000 0.007995
0.60000000 0.60000000 -1.05000000 0.007998
0.75000000 0.60000000 -1.05000000 0.008004
-0.90000000 0.00000000 -0.90000000 0.008010
-0.60000000 -0.15000000 -0.75000000 0.008016
0.60000000 0.15000000 -0.75000000 0.008081
0.30000000 0.60000000 -1.05000000 0.008096
-0.30000000 0.30000000 -0.90000000 0.008113
0.00000000 0.15000000 -0.75000000 0.008116
-0.15000000 0.15000000 -0.75000000 0.008164
0.00000000 -0.15000000 -0.60000000 0.008164
0.15000000 -0.15000000 -0.60000000 0.008164
0.15000000 0.60000000 -1.05000000 0.008187
-0.45000000 0.30000000 -0.90000000 0.008199
-1.05000000 -0.30000000 -0.90000000 0.008232
-0.30000000 0.60000000 -1.05000000 0.008235
-0.45000000 0.60000000 -1.05000000 0.008241
-0.75000000 0.15000000 -0.90000000 0.008256
0.90000000 0.00000000 -0.75000000 0.008258
0.45000000 0.15000000 -0.75000000 0.008264
1.05000000 -0.30000000 -0.75000000 0.008264
-1.05000000 -0.15000000 -0.90000000 0.008288
-0.90000000 0.45000000 -1.05000000 0.008324
0.00000000 0.60000000 -1.05000000 0.008338
0.75000000 0.15000000 -0.75000000 0.008371
-0.15000000 0.60000000 -1.05000000 0.008380
-0.30000000 0.15000000 -0.75000000 0.008389
-0.75000000 -0.30000000 -0.75000000 0.008392
-1.05000000 -0.45000000 -0.90000000 0.008395
0.30000000 -0.15000000 -0.60000000 0.008427
1.05000000 -0.15000000 -0.75000000 0.008430
1.05000000 0.75000000 -1.05000000 0.008445
0.60000000 0.75000000 -1.05000000 0.008469
0.90000000 0.75000000 -1.05000000 0.008492
-0.15000000 -0.15000000 -0.60000000 0.008498
