//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.018028
-0.90000000 -1.05000000 -1.05000000 0.018131
-0.75000000 -1.05000000 -1.05000000 0.018346
-1.05000000 -0.90000000 -1.05000000 0.018486
-0.90000000 -0.90000000 -1.05000000 0.018488
-0.60000000 -1.05000000 -1.05000000 0.018503
0.30000000 -1.05000000 -1.05000000 0.018543
-0.45000000 -1.05000000 -1.05000000 0.018577
0.15000000 -1.05000000 -1.05000000 0.018626
0.45000000 -1.05000000 -1.05000000 0.018634
-0.75000000 -0.90000000 -1.05000000 0.018697
0.60000000 -1.05000000 -1.05000000 0.018714
0.00000000 -1.05000000 -1.05000000 0.018754
0.75000000 -1.05000000 -1.05000000 0.018766
-1.05000000 -0.75000000 -1.05000000 0.018789
-0.30000000 -1.05000000 -1.05000000 0.018801
0.90000000 -1.05000000 -1.05000000 0.018803
-0.60000000 -0.90000000 -1.05000000 0.018804
-0.90000000 -0.75000000 -1.05000000 0.018840
-0.15000000 -1.05000000 -1.05000000 0.018850
1.05000000 -1.05000000 -1.05000000 0.018854
0.30000000 -0.90000000 -1.05000000 0.018863
0.45000000 -0.90000000 -1.05000000 0.018918
-0.75000000 -0.75000000 -1.05000000 0.018943
-0.45000000 -0.90000000 -1.05000000 0.018960
0.15000000 -0.90000000 -1.05000000 0.018986
-1.05000000 -0.60000000 -1.05000000 0.018990
-0.90000000 -0.60000000 -1.05000000 0.018994
0.00000000 -0.90000000 -1.05000000 0.019018
0.60000000 -0.90000000 -1.05000000 0.019019
-0.60000000 -0.75000000 -1.05000000 0.019023
-0.75000000 -0.60000000 -1.05000000 0.019070
-1.05000000 -0.45000000 -1.05000000 0.019101
0.75000000 -0.90000000 -1.05000000 0.019115
0.15000000 -0.75000000 -1.05000000 0.019119
1.05000000 -0.90000000 -1.05000000 0.019126
-0.30000000 -0.90000000 -1.05000000 0.019127
0.45000000 -0.75000000 -1.05000000 0.019135
0.90000000 -0.90000000 -1.05000000 0.019141
-0.90000000 -0.45000000 -1.05000000 0.019146
-0.60000000 -0.60000000 -1.05000000 0.019149
0.30000000 -0.75000000 -1.05000000 0.019152
-0.15000000 -0.90000000 -1.05000000 0.019165
-0.45000000 -0.60000000 -1.05000000 0.019196
-0.45000000 -0.75000000 -1.05000000 0.019199
0.60000000 -0.75000000 -1.05000000 0.019227
-0.75000000 -0.45000000 -1.05000000 0.019229
0.90000000 -0.75000000 -1.05000000 0.019248
1.05000000 -0.75000000 -1.05000000 0.019268
0.75000000 -0.75000000 -1.05000000 0.019276
0.00000000 -0.75000000 -1.05000000 0.019283
-0.60000000 -0.45000000 -1.05000000 0.019289
-0.15000000 -0.75000000 -1.05000000 0.019313
