//X Y Z Consensus 
-0.45000000 0.45000000 -1.05000000 0.008012
-0.45000000 0.30000000 -1.05000000 0.008036
-0.45000000 0.15000000 -1.05000000 0.008105
-0.30000000 0.30000000 -1.05000000 0.008108
-0.60000000 0.30000000 -1.05000000 0.008141
-0.30000000 0.45000000 -1.05000000 0.008146
-0.60000000 0.45000000 -1.05000000 0.008175
-0.30000000 0.15000000 -1.05000000 0.008201
-0.60000000 0.15000000 -1.05000000 0.008273
-0.45000000 0.60000000 -1.05000000 0.008319
-0.75000000 0.45000000 -1.05000000 0.008405
-0.75000000 0.30000000 -1.05000000 0.008432
-0.30000000 0.60000000 -1.05000000 0.008439
-0.45000000 0.00000000 -1.05000000 0.008439
-0.60000000 0.00000000 -1.05000000 0.008482
-0.15000000 0.30000000 -1.05000000 0.008506
-0.15000000 0.45000000 -1.05000000 0.008518
-0.60000000 0.60000000 -1.05000000 0.008549
-0.30000000 0.00000000 -1.05000000 0.008575
-0.75000000 0.15000000 -1.05000000 0.008580
-0.15000000 0.15000000 -1.05000000 0.008609
-0.90000000 0.45000000 -1.05000000 0.008693
-0.45000000 0.75000000 -1.05000000 0.008695
-0.75000000 0.00000000 -1.05000000 0.008710
-0.90000000 0.30000000 -1.05000000 0.008736
-0.75000000 0.60000000 -1.05000000 0.008779
-0.60000000 0.75000000 -1.05000000 0.008806
-0.90000000 0.15000000 -1.05000000 0.008815
-0.30000000 0.75000000 -1.05000000 0.008825
-0.45000000 -0.15000000 -1.05000000 0.008837
-0.15000000 0.60000000 -1.05000000 0.008897
-0.30000000 -0.15000000 -1.05000000 0.008906
-0.75000000 0.75000000 -1.05000000 0.008945
-0.60000000 -0.15000000 -1.05000000 0.008974
-0.15000000 0.00000000 -1.05000000 0.008986
-0.90000000 0.60000000 -1.05000000 0.009005
-1.05000000 0.45000000 -1.05000000 0.009036
-0.45000000 0.90000000 -1.05000000 0.009043
-1.05000000 0.30000000 -1.05000000 0.009067
-0.90000000 0.00000000 -1.05000000 0.009084
0.00000000 0.30000000 -1.05000000 0.009086
-0.60000000 0.90000000 -1.05000000 0.009098
-0.90000000 0.75000000 -1.05000000 0.009132
-0.30000000 0.90000000 -1.05000000 0.009139
0.00000000 0.45000000 -1.05000000 0.009149
-1.05000000 0.15000000 -1.05000000 0.009204
0.00000000 0.15000000 -1.05000000 0.009225
-0.75000000 -0.15000000 -1.05000000 0.009228
-0.45000000 -0.30000000 -1.05000000 0.009235
-0.15000000 0.75000000 -1.05000000 0.009269
-0.15000000 -0.15000000 -1.05000000 0.009288
-0.75000000 0.90000000 -1.05000000 0.009305
-0.30000000 -0.30000000 -1.05000000 0.009317
-0.60000000 -0.30000000 -1.05000000 0.009357
-1.05000000 0.00000000 -1.05000000 0.009360
-1.05000000 0.60000000 -1.05000000 0.009386
-0.45000000 1.05000000 -1.05000000 0.009444
-0.90000000 -0.15000000 -1.05000000 0.009446
-0.90000000 0.90000000 -1.05000000 0.009501
0.00000000 0.60000000 -1.05000000 0.009504
-0.60000000 1.05000000 -1.05000000 0.009513
-1.05000000 0.75000000 -1.05000000 0.009532
-0.75000000 -0.30000000 -1.05000000 0.009549
0.00000000 0.00000000 -1.05000000 0.009554
-0.30000000 1.05000000 -1.05000000 0.009573
-0.15000000 0.90000000 -1.05000000 0.009587
-1.05000000 -0.15000000 -1.05000000 0.009657
0.15000000 0.30000000 -1.05000000 0.009657
-0.90000000 -0.30000000 -1.05000000 0.009659
-0.45000000 -0.45000000 -1.05000000 0.009662
-0.15000000 -0.30000000 -1.05000000 0.009705
-0.75000000 1.05000000 -1.05000000 0.009705
0.15000000 0.15000000 -1.05000000 0.009719
-0.30000000 -0.45000000 -1.05000000 0.009767
0.15000000 0.45000000 -1.05000000 0.009767
-0.60000000 -0.45000000 -1.05000000 0.009777
-1.05000000 0.90000000 -1.05000000 0.009806
0.00000000 -0.15000000 -1.05000000 0.009832
0.00000000 0.75000000 -1.05000000 0.009875
-0.90000000 1.05000000 -1.05000000 0.009902
-1.05000000 -0.30000000 -1.05000000 0.009923
-0.75000000 -0.45000000 -1.05000000 0.009966
0.15000000 0.00000000 -1.05000000 0.010031
-0.15000000 1.05000000 -1.05000000 0.010041
0.30000000 0.45000000 -1.05000000 0.010069
-1.05000000 1.05000000 -1.05000000 0.010091
0.30000000 0.30000000 -1.05000000 0.010101
0.15000000 0.60000000 -1.05000000 0.010108
-0.90000000 -0.45000000 -1.05000000 0.010158
0.30000000 0.15000000 -1.05000000 0.010168
-0.15000000 -0.45000000 -1.05000000 0.010173
0.00000000 -0.30000000 -1.05000000 0.010211
0.00000000 0.90000000 -1.05000000 0.010307
-0.45000000 -0.60000000 -1.05000000 0.010324
0.15000000 -0.15000000 -1.05000000 0.010326
0.30000000 0.00000000 -1.05000000 0.010372
-0.30000000 -0.60000000 -1.05000000 0.010379
-0.60000000 -0.60000000 -1.05000000 0.010386
-1.05000000 -0.45000000 -1.05000000 0.010388
0.45000000 0.30000000 -1.05000000 0.010400
0.30000000 0.60000000 -1.05000000 0.010441
0.45000000 0.45000000 -1.05000000 0.010444
0.45000000 0.15000000 -1.05000000 0.010484
0.15000000 0.75000000 -1.05000000 0.010556
0.60000000 0.45000000 -1.05000000 0.010571
-0.75000000 -0.60000000 -1.05000000 0.010573
0.30000000 -0.15000000 -1.05000000 0.010575
0.15000000 -0.30000000 -1.05000000 0.010638
0.60000000 0.30000000 -1.05000000 0.010655
0.00000000 -0.45000000 -1.05000000 0.010679
0.45000000 0.60000000 -1.05000000 0.010681
0.00000000 1.05000000 -1.05000000 0.010703
0.45000000 0.00000000 -1.05000000 0.010707
-0.90000000 -0.60000000 -1.05000000 0.010712
0.60000000 0.15000000 -1.05000000 0.010715
-0.15000000 -0.60000000 -1.05000000 0.010748
0.15000000 0.90000000 -1.05000000 0.010844
0.30000000 0.75000000 -1.05000000 0.010882
