//X Y Z Consensus 
-0.45000000 1.05000000 -0.90000000 0.001596
-0.30000000 1.05000000 -0.75000000 0.001644
-0.45000000 1.05000000 -0.75000000 0.001787
-0.30000000 1.05000000 -0.90000000 0.001834
-0.45000000 1.05000000 -1.05000000 0.001858
-0.15000000 1.05000000 -0.75000000 0.002025
-0.30000000 0.90000000 -0.75000000 0.002049
0.00000000 1.05000000 -0.75000000 0.002049
-0.30000000 0.90000000 -0.90000000 0.002073
-0.15000000 0.90000000 -0.75000000 0.002097
-0.15000000 1.05000000 -0.90000000 0.002120
-0.30000000 1.05000000 -1.05000000 0.002192
-0.15000000 0.90000000 -0.90000000 0.002216
-0.60000000 1.05000000 -1.05000000 0.002216
0.00000000 0.90000000 -0.75000000 0.002287
0.90000000 0.00000000 -0.75000000 0.002287
-0.60000000 1.05000000 -0.90000000 0.002311
0.90000000 1.05000000 -0.75000000 0.002335
-0.30000000 0.90000000 -1.05000000 0.002382
0.15000000 1.05000000 -0.75000000 0.002406
0.75000000 0.15000000 -0.90000000 0.002406
0.75000000 0.15000000 -0.75000000 0.002502
0.75000000 1.05000000 -0.75000000 0.002502
-0.45000000 0.90000000 -0.90000000 0.002525
0.00000000 1.05000000 -0.90000000 0.002525
0.75000000 0.00000000 -0.75000000 0.002573
0.75000000 0.45000000 -0.75000000 0.002621
-0.45000000 0.90000000 -0.75000000 0.002644
1.05000000 0.75000000 -0.60000000 0.002644
1.05000000 0.90000000 -0.60000000 0.002644
0.00000000 0.90000000 -0.90000000 0.002668
1.05000000 -0.15000000 -0.75000000 0.002668
0.45000000 0.45000000 -0.60000000 0.002692
0.60000000 0.45000000 -0.60000000 0.002692
0.75000000 0.30000000 -0.75000000 0.002692
0.15000000 0.90000000 -0.75000000 0.002716
0.60000000 1.05000000 -0.75000000 0.002716
-0.15000000 1.05000000 -1.05000000 0.002740
-0.45000000 0.90000000 -1.05000000 0.002740
0.30000000 1.05000000 -0.75000000 0.002740
0.60000000 0.45000000 -0.75000000 0.002740
0.90000000 0.15000000 -0.75000000 0.002740
0.60000000 1.05000000 -0.90000000 0.002764
0.75000000 1.05000000 -0.90000000 0.002764
0.90000000 0.60000000 -0.60000000 0.002764
1.05000000 0.75000000 -0.75000000 0.002764
-0.15000000 0.90000000 -1.05000000 0.002787
0.00000000 0.90000000 -0.60000000 0.002787
0.00000000 1.05000000 -0.60000000 0.002811
0.45000000 1.05000000 -0.75000000 0.002811
0.15000000 0.90000000 -0.60000000 0.002835
0.60000000 0.30000000 -0.75000000 0.002835
0.75000000 0.60000000 -0.60000000 0.002835
1.05000000 -0.30000000 -0.75000000 0.002835
1.05000000 0.00000000 -0.75000000 0.002835
1.05000000 0.90000000 -0.75000000 0.002835
-0.15000000 0.75000000 -0.75000000 0.002859
-0.15000000 1.05000000 -0.60000000 0.002859
1.05000000 1.05000000 -0.60000000 0.002859
0.00000000 0.75000000 -0.75000000 0.002883
0.30000000 1.05000000 -0.60000000 0.002883
0.45000000 0.60000000 -0.60000000 0.002883
0.90000000 0.00000000 -0.90000000 0.002883
0.90000000 0.15000000 -0.90000000 0.002883
0.90000000 1.05000000 -0.60000000 0.002883
1.05000000 0.60000000 -0.60000000 0.002883
-0.15000000 0.75000000 -0.90000000 0.002907
0.15000000 1.05000000 -0.60000000 0.002907
0.15000000 1.05000000 -0.90000000 0.002907
0.90000000 -0.15000000 -0.75000000 0.002907
0.90000000 0.75000000 -0.60000000 0.002907
0.60000000 0.15000000 -0.90000000 0.002930
0.45000000 1.05000000 -0.60000000 0.002954
0.60000000 0.30000000 -0.90000000 0.002954
0.60000000 0.60000000 -0.60000000 0.002954
0.75000000 0.00000000 -0.90000000 0.002954
0.45000000 1.05000000 -0.90000000 0.002978
0.60000000 0.90000000 -0.75000000 0.002978
-0.15000000 0.90000000 -0.60000000 0.003002
-0.60000000 1.05000000 -0.75000000 0.003002
0.45000000 0.45000000 -0.75000000 0.003002
0.75000000 0.15000000 -1.05000000 0.003002
0.90000000 0.60000000 -0.75000000 0.003002
0.90000000 0.90000000 -0.75000000 0.003002
-0.30000000 1.05000000 -0.60000000 0.003026
0.30000000 0.90000000 -0.75000000 0.003026
0.60000000 0.15000000 -0.75000000 0.003026
0.60000000 0.90000000 -0.90000000 0.003026
0.90000000 0.90000000 -0.60000000 0.003026
1.05000000 0.60000000 -0.75000000 0.003026
0.45000000 0.30000000 -0.75000000 0.003050
0.30000000 0.90000000 -0.60000000 0.003073
0.45000000 0.60000000 -0.75000000 0.003073
0.75000000 1.05000000 -0.60000000 0.003073
1.05000000 1.05000000 -0.75000000 0.003073
