//X Y Z Consensus 
-0.15000000 0.30000000 1.05000000 0.003146
-0.15000000 0.15000000 1.05000000 0.003826
0.00000000 0.30000000 1.05000000 0.003838
0.00000000 0.15000000 1.05000000 0.004393
-0.15000000 0.45000000 1.05000000 0.004499
0.00000000 0.45000000 1.05000000 0.005209
-0.30000000 0.30000000 1.05000000 0.005218
-0.15000000 0.30000000 0.90000000 0.005561
-0.30000000 0.15000000 1.05000000 0.005886
-0.15000000 0.00000000 1.05000000 0.005946
-0.15000000 0.15000000 0.90000000 0.006053
-0.30000000 0.45000000 1.05000000 0.006192
0.00000000 0.30000000 0.90000000 0.006368
-0.15000000 0.60000000 1.05000000 0.006411
-0.15000000 0.45000000 0.90000000 0.006547
0.00000000 0.00000000 1.05000000 0.006571
0.15000000 0.30000000 1.05000000 0.006662
0.00000000 0.15000000 0.90000000 0.006787
0.00000000 0.60000000 1.05000000 0.007105
0.15000000 0.15000000 1.05000000 0.007275
0.00000000 0.45000000 0.90000000 0.007421
-0.30000000 0.30000000 0.90000000 0.007433
-0.30000000 0.00000000 1.05000000 0.007849
-0.30000000 0.15000000 0.90000000 0.007927
0.15000000 0.45000000 1.05000000 0.007946
-0.30000000 0.60000000 1.05000000 0.008064
-0.15000000 0.00000000 0.90000000 0.008113
-0.45000000 0.30000000 1.05000000 0.008113
-0.30000000 0.45000000 0.90000000 0.008304
-0.15000000 0.75000000 1.05000000 0.008364
-0.15000000 -0.15000000 1.05000000 0.008428
-0.15000000 0.60000000 0.90000000 0.008692
0.00000000 0.00000000 0.90000000 0.008807
0.00000000 -0.15000000 1.05000000 0.008977
-0.45000000 0.15000000 1.05000000 0.009008
0.00000000 0.75000000 1.05000000 0.009123
0.15000000 0.00000000 1.05000000 0.009190
-0.45000000 0.45000000 1.05000000 0.009196
0.00000000 0.60000000 0.90000000 0.009499
0.15000000 0.30000000 0.90000000 0.009535
0.15000000 0.15000000 0.90000000 0.009724
0.15000000 0.60000000 1.05000000 0.009793
-0.45000000 0.30000000 0.90000000 0.009972
-0.30000000 0.00000000 0.90000000 0.009987
-0.30000000 0.75000000 1.05000000 0.010094
-0.15000000 0.90000000 1.05000000 0.010106
-0.30000000 -0.15000000 1.05000000 0.010121
0.30000000 0.30000000 1.05000000 0.010230
-0.15000000 0.30000000 0.75000000 0.010257
-0.30000000 0.60000000 0.90000000 0.010291
-0.45000000 0.15000000 0.90000000 0.010476
0.15000000 0.45000000 0.90000000 0.010515
-0.15000000 -0.30000000 1.05000000 0.010670
-0.15000000 0.75000000 0.90000000 0.010703
-0.15000000 0.15000000 0.75000000 0.010725
0.00000000 0.90000000 1.05000000 0.010734
-0.45000000 0.45000000 0.90000000 0.010764
0.30000000 0.15000000 1.05000000 0.010779
-0.45000000 0.00000000 1.05000000 0.010791
-0.15000000 -0.15000000 0.90000000 0.010846
-0.60000000 0.30000000 1.05000000 0.010916
-0.45000000 0.60000000 1.05000000 0.010931
0.00000000 0.30000000 0.75000000 0.011022
0.00000000 -0.30000000 1.05000000 0.011195
-0.15000000 1.05000000 1.05000000 0.011207
0.00000000 0.15000000 0.75000000 0.011298
0.30000000 0.45000000 1.05000000 0.011341
0.00000000 -0.15000000 0.90000000 0.011480
0.00000000 0.75000000 0.90000000 0.011550
-0.30000000 0.90000000 1.05000000 0.011662
0.15000000 0.75000000 1.05000000 0.011665
0.15000000 0.00000000 0.90000000 0.011677
-0.15000000 0.45000000 0.75000000 0.011683
0.00000000 1.05000000 1.05000000 0.011686
0.15000000 -0.15000000 1.05000000 0.011717
-0.60000000 0.45000000 1.05000000 0.011756
-0.60000000 0.15000000 1.05000000 0.011777
-0.30000000 0.30000000 0.75000000 0.012002
-0.15000000 -0.45000000 1.05000000 0.012196
-0.30000000 0.75000000 0.90000000 0.012217
-0.15000000 0.90000000 0.90000000 0.012317
-0.30000000 -0.30000000 1.05000000 0.012405
-0.30000000 -0.15000000 0.90000000 0.012448
-0.30000000 0.15000000 0.75000000 0.012478
-0.45000000 0.00000000 0.90000000 0.012481
0.00000000 0.45000000 0.75000000 0.012496
0.30000000 0.00000000 1.05000000 0.012506
-0.15000000 0.00000000 0.75000000 0.012545
0.15000000 0.60000000 0.90000000 0.012551
-0.45000000 0.60000000 0.90000000 0.012554
-0.30000000 1.05000000 1.05000000 0.012606
-0.45000000 0.75000000 1.05000000 0.012745
0.00000000 -0.45000000 1.05000000 0.012776
-0.60000000 0.30000000 0.90000000 0.012809
-0.45000000 -0.15000000 1.05000000 0.013012
0.30000000 0.60000000 1.05000000 0.013079
0.00000000 0.90000000 0.90000000 0.013134
-0.15000000 -0.30000000 0.90000000 0.013155
0.15000000 0.90000000 1.05000000 0.013194
-0.75000000 0.30000000 1.05000000 0.013234
-0.15000000 -0.60000000 1.05000000 0.013249
0.45000000 0.30000000 1.05000000 0.013264
0.00000000 0.00000000 0.75000000 0.013276
-0.15000000 1.05000000 0.90000000 0.013394
-0.30000000 0.45000000 0.75000000 0.013404
-0.60000000 0.15000000 0.90000000 0.013452
-0.60000000 0.00000000 1.05000000 0.013476
-0.60000000 0.60000000 1.05000000 0.013516
-0.60000000 0.45000000 0.90000000 0.013689
0.30000000 0.30000000 0.90000000 0.013695
0.00000000 -0.30000000 0.90000000 0.013725
-0.15000000 0.60000000 0.75000000 0.013737
0.00000000 -0.60000000 1.05000000 0.013768
-0.30000000 -0.45000000 1.05000000 0.013834
-0.30000000 0.90000000 0.90000000 0.013871
0.45000000 0.15000000 1.05000000 0.013904
0.15000000 -0.30000000 1.05000000 0.013916
0.30000000 0.15000000 0.90000000 0.013953
-0.75000000 0.45000000 1.05000000 0.013965
0.15000000 1.05000000 1.05000000 0.014023
-0.75000000 0.15000000 1.05000000 0.014059
-0.15000000 -0.75000000 1.05000000 0.014202
0.00000000 1.05000000 0.90000000 0.014223
-0.45000000 0.90000000 1.05000000 0.014265
0.15000000 -0.15000000 0.90000000 0.014274
