//X Y Z Consensus 
-0.15000000 0.00000000 1.05000000 0.004270
-0.15000000 -0.15000000 1.05000000 0.004310
0.00000000 0.00000000 1.05000000 0.004319
-0.30000000 -0.15000000 1.05000000 0.004327
0.00000000 0.15000000 1.05000000 0.004349
-0.30000000 0.00000000 1.05000000 0.004351
-0.15000000 0.15000000 1.05000000 0.004352
0.00000000 -0.15000000 1.05000000 0.004370
-0.15000000 -0.30000000 1.05000000 0.004380
-0.30000000 0.15000000 1.05000000 0.004388
-0.30000000 -0.30000000 1.05000000 0.004409
-0.30000000 -0.45000000 1.05000000 0.004437
0.00000000 -0.30000000 1.05000000 0.004442
-0.45000000 -0.15000000 1.05000000 0.004444
0.15000000 -0.15000000 1.05000000 0.004456
0.15000000 0.15000000 1.05000000 0.004460
0.15000000 0.00000000 1.05000000 0.004472
-0.45000000 -0.30000000 1.05000000 0.004478
-0.15000000 -0.45000000 1.05000000 0.004481
0.30000000 -0.15000000 1.05000000 0.004483
-0.45000000 0.00000000 1.05000000 0.004487
0.30000000 0.15000000 1.05000000 0.004489
0.30000000 -0.30000000 1.05000000 0.004495
0.30000000 0.00000000 1.05000000 0.004497
-0.45000000 -0.45000000 1.05000000 0.004517
0.15000000 -0.30000000 1.05000000 0.004538
1.05000000 0.00000000 1.05000000 0.004544
-0.15000000 -0.60000000 1.05000000 0.004546
0.15000000 -0.45000000 1.05000000 0.004546
0.30000000 -0.45000000 1.05000000 0.004546
0.00000000 -0.45000000 1.05000000 0.004548
-0.30000000 -0.90000000 1.05000000 0.004562
1.05000000 -0.15000000 1.05000000 0.004565
0.90000000 0.00000000 1.05000000 0.004573
-0.15000000 -0.75000000 1.05000000 0.004577
-0.30000000 -0.60000000 1.05000000 0.004579
-0.30000000 -0.75000000 1.05000000 0.004581
-0.45000000 0.15000000 1.05000000 0.004581
0.45000000 -0.15000000 1.05000000 0.004585
0.90000000 -0.15000000 1.05000000 0.004597
-0.15000000 -1.05000000 1.05000000 0.004605
0.45000000 0.00000000 1.05000000 0.004606
0.45000000 -0.30000000 1.05000000 0.004610
1.05000000 0.15000000 1.05000000 0.004610
-0.45000000 -0.60000000 1.05000000 0.004612
-0.15000000 -0.90000000 1.05000000 0.004614
1.05000000 -0.45000000 1.05000000 0.004614
0.45000000 0.15000000 1.05000000 0.004618
-0.60000000 -0.30000000 1.05000000 0.004622
0.45000000 -0.45000000 1.05000000 0.004622
-0.45000000 -0.90000000 1.05000000 0.004630
-0.15000000 0.30000000 1.05000000 0.004632
0.75000000 -0.60000000 1.05000000 0.004632
0.90000000 -0.60000000 1.05000000 0.004632
1.05000000 -0.30000000 1.05000000 0.004632
0.90000000 -0.30000000 1.05000000 0.004634
0.90000000 0.15000000 1.05000000 0.004634
0.00000000 0.30000000 1.05000000 0.004638
0.75000000 0.00000000 1.05000000 0.004638
-0.30000000 -1.05000000 1.05000000 0.004640
-0.45000000 -0.75000000 1.05000000 0.004640
0.90000000 -0.45000000 1.05000000 0.004640
1.05000000 -0.60000000 1.05000000 0.004649
0.60000000 -0.45000000 1.05000000 0.004657
1.05000000 -0.75000000 1.05000000 0.004657
-0.60000000 0.00000000 1.05000000 0.004659
0.60000000 0.00000000 1.05000000 0.004659
0.60000000 -0.30000000 1.05000000 0.004661
0.15000000 0.30000000 1.05000000 0.004665
0.60000000 -0.15000000 1.05000000 0.004667
0.90000000 -0.75000000 1.05000000 0.004667
0.75000000 -0.30000000 1.05000000 0.004669
0.75000000 0.15000000 1.05000000 0.004669
-0.45000000 -1.05000000 1.05000000 0.004671
-0.60000000 -0.15000000 1.05000000 0.004671
-0.30000000 0.30000000 1.05000000 0.004685
0.75000000 -0.75000000 1.05000000 0.004685
0.75000000 -0.45000000 1.05000000 0.004687
0.30000000 0.30000000 1.05000000 0.004700
0.00000000 -0.60000000 1.05000000 0.004704
-0.60000000 -0.45000000 1.05000000 0.004710
0.15000000 -0.60000000 1.05000000 0.004714
0.60000000 -0.60000000 1.05000000 0.004714
0.45000000 -0.60000000 1.05000000 0.004724
0.75000000 -0.15000000 1.05000000 0.004728
0.60000000 0.15000000 1.05000000 0.004733
-0.60000000 -0.60000000 1.05000000 0.004737
-0.60000000 0.15000000 1.05000000 0.004737
1.05000000 -0.90000000 1.05000000 0.004739
0.60000000 -0.75000000 1.05000000 0.004745
0.75000000 -0.90000000 1.05000000 0.004745
-0.75000000 -0.30000000 1.05000000 0.004753
0.30000000 -0.60000000 1.05000000 0.004757
0.45000000 0.30000000 1.05000000 0.004769
0.90000000 -0.90000000 1.05000000 0.004769
-0.60000000 -0.90000000 1.05000000 0.004771
0.00000000 -0.90000000 1.05000000 0.004782
0.75000000 -1.05000000 1.05000000 0.004782
1.05000000 0.30000000 1.05000000 0.004782
0.45000000 -0.75000000 1.05000000 0.004786
-0.60000000 -0.75000000 1.05000000 0.004792
0.00000000 -1.05000000 1.05000000 0.004794
-0.75000000 -0.15000000 1.05000000 0.004802
0.90000000 -1.05000000 1.05000000 0.004802
0.30000000 -0.75000000 1.05000000 0.004806
0.00000000 -0.75000000 1.05000000 0.004812
0.90000000 0.30000000 1.05000000 0.004812
0.15000000 -0.75000000 1.05000000 0.004815
1.05000000 -1.05000000 1.05000000 0.004815
0.60000000 -0.90000000 1.05000000 0.004817
0.00000000 0.45000000 1.05000000 0.004823
-0.75000000 0.00000000 1.05000000 0.004825
-0.45000000 0.30000000 1.05000000 0.004827
0.15000000 -0.90000000 1.05000000 0.004829
0.45000000 -0.90000000 1.05000000 0.004835
-0.75000000 -0.45000000 1.05000000 0.004839
0.15000000 -1.05000000 1.05000000 0.004841
1.05000000 0.75000000 1.05000000 0.004847
-0.60000000 -1.05000000 1.05000000 0.004851
-0.75000000 -0.75000000 1.05000000 0.004851
-0.75000000 -0.90000000 1.05000000 0.004851
-0.75000000 -0.60000000 1.05000000 0.004853
0.15000000 0.45000000 1.05000000 0.004855
0.60000000 0.30000000 1.05000000 0.004855
0.75000000 0.30000000 1.05000000 0.004858
0.30000000 -0.90000000 1.05000000 0.004868
1.05000000 0.45000000 1.05000000 0.004878
1.05000000 0.60000000 1.05000000 0.004882
0.60000000 -1.05000000 1.05000000 0.004886
-0.15000000 0.45000000 1.05000000 0.004896
0.00000000 0.00000000 0.90000000 0.004896
-0.75000000 0.15000000 1.05000000 0.004901
0.30000000 0.45000000 1.05000000 0.004901
-0.15000000 0.00000000 0.90000000 0.004905
1.05000000 0.90000000 1.05000000 0.004907
0.45000000 -1.05000000 1.05000000 0.004909
-0.15000000 -0.15000000 0.90000000 0.004913
-0.60000000 0.30000000 1.05000000 0.004917
1.05000000 1.05000000 1.05000000 0.004925
0.90000000 0.45000000 1.05000000 0.004929
0.00000000 -0.15000000 0.90000000 0.004942
0.30000000 -1.05000000 1.05000000 0.004948
-0.90000000 -0.15000000 1.05000000 0.004954
0.90000000 0.60000000 1.05000000 0.004956
0.45000000 0.45000000 1.05000000 0.004958
0.15000000 0.00000000 0.90000000 0.004964
-0.30000000 0.45000000 1.05000000 0.004966
-0.90000000 0.15000000 1.05000000 0.004970
0.75000000 0.45000000 1.05000000 0.004970
0.90000000 0.75000000 1.05000000 0.004970
0.60000000 0.45000000 1.05000000 0.004980
-0.75000000 0.30000000 1.05000000 0.004982
0.15000000 -0.15000000 0.90000000 0.004991
0.30000000 -0.15000000 0.90000000 0.004995
0.90000000 0.90000000 1.05000000 0.004997
-0.90000000 0.00000000 1.05000000 0.005001
0.00000000 0.15000000 0.90000000 0.005013
0.30000000 0.00000000 0.90000000 0.005023
-0.15000000 0.15000000 0.90000000 0.005025
-0.30000000 -0.15000000 0.90000000 0.005025
-0.75000000 -1.05000000 1.05000000 0.005026
0.90000000 1.05000000 1.05000000 0.005026
-0.90000000 -0.45000000 1.05000000 0.005028
-0.90000000 -0.30000000 1.05000000 0.005036
0.75000000 0.60000000 1.05000000 0.005042
0.75000000 0.75000000 1.05000000 0.005042
-0.30000000 0.00000000 0.90000000 0.005044
0.15000000 0.60000000 1.05000000 0.005044
-0.15000000 -0.30000000 0.90000000 0.005046
0.30000000 0.60000000 1.05000000 0.005056
0.45000000 -0.15000000 0.90000000 0.005056
0.60000000 0.00000000 0.90000000 0.005056
0.60000000 0.60000000 1.05000000 0.005056
0.75000000 -0.15000000 0.90000000 0.005058
0.45000000 0.60000000 1.05000000 0.005066
-0.90000000 0.30000000 1.05000000 0.005071
0.00000000 -0.30000000 0.90000000 0.005077
-0.45000000 0.45000000 1.05000000 0.005081
0.90000000 -0.15000000 0.90000000 0.005081
0.60000000 -0.15000000 0.90000000 0.005083
-0.30000000 -0.30000000 0.90000000 0.005101
0.15000000 -0.30000000 0.90000000 0.005101
0.75000000 0.90000000 1.05000000 0.005103
0.15000000 0.15000000 0.90000000 0.005105
-0.90000000 -0.60000000 1.05000000 0.005109
-0.30000000 0.15000000 0.90000000 0.005112
0.75000000 0.00000000 0.90000000 0.005120
0.45000000 0.00000000 0.90000000 0.005128
0.00000000 0.60000000 1.05000000 0.005130
0.90000000 0.00000000 0.90000000 0.005130
-0.15000000 0.60000000 1.05000000 0.005136
-0.45000000 -0.15000000 0.90000000 0.005136
-0.15000000 -0.45000000 0.90000000 0.005138
-0.60000000 0.45000000 1.05000000 0.005138
0.30000000 -0.30000000 0.90000000 0.005138
0.30000000 0.15000000 0.90000000 0.005138
0.75000000 1.05000000 1.05000000 0.005142
1.05000000 -0.15000000 0.90000000 0.005150
-0.45000000 0.00000000 0.90000000 0.005153
0.45000000 -0.30000000 0.90000000 0.005155
0.60000000 -0.30000000 0.90000000 0.005155
0.90000000 -0.45000000 0.90000000 0.005157
-0.90000000 -0.75000000 1.05000000 0.005163
0.75000000 -0.30000000 0.90000000 0.005165
-0.30000000 -0.45000000 0.90000000 0.005167
0.60000000 0.75000000 1.05000000 0.005167
-0.30000000 -0.75000000 0.90000000 0.005177
1.05000000 -0.30000000 0.90000000 0.005177
0.90000000 -0.30000000 0.90000000 0.005179
1.05000000 -0.45000000 0.90000000 0.005179
0.90000000 0.15000000 0.90000000 0.005181
