//X Y Z Consensus 
0.30000000 0.00000000 1.05000000 0.010943
0.30000000 -0.15000000 1.05000000 0.010947
0.45000000 -0.15000000 1.05000000 0.011326
0.45000000 0.00000000 1.05000000 0.011340
0.30000000 -0.30000000 1.05000000 0.012045
0.15000000 -0.15000000 1.05000000 0.012064
0.30000000 0.15000000 1.05000000 0.012126
0.15000000 0.00000000 1.05000000 0.012204
0.45000000 0.15000000 1.05000000 0.012404
0.60000000 -0.15000000 1.05000000 0.012575
0.45000000 -0.30000000 1.05000000 0.012581
0.60000000 0.00000000 1.05000000 0.012588
0.15000000 -0.30000000 1.05000000 0.013065
0.15000000 0.15000000 1.05000000 0.013476
0.60000000 0.15000000 1.05000000 0.013509
0.60000000 -0.30000000 1.05000000 0.013750
0.30000000 -0.45000000 1.05000000 0.013883
0.75000000 0.00000000 1.05000000 0.014280
0.45000000 -0.45000000 1.05000000 0.014302
0.30000000 0.30000000 1.05000000 0.014316
0.75000000 -0.15000000 1.05000000 0.014317
0.45000000 0.30000000 1.05000000 0.014355
0.15000000 -0.45000000 1.05000000 0.014622
0.45000000 0.00000000 0.90000000 0.014666
0.45000000 -0.15000000 0.90000000 0.014685
0.30000000 -0.15000000 0.90000000 0.014911
0.30000000 0.00000000 0.90000000 0.015044
0.75000000 0.15000000 1.05000000 0.015117
0.60000000 0.30000000 1.05000000 0.015207
0.75000000 -0.30000000 1.05000000 0.015248
0.60000000 -0.45000000 1.05000000 0.015438
0.30000000 -0.60000000 1.05000000 0.015620
0.00000000 -0.15000000 1.05000000 0.015657
0.45000000 -0.30000000 0.90000000 0.015720
0.15000000 0.30000000 1.05000000 0.015737
0.45000000 0.15000000 0.90000000 0.015755
0.60000000 0.00000000 0.90000000 0.015889
0.30000000 -0.30000000 0.90000000 0.015905
0.60000000 -0.15000000 0.90000000 0.015965
0.00000000 0.00000000 1.05000000 0.015994
0.45000000 -0.60000000 1.05000000 0.016196
0.15000000 -0.60000000 1.05000000 0.016332
0.00000000 -0.30000000 1.05000000 0.016376
0.30000000 0.15000000 0.90000000 0.016424
0.75000000 0.30000000 1.05000000 0.016488
0.75000000 -0.45000000 1.05000000 0.016753
0.45000000 0.45000000 1.05000000 0.016792
0.60000000 0.15000000 0.90000000 0.016813
0.30000000 0.45000000 1.05000000 0.016889
0.60000000 -0.30000000 0.90000000 0.016909
0.90000000 -0.15000000 1.05000000 0.017108
0.90000000 0.00000000 1.05000000 0.017125
0.60000000 -0.60000000 1.05000000 0.017169
0.00000000 0.15000000 1.05000000 0.017268
0.60000000 0.45000000 1.05000000 0.017286
0.45000000 -0.45000000 0.90000000 0.017373
0.30000000 -0.75000000 1.05000000 0.017414
0.30000000 -0.45000000 0.90000000 0.017554
0.00000000 -0.45000000 1.05000000 0.017570
0.15000000 -0.15000000 0.90000000 0.017638
0.90000000 0.15000000 1.05000000 0.017659
0.45000000 0.30000000 0.90000000 0.017750
0.45000000 -0.75000000 1.05000000 0.017812
0.90000000 -0.30000000 1.05000000 0.017838
0.15000000 -0.75000000 1.05000000 0.017984
0.15000000 0.00000000 0.90000000 0.018109
0.75000000 -0.60000000 1.05000000 0.018226
0.75000000 0.45000000 1.05000000 0.018231
0.15000000 0.45000000 1.05000000 0.018385
0.15000000 -0.30000000 0.90000000 0.018391
0.60000000 -0.45000000 0.90000000 0.018394
0.60000000 0.30000000 0.90000000 0.018462
0.75000000 0.00000000 0.90000000 0.018497
0.60000000 -0.75000000 1.05000000 0.018552
0.30000000 0.30000000 0.90000000 0.018593
0.75000000 -0.15000000 0.90000000 0.018621
0.90000000 0.30000000 1.05000000 0.018659
0.30000000 -0.90000000 1.05000000 0.018857
0.90000000 -0.45000000 1.05000000 0.019021
