//X Y Z Consensus 
0.00000000 0.00000000 1.05000000 0.005315
0.00000000 0.15000000 1.05000000 0.005399
-0.15000000 0.00000000 1.05000000 0.005440
-0.15000000 0.15000000 1.05000000 0.005596
0.00000000 -0.15000000 1.05000000 0.005677
0.15000000 0.00000000 1.05000000 0.005682
0.15000000 0.15000000 1.05000000 0.005795
-0.15000000 -0.15000000 1.05000000 0.005834
0.15000000 -0.15000000 1.05000000 0.006093
0.00000000 0.30000000 1.05000000 0.006113
-0.30000000 0.00000000 1.05000000 0.006160
-0.15000000 0.30000000 1.05000000 0.006342
-0.30000000 0.15000000 1.05000000 0.006353
0.15000000 0.30000000 1.05000000 0.006468
0.00000000 -0.30000000 1.05000000 0.006536
-0.30000000 -0.15000000 1.05000000 0.006590
-0.15000000 -0.30000000 1.05000000 0.006653
0.30000000 0.00000000 1.05000000 0.006714
0.30000000 0.15000000 1.05000000 0.006742
0.00000000 0.00000000 0.90000000 0.006846
0.15000000 -0.30000000 1.05000000 0.006899
-0.15000000 0.00000000 0.90000000 0.006973
0.00000000 0.15000000 0.90000000 0.006983
0.30000000 -0.15000000 1.05000000 0.007059
-0.30000000 0.30000000 1.05000000 0.007066
0.00000000 0.45000000 1.05000000 0.007209
0.00000000 -0.15000000 0.90000000 0.007236
-0.15000000 0.15000000 0.90000000 0.007263
0.30000000 0.30000000 1.05000000 0.007276
-0.15000000 -0.15000000 0.90000000 0.007316
-0.30000000 -0.30000000 1.05000000 0.007322
0.15000000 0.00000000 0.90000000 0.007367
-0.45000000 0.00000000 1.05000000 0.007375
0.15000000 0.45000000 1.05000000 0.007418
0.00000000 -0.45000000 1.05000000 0.007514
-0.15000000 0.45000000 1.05000000 0.007525
0.15000000 0.15000000 0.90000000 0.007534
-0.45000000 0.15000000 1.05000000 0.007553
-0.15000000 -0.45000000 1.05000000 0.007692
0.30000000 -0.30000000 1.05000000 0.007754
0.15000000 -0.15000000 0.90000000 0.007760
-0.45000000 -0.15000000 1.05000000 0.007782
0.15000000 -0.45000000 1.05000000 0.007861
-0.30000000 0.00000000 0.90000000 0.007886
0.00000000 0.30000000 0.90000000 0.007936
0.45000000 0.00000000 1.05000000 0.007981
0.45000000 0.15000000 1.05000000 0.008011
0.00000000 -0.30000000 0.90000000 0.008085
-0.30000000 0.45000000 1.05000000 0.008112
-0.45000000 0.30000000 1.05000000 0.008112
-0.15000000 -0.30000000 0.90000000 0.008185
0.30000000 0.45000000 1.05000000 0.008198
-0.15000000 0.30000000 0.90000000 0.008205
-0.30000000 -0.15000000 0.90000000 0.008222
-0.30000000 -0.45000000 1.05000000 0.008258
-0.30000000 0.15000000 0.90000000 0.008291
0.45000000 -0.15000000 1.05000000 0.008307
0.15000000 0.30000000 0.90000000 0.008335
0.45000000 0.30000000 1.05000000 0.008338
-0.45000000 -0.30000000 1.05000000 0.008406
0.30000000 0.00000000 0.90000000 0.008469
0.00000000 0.60000000 1.05000000 0.008579
0.30000000 -0.45000000 1.05000000 0.008619
0.30000000 0.15000000 0.90000000 0.008655
0.15000000 -0.30000000 0.90000000 0.008675
0.00000000 -0.60000000 1.05000000 0.008701
-0.15000000 0.60000000 1.05000000 0.008789
0.15000000 0.60000000 1.05000000 0.008797
0.45000000 -0.30000000 1.05000000 0.008810
-0.15000000 -0.60000000 1.05000000 0.008820
0.30000000 -0.15000000 0.90000000 0.008837
-0.30000000 -0.30000000 0.90000000 0.008955
-0.60000000 0.00000000 1.05000000 0.008984
0.15000000 -0.60000000 1.05000000 0.009039
-0.45000000 0.45000000 1.05000000 0.009049
-0.60000000 0.15000000 1.05000000 0.009096
-0.30000000 0.30000000 0.90000000 0.009109
0.45000000 0.45000000 1.05000000 0.009130
-0.45000000 -0.45000000 1.05000000 0.009171
-0.30000000 -0.60000000 1.05000000 0.009256
-0.30000000 0.60000000 1.05000000 0.009309
-0.60000000 -0.15000000 1.05000000 0.009314
0.00000000 0.45000000 0.90000000 0.009324
-0.15000000 -0.45000000 0.90000000 0.009333
0.30000000 0.60000000 1.05000000 0.009363
0.60000000 0.15000000 1.05000000 0.009374
0.30000000 0.30000000 0.90000000 0.009387
0.00000000 -0.45000000 0.90000000 0.009391
0.60000000 0.00000000 1.05000000 0.009419
0.45000000 -0.45000000 1.05000000 0.009447
-0.60000000 0.30000000 1.05000000 0.009464
0.30000000 -0.30000000 0.90000000 0.009504
-0.45000000 0.00000000 0.90000000 0.009547
-0.15000000 0.45000000 0.90000000 0.009554
0.30000000 -0.60000000 1.05000000 0.009559
0.60000000 -0.15000000 1.05000000 0.009615
0.15000000 0.45000000 0.90000000 0.009650
0.60000000 0.30000000 1.05000000 0.009703
-0.60000000 -0.30000000 1.05000000 0.009732
-0.15000000 -0.75000000 1.05000000 0.009771
-0.45000000 0.15000000 0.90000000 0.009805
0.15000000 -0.45000000 0.90000000 0.009813
-0.45000000 -0.15000000 0.90000000 0.009816
0.00000000 -0.75000000 1.05000000 0.009841
-0.30000000 -0.45000000 0.90000000 0.009866
0.00000000 0.75000000 1.05000000 0.009895
0.45000000 0.00000000 0.90000000 0.009903
0.60000000 -0.30000000 1.05000000 0.009925
-0.45000000 0.60000000 1.05000000 0.009988
0.00000000 0.00000000 0.75000000 0.009988
-0.15000000 0.75000000 1.05000000 0.009989
-0.45000000 -0.60000000 1.05000000 0.009993
0.15000000 -0.75000000 1.05000000 0.010011
-0.30000000 -0.75000000 1.05000000 0.010031
0.45000000 -0.15000000 0.90000000 0.010082
0.45000000 0.15000000 0.90000000 0.010093
0.45000000 -0.60000000 1.05000000 0.010151
0.45000000 0.60000000 1.05000000 0.010151
0.15000000 0.75000000 1.05000000 0.010165
-0.60000000 0.45000000 1.05000000 0.010201
0.60000000 0.45000000 1.05000000 0.010247
-0.60000000 -0.45000000 1.05000000 0.010275
-0.45000000 -0.30000000 0.90000000 0.010292
-0.15000000 0.00000000 0.75000000 0.010297
-0.30000000 0.45000000 0.90000000 0.010302
0.00000000 -0.15000000 0.75000000 0.010348
0.30000000 -0.75000000 1.05000000 0.010358
-0.45000000 0.30000000 0.90000000 0.010401
0.00000000 0.15000000 0.75000000 0.010405
-0.30000000 0.75000000 1.05000000 0.010416
0.30000000 0.45000000 0.90000000 0.010442
0.60000000 -0.45000000 1.05000000 0.010442
0.30000000 -0.45000000 0.90000000 0.010469
-0.15000000 -0.90000000 1.05000000 0.010479
0.45000000 -0.30000000 0.90000000 0.010494
-0.15000000 -0.60000000 0.90000000 0.010511
0.00000000 -0.90000000 1.05000000 0.010537
-0.45000000 -0.75000000 1.05000000 0.010542
-0.75000000 0.00000000 1.05000000 0.010555
-0.15000000 -0.15000000 0.75000000 0.010571
0.15000000 0.00000000 0.75000000 0.010600
0.00000000 -0.60000000 0.90000000 0.010605
-0.75000000 0.15000000 1.05000000 0.010608
-0.30000000 -0.90000000 1.05000000 0.010617
0.30000000 0.75000000 1.05000000 0.010619
0.45000000 0.30000000 0.90000000 0.010647
0.75000000 0.15000000 1.05000000 0.010702
0.75000000 0.00000000 1.05000000 0.010708
0.15000000 -0.90000000 1.05000000 0.010765
-0.60000000 -0.60000000 1.05000000 0.010773
-0.75000000 -0.15000000 1.05000000 0.010778
-0.45000000 -0.45000000 0.90000000 0.010805
0.00000000 0.60000000 0.90000000 0.010818
-0.30000000 -0.60000000 0.90000000 0.010834
0.45000000 -0.75000000 1.05000000 0.010853
0.75000000 0.30000000 1.05000000 0.010868
0.75000000 -0.15000000 1.05000000 0.010878
0.60000000 -0.60000000 1.05000000 0.010880
-0.15000000 0.15000000 0.75000000 0.010890
0.15000000 0.15000000 0.75000000 0.010908
-0.75000000 0.30000000 1.05000000 0.010925
-0.30000000 -1.05000000 1.05000000 0.010926
-0.15000000 -1.05000000 1.05000000 0.010939
-0.60000000 0.60000000 1.05000000 0.010969
0.15000000 -0.15000000 0.75000000 0.010971
-0.45000000 0.75000000 1.05000000 0.010983
-0.15000000 0.60000000 0.90000000 0.011007
-0.45000000 -0.90000000 1.05000000 0.011008
0.15000000 -0.60000000 0.90000000 0.011020
0.00000000 -1.05000000 1.05000000 0.011023
0.30000000 -0.90000000 1.05000000 0.011038
0.60000000 0.60000000 1.05000000 0.011044
-0.75000000 -0.30000000 1.05000000 0.011047
0.15000000 0.60000000 0.90000000 0.011056
0.75000000 -0.30000000 1.05000000 0.011102
0.00000000 0.90000000 1.05000000 0.011143
-0.60000000 -0.75000000 1.05000000 0.011173
0.00000000 -0.30000000 0.75000000 0.011220
0.45000000 -0.45000000 0.90000000 0.011244
-0.15000000 0.90000000 1.05000000 0.011245
-0.60000000 0.00000000 0.90000000 0.011256
0.75000000 0.45000000 1.05000000 0.011264
0.15000000 -1.05000000 1.05000000 0.011288
0.45000000 0.75000000 1.05000000 0.011295
0.00000000 0.30000000 0.75000000 0.011297
-0.45000000 0.45000000 0.90000000 0.011315
-0.60000000 -0.15000000 0.90000000 0.011358
-0.60000000 0.15000000 0.90000000 0.011364
0.45000000 -0.90000000 1.05000000 0.011384
-0.75000000 -0.45000000 1.05000000 0.011387
-0.45000000 -1.05000000 1.05000000 0.011391
0.15000000 0.90000000 1.05000000 0.011418
0.60000000 0.00000000 0.90000000 0.011432
-0.15000000 -0.30000000 0.75000000 0.011436
-0.60000000 -0.90000000 1.05000000 0.011437
0.60000000 -0.75000000 1.05000000 0.011456
0.30000000 -0.60000000 0.90000000 0.011457
-0.75000000 0.45000000 1.05000000 0.011461
-0.30000000 0.90000000 1.05000000 0.011470
-0.15000000 -0.75000000 0.90000000 0.011480
0.75000000 -0.45000000 1.05000000 0.011489
-0.45000000 -0.60000000 0.90000000 0.011492
0.60000000 -0.15000000 0.90000000 0.011510
0.45000000 0.45000000 0.90000000 0.011533
0.00000000 -0.75000000 0.90000000 0.011551
-0.30000000 0.00000000 0.75000000 0.011555
0.30000000 -1.05000000 1.05000000 0.011596
-0.60000000 -0.30000000 0.90000000 0.011606
-0.30000000 0.60000000 0.90000000 0.011608
0.60000000 0.15000000 0.90000000 0.011631
-0.30000000 -0.15000000 0.75000000 0.011634
-0.75000000 -0.60000000 1.05000000 0.011649
-0.30000000 -0.75000000 0.90000000 0.011667
-0.15000000 0.30000000 0.75000000 0.011741
0.30000000 0.60000000 0.90000000 0.011759
-0.60000000 -1.05000000 1.05000000 0.011761
0.15000000 -0.30000000 0.75000000 0.011762
0.15000000 0.30000000 0.75000000 0.011767
-0.60000000 0.75000000 1.05000000 0.011791
0.75000000 -0.60000000 1.05000000 0.011807
0.30000000 0.90000000 1.05000000 0.011830
0.60000000 -0.30000000 0.90000000 0.011834
0.75000000 0.60000000 1.05000000 0.011849
