//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.648322
-1.05000000 -1.05000000 -0.90000000 0.648569
-1.05000000 -1.05000000 -0.75000000 0.648814
-1.05000000 -1.05000000 -0.60000000 0.648143
-1.05000000 -1.05000000 -0.45000000 0.646710
-1.05000000 -1.05000000 -0.30000000 0.645174
-1.05000000 -1.05000000 -0.15000000 0.643069
-1.05000000 -1.05000000 0.00000000 0.640179
-1.05000000 -1.05000000 0.15000000 0.636573
-1.05000000 -1.05000000 0.30000000 0.631875
-1.05000000 -1.05000000 0.45000000 0.625616
-1.05000000 -1.05000000 0.60000000 0.617017
-1.05000000 -1.05000000 0.75000000 0.607110
-1.05000000 -1.05000000 0.90000000 0.597097
-1.05000000 -1.05000000 1.05000000 0.586503
-1.05000000 -0.90000000 -1.05000000 0.651582
-1.05000000 -0.90000000 -0.90000000 0.652184
-1.05000000 -0.90000000 -0.75000000 0.652703
-1.05000000 -0.90000000 -0.60000000 0.651973
-1.05000000 -0.90000000 -0.45000000 0.650650
-1.05000000 -0.90000000 -0.30000000 0.649113
-1.05000000 -0.90000000 -0.15000000 0.646941
-1.05000000 -0.90000000 0.00000000 0.643838
-1.05000000 -0.90000000 0.15000000 0.640116
-1.05000000 -0.90000000 0.30000000 0.635332
-1.05000000 -0.90000000 0.45000000 0.629106
-1.05000000 -0.90000000 0.60000000 0.620539
-1.05000000 -0.90000000 0.75000000 0.610681
-1.05000000 -0.90000000 0.90000000 0.600684
-1.05000000 -0.90000000 1.05000000 0.590183
-1.05000000 -0.75000000 -1.05000000 0.654911
-1.05000000 -0.75000000 -0.90000000 0.655783
-1.05000000 -0.75000000 -0.75000000 0.656530
-1.05000000 -0.75000000 -0.60000000 0.655966
-1.05000000 -0.75000000 -0.45000000 0.654451
-1.05000000 -0.75000000 -0.30000000 0.652878
-1.05000000 -0.75000000 -0.15000000 0.650536
-1.05000000 -0.75000000 0.00000000 0.647275
-1.05000000 -0.75000000 0.15000000 0.643384
-1.05000000 -0.75000000 0.30000000 0.638434
-1.05000000 -0.75000000 0.45000000 0.632164
-1.05000000 -0.75000000 0.60000000 0.623764
-1.05000000 -0.75000000 0.75000000 0.613866
-1.05000000 -0.75000000 0.90000000 0.603942
-1.05000000 -0.75000000 1.05000000 0.593424
-1.05000000 -0.60000000 -1.05000000 0.658013
-1.05000000 -0.60000000 -0.90000000 0.659117
-1.05000000 -0.60000000 -0.75000000 0.659946
-1.05000000 -0.60000000 -0.60000000 0.659269
-1.05000000 -0.60000000 -0.45000000 0.657941
-1.05000000 -0.60000000 -0.30000000 0.656038
-1.05000000 -0.60000000 -0.15000000 0.653663
-1.05000000 -0.60000000 0.00000000 0.650432
-1.05000000 -0.60000000 0.15000000 0.646393
-1.05000000 -0.60000000 0.30000000 0.641395
-1.05000000 -0.60000000 0.45000000 0.634963
-1.05000000 -0.60000000 0.60000000 0.626522
-1.05000000 -0.60000000 0.75000000 0.616782
-1.05000000 -0.60000000 0.90000000 0.606782
-1.05000000 -0.60000000 1.05000000 0.596189
-1.05000000 -0.45000000 -1.05000000 0.660401
-1.05000000 -0.45000000 -0.90000000 0.661879
-1.05000000 -0.45000000 -0.75000000 0.662681
-1.05000000 -0.45000000 -0.60000000 0.662193
-1.05000000 -0.45000000 -0.45000000 0.660672
-1.05000000 -0.45000000 -0.30000000 0.658685
-1.05000000 -0.45000000 -0.15000000 0.656300
-1.05000000 -0.45000000 0.00000000 0.652927
