//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.010038
-1.05000000 -1.05000000 -0.90000000 0.011246
-1.05000000 -1.05000000 -0.75000000 0.013873
-1.05000000 -1.05000000 -0.60000000 0.019396
-1.05000000 -1.05000000 -0.45000000 0.025758
-1.05000000 -1.05000000 -0.30000000 0.034759
-1.05000000 -1.05000000 -0.15000000 0.082122
-1.05000000 -1.05000000 0.00000000 0.140151
-1.05000000 -1.05000000 0.15000000 0.093007
-1.05000000 -1.05000000 0.30000000 0.020525
-1.05000000 -1.05000000 0.45000000 0.012471
-1.05000000 -1.05000000 0.60000000 0.010601
-1.05000000 -1.05000000 0.75000000 0.008315
-1.05000000 -1.05000000 0.90000000 0.005954
-1.05000000 -1.05000000 1.05000000 0.004674
-1.05000000 -0.90000000 -1.05000000 0.010254
-1.05000000 -0.90000000 -0.90000000 0.011208
-1.05000000 -0.90000000 -0.75000000 0.012774
-1.05000000 -0.90000000 -0.60000000 0.017034
-1.05000000 -0.90000000 -0.45000000 0.025423
-1.05000000 -0.90000000 -0.30000000 0.037550
-1.05000000 -0.90000000 -0.15000000 0.085910
-1.05000000 -0.90000000 0.00000000 0.144601
-1.05000000 -0.90000000 0.15000000 0.097425
-1.05000000 -0.90000000 0.30000000 0.022130
-1.05000000 -0.90000000 0.45000000 0.012205
-1.05000000 -0.90000000 0.60000000 0.009337
-1.05000000 -0.90000000 0.75000000 0.007269
-1.05000000 -0.90000000 0.90000000 0.005794
-1.05000000 -0.90000000 1.05000000 0.004864
-1.05000000 -0.75000000 -1.05000000 0.011030
-1.05000000 -0.75000000 -0.90000000 0.011437
-1.05000000 -0.75000000 -0.75000000 0.012781
-1.05000000 -0.75000000 -0.60000000 0.015333
-1.05000000 -0.75000000 -0.45000000 0.022950
-1.05000000 -0.75000000 -0.30000000 0.037760
-1.05000000 -0.75000000 -0.15000000 0.090047
-1.05000000 -0.75000000 0.00000000 0.151810
-1.05000000 -0.75000000 0.15000000 0.102601
-1.05000000 -0.75000000 0.30000000 0.022285
-1.05000000 -0.75000000 0.45000000 0.010605
-1.05000000 -0.75000000 0.60000000 0.008399
-1.05000000 -0.75000000 0.75000000 0.007203
-1.05000000 -0.75000000 0.90000000 0.005704
-1.05000000 -0.75000000 1.05000000 0.005086
-1.05000000 -0.60000000 -1.05000000 0.012879
-1.05000000 -0.60000000 -0.90000000 0.011932
-1.05000000 -0.60000000 -0.75000000 0.013046
-1.05000000 -0.60000000 -0.60000000 0.015169
-1.05000000 -0.60000000 -0.45000000 0.020816
-1.05000000 -0.60000000 -0.30000000 0.035724
-1.05000000 -0.60000000 -0.15000000 0.091968
-1.05000000 -0.60000000 0.00000000 0.160141
