//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.784955
-1.05000000 -1.05000000 -0.90000000 0.784300
-1.05000000 -1.05000000 -0.75000000 0.784779
-1.05000000 -1.05000000 -0.60000000 0.785267
-1.05000000 -1.05000000 -0.45000000 0.785897
-1.05000000 -1.05000000 -0.30000000 0.785400
-1.05000000 -1.05000000 -0.15000000 0.783254
-1.05000000 -1.05000000 0.00000000 0.780888
-1.05000000 -1.05000000 0.15000000 0.776032
-1.05000000 -1.05000000 0.30000000 0.766644
-1.05000000 -1.05000000 0.45000000 0.752681
-1.05000000 -1.05000000 0.60000000 0.735441
-1.05000000 -1.05000000 0.75000000 0.718806
-1.05000000 -1.05000000 0.90000000 0.702447
-1.05000000 -1.05000000 1.05000000 0.687184
-1.05000000 -0.90000000 -1.05000000 0.787549
-1.05000000 -0.90000000 -0.90000000 0.787451
-1.05000000 -0.90000000 -0.75000000 0.787633
-1.05000000 -0.90000000 -0.60000000 0.788144
-1.05000000 -0.90000000 -0.45000000 0.788890
-1.05000000 -0.90000000 -0.30000000 0.788286
-1.05000000 -0.90000000 -0.15000000 0.786128
-1.05000000 -0.90000000 0.00000000 0.783488
-1.05000000 -0.90000000 0.15000000 0.778603
-1.05000000 -0.90000000 0.30000000 0.769449
-1.05000000 -0.90000000 0.45000000 0.755740
-1.05000000 -0.90000000 0.60000000 0.738474
-1.05000000 -0.90000000 0.75000000 0.721836
-1.05000000 -0.90000000 0.90000000 0.705529
-1.05000000 -0.90000000 1.05000000 0.690491
-1.05000000 -0.75000000 -1.05000000 0.789528
-1.05000000 -0.75000000 -0.90000000 0.789326
-1.05000000 -0.75000000 -0.75000000 0.789762
-1.05000000 -0.75000000 -0.60000000 0.790386
-1.05000000 -0.75000000 -0.45000000 0.790894
-1.05000000 -0.75000000 -0.30000000 0.789973
-1.05000000 -0.75000000 -0.15000000 0.787812
-1.05000000 -0.75000000 0.00000000 0.784606
-1.05000000 -0.75000000 0.15000000 0.780071
-1.05000000 -0.75000000 0.30000000 0.771809
-1.05000000 -0.75000000 0.45000000 0.758562
-1.05000000 -0.75000000 0.60000000 0.741334
-1.05000000 -0.75000000 0.75000000 0.724557
-1.05000000 -0.75000000 0.90000000 0.708190
-1.05000000 -0.75000000 1.05000000 0.693181
-1.05000000 -0.60000000 -1.05000000 0.790580
-1.05000000 -0.60000000 -0.90000000 0.790242
-1.05000000 -0.60000000 -0.75000000 0.790620
-1.05000000 -0.60000000 -0.60000000 0.791313
-1.05000000 -0.60000000 -0.45000000 0.791348
-1.05000000 -0.60000000 -0.30000000 0.790452
-1.05000000 -0.60000000 -0.15000000 0.787887
-1.05000000 -0.60000000 0.00000000 0.784704
-1.05000000 -0.60000000 0.15000000 0.780747
-1.05000000 -0.60000000 0.30000000 0.773028
-1.05000000 -0.60000000 0.45000000 0.760477
-1.05000000 -0.60000000 0.60000000 0.743772
-1.05000000 -0.60000000 0.75000000 0.727197
-1.05000000 -0.60000000 0.90000000 0.710567
-1.05000000 -0.60000000 1.05000000 0.695292
-1.05000000 -0.45000000 -1.05000000 0.790094
-1.05000000 -0.45000000 -0.90000000 0.789589
-1.05000000 -0.45000000 -0.75000000 0.789843
-1.05000000 -0.45000000 -0.60000000 0.790632
