//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.064876
-1.05000000 -1.05000000 -0.90000000 0.076052
-1.05000000 -1.05000000 -0.75000000 0.094536
-1.05000000 -1.05000000 -0.60000000 0.115418
-1.05000000 -1.05000000 -0.45000000 0.150536
-1.05000000 -1.05000000 -0.30000000 0.319827
-1.05000000 -1.05000000 -0.15000000 0.503576
-1.05000000 -1.05000000 0.00000000 0.484690
-1.05000000 -1.05000000 0.15000000 0.426854
-1.05000000 -1.05000000 0.30000000 0.189645
-1.05000000 -1.05000000 0.45000000 0.109219
-1.05000000 -1.05000000 0.60000000 0.117123
-1.05000000 -1.05000000 0.75000000 0.115254
-1.05000000 -1.05000000 0.90000000 0.099545
-1.05000000 -1.05000000 1.05000000 0.073949
-1.05000000 -0.90000000 -1.05000000 0.065017
-1.05000000 -0.90000000 -0.90000000 0.076555
-1.05000000 -0.90000000 -0.75000000 0.095178
-1.05000000 -0.90000000 -0.60000000 0.115612
-1.05000000 -0.90000000 -0.45000000 0.152390
-1.05000000 -0.90000000 -0.30000000 0.325749
-1.05000000 -0.90000000 -0.15000000 0.514134
-1.05000000 -0.90000000 0.00000000 0.500257
-1.05000000 -0.90000000 0.15000000 0.451546
-1.05000000 -0.90000000 0.30000000 0.209510
-1.05000000 -0.90000000 0.45000000 0.123221
-1.05000000 -0.90000000 0.60000000 0.118550
-1.05000000 -0.90000000 0.75000000 0.105583
-1.05000000 -0.90000000 0.90000000 0.080021
-1.05000000 -0.90000000 1.05000000 0.052033
-1.05000000 -0.75000000 -1.05000000 0.065780
-1.05000000 -0.75000000 -0.90000000 0.077156
-1.05000000 -0.75000000 -0.75000000 0.096368
-1.05000000 -0.75000000 -0.60000000 0.115693
-1.05000000 -0.75000000 -0.45000000 0.153361
-1.05000000 -0.75000000 -0.30000000 0.331711
-1.05000000 -0.75000000 -0.15000000 0.528369
-1.05000000 -0.75000000 0.00000000 0.526287
-1.05000000 -0.75000000 0.15000000 0.479268
-1.05000000 -0.75000000 0.30000000 0.224251
-1.05000000 -0.75000000 0.45000000 0.127022
-1.05000000 -0.75000000 0.60000000 0.110502
-1.05000000 -0.75000000 0.75000000 0.086364
-1.05000000 -0.75000000 0.90000000 0.058192
-1.05000000 -0.75000000 1.05000000 0.036405
-1.05000000 -0.60000000 -1.05000000 0.066109
-1.05000000 -0.60000000 -0.90000000 0.078507
-1.05000000 -0.60000000 -0.75000000 0.097258
-1.05000000 -0.60000000 -0.60000000 0.116219
-1.05000000 -0.60000000 -0.45000000 0.154973
-1.05000000 -0.60000000 -0.30000000 0.339175
-1.05000000 -0.60000000 -0.15000000 0.551207
-1.05000000 -0.60000000 0.00000000 0.555615
-1.05000000 -0.60000000 0.15000000 0.501803
-1.05000000 -0.60000000 0.30000000 0.229855
-1.05000000 -0.60000000 0.45000000 0.120306
-1.05000000 -0.60000000 0.60000000 0.092130
-1.05000000 -0.60000000 0.75000000 0.064986
-1.05000000 -0.60000000 0.90000000 0.041949
-1.05000000 -0.60000000 1.05000000 0.029129
-1.05000000 -0.45000000 -1.05000000 0.066814
-1.05000000 -0.45000000 -0.90000000 0.079926
-1.05000000 -0.45000000 -0.75000000 0.098095
-1.05000000 -0.45000000 -0.60000000 0.117065
-1.05000000 -0.45000000 -0.45000000 0.159594
-1.05000000 -0.45000000 -0.30000000 0.354745
-1.05000000 -0.45000000 -0.15000000 0.577283
-1.05000000 -0.45000000 0.00000000 0.576783
-1.05000000 -0.45000000 0.15000000 0.513475
-1.05000000 -0.45000000 0.30000000 0.226042
-1.05000000 -0.45000000 0.45000000 0.103150
-1.05000000 -0.45000000 0.60000000 0.071921
-1.05000000 -0.45000000 0.75000000 0.049685
-1.05000000 -0.45000000 0.90000000 0.034620
-1.05000000 -0.45000000 1.05000000 0.025926
-1.05000000 -0.30000000 -1.05000000 0.067617
-1.05000000 -0.30000000 -0.90000000 0.081174
-1.05000000 -0.30000000 -0.75000000 0.099297
-1.05000000 -0.30000000 -0.60000000 0.121236
-1.05000000 -0.30000000 -0.45000000 0.173211
-1.05000000 -0.30000000 -0.30000000 0.375329
-1.05000000 -0.30000000 -0.15000000 0.593985
-1.05000000 -0.30000000 0.00000000 0.584236
-1.05000000 -0.30000000 0.15000000 0.511390
-1.05000000 -0.30000000 0.30000000 0.210247
-1.05000000 -0.30000000 0.45000000 0.083562
-1.05000000 -0.30000000 0.60000000 0.057100
-1.05000000 -0.30000000 0.75000000 0.042255
-1.05000000 -0.30000000 0.90000000 0.032119
-1.05000000 -0.30000000 1.05000000 0.024400
-1.05000000 -0.15000000 -1.05000000 0.068810
-1.05000000 -0.15000000 -0.90000000 0.082872
-1.05000000 -0.15000000 -0.75000000 0.103529
-1.05000000 -0.15000000 -0.60000000 0.133877
-1.05000000 -0.15000000 -0.45000000 0.194558
-1.05000000 -0.15000000 -0.30000000 0.389908
-1.05000000 -0.15000000 -0.15000000 0.597720
-1.05000000 -0.15000000 0.00000000 0.578863
-1.05000000 -0.15000000 0.15000000 0.494598
-1.05000000 -0.15000000 0.30000000 0.189957
-1.05000000 -0.15000000 0.45000000 0.069327
-1.05000000 -0.15000000 0.60000000 0.050808
-1.05000000 -0.15000000 0.75000000 0.039687
-1.05000000 -0.15000000 0.90000000 0.031027
-1.05000000 -0.15000000 1.05000000 0.024169
-1.05000000 0.00000000 -1.05000000 0.070711
-1.05000000 0.00000000 -0.90000000 0.086746
-1.05000000 0.00000000 -0.75000000 0.114364
-1.05000000 0.00000000 -0.60000000 0.154198
-1.05000000 0.00000000 -0.45000000 0.211905
-1.05000000 0.00000000 -0.30000000 0.393591
-1.05000000 0.00000000 -0.15000000 0.588982
-1.05000000 0.00000000 0.00000000 0.558128
-1.05000000 0.00000000 0.15000000 0.468237
-1.05000000 0.00000000 0.30000000 0.174505
-1.05000000 0.00000000 0.45000000 0.062571
-1.05000000 0.00000000 0.60000000 0.048879
-1.05000000 0.00000000 0.75000000 0.039294
-1.05000000 0.00000000 0.90000000 0.031434
-1.05000000 0.00000000 1.05000000 0.025157
-1.05000000 0.15000000 -1.05000000 0.074284
-1.05000000 0.15000000 -0.90000000 0.097503
-1.05000000 0.15000000 -0.75000000 0.133134
-1.05000000 0.15000000 -0.60000000 0.172339
-1.05000000 0.15000000 -0.45000000 0.220874
-1.05000000 0.15000000 -0.30000000 0.387797
-1.05000000 0.15000000 -0.15000000 0.567276
-1.05000000 0.15000000 0.00000000 0.527566
-1.05000000 0.15000000 0.15000000 0.444911
-1.05000000 0.15000000 0.30000000 0.166345
-1.05000000 0.15000000 0.45000000 0.060248
-1.05000000 0.15000000 0.60000000 0.048376
-1.05000000 0.15000000 0.75000000 0.040161
-1.05000000 0.15000000 0.90000000 0.033263
-1.05000000 0.15000000 1.05000000 0.026916
-1.05000000 0.30000000 -1.05000000 0.084033
-1.05000000 0.30000000 -0.90000000 0.114919
-1.05000000 0.30000000 -0.75000000 0.150157
-1.05000000 0.30000000 -0.60000000 0.182146
-1.05000000 0.30000000 -0.45000000 0.219239
-1.05000000 0.30000000 -0.30000000 0.371459
-1.05000000 0.30000000 -0.15000000 0.537492
-1.05000000 0.30000000 0.00000000 0.500604
-1.05000000 0.30000000 0.15000000 0.428243
-1.05000000 0.30000000 0.30000000 0.161455
-1.05000000 0.30000000 0.45000000 0.058642
-1.05000000 0.30000000 0.60000000 0.048694
-1.05000000 0.30000000 0.75000000 0.041412
-1.05000000 0.30000000 0.90000000 0.035721
-1.05000000 0.30000000 1.05000000 0.029675
-1.05000000 0.45000000 -1.05000000 0.101094
-1.05000000 0.45000000 -0.90000000 0.131156
-1.05000000 0.45000000 -0.75000000 0.160545
-1.05000000 0.45000000 -0.60000000 0.182559
-1.05000000 0.45000000 -0.45000000 0.207629
-1.05000000 0.45000000 -0.30000000 0.348003
-1.05000000 0.45000000 -0.15000000 0.509784
-1.05000000 0.45000000 0.00000000 0.481709
-1.05000000 0.45000000 0.15000000 0.415461
-1.05000000 0.45000000 0.30000000 0.158433
-1.05000000 0.45000000 0.45000000 0.057672
-1.05000000 0.45000000 0.60000000 0.049754
-1.05000000 0.45000000 0.75000000 0.042769
-1.05000000 0.45000000 0.90000000 0.038017
-1.05000000 0.45000000 1.05000000 0.032783
-1.05000000 0.60000000 -1.05000000 0.116571
-1.05000000 0.60000000 -0.90000000 0.141537
-1.05000000 0.60000000 -0.75000000 0.162780
-1.05000000 0.60000000 -0.60000000 0.173347
-1.05000000 0.60000000 -0.45000000 0.187675
-1.05000000 0.60000000 -0.30000000 0.324576
-1.05000000 0.60000000 -0.15000000 0.490670
-1.05000000 0.60000000 0.00000000 0.469040
-1.05000000 0.60000000 0.15000000 0.405674
-1.05000000 0.60000000 0.30000000 0.156402
-1.05000000 0.60000000 0.45000000 0.056990
-1.05000000 0.60000000 0.60000000 0.050519
-1.05000000 0.60000000 0.75000000 0.044427
-1.05000000 0.60000000 0.90000000 0.040143
-1.05000000 0.60000000 1.05000000 0.035978
-1.05000000 0.75000000 -1.05000000 0.126361
-1.05000000 0.75000000 -0.90000000 0.145862
-1.05000000 0.75000000 -0.75000000 0.154603
-1.05000000 0.75000000 -0.60000000 0.155481
-1.05000000 0.75000000 -0.45000000 0.168523
-1.05000000 0.75000000 -0.30000000 0.307888
-1.05000000 0.75000000 -0.15000000 0.477671
-1.05000000 0.75000000 0.00000000 0.458981
-1.05000000 0.75000000 0.15000000 0.395902
-1.05000000 0.75000000 0.30000000 0.154975
-1.05000000 0.75000000 0.45000000 0.055777
-1.05000000 0.75000000 0.60000000 0.050644
-1.05000000 0.75000000 0.75000000 0.046290
-1.05000000 0.75000000 0.90000000 0.042113
-1.05000000 0.75000000 1.05000000 0.038508
-1.05000000 0.90000000 -1.05000000 0.130656
-1.05000000 0.90000000 -0.90000000 0.139761
-1.05000000 0.90000000 -0.75000000 0.138969
-1.05000000 0.90000000 -0.60000000 0.138192
-1.05000000 0.90000000 -0.45000000 0.155293
-1.05000000 0.90000000 -0.30000000 0.298104
-1.05000000 0.90000000 -0.15000000 0.466815
-1.05000000 0.90000000 0.00000000 0.450694
-1.05000000 0.90000000 0.15000000 0.387736
-1.05000000 0.90000000 0.30000000 0.154785
-1.05000000 0.90000000 0.45000000 0.054526
-1.05000000 0.90000000 0.60000000 0.050274
-1.05000000 0.90000000 0.75000000 0.047423
-1.05000000 0.90000000 0.90000000 0.044187
-1.05000000 0.90000000 1.05000000 0.040840
-1.05000000 1.05000000 -1.05000000 0.126147
-1.05000000 1.05000000 -0.90000000 0.125797
-1.05000000 1.05000000 -0.75000000 0.123108
-1.05000000 1.05000000 -0.60000000 0.125945
-1.05000000 1.05000000 -0.45000000 0.147641
-1.05000000 1.05000000 -0.30000000 0.290741
-1.05000000 1.05000000 -0.15000000 0.458219
-1.05000000 1.05000000 0.00000000 0.443339
-1.05000000 1.05000000 0.15000000 0.380304
-1.05000000 1.05000000 0.30000000 0.154548
-1.05000000 1.05000000 0.45000000 0.053105
-1.05000000 1.05000000 0.60000000 0.049563
-1.05000000 1.05000000 0.75000000 0.047752
-1.05000000 1.05000000 0.90000000 0.046091
-1.05000000 1.05000000 1.05000000 0.042746
-0.90000000 -1.05000000 -1.05000000 0.065277
-0.90000000 -1.05000000 -0.90000000 0.076780
-0.90000000 -1.05000000 -0.75000000 0.095701
-0.90000000 -1.05000000 -0.60000000 0.117232
-0.90000000 -1.05000000 -0.45000000 0.152771
-0.90000000 -1.05000000 -0.30000000 0.324385
-0.90000000 -1.05000000 -0.15000000 0.509622
-0.90000000 -1.05000000 0.00000000 0.489324
-0.90000000 -1.05000000 0.15000000 0.428168
-0.90000000 -1.05000000 0.30000000 0.186103
-0.90000000 -1.05000000 0.45000000 0.105288
-0.90000000 -1.05000000 0.60000000 0.115826
-0.90000000 -1.05000000 0.75000000 0.115730
-0.90000000 -1.05000000 0.90000000 0.101120
-0.90000000 -1.05000000 1.05000000 0.077236
-0.90000000 -0.90000000 -1.05000000 0.065474
-0.90000000 -0.90000000 -0.90000000 0.077427
-0.90000000 -0.90000000 -0.75000000 0.096388
-0.90000000 -0.90000000 -0.60000000 0.117360
-0.90000000 -0.90000000 -0.45000000 0.155076
-0.90000000 -0.90000000 -0.30000000 0.331280
-0.90000000 -0.90000000 -0.15000000 0.520821
-0.90000000 -0.90000000 0.00000000 0.502903
-0.90000000 -0.90000000 0.15000000 0.451497
-0.90000000 -0.90000000 0.30000000 0.206113
-0.90000000 -0.90000000 0.45000000 0.121476
-0.90000000 -0.90000000 0.60000000 0.119445
-0.90000000 -0.90000000 0.75000000 0.107538
-0.90000000 -0.90000000 0.90000000 0.083692
-0.90000000 -0.90000000 1.05000000 0.054696
-0.90000000 -0.75000000 -1.05000000 0.065644
-0.90000000 -0.75000000 -0.90000000 0.078172
-0.90000000 -0.75000000 -0.75000000 0.097298
-0.90000000 -0.75000000 -0.60000000 0.117409
-0.90000000 -0.75000000 -0.45000000 0.156310
-0.90000000 -0.75000000 -0.30000000 0.337529
-0.90000000 -0.75000000 -0.15000000 0.533970
-0.90000000 -0.75000000 0.00000000 0.527748
-0.90000000 -0.75000000 0.15000000 0.480568
-0.90000000 -0.75000000 0.30000000 0.222610
-0.90000000 -0.75000000 0.45000000 0.127441
-0.90000000 -0.75000000 0.60000000 0.113365
-0.90000000 -0.75000000 0.75000000 0.090192
-0.90000000 -0.75000000 0.90000000 0.060687
-0.90000000 -0.75000000 1.05000000 0.036680
-0.90000000 -0.60000000 -1.05000000 0.066274
-0.90000000 -0.60000000 -0.90000000 0.079267
-0.90000000 -0.60000000 -0.75000000 0.098295
-0.90000000 -0.60000000 -0.60000000 0.117695
-0.90000000 -0.60000000 -0.45000000 0.157977
-0.90000000 -0.60000000 -0.30000000 0.344484
-0.90000000 -0.60000000 -0.15000000 0.555361
-0.90000000 -0.60000000 0.00000000 0.558937
-0.90000000 -0.60000000 0.15000000 0.505228
-0.90000000 -0.60000000 0.30000000 0.230158
-0.90000000 -0.60000000 0.45000000 0.123099
-0.90000000 -0.60000000 0.60000000 0.096567
-0.90000000 -0.60000000 0.75000000 0.067975
-0.90000000 -0.60000000 0.90000000 0.042564
-0.90000000 -0.60000000 1.05000000 0.027413
-0.90000000 -0.45000000 -1.05000000 0.066603
-0.90000000 -0.45000000 -0.90000000 0.080463
-0.90000000 -0.45000000 -0.75000000 0.099190
-0.90000000 -0.45000000 -0.60000000 0.118610
-0.90000000 -0.45000000 -0.45000000 0.161013
-0.90000000 -0.45000000 -0.30000000 0.358333
-0.90000000 -0.45000000 -0.15000000 0.583141
-0.90000000 -0.45000000 0.00000000 0.582999
-0.90000000 -0.45000000 0.15000000 0.519816
-0.90000000 -0.45000000 0.30000000 0.228884
-0.90000000 -0.45000000 0.45000000 0.108087
-0.90000000 -0.45000000 0.60000000 0.075243
-0.90000000 -0.45000000 0.75000000 0.050361
-0.90000000 -0.45000000 0.90000000 0.033364
-0.90000000 -0.45000000 1.05000000 0.023485
-0.90000000 -0.30000000 -1.05000000 0.067533
