//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.883468
-1.05000000 -1.05000000 -0.90000000 0.885182
-1.05000000 -1.05000000 -0.75000000 0.887427
-1.05000000 -1.05000000 -0.60000000 0.889542
-1.05000000 -1.05000000 -0.45000000 0.891113
-1.05000000 -1.05000000 -0.30000000 0.892146
-1.05000000 -1.05000000 -0.15000000 0.892681
-1.05000000 -1.05000000 0.00000000 0.892674
-1.05000000 -1.05000000 0.15000000 0.892010
-1.05000000 -1.05000000 0.30000000 0.890230
-1.05000000 -1.05000000 0.45000000 0.885205
-1.05000000 -1.05000000 0.60000000 0.872006
-1.05000000 -1.05000000 0.75000000 0.851325
-1.05000000 -1.05000000 0.90000000 0.828399
-1.05000000 -1.05000000 1.05000000 0.803728
-1.05000000 -0.90000000 -1.05000000 0.884926
-1.05000000 -0.90000000 -0.90000000 0.886517
-1.05000000 -0.90000000 -0.75000000 0.888606
-1.05000000 -0.90000000 -0.60000000 0.890665
-1.05000000 -0.90000000 -0.45000000 0.892246
-1.05000000 -0.90000000 -0.30000000 0.893355
-1.05000000 -0.90000000 -0.15000000 0.894000
-1.05000000 -0.90000000 0.00000000 0.894046
-1.05000000 -0.90000000 0.15000000 0.893591
-1.05000000 -0.90000000 0.30000000 0.891974
-1.05000000 -0.90000000 0.45000000 0.886955
-1.05000000 -0.90000000 0.60000000 0.874002
-1.05000000 -0.90000000 0.75000000 0.852899
-1.05000000 -0.90000000 0.90000000 0.829651
-1.05000000 -0.90000000 1.05000000 0.804731
-1.05000000 -0.75000000 -1.05000000 0.886504
-1.05000000 -0.75000000 -0.90000000 0.887945
-1.05000000 -0.75000000 -0.75000000 0.889948
-1.05000000 -0.75000000 -0.60000000 0.892063
-1.05000000 -0.75000000 -0.45000000 0.893701
-1.05000000 -0.75000000 -0.30000000 0.894720
-1.05000000 -0.75000000 -0.15000000 0.895408
-1.05000000 -0.75000000 0.00000000 0.895365
-1.05000000 -0.75000000 0.15000000 0.894833
-1.05000000 -0.75000000 0.30000000 0.893339
-1.05000000 -0.75000000 0.45000000 0.888699
-1.05000000 -0.75000000 0.60000000 0.875992
-1.05000000 -0.75000000 0.75000000 0.854291
-1.05000000 -0.75000000 0.90000000 0.830597
-1.05000000 -0.75000000 1.05000000 0.805565
-1.05000000 -0.60000000 -1.05000000 0.887706
-1.05000000 -0.60000000 -0.90000000 0.889300
-1.05000000 -0.60000000 -0.75000000 0.891505
-1.05000000 -0.60000000 -0.60000000 0.893196
-1.05000000 -0.60000000 -0.45000000 0.894807
-1.05000000 -0.60000000 -0.30000000 0.896168
-1.05000000 -0.60000000 -0.15000000 0.896666
-1.05000000 -0.60000000 0.00000000 0.896799
-1.05000000 -0.60000000 0.15000000 0.896118
-1.05000000 -0.60000000 0.30000000 0.894737
-1.05000000 -0.60000000 0.45000000 0.890144
-1.05000000 -0.60000000 0.60000000 0.876759
-1.05000000 -0.60000000 0.75000000 0.855221
-1.05000000 -0.60000000 0.90000000 0.831424
-1.05000000 -0.60000000 1.05000000 0.806249
-1.05000000 -0.45000000 -1.05000000 0.888440
-1.05000000 -0.45000000 -0.90000000 0.890057
-1.05000000 -0.45000000 -0.75000000 0.891984
-1.05000000 -0.45000000 -0.60000000 0.893893
-1.05000000 -0.45000000 -0.45000000 0.895185
-1.05000000 -0.45000000 -0.30000000 0.896404
-1.05000000 -0.45000000 -0.15000000 0.897151
-1.05000000 -0.45000000 0.00000000 0.897208
-1.05000000 -0.45000000 0.15000000 0.896657
-1.05000000 -0.45000000 0.30000000 0.895398
-1.05000000 -0.45000000 0.45000000 0.890635
-1.05000000 -0.45000000 0.60000000 0.876845
-1.05000000 -0.45000000 0.75000000 0.855749
-1.05000000 -0.45000000 0.90000000 0.831414
-1.05000000 -0.45000000 1.05000000 0.806206
-1.05000000 -0.30000000 -1.05000000 0.889011
-1.05000000 -0.30000000 -0.90000000 0.890569
-1.05000000 -0.30000000 -0.75000000 0.892465
-1.05000000 -0.30000000 -0.60000000 0.894308
-1.05000000 -0.30000000 -0.45000000 0.895198
-1.05000000 -0.30000000 -0.30000000 0.896424
-1.05000000 -0.30000000 -0.15000000 0.897248
-1.05000000 -0.30000000 0.00000000 0.897444
-1.05000000 -0.30000000 0.15000000 0.897141
-1.05000000 -0.30000000 0.30000000 0.895504
-1.05000000 -0.30000000 0.45000000 0.890575
-1.05000000 -0.30000000 0.60000000 0.876796
-1.05000000 -0.30000000 0.75000000 0.856074
-1.05000000 -0.30000000 0.90000000 0.831607
-1.05000000 -0.30000000 1.05000000 0.805698
-1.05000000 -0.15000000 -1.05000000 0.889788
-1.05000000 -0.15000000 -0.90000000 0.891060
-1.05000000 -0.15000000 -0.75000000 0.892950
-1.05000000 -0.15000000 -0.60000000 0.894445
-1.05000000 -0.15000000 -0.45000000 0.895218
-1.05000000 -0.15000000 -0.30000000 0.896291
-1.05000000 -0.15000000 -0.15000000 0.897327
-1.05000000 -0.15000000 0.00000000 0.897580
-1.05000000 -0.15000000 0.15000000 0.897254
-1.05000000 -0.15000000 0.30000000 0.895561
-1.05000000 -0.15000000 0.45000000 0.890173
-1.05000000 -0.15000000 0.60000000 0.876360
-1.05000000 -0.15000000 0.75000000 0.854965
-1.05000000 -0.15000000 0.90000000 0.831461
-1.05000000 -0.15000000 1.05000000 0.805034
-1.05000000 0.00000000 -1.05000000 0.890087
-1.05000000 0.00000000 -0.90000000 0.891266
-1.05000000 0.00000000 -0.75000000 0.892784
-1.05000000 0.00000000 -0.60000000 0.894169
-1.05000000 0.00000000 -0.45000000 0.895062
-1.05000000 0.00000000 -0.30000000 0.896045
-1.05000000 0.00000000 -0.15000000 0.896932
-1.05000000 0.00000000 0.00000000 0.897148
-1.05000000 0.00000000 0.15000000 0.896623
-1.05000000 0.00000000 0.30000000 0.894740
-1.05000000 0.00000000 0.45000000 0.889459
-1.05000000 0.00000000 0.60000000 0.875235
-1.05000000 0.00000000 0.75000000 0.853773
-1.05000000 0.00000000 0.90000000 0.830378
-1.05000000 0.00000000 1.05000000 0.804416
-1.05000000 0.15000000 -1.05000000 0.890087
-1.05000000 0.15000000 -0.90000000 0.891190
-1.05000000 0.15000000 -0.75000000 0.892701
