//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.791284
-1.05000000 -1.05000000 -0.90000000 0.793236
-1.05000000 -1.05000000 -0.75000000 0.795012
-1.05000000 -1.05000000 -0.60000000 0.796685
-1.05000000 -1.05000000 -0.45000000 0.797631
-1.05000000 -1.05000000 -0.30000000 0.798160
-1.05000000 -1.05000000 -0.15000000 0.797861
-1.05000000 -1.05000000 0.00000000 0.797051
-1.05000000 -1.05000000 0.15000000 0.795257
-1.05000000 -1.05000000 0.30000000 0.791837
-1.05000000 -1.05000000 0.45000000 0.785523
-1.05000000 -1.05000000 0.60000000 0.775332
-1.05000000 -1.05000000 0.75000000 0.762649
-1.05000000 -1.05000000 0.90000000 0.749617
-1.05000000 -1.05000000 1.05000000 0.734491
-1.05000000 -0.90000000 -1.05000000 0.792799
-1.05000000 -0.90000000 -0.90000000 0.794893
-1.05000000 -0.90000000 -0.75000000 0.796648
-1.05000000 -0.90000000 -0.60000000 0.798316
-1.05000000 -0.90000000 -0.45000000 0.799216
-1.05000000 -0.90000000 -0.30000000 0.799896
-1.05000000 -0.90000000 -0.15000000 0.799586
-1.05000000 -0.90000000 0.00000000 0.798780
-1.05000000 -0.90000000 0.15000000 0.797106
-1.05000000 -0.90000000 0.30000000 0.793637
-1.05000000 -0.90000000 0.45000000 0.787204
-1.05000000 -0.90000000 0.60000000 0.777105
-1.05000000 -0.90000000 0.75000000 0.764095
-1.05000000 -0.90000000 0.90000000 0.750911
-1.05000000 -0.90000000 1.05000000 0.735762
-1.05000000 -0.75000000 -1.05000000 0.794023
-1.05000000 -0.75000000 -0.90000000 0.796361
-1.05000000 -0.75000000 -0.75000000 0.798206
-1.05000000 -0.75000000 -0.60000000 0.799724
-1.05000000 -0.75000000 -0.45000000 0.800771
-1.05000000 -0.75000000 -0.30000000 0.801415
-1.05000000 -0.75000000 -0.15000000 0.801185
-1.05000000 -0.75000000 0.00000000 0.800382
-1.05000000 -0.75000000 0.15000000 0.798619
-1.05000000 -0.75000000 0.30000000 0.795104
-1.05000000 -0.75000000 0.45000000 0.788685
-1.05000000 -0.75000000 0.60000000 0.778366
-1.05000000 -0.75000000 0.75000000 0.765218
-1.05000000 -0.75000000 0.90000000 0.751870
-1.05000000 -0.75000000 1.05000000 0.736814
-1.05000000 -0.60000000 -1.05000000 0.795419
-1.05000000 -0.60000000 -0.90000000 0.797590
-1.05000000 -0.60000000 -0.75000000 0.799445
-1.05000000 -0.60000000 -0.60000000 0.800886
-1.05000000 -0.60000000 -0.45000000 0.802023
-1.05000000 -0.60000000 -0.30000000 0.802713
-1.05000000 -0.60000000 -0.15000000 0.802461
-1.05000000 -0.60000000 0.00000000 0.801693
-1.05000000 -0.60000000 0.15000000 0.799763
-1.05000000 -0.60000000 0.30000000 0.796309
-1.05000000 -0.60000000 0.45000000 0.789829
-1.05000000 -0.60000000 0.60000000 0.779433
-1.05000000 -0.60000000 0.75000000 0.766033
-1.05000000 -0.60000000 0.90000000 0.752540
-1.05000000 -0.60000000 1.05000000 0.737387
-1.05000000 -0.45000000 -1.05000000 0.796459
-1.05000000 -0.45000000 -0.90000000 0.798611
-1.05000000 -0.45000000 -0.75000000 0.800487
-1.05000000 -0.45000000 -0.60000000 0.801908
-1.05000000 -0.45000000 -0.45000000 0.803132
-1.05000000 -0.45000000 -0.30000000 0.803639
-1.05000000 -0.45000000 -0.15000000 0.803638
-1.05000000 -0.45000000 0.00000000 0.802815
-1.05000000 -0.45000000 0.15000000 0.800732
-1.05000000 -0.45000000 0.30000000 0.797283
-1.05000000 -0.45000000 0.45000000 0.790556
-1.05000000 -0.45000000 0.60000000 0.779975
-1.05000000 -0.45000000 0.75000000 0.766414
-1.05000000 -0.45000000 0.90000000 0.752891
