//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.032225
-1.05000000 -1.05000000 -0.90000000 0.036209
-1.05000000 -1.05000000 -0.75000000 0.041573
-1.05000000 -1.05000000 -0.60000000 0.051687
-1.05000000 -1.05000000 -0.45000000 0.078016
-1.05000000 -1.05000000 -0.30000000 0.188754
-1.05000000 -1.05000000 -0.15000000 0.455778
-1.05000000 -1.05000000 0.00000000 0.500629
-1.05000000 -1.05000000 0.15000000 0.369075
-1.05000000 -1.05000000 0.30000000 0.094999
-1.05000000 -1.05000000 0.45000000 0.028914
-1.05000000 -1.05000000 0.60000000 0.021790
-1.05000000 -1.05000000 0.75000000 0.014563
-1.05000000 -1.05000000 0.90000000 0.013365
-1.05000000 -1.05000000 1.05000000 0.013095
-1.05000000 -0.90000000 -1.05000000 0.032734
-1.05000000 -0.90000000 -0.90000000 0.036229
-1.05000000 -0.90000000 -0.75000000 0.041986
-1.05000000 -0.90000000 -0.60000000 0.051896
-1.05000000 -0.90000000 -0.45000000 0.077898
-1.05000000 -0.90000000 -0.30000000 0.190130
-1.05000000 -0.90000000 -0.15000000 0.459560
-1.05000000 -0.90000000 0.00000000 0.504124
-1.05000000 -0.90000000 0.15000000 0.371935
-1.05000000 -0.90000000 0.30000000 0.094966
-1.05000000 -0.90000000 0.45000000 0.029009
-1.05000000 -0.90000000 0.60000000 0.020960
-1.05000000 -0.90000000 0.75000000 0.014290
-1.05000000 -0.90000000 0.90000000 0.013659
-1.05000000 -0.90000000 1.05000000 0.013678
-1.05000000 -0.75000000 -1.05000000 0.033642
-1.05000000 -0.75000000 -0.90000000 0.036587
-1.05000000 -0.75000000 -0.75000000 0.042221
-1.05000000 -0.75000000 -0.60000000 0.051616
-1.05000000 -0.75000000 -0.45000000 0.078092
-1.05000000 -0.75000000 -0.30000000 0.191009
-1.05000000 -0.75000000 -0.15000000 0.462152
-1.05000000 -0.75000000 0.00000000 0.506817
-1.05000000 -0.75000000 0.15000000 0.374402
-1.05000000 -0.75000000 0.30000000 0.095298
-1.05000000 -0.75000000 0.45000000 0.029167
-1.05000000 -0.75000000 0.60000000 0.020131
-1.05000000 -0.75000000 0.75000000 0.014665
-1.05000000 -0.75000000 0.90000000 0.014445
-1.05000000 -0.75000000 1.05000000 0.014594
-1.05000000 -0.60000000 -1.05000000 0.034700
-1.05000000 -0.60000000 -0.90000000 0.037342
-1.05000000 -0.60000000 -0.75000000 0.042348
-1.05000000 -0.60000000 -0.60000000 0.051328
-1.05000000 -0.60000000 -0.45000000 0.077856
-1.05000000 -0.60000000 -0.30000000 0.191728
-1.05000000 -0.60000000 -0.15000000 0.463806
-1.05000000 -0.60000000 0.00000000 0.509682
-1.05000000 -0.60000000 0.15000000 0.376382
-1.05000000 -0.60000000 0.30000000 0.095526
-1.05000000 -0.60000000 0.45000000 0.029369
-1.05000000 -0.60000000 0.60000000 0.019268
-1.05000000 -0.60000000 0.75000000 0.015447
-1.05000000 -0.60000000 0.90000000 0.015397
-1.05000000 -0.60000000 1.05000000 0.015417
-1.05000000 -0.45000000 -1.05000000 0.035517
-1.05000000 -0.45000000 -0.90000000 0.038204
-1.05000000 -0.45000000 -0.75000000 0.042619
-1.05000000 -0.45000000 -0.60000000 0.051170
-1.05000000 -0.45000000 -0.45000000 0.077257
-1.05000000 -0.45000000 -0.30000000 0.192001
-1.05000000 -0.45000000 -0.15000000 0.464948
-1.05000000 -0.45000000 0.00000000 0.511917
-1.05000000 -0.45000000 0.15000000 0.378202
-1.05000000 -0.45000000 0.30000000 0.096193
-1.05000000 -0.45000000 0.45000000 0.029337
-1.05000000 -0.45000000 0.60000000 0.018872
-1.05000000 -0.45000000 0.75000000 0.016333
-1.05000000 -0.45000000 0.90000000 0.016317
-1.05000000 -0.45000000 1.05000000 0.015879
-1.05000000 -0.30000000 -1.05000000 0.035723
-1.05000000 -0.30000000 -0.90000000 0.038738
-1.05000000 -0.30000000 -0.75000000 0.043233
-1.05000000 -0.30000000 -0.60000000 0.051595
-1.05000000 -0.30000000 -0.45000000 0.076541
-1.05000000 -0.30000000 -0.30000000 0.192343
-1.05000000 -0.30000000 -0.15000000 0.465606
-1.05000000 -0.30000000 0.00000000 0.513809
-1.05000000 -0.30000000 0.15000000 0.379442
-1.05000000 -0.30000000 0.30000000 0.096746
-1.05000000 -0.30000000 0.45000000 0.029473
-1.05000000 -0.30000000 0.60000000 0.018761
-1.05000000 -0.30000000 0.75000000 0.017145
-1.05000000 -0.30000000 0.90000000 0.016859
-1.05000000 -0.30000000 1.05000000 0.015962
-1.05000000 -0.15000000 -1.05000000 0.035170
-1.05000000 -0.15000000 -0.90000000 0.038691
-1.05000000 -0.15000000 -0.75000000 0.043609
-1.05000000 -0.15000000 -0.60000000 0.052469
-1.05000000 -0.15000000 -0.45000000 0.076158
-1.05000000 -0.15000000 -0.30000000 0.191860
-1.05000000 -0.15000000 -0.15000000 0.465594
-1.05000000 -0.15000000 0.00000000 0.515600
-1.05000000 -0.15000000 0.15000000 0.380564
-1.05000000 -0.15000000 0.30000000 0.097647
-1.05000000 -0.15000000 0.45000000 0.029581
-1.05000000 -0.15000000 0.60000000 0.019293
-1.05000000 -0.15000000 0.75000000 0.017699
-1.05000000 -0.15000000 0.90000000 0.017055
-1.05000000 -0.15000000 1.05000000 0.015665
-1.05000000 0.00000000 -1.05000000 0.034240
-1.05000000 0.00000000 -0.90000000 0.038214
-1.05000000 0.00000000 -0.75000000 0.043639
-1.05000000 0.00000000 -0.60000000 0.053105
-1.05000000 0.00000000 -0.45000000 0.076307
-1.05000000 0.00000000 -0.30000000 0.191353
-1.05000000 0.00000000 -0.15000000 0.464746
-1.05000000 0.00000000 0.00000000 0.516731
-1.05000000 0.00000000 0.15000000 0.381636
-1.05000000 0.00000000 0.30000000 0.098570
-1.05000000 0.00000000 0.45000000 0.029599
-1.05000000 0.00000000 0.60000000 0.019919
-1.05000000 0.00000000 0.75000000 0.017915
-1.05000000 0.00000000 0.90000000 0.016737
-1.05000000 0.00000000 1.05000000 0.015063
-1.05000000 0.15000000 -1.05000000 0.032764
