//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.997508
-1.05000000 -1.05000000 -0.90000000 0.997508
-1.05000000 -1.05000000 -0.75000000 0.997522
-1.05000000 -1.05000000 -0.60000000 0.997544
-1.05000000 -1.05000000 -0.45000000 0.997572
-1.05000000 -1.05000000 -0.30000000 0.997608
-1.05000000 -1.05000000 -0.15000000 0.997615
-1.05000000 -1.05000000 0.00000000 0.997591
-1.05000000 -1.05000000 0.15000000 0.997548
-1.05000000 -1.05000000 0.30000000 0.997477
-1.05000000 -1.05000000 0.45000000 0.997376
-1.05000000 -1.05000000 0.60000000 0.997271
-1.05000000 -1.05000000 0.75000000 0.997155
-1.05000000 -1.05000000 0.90000000 0.997054
-1.05000000 -1.05000000 1.05000000 0.996951
-1.05000000 -0.90000000 -1.05000000 0.997548
-1.05000000 -0.90000000 -0.90000000 0.997544
-1.05000000 -0.90000000 -0.75000000 0.997553
-1.05000000 -0.90000000 -0.60000000 0.997571
-1.05000000 -0.90000000 -0.45000000 0.997593
-1.05000000 -0.90000000 -0.30000000 0.997600
-1.05000000 -0.90000000 -0.15000000 0.997588
-1.05000000 -0.90000000 0.00000000 0.997587
-1.05000000 -0.90000000 0.15000000 0.997566
-1.05000000 -0.90000000 0.30000000 0.997497
-1.05000000 -0.90000000 0.45000000 0.997355
-1.05000000 -0.90000000 0.60000000 0.997273
-1.05000000 -0.90000000 0.75000000 0.997156
-1.05000000 -0.90000000 0.90000000 0.997044
-1.05000000 -0.90000000 1.05000000 0.996945
-1.05000000 -0.75000000 -1.05000000 0.997510
-1.05000000 -0.75000000 -0.90000000 0.997512
-1.05000000 -0.75000000 -0.75000000 0.997519
-1.05000000 -0.75000000 -0.60000000 0.997555
-1.05000000 -0.75000000 -0.45000000 0.997571
-1.05000000 -0.75000000 -0.30000000 0.997606
-1.05000000 -0.75000000 -0.15000000 0.997620
-1.05000000 -0.75000000 0.00000000 0.997591
-1.05000000 -0.75000000 0.15000000 0.997558
-1.05000000 -0.75000000 0.30000000 0.997478
-1.05000000 -0.75000000 0.45000000 0.997364
-1.05000000 -0.75000000 0.60000000 0.997262
-1.05000000 -0.75000000 0.75000000 0.997155
-1.05000000 -0.75000000 0.90000000 0.997056
-1.05000000 -0.75000000 1.05000000 0.996955
-1.05000000 -0.60000000 -1.05000000 0.997548
-1.05000000 -0.60000000 -0.90000000 0.997549
-1.05000000 -0.60000000 -0.75000000 0.997554
-1.05000000 -0.60000000 -0.60000000 0.997575
-1.05000000 -0.60000000 -0.45000000 0.997601
-1.05000000 -0.60000000 -0.30000000 0.997605
-1.05000000 -0.60000000 -0.15000000 0.997585
-1.05000000 -0.60000000 0.00000000 0.997580
-1.05000000 -0.60000000 0.15000000 0.997568
-1.05000000 -0.60000000 0.30000000 0.997489
-1.05000000 -0.60000000 0.45000000 0.997352
-1.05000000 -0.60000000 0.60000000 0.997266
-1.05000000 -0.60000000 0.75000000 0.997151
-1.05000000 -0.60000000 0.90000000 0.997039
-1.05000000 -0.60000000 1.05000000 0.996951
-1.05000000 -0.45000000 -1.05000000 0.997512
-1.05000000 -0.45000000 -0.90000000 0.997516
-1.05000000 -0.45000000 -0.75000000 0.997527
-1.05000000 -0.45000000 -0.60000000 0.997554
-1.05000000 -0.45000000 -0.45000000 0.997577
-1.05000000 -0.45000000 -0.30000000 0.997602
-1.05000000 -0.45000000 -0.15000000 0.997614
-1.05000000 -0.45000000 0.00000000 0.997599
-1.05000000 -0.45000000 0.15000000 0.997546
-1.05000000 -0.45000000 0.30000000 0.997461
-1.05000000 -0.45000000 0.45000000 0.997343
-1.05000000 -0.45000000 0.60000000 0.997244
-1.05000000 -0.45000000 0.75000000 0.997150
-1.05000000 -0.45000000 0.90000000 0.997056
-1.05000000 -0.45000000 1.05000000 0.996961
-1.05000000 -0.30000000 -1.05000000 0.997547
-1.05000000 -0.30000000 -0.90000000 0.997540
-1.05000000 -0.30000000 -0.75000000 0.997549
-1.05000000 -0.30000000 -0.60000000 0.997573
-1.05000000 -0.30000000 -0.45000000 0.997603
-1.05000000 -0.30000000 -0.30000000 0.997601
-1.05000000 -0.30000000 -0.15000000 0.997591
-1.05000000 -0.30000000 0.00000000 0.997576
-1.05000000 -0.30000000 0.15000000 0.997557
-1.05000000 -0.30000000 0.30000000 0.997474
-1.05000000 -0.30000000 0.45000000 0.997353
-1.05000000 -0.30000000 0.60000000 0.997264
-1.05000000 -0.30000000 0.75000000 0.997157
-1.05000000 -0.30000000 0.90000000 0.997043
-1.05000000 -0.30000000 1.05000000 0.996967
-1.05000000 -0.15000000 -1.05000000 0.997501
-1.05000000 -0.15000000 -0.90000000 0.997501
-1.05000000 -0.15000000 -0.75000000 0.997508
-1.05000000 -0.15000000 -0.60000000 0.997534
-1.05000000 -0.15000000 -0.45000000 0.997553
-1.05000000 -0.15000000 -0.30000000 0.997584
-1.05000000 -0.15000000 -0.15000000 0.997597
-1.05000000 -0.15000000 0.00000000 0.997592
-1.05000000 -0.15000000 0.15000000 0.997534
