//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.000000
-1.05000000 -1.05000000 -0.90000000 0.000000
-1.05000000 -1.05000000 -0.75000000 0.000399
-1.05000000 -1.05000000 -0.60000000 0.035020
-1.05000000 -1.05000000 -0.45000000 0.397193
-1.05000000 -1.05000000 -0.30000000 0.948010
-1.05000000 -1.05000000 -0.15000000 0.980362
-1.05000000 -1.05000000 0.00000000 0.915810
-1.05000000 -1.05000000 0.15000000 0.397228
-1.05000000 -1.05000000 0.30000000 0.008261
-1.05000000 -1.05000000 0.45000000 0.000290
-1.05000000 -1.05000000 0.60000000 0.000207
-1.05000000 -1.05000000 0.75000000 0.000109
-1.05000000 -1.05000000 0.90000000 0.000016
-1.05000000 -1.05000000 1.05000000 0.000000
-1.05000000 -0.90000000 -1.05000000 0.000000
-1.05000000 -0.90000000 -0.90000000 0.000000
-1.05000000 -0.90000000 -0.75000000 0.000376
-1.05000000 -0.90000000 -0.60000000 0.035372
-1.05000000 -0.90000000 -0.45000000 0.404967
-1.05000000 -0.90000000 -0.30000000 0.952482
-1.05000000 -0.90000000 -0.15000000 0.981812
-1.05000000 -0.90000000 0.00000000 0.916085
-1.05000000 -0.90000000 0.15000000 0.388189
-1.05000000 -0.90000000 0.30000000 0.007273
-1.05000000 -0.90000000 0.45000000 0.000277
-1.05000000 -0.90000000 0.60000000 0.000211
-1.05000000 -0.90000000 0.75000000 0.000114
-1.05000000 -0.90000000 0.90000000 0.000019
-1.05000000 -0.90000000 1.05000000 0.000000
-1.05000000 -0.75000000 -1.05000000 0.000000
-1.05000000 -0.75000000 -0.90000000 0.000000
-1.05000000 -0.75000000 -0.75000000 0.000376
-1.05000000 -0.75000000 -0.60000000 0.035999
-1.05000000 -0.75000000 -0.45000000 0.413260
-1.05000000 -0.75000000 -0.30000000 0.956557
-1.05000000 -0.75000000 -0.15000000 0.983166
-1.05000000 -0.75000000 0.00000000 0.916693
-1.05000000 -0.75000000 0.15000000 0.379515
-1.05000000 -0.75000000 0.30000000 0.006486
-1.05000000 -0.75000000 0.45000000 0.000271
-1.05000000 -0.75000000 0.60000000 0.000218
-1.05000000 -0.75000000 0.75000000 0.000114
-1.05000000 -0.75000000 0.90000000 0.000021
-1.05000000 -0.75000000 1.05000000 0.000000
-1.05000000 -0.60000000 -1.05000000 0.000000
-1.05000000 -0.60000000 -0.90000000 0.000000
-1.05000000 -0.60000000 -0.75000000 0.000424
-1.05000000 -0.60000000 -0.60000000 0.036543
-1.05000000 -0.60000000 -0.45000000 0.421257
-1.05000000 -0.60000000 -0.30000000 0.960666
-1.05000000 -0.60000000 -0.15000000 0.984563
-1.05000000 -0.60000000 0.00000000 0.916764
-1.05000000 -0.60000000 0.15000000 0.370119
-1.05000000 -0.60000000 0.30000000 0.005702
-1.05000000 -0.60000000 0.45000000 0.000264
-1.05000000 -0.60000000 0.60000000 0.000222
-1.05000000 -0.60000000 0.75000000 0.000109
-1.05000000 -0.60000000 0.90000000 0.000019
-1.05000000 -0.60000000 1.05000000 0.000000
-1.05000000 -0.45000000 -1.05000000 0.000000
-1.05000000 -0.45000000 -0.90000000 0.000000
-1.05000000 -0.45000000 -0.75000000 0.000462
-1.05000000 -0.45000000 -0.60000000 0.037302
-1.05000000 -0.45000000 -0.45000000 0.429980
-1.05000000 -0.45000000 -0.30000000 0.964275
-1.05000000 -0.45000000 -0.15000000 0.986019
-1.05000000 -0.45000000 0.00000000 0.917027
-1.05000000 -0.45000000 0.15000000 0.360900
