//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.006779
-1.05000000 -1.05000000 -0.90000000 0.008290
-1.05000000 -1.05000000 -0.75000000 0.009593
-1.05000000 -1.05000000 -0.60000000 0.011071
-1.05000000 -1.05000000 -0.45000000 0.017125
-1.05000000 -1.05000000 -0.30000000 0.055464
-1.05000000 -1.05000000 -0.15000000 0.187199
-1.05000000 -1.05000000 0.00000000 0.309243
-1.05000000 -1.05000000 0.15000000 0.338902
-1.05000000 -1.05000000 0.30000000 0.236300
-1.05000000 -1.05000000 0.45000000 0.130357
-1.05000000 -1.05000000 0.60000000 0.067640
-1.05000000 -1.05000000 0.75000000 0.047216
-1.05000000 -1.05000000 0.90000000 0.045969
-1.05000000 -1.05000000 1.05000000 0.054502
-1.05000000 -0.90000000 -1.05000000 0.006619
-1.05000000 -0.90000000 -0.90000000 0.008004
-1.05000000 -0.90000000 -0.75000000 0.009336
-1.05000000 -0.90000000 -0.60000000 0.010789
-1.05000000 -0.90000000 -0.45000000 0.015601
-1.05000000 -0.90000000 -0.30000000 0.055019
-1.05000000 -0.90000000 -0.15000000 0.193997
-1.05000000 -0.90000000 0.00000000 0.313981
-1.05000000 -0.90000000 0.15000000 0.341092
-1.05000000 -0.90000000 0.30000000 0.231312
-1.05000000 -0.90000000 0.45000000 0.128501
-1.05000000 -0.90000000 0.60000000 0.066844
-1.05000000 -0.90000000 0.75000000 0.046443
-1.05000000 -0.90000000 0.90000000 0.045666
-1.05000000 -0.90000000 1.05000000 0.054151
-1.05000000 -0.75000000 -1.05000000 0.006610
-1.05000000 -0.75000000 -0.90000000 0.007919
-1.05000000 -0.75000000 -0.75000000 0.009443
-1.05000000 -0.75000000 -0.60000000 0.010701
-1.05000000 -0.75000000 -0.45000000 0.015374
-1.05000000 -0.75000000 -0.30000000 0.054869
-1.05000000 -0.75000000 -0.15000000 0.200597
-1.05000000 -0.75000000 0.00000000 0.318722
-1.05000000 -0.75000000 0.15000000 0.343058
-1.05000000 -0.75000000 0.30000000 0.224985
-1.05000000 -0.75000000 0.45000000 0.126617
-1.05000000 -0.75000000 0.60000000 0.066126
-1.05000000 -0.75000000 0.75000000 0.046008
-1.05000000 -0.75000000 0.90000000 0.045380
-1.05000000 -0.75000000 1.05000000 0.054352
-1.05000000 -0.60000000 -1.05000000 0.006506
-1.05000000 -0.60000000 -0.90000000 0.007893
-1.05000000 -0.60000000 -0.75000000 0.009564
-1.05000000 -0.60000000 -0.60000000 0.011010
-1.05000000 -0.60000000 -0.45000000 0.016202
-1.05000000 -0.60000000 -0.30000000 0.056939
-1.05000000 -0.60000000 -0.15000000 0.206124
-1.05000000 -0.60000000 0.00000000 0.321137
-1.05000000 -0.60000000 0.15000000 0.342249
-1.05000000 -0.60000000 0.30000000 0.219347
-1.05000000 -0.60000000 0.45000000 0.125278
-1.05000000 -0.60000000 0.60000000 0.064995
-1.05000000 -0.60000000 0.75000000 0.046063
-1.05000000 -0.60000000 0.90000000 0.045273
-1.05000000 -0.60000000 1.05000000 0.054265
-1.05000000 -0.45000000 -1.05000000 0.006499
-1.05000000 -0.45000000 -0.90000000 0.007630
-1.05000000 -0.45000000 -0.75000000 0.009632
-1.05000000 -0.45000000 -0.60000000 0.011585
-1.05000000 -0.45000000 -0.45000000 0.017106
-1.05000000 -0.45000000 -0.30000000 0.060897
-1.05000000 -0.45000000 -0.15000000 0.208636
-1.05000000 -0.45000000 0.00000000 0.321822
-1.05000000 -0.45000000 0.15000000 0.340127
-1.05000000 -0.45000000 0.30000000 0.215515
-1.05000000 -0.45000000 0.45000000 0.124131
-1.05000000 -0.45000000 0.60000000 0.064624
-1.05000000 -0.45000000 0.75000000 0.046222
-1.05000000 -0.45000000 0.90000000 0.045686
-1.05000000 -0.45000000 1.05000000 0.054781
-1.05000000 -0.30000000 -1.05000000 0.006834
-1.05000000 -0.30000000 -0.90000000 0.007770
-1.05000000 -0.30000000 -0.75000000 0.010015
-1.05000000 -0.30000000 -0.60000000 0.012563
-1.05000000 -0.30000000 -0.45000000 0.018519
-1.05000000 -0.30000000 -0.30000000 0.066184
-1.05000000 -0.30000000 -0.15000000 0.209322
-1.05000000 -0.30000000 0.00000000 0.321247
-1.05000000 -0.30000000 0.15000000 0.337190
-1.05000000 -0.30000000 0.30000000 0.217153
-1.05000000 -0.30000000 0.45000000 0.123556
-1.05000000 -0.30000000 0.60000000 0.065018
-1.05000000 -0.30000000 0.75000000 0.046683
-1.05000000 -0.30000000 0.90000000 0.045917
-1.05000000 -0.30000000 1.05000000 0.054453
-1.05000000 -0.15000000 -1.05000000 0.006912
-1.05000000 -0.15000000 -0.90000000 0.007935
-1.05000000 -0.15000000 -0.75000000 0.010431
-1.05000000 -0.15000000 -0.60000000 0.013544
-1.05000000 -0.15000000 -0.45000000 0.020560
-1.05000000 -0.15000000 -0.30000000 0.072540
-1.05000000 -0.15000000 -0.15000000 0.207973
-1.05000000 -0.15000000 0.00000000 0.319444
-1.05000000 -0.15000000 0.15000000 0.331714
-1.05000000 -0.15000000 0.30000000 0.217995
-1.05000000 -0.15000000 0.45000000 0.123065
-1.05000000 -0.15000000 0.60000000 0.065079
-1.05000000 -0.15000000 0.75000000 0.046758
-1.05000000 -0.15000000 0.90000000 0.046186
-1.05000000 -0.15000000 1.05000000 0.054833
-1.05000000 0.00000000 -1.05000000 0.006983
-1.05000000 0.00000000 -0.90000000 0.008101
-1.05000000 0.00000000 -0.75000000 0.010616
-1.05000000 0.00000000 -0.60000000 0.014584
-1.05000000 0.00000000 -0.45000000 0.023316
-1.05000000 0.00000000 -0.30000000 0.077477
-1.05000000 0.00000000 -0.15000000 0.206283
-1.05000000 0.00000000 0.00000000 0.315937
-1.05000000 0.00000000 0.15000000 0.326125
-1.05000000 0.00000000 0.30000000 0.219613
-1.05000000 0.00000000 0.45000000 0.124166
-1.05000000 0.00000000 0.60000000 0.065213
-1.05000000 0.00000000 0.75000000 0.046982
-1.05000000 0.00000000 0.90000000 0.045657
-1.05000000 0.00000000 1.05000000 0.054762
-1.05000000 0.15000000 -1.05000000 0.007104
-1.05000000 0.15000000 -0.90000000 0.008215
-1.05000000 0.15000000 -0.75000000 0.011335
-1.05000000 0.15000000 -0.60000000 0.015728
-1.05000000 0.15000000 -0.45000000 0.025064
-1.05000000 0.15000000 -0.30000000 0.081493
-1.05000000 0.15000000 -0.15000000 0.204308
-1.05000000 0.15000000 0.00000000 0.311459
-1.05000000 0.15000000 0.15000000 0.320613
-1.05000000 0.15000000 0.30000000 0.220666
-1.05000000 0.15000000 0.45000000 0.124956
-1.05000000 0.15000000 0.60000000 0.065989
-1.05000000 0.15000000 0.75000000 0.047623
-1.05000000 0.15000000 0.90000000 0.046125
-1.05000000 0.15000000 1.05000000 0.054512
-1.05000000 0.30000000 -1.05000000 0.007315
-1.05000000 0.30000000 -0.90000000 0.008628
-1.05000000 0.30000000 -0.75000000 0.011582
-1.05000000 0.30000000 -0.60000000 0.017174
-1.05000000 0.30000000 -0.45000000 0.026611
-1.05000000 0.30000000 -0.30000000 0.084249
-1.05000000 0.30000000 -0.15000000 0.202907
-1.05000000 0.30000000 0.00000000 0.307843
-1.05000000 0.30000000 0.15000000 0.315317
-1.05000000 0.30000000 0.30000000 0.219987
-1.05000000 0.30000000 0.45000000 0.125713
-1.05000000 0.30000000 0.60000000 0.066906
-1.05000000 0.30000000 0.75000000 0.047506
-1.05000000 0.30000000 0.90000000 0.046752
-1.05000000 0.30000000 1.05000000 0.054989
-1.05000000 0.45000000 -1.05000000 0.007773
-1.05000000 0.45000000 -0.90000000 0.008871
-1.05000000 0.45000000 -0.75000000 0.011838
-1.05000000 0.45000000 -0.60000000 0.018659
-1.05000000 0.45000000 -0.45000000 0.028405
-1.05000000 0.45000000 -0.30000000 0.087625
-1.05000000 0.45000000 -0.15000000 0.200418
-1.05000000 0.45000000 0.00000000 0.303761
-1.05000000 0.45000000 0.15000000 0.310185
-1.05000000 0.45000000 0.30000000 0.219308
-1.05000000 0.45000000 0.45000000 0.125249
-1.05000000 0.45000000 0.60000000 0.067530
-1.05000000 0.45000000 0.75000000 0.047905
-1.05000000 0.45000000 0.90000000 0.046333
-1.05000000 0.45000000 1.05000000 0.054996
-1.05000000 0.60000000 -1.05000000 0.008420
-1.05000000 0.60000000 -0.90000000 0.009482
-1.05000000 0.60000000 -0.75000000 0.011796
-1.05000000 0.60000000 -0.60000000 0.019244
-1.05000000 0.60000000 -0.45000000 0.030601
-1.05000000 0.60000000 -0.30000000 0.089110
-1.05000000 0.60000000 -0.15000000 0.198439
-1.05000000 0.60000000 0.00000000 0.299065
-1.05000000 0.60000000 0.15000000 0.306523
-1.05000000 0.60000000 0.30000000 0.218573
-1.05000000 0.60000000 0.45000000 0.126045
-1.05000000 0.60000000 0.60000000 0.068660
-1.05000000 0.60000000 0.75000000 0.048026
-1.05000000 0.60000000 0.90000000 0.046225
-1.05000000 0.60000000 1.05000000 0.054505
-1.05000000 0.75000000 -1.05000000 0.009099
-1.05000000 0.75000000 -0.90000000 0.010067
-1.05000000 0.75000000 -0.75000000 0.013070
-1.05000000 0.75000000 -0.60000000 0.019731
-1.05000000 0.75000000 -0.45000000 0.032886
-1.05000000 0.75000000 -0.30000000 0.090270
-1.05000000 0.75000000 -0.15000000 0.195969
-1.05000000 0.75000000 0.00000000 0.295933
-1.05000000 0.75000000 0.15000000 0.302240
-1.05000000 0.75000000 0.30000000 0.219213
-1.05000000 0.75000000 0.45000000 0.126584
-1.05000000 0.75000000 0.60000000 0.069674
-1.05000000 0.75000000 0.75000000 0.048672
-1.05000000 0.75000000 0.90000000 0.046193
-1.05000000 0.75000000 1.05000000 0.054326
-1.05000000 0.90000000 -1.05000000 0.009531
-1.05000000 0.90000000 -0.90000000 0.010600
-1.05000000 0.90000000 -0.75000000 0.014399
-1.05000000 0.90000000 -0.60000000 0.020131
-1.05000000 0.90000000 -0.45000000 0.034777
-1.05000000 0.90000000 -0.30000000 0.090774
