//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.834171
-1.05000000 -1.05000000 -0.90000000 0.834402
-1.05000000 -1.05000000 -0.75000000 0.834200
-1.05000000 -1.05000000 -0.60000000 0.834135
-1.05000000 -1.05000000 -0.45000000 0.833669
-1.05000000 -1.05000000 -0.30000000 0.832566
-1.05000000 -1.05000000 -0.15000000 0.831554
-1.05000000 -1.05000000 0.00000000 0.831117
-1.05000000 -1.05000000 0.15000000 0.829655
-1.05000000 -1.05000000 0.30000000 0.826423
-1.05000000 -1.05000000 0.45000000 0.819220
-1.05000000 -1.05000000 0.60000000 0.806783
-1.05000000 -1.05000000 0.75000000 0.789534
-1.05000000 -1.05000000 0.90000000 0.768998
-1.05000000 -1.05000000 1.05000000 0.747413
-1.05000000 -0.90000000 -1.05000000 0.834514
-1.05000000 -0.90000000 -0.90000000 0.834747
-1.05000000 -0.90000000 -0.75000000 0.834503
-1.05000000 -0.90000000 -0.60000000 0.834370
-1.05000000 -0.90000000 -0.45000000 0.833850
-1.05000000 -0.90000000 -0.30000000 0.832751
-1.05000000 -0.90000000 -0.15000000 0.831709
-1.05000000 -0.90000000 0.00000000 0.831326
-1.05000000 -0.90000000 0.15000000 0.829784
-1.05000000 -0.90000000 0.30000000 0.826463
-1.05000000 -0.90000000 0.45000000 0.819186
-1.05000000 -0.90000000 0.60000000 0.806690
-1.05000000 -0.90000000 0.75000000 0.789257
-1.05000000 -0.90000000 0.90000000 0.768675
-1.05000000 -0.90000000 1.05000000 0.747168
-1.05000000 -0.75000000 -1.05000000 0.834704
-1.05000000 -0.75000000 -0.90000000 0.835008
-1.05000000 -0.75000000 -0.75000000 0.834862
-1.05000000 -0.75000000 -0.60000000 0.834639
-1.05000000 -0.75000000 -0.45000000 0.834094
-1.05000000 -0.75000000 -0.30000000 0.832957
-1.05000000 -0.75000000 -0.15000000 0.831937
-1.05000000 -0.75000000 0.00000000 0.831363
-1.05000000 -0.75000000 0.15000000 0.829904
-1.05000000 -0.75000000 0.30000000 0.826508
-1.05000000 -0.75000000 0.45000000 0.819197
-1.05000000 -0.75000000 0.60000000 0.806476
-1.05000000 -0.75000000 0.75000000 0.789039
-1.05000000 -0.75000000 0.90000000 0.768452
-1.05000000 -0.75000000 1.05000000 0.746940
-1.05000000 -0.60000000 -1.05000000 0.834863
-1.05000000 -0.60000000 -0.90000000 0.835088
-1.05000000 -0.60000000 -0.75000000 0.835125
-1.05000000 -0.60000000 -0.60000000 0.834816
-1.05000000 -0.60000000 -0.45000000 0.834287
-1.05000000 -0.60000000 -0.30000000 0.833107
-1.05000000 -0.60000000 -0.15000000 0.832023
-1.05000000 -0.60000000 0.00000000 0.831596
-1.05000000 -0.60000000 0.15000000 0.830122
-1.05000000 -0.60000000 0.30000000 0.826610
-1.05000000 -0.60000000 0.45000000 0.819088
-1.05000000 -0.60000000 0.60000000 0.806332
-1.05000000 -0.60000000 0.75000000 0.788916
-1.05000000 -0.60000000 0.90000000 0.768152
-1.05000000 -0.60000000 1.05000000 0.746734
-1.05000000 -0.45000000 -1.05000000 0.834993
-1.05000000 -0.45000000 -0.90000000 0.835202
-1.05000000 -0.45000000 -0.75000000 0.835270
-1.05000000 -0.45000000 -0.60000000 0.835006
-1.05000000 -0.45000000 -0.45000000 0.834391
