//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.002186
-1.05000000 -1.05000000 -0.90000000 0.002431
-1.05000000 -1.05000000 -0.75000000 0.003122
-1.05000000 -1.05000000 -0.60000000 0.004980
-1.05000000 -1.05000000 -0.45000000 0.011925
-1.05000000 -1.05000000 -0.30000000 0.027590
-1.05000000 -1.05000000 -0.15000000 0.055141
-1.05000000 -1.05000000 0.00000000 0.094980
-1.05000000 -1.05000000 0.15000000 0.093923
-1.05000000 -1.05000000 0.30000000 0.054500
-1.05000000 -1.05000000 0.45000000 0.028526
-1.05000000 -1.05000000 0.60000000 0.018507
-1.05000000 -1.05000000 0.75000000 0.014702
-1.05000000 -1.05000000 0.90000000 0.013246
-1.05000000 -1.05000000 1.05000000 0.014421
-1.05000000 -0.90000000 -1.05000000 0.002157
-1.05000000 -0.90000000 -0.90000000 0.002467
-1.05000000 -0.90000000 -0.75000000 0.003116
-1.05000000 -0.90000000 -0.60000000 0.004930
-1.05000000 -0.90000000 -0.45000000 0.011665
-1.05000000 -0.90000000 -0.30000000 0.027283
-1.05000000 -0.90000000 -0.15000000 0.056162
-1.05000000 -0.90000000 0.00000000 0.096832
-1.05000000 -0.90000000 0.15000000 0.093792
-1.05000000 -0.90000000 0.30000000 0.053373
-1.05000000 -0.90000000 0.45000000 0.028062
-1.05000000 -0.90000000 0.60000000 0.018544
-1.05000000 -0.90000000 0.75000000 0.014605
-1.05000000 -0.90000000 0.90000000 0.013145
-1.05000000 -0.90000000 1.05000000 0.014344
-1.05000000 -0.75000000 -1.05000000 0.002156
-1.05000000 -0.75000000 -0.90000000 0.002449
-1.05000000 -0.75000000 -0.75000000 0.003112
-1.05000000 -0.75000000 -0.60000000 0.004922
-1.05000000 -0.75000000 -0.45000000 0.011621
-1.05000000 -0.75000000 -0.30000000 0.026929
-1.05000000 -0.75000000 -0.15000000 0.057104
-1.05000000 -0.75000000 0.00000000 0.098964
-1.05000000 -0.75000000 0.15000000 0.093334
-1.05000000 -0.75000000 0.30000000 0.052368
-1.05000000 -0.75000000 0.45000000 0.027917
-1.05000000 -0.75000000 0.60000000 0.018546
-1.05000000 -0.75000000 0.75000000 0.014529
-1.05000000 -0.75000000 0.90000000 0.013117
-1.05000000 -0.75000000 1.05000000 0.014305
-1.05000000 -0.60000000 -1.05000000 0.002172
-1.05000000 -0.60000000 -0.90000000 0.002432
-1.05000000 -0.60000000 -0.75000000 0.003078
-1.05000000 -0.60000000 -0.60000000 0.004917
-1.05000000 -0.60000000 -0.45000000 0.011558
-1.05000000 -0.60000000 -0.30000000 0.026606
-1.05000000 -0.60000000 -0.15000000 0.058348
-1.05000000 -0.60000000 0.00000000 0.100720
-1.05000000 -0.60000000 0.15000000 0.092584
-1.05000000 -0.60000000 0.30000000 0.051170
-1.05000000 -0.60000000 0.45000000 0.027736
-1.05000000 -0.60000000 0.60000000 0.018601
-1.05000000 -0.60000000 0.75000000 0.014455
-1.05000000 -0.60000000 0.90000000 0.013001
-1.05000000 -0.60000000 1.05000000 0.014256
-1.05000000 -0.45000000 -1.05000000 0.002169
-1.05000000 -0.45000000 -0.90000000 0.002441
-1.05000000 -0.45000000 -0.75000000 0.003087
-1.05000000 -0.45000000 -0.60000000 0.004994
-1.05000000 -0.45000000 -0.45000000 0.011629
-1.05000000 -0.45000000 -0.30000000 0.026639
-1.05000000 -0.45000000 -0.15000000 0.059360
-1.05000000 -0.45000000 0.00000000 0.101830
-1.05000000 -0.45000000 0.15000000 0.091941
-1.05000000 -0.45000000 0.30000000 0.050631
-1.05000000 -0.45000000 0.45000000 0.027730
-1.05000000 -0.45000000 0.60000000 0.018557
-1.05000000 -0.45000000 0.75000000 0.014348
-1.05000000 -0.45000000 0.90000000 0.012975
-1.05000000 -0.45000000 1.05000000 0.014265
-1.05000000 -0.30000000 -1.05000000 0.002201
-1.05000000 -0.30000000 -0.90000000 0.002408
-1.05000000 -0.30000000 -0.75000000 0.003018
-1.05000000 -0.30000000 -0.60000000 0.005016
-1.05000000 -0.30000000 -0.45000000 0.011789
-1.05000000 -0.30000000 -0.30000000 0.026922
-1.05000000 -0.30000000 -0.15000000 0.060461
-1.05000000 -0.30000000 0.00000000 0.102307
-1.05000000 -0.30000000 0.15000000 0.090906
