//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.012998
-1.05000000 -1.05000000 -0.90000000 0.019482
-1.05000000 -1.05000000 -0.75000000 0.035934
-1.05000000 -1.05000000 -0.60000000 0.085889
-1.05000000 -1.05000000 -0.45000000 0.207761
-1.05000000 -1.05000000 -0.30000000 0.432912
-1.05000000 -1.05000000 -0.15000000 0.650808
-1.05000000 -1.05000000 0.00000000 0.613082
-1.05000000 -1.05000000 0.15000000 0.429904
-1.05000000 -1.05000000 0.30000000 0.144072
-1.05000000 -1.05000000 0.45000000 0.019197
-1.05000000 -1.05000000 0.60000000 0.010395
-1.05000000 -1.05000000 0.75000000 0.006770
-1.05000000 -1.05000000 0.90000000 0.005070
-1.05000000 -1.05000000 1.05000000 0.003926
-1.05000000 -0.90000000 -1.05000000 0.012920
-1.05000000 -0.90000000 -0.90000000 0.019481
-1.05000000 -0.90000000 -0.75000000 0.036094
-1.05000000 -0.90000000 -0.60000000 0.085357
-1.05000000 -0.90000000 -0.45000000 0.207004
-1.05000000 -0.90000000 -0.30000000 0.434297
-1.05000000 -0.90000000 -0.15000000 0.655814
-1.05000000 -0.90000000 0.00000000 0.617316
-1.05000000 -0.90000000 0.15000000 0.431646
-1.05000000 -0.90000000 0.30000000 0.141647
-1.05000000 -0.90000000 0.45000000 0.017248
-1.05000000 -0.90000000 0.60000000 0.008980
-1.05000000 -0.90000000 0.75000000 0.006664
-1.05000000 -0.90000000 0.90000000 0.004958
-1.05000000 -0.90000000 1.05000000 0.003867
-1.05000000 -0.75000000 -1.05000000 0.012996
-1.05000000 -0.75000000 -0.90000000 0.019610
-1.05000000 -0.75000000 -0.75000000 0.036232
-1.05000000 -0.75000000 -0.60000000 0.085313
-1.05000000 -0.75000000 -0.45000000 0.206077
-1.05000000 -0.75000000 -0.30000000 0.435664
-1.05000000 -0.75000000 -0.15000000 0.660589
-1.05000000 -0.75000000 0.00000000 0.620641
-1.05000000 -0.75000000 0.15000000 0.433644
-1.05000000 -0.75000000 0.30000000 0.139126
-1.05000000 -0.75000000 0.45000000 0.015503
-1.05000000 -0.75000000 0.60000000 0.008143
-1.05000000 -0.75000000 0.75000000 0.006524
-1.05000000 -0.75000000 0.90000000 0.004853
-1.05000000 -0.75000000 1.05000000 0.003855
-1.05000000 -0.60000000 -1.05000000 0.013089
-1.05000000 -0.60000000 -0.90000000 0.019693
-1.05000000 -0.60000000 -0.75000000 0.036495
-1.05000000 -0.60000000 -0.60000000 0.085444
-1.05000000 -0.60000000 -0.45000000 0.204780
-1.05000000 -0.60000000 -0.30000000 0.437085
-1.05000000 -0.60000000 -0.15000000 0.665723
-1.05000000 -0.60000000 0.00000000 0.622792
-1.05000000 -0.60000000 0.15000000 0.435856
-1.05000000 -0.60000000 0.30000000 0.135929
-1.05000000 -0.60000000 0.45000000 0.013604
-1.05000000 -0.60000000 0.60000000 0.007968
-1.05000000 -0.60000000 0.75000000 0.006363
-1.05000000 -0.60000000 0.90000000 0.004742
-1.05000000 -0.60000000 1.05000000 0.003804
-1.05000000 -0.45000000 -1.05000000 0.013162
-1.05000000 -0.45000000 -0.90000000 0.019809
-1.05000000 -0.45000000 -0.75000000 0.036710
-1.05000000 -0.45000000 -0.60000000 0.085713
-1.05000000 -0.45000000 -0.45000000 0.204492
-1.05000000 -0.45000000 -0.30000000 0.438343
-1.05000000 -0.45000000 -0.15000000 0.670126
-1.05000000 -0.45000000 0.00000000 0.624187
-1.05000000 -0.45000000 0.15000000 0.437496
-1.05000000 -0.45000000 0.30000000 0.132890
-1.05000000 -0.45000000 0.45000000 0.011685
-1.05000000 -0.45000000 0.60000000 0.007855
-1.05000000 -0.45000000 0.75000000 0.006296
-1.05000000 -0.45000000 0.90000000 0.004653
-1.05000000 -0.45000000 1.05000000 0.003780
-1.05000000 -0.30000000 -1.05000000 0.013097
-1.05000000 -0.30000000 -0.90000000 0.019876
-1.05000000 -0.30000000 -0.75000000 0.036869
