//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.011285
-1.05000000 -1.05000000 -0.90000000 0.018202
-1.05000000 -1.05000000 -0.75000000 0.028211
-1.05000000 -1.05000000 -0.60000000 0.042478
-1.05000000 -1.05000000 -0.45000000 0.080985
-1.05000000 -1.05000000 -0.30000000 0.264520
-1.05000000 -1.05000000 -0.15000000 0.737264
-1.05000000 -1.05000000 0.00000000 0.788029
-1.05000000 -1.05000000 0.15000000 0.709985
-1.05000000 -1.05000000 0.30000000 0.314634
-1.05000000 -1.05000000 0.45000000 0.036679
-1.05000000 -1.05000000 0.60000000 0.020368
-1.05000000 -1.05000000 0.75000000 0.017219
-1.05000000 -1.05000000 0.90000000 0.015200
-1.05000000 -1.05000000 1.05000000 0.012703
-1.05000000 -0.90000000 -1.05000000 0.011013
-1.05000000 -0.90000000 -0.90000000 0.018063
-1.05000000 -0.90000000 -0.75000000 0.028040
-1.05000000 -0.90000000 -0.60000000 0.042667
-1.05000000 -0.90000000 -0.45000000 0.081259
-1.05000000 -0.90000000 -0.30000000 0.272567
-1.05000000 -0.90000000 -0.15000000 0.746388
-1.05000000 -0.90000000 0.00000000 0.791834
-1.05000000 -0.90000000 0.15000000 0.712302
-1.05000000 -0.90000000 0.30000000 0.304814
-1.05000000 -0.90000000 0.45000000 0.034490
-1.05000000 -0.90000000 0.60000000 0.019988
-1.05000000 -0.90000000 0.75000000 0.016896
-1.05000000 -0.90000000 0.90000000 0.015114
-1.05000000 -0.90000000 1.05000000 0.012659
-1.05000000 -0.75000000 -1.05000000 0.010763
-1.05000000 -0.75000000 -0.90000000 0.017757
-1.05000000 -0.75000000 -0.75000000 0.028015
-1.05000000 -0.75000000 -0.60000000 0.042491
-1.05000000 -0.75000000 -0.45000000 0.081675
-1.05000000 -0.75000000 -0.30000000 0.281589
-1.05000000 -0.75000000 -0.15000000 0.755044
-1.05000000 -0.75000000 0.00000000 0.795836
-1.05000000 -0.75000000 0.15000000 0.714509
-1.05000000 -0.75000000 0.30000000 0.294208
-1.05000000 -0.75000000 0.45000000 0.032629
-1.05000000 -0.75000000 0.60000000 0.019457
-1.05000000 -0.75000000 0.75000000 0.016620
-1.05000000 -0.75000000 0.90000000 0.014967
-1.05000000 -0.75000000 1.05000000 0.012544
-1.05000000 -0.60000000 -1.05000000 0.010568
-1.05000000 -0.60000000 -0.90000000 0.017400
-1.05000000 -0.60000000 -0.75000000 0.027850
-1.05000000 -0.60000000 -0.60000000 0.042526
-1.05000000 -0.60000000 -0.45000000 0.081348
-1.05000000 -0.60000000 -0.30000000 0.291064
-1.05000000 -0.60000000 -0.15000000 0.762854
-1.05000000 -0.60000000 0.00000000 0.799785
-1.05000000 -0.60000000 0.15000000 0.716570
-1.05000000 -0.60000000 0.30000000 0.283024
-1.05000000 -0.60000000 0.45000000 0.031096
-1.05000000 -0.60000000 0.60000000 0.019008
-1.05000000 -0.60000000 0.75000000 0.016334
-1.05000000 -0.60000000 0.90000000 0.014828
-1.05000000 -0.60000000 1.05000000 0.012432
-1.05000000 -0.45000000 -1.05000000 0.010236
-1.05000000 -0.45000000 -0.90000000 0.017151
-1.05000000 -0.45000000 -0.75000000 0.027621
-1.05000000 -0.45000000 -0.60000000 0.042525
-1.05000000 -0.45000000 -0.45000000 0.081472
-1.05000000 -0.45000000 -0.30000000 0.301951
-1.05000000 -0.45000000 -0.15000000 0.770907
-1.05000000 -0.45000000 0.00000000 0.803836
-1.05000000 -0.45000000 0.15000000 0.718875
-1.05000000 -0.45000000 0.30000000 0.272066
-1.05000000 -0.45000000 0.45000000 0.029917
-1.05000000 -0.45000000 0.60000000 0.018545
-1.05000000 -0.45000000 0.75000000 0.016200
-1.05000000 -0.45000000 0.90000000 0.014631
-1.05000000 -0.45000000 1.05000000 0.012307
-1.05000000 -0.30000000 -1.05000000 0.010067
-1.05000000 -0.30000000 -0.90000000 0.016861
-1.05000000 -0.30000000 -0.75000000 0.027349
-1.05000000 -0.30000000 -0.60000000 0.042366
-1.05000000 -0.30000000 -0.45000000 0.081596
-1.05000000 -0.30000000 -0.30000000 0.313881
-1.05000000 -0.30000000 -0.15000000 0.778285
