//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.889102
-1.05000000 -1.05000000 -0.90000000 0.892383
-1.05000000 -1.05000000 -0.75000000 0.895357
-1.05000000 -1.05000000 -0.60000000 0.898192
-1.05000000 -1.05000000 -0.45000000 0.900127
-1.05000000 -1.05000000 -0.30000000 0.901382
-1.05000000 -1.05000000 -0.15000000 0.903184
-1.05000000 -1.05000000 0.00000000 0.904249
-1.05000000 -1.05000000 0.15000000 0.903021
-1.05000000 -1.05000000 0.30000000 0.897035
-1.05000000 -1.05000000 0.45000000 0.883356
-1.05000000 -1.05000000 0.60000000 0.866057
-1.05000000 -1.05000000 0.75000000 0.847520
-1.05000000 -1.05000000 0.90000000 0.830584
-1.05000000 -1.05000000 1.05000000 0.816660
-1.05000000 -0.90000000 -1.05000000 0.890729
-1.05000000 -0.90000000 -0.90000000 0.893887
-1.05000000 -0.90000000 -0.75000000 0.896627
-1.05000000 -0.90000000 -0.60000000 0.899388
-1.05000000 -0.90000000 -0.45000000 0.901426
-1.05000000 -0.90000000 -0.30000000 0.902768
-1.05000000 -0.90000000 -0.15000000 0.904316
-1.05000000 -0.90000000 0.00000000 0.905172
-1.05000000 -0.90000000 0.15000000 0.903768
-1.05000000 -0.90000000 0.30000000 0.897350
-1.05000000 -0.90000000 0.45000000 0.884134
-1.05000000 -0.90000000 0.60000000 0.867013
-1.05000000 -0.90000000 0.75000000 0.849195
-1.05000000 -0.90000000 0.90000000 0.832784
-1.05000000 -0.90000000 1.05000000 0.819412
-1.05000000 -0.75000000 -1.05000000 0.892053
-1.05000000 -0.75000000 -0.90000000 0.895313
-1.05000000 -0.75000000 -0.75000000 0.898191
-1.05000000 -0.75000000 -0.60000000 0.901055
-1.05000000 -0.75000000 -0.45000000 0.902907
-1.05000000 -0.75000000 -0.30000000 0.904051
-1.05000000 -0.75000000 -0.15000000 0.905310
-1.05000000 -0.75000000 0.00000000 0.906244
-1.05000000 -0.75000000 0.15000000 0.904300
-1.05000000 -0.75000000 0.30000000 0.897690
-1.05000000 -0.75000000 0.45000000 0.884707
-1.05000000 -0.75000000 0.60000000 0.867896
-1.05000000 -0.75000000 0.75000000 0.850491
-1.05000000 -0.75000000 0.90000000 0.834883
-1.05000000 -0.75000000 1.05000000 0.821882
-1.05000000 -0.60000000 -1.05000000 0.893260
-1.05000000 -0.60000000 -0.90000000 0.896559
-1.05000000 -0.60000000 -0.75000000 0.899588
-1.05000000 -0.60000000 -0.60000000 0.902406
-1.05000000 -0.60000000 -0.45000000 0.904363
-1.05000000 -0.60000000 -0.30000000 0.905318
-1.05000000 -0.60000000 -0.15000000 0.906459
-1.05000000 -0.60000000 0.00000000 0.907082
-1.05000000 -0.60000000 0.15000000 0.905329
-1.05000000 -0.60000000 0.30000000 0.898321
-1.05000000 -0.60000000 0.45000000 0.885345
-1.05000000 -0.60000000 0.60000000 0.868618
-1.05000000 -0.60000000 0.75000000 0.851854
-1.05000000 -0.60000000 0.90000000 0.836855
-1.05000000 -0.60000000 1.05000000 0.824199
-1.05000000 -0.45000000 -1.05000000 0.894337
-1.05000000 -0.45000000 -0.90000000 0.897798
-1.05000000 -0.45000000 -0.75000000 0.900939
-1.05000000 -0.45000000 -0.60000000 0.903910
-1.05000000 -0.45000000 -0.45000000 0.905776
-1.05000000 -0.45000000 -0.30000000 0.906550
-1.05000000 -0.45000000 -0.15000000 0.907736
-1.05000000 -0.45000000 0.00000000 0.908140
-1.05000000 -0.45000000 0.15000000 0.906457
-1.05000000 -0.45000000 0.30000000 0.899244
-1.05000000 -0.45000000 0.45000000 0.885843
-1.05000000 -0.45000000 0.60000000 0.869494
-1.05000000 -0.45000000 0.75000000 0.853257
-1.05000000 -0.45000000 0.90000000 0.838586
-1.05000000 -0.45000000 1.05000000 0.826162
-1.05000000 -0.30000000 -1.05000000 0.895271
-1.05000000 -0.30000000 -0.90000000 0.898804
-1.05000000 -0.30000000 -0.75000000 0.902243
-1.05000000 -0.30000000 -0.60000000 0.905308
-1.05000000 -0.30000000 -0.45000000 0.907182
-1.05000000 -0.30000000 -0.30000000 0.907935
-1.05000000 -0.30000000 -0.15000000 0.909023
-1.05000000 -0.30000000 0.00000000 0.909355
-1.05000000 -0.30000000 0.15000000 0.907522
-1.05000000 -0.30000000 0.30000000 0.899853
-1.05000000 -0.30000000 0.45000000 0.886698
-1.05000000 -0.30000000 0.60000000 0.870612
-1.05000000 -0.30000000 0.75000000 0.854638
-1.05000000 -0.30000000 0.90000000 0.840379
-1.05000000 -0.30000000 1.05000000 0.827926
-1.05000000 -0.15000000 -1.05000000 0.896046
-1.05000000 -0.15000000 -0.90000000 0.899745
-1.05000000 -0.15000000 -0.75000000 0.903233
-1.05000000 -0.15000000 -0.60000000 0.906553
-1.05000000 -0.15000000 -0.45000000 0.908375
-1.05000000 -0.15000000 -0.30000000 0.908979
-1.05000000 -0.15000000 -0.15000000 0.909961
-1.05000000 -0.15000000 0.00000000 0.910363
-1.05000000 -0.15000000 0.15000000 0.908237
-1.05000000 -0.15000000 0.30000000 0.900412
