//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.006889
-1.05000000 -1.05000000 -0.90000000 0.009290
-1.05000000 -1.05000000 -0.75000000 0.008879
-1.05000000 -1.05000000 -0.60000000 0.008711
-1.05000000 -1.05000000 -0.45000000 0.016416
-1.05000000 -1.05000000 -0.30000000 0.043882
-1.05000000 -1.05000000 -0.15000000 0.330848
-1.05000000 -1.05000000 0.00000000 0.537017
-1.05000000 -1.05000000 0.15000000 0.325361
-1.05000000 -1.05000000 0.30000000 0.023329
-1.05000000 -1.05000000 0.45000000 0.014135
-1.05000000 -1.05000000 0.60000000 0.009386
-1.05000000 -1.05000000 0.75000000 0.004854
-1.05000000 -1.05000000 0.90000000 0.005050
-1.05000000 -1.05000000 1.05000000 0.004884
-1.05000000 -0.90000000 -1.05000000 0.006909
-1.05000000 -0.90000000 -0.90000000 0.009345
-1.05000000 -0.90000000 -0.75000000 0.008755
-1.05000000 -0.90000000 -0.60000000 0.008149
-1.05000000 -0.90000000 -0.45000000 0.015935
-1.05000000 -0.90000000 -0.30000000 0.044491
-1.05000000 -0.90000000 -0.15000000 0.333144
-1.05000000 -0.90000000 0.00000000 0.542031
-1.05000000 -0.90000000 0.15000000 0.329020
-1.05000000 -0.90000000 0.30000000 0.023753
-1.05000000 -0.90000000 0.45000000 0.014575
-1.05000000 -0.90000000 0.60000000 0.008930
-1.05000000 -0.90000000 0.75000000 0.004803
-1.05000000 -0.90000000 0.90000000 0.005047
-1.05000000 -0.90000000 1.05000000 0.004618
-1.05000000 -0.75000000 -1.05000000 0.006841
-1.05000000 -0.75000000 -0.90000000 0.009533
-1.05000000 -0.75000000 -0.75000000 0.008681
-1.05000000 -0.75000000 -0.60000000 0.007882
-1.05000000 -0.75000000 -0.45000000 0.015267
-1.05000000 -0.75000000 -0.30000000 0.044971
-1.05000000 -0.75000000 -0.15000000 0.336557
-1.05000000 -0.75000000 0.00000000 0.547099
-1.05000000 -0.75000000 0.15000000 0.332443
-1.05000000 -0.75000000 0.30000000 0.024150
-1.05000000 -0.75000000 0.45000000 0.014780
-1.05000000 -0.75000000 0.60000000 0.008293
-1.05000000 -0.75000000 0.75000000 0.004756
-1.05000000 -0.75000000 0.90000000 0.004932
-1.05000000 -0.75000000 1.05000000 0.004333
-1.05000000 -0.60000000 -1.05000000 0.006767
-1.05000000 -0.60000000 -0.90000000 0.009505
-1.05000000 -0.60000000 -0.75000000 0.008525
-1.05000000 -0.60000000 -0.60000000 0.007803
-1.05000000 -0.60000000 -0.45000000 0.014365
-1.05000000 -0.60000000 -0.30000000 0.045076
-1.05000000 -0.60000000 -0.15000000 0.339786
-1.05000000 -0.60000000 0.00000000 0.552232
-1.05000000 -0.60000000 0.15000000 0.336073
-1.05000000 -0.60000000 0.30000000 0.024324
-1.05000000 -0.60000000 0.45000000 0.014754
-1.05000000 -0.60000000 0.60000000 0.007774
-1.05000000 -0.60000000 0.75000000 0.004784
-1.05000000 -0.60000000 0.90000000 0.004735
-1.05000000 -0.60000000 1.05000000 0.004183
-1.05000000 -0.45000000 -1.05000000 0.006805
-1.05000000 -0.45000000 -0.90000000 0.009438
-1.05000000 -0.45000000 -0.75000000 0.008553
-1.05000000 -0.45000000 -0.60000000 0.007612
-1.05000000 -0.45000000 -0.45000000 0.013317
-1.05000000 -0.45000000 -0.30000000 0.044837
-1.05000000 -0.45000000 -0.15000000 0.342618
-1.05000000 -0.45000000 0.00000000 0.557442
-1.05000000 -0.45000000 0.15000000 0.340333
-1.05000000 -0.45000000 0.30000000 0.024283
-1.05000000 -0.45000000 0.45000000 0.014724
-1.05000000 -0.45000000 0.60000000 0.007475
-1.05000000 -0.45000000 0.75000000 0.004793
-1.05000000 -0.45000000 0.90000000 0.004637
-1.05000000 -0.45000000 1.05000000 0.004136
-1.05000000 -0.30000000 -1.05000000 0.006797
-1.05000000 -0.30000000 -0.90000000 0.009414
-1.05000000 -0.30000000 -0.75000000 0.008589
-1.05000000 -0.30000000 -0.60000000 0.007589
-1.05000000 -0.30000000 -0.45000000 0.012953
-1.05000000 -0.30000000 -0.30000000 0.044644
-1.05000000 -0.30000000 -0.15000000 0.343938
-1.05000000 -0.30000000 0.00000000 0.562421
-1.05000000 -0.30000000 0.15000000 0.344863
-1.05000000 -0.30000000 0.30000000 0.024592
-1.05000000 -0.30000000 0.45000000 0.014362
-1.05000000 -0.30000000 0.60000000 0.007246
-1.05000000 -0.30000000 0.75000000 0.004992
-1.05000000 -0.30000000 0.90000000 0.004597
-1.05000000 -0.30000000 1.05000000 0.004054
-1.05000000 -0.15000000 -1.05000000 0.006833
-1.05000000 -0.15000000 -0.90000000 0.009497
-1.05000000 -0.15000000 -0.75000000 0.008567
-1.05000000 -0.15000000 -0.60000000 0.007583
-1.05000000 -0.15000000 -0.45000000 0.012751
-1.05000000 -0.15000000 -0.30000000 0.043769
-1.05000000 -0.15000000 -0.15000000 0.345581
-1.05000000 -0.15000000 0.00000000 0.567103
-1.05000000 -0.15000000 0.15000000 0.348735
-1.05000000 -0.15000000 0.30000000 0.024501
-1.05000000 -0.15000000 0.45000000 0.013780
-1.05000000 -0.15000000 0.60000000 0.007234
-1.05000000 -0.15000000 0.75000000 0.005333
-1.05000000 -0.15000000 0.90000000 0.004723
-1.05000000 -0.15000000 1.05000000 0.004025
-1.05000000 0.00000000 -1.05000000 0.006941
-1.05000000 0.00000000 -0.90000000 0.009474
-1.05000000 0.00000000 -0.75000000 0.008506
-1.05000000 0.00000000 -0.60000000 0.007675
-1.05000000 0.00000000 -0.45000000 0.012670
-1.05000000 0.00000000 -0.30000000 0.043215
-1.05000000 0.00000000 -0.15000000 0.346124
-1.05000000 0.00000000 0.00000000 0.571722
-1.05000000 0.00000000 0.15000000 0.353281
-1.05000000 0.00000000 0.30000000 0.024197
-1.05000000 0.00000000 0.45000000 0.013429
-1.05000000 0.00000000 0.60000000 0.007091
-1.05000000 0.00000000 0.75000000 0.005627
-1.05000000 0.00000000 0.90000000 0.004843
-1.05000000 0.00000000 1.05000000 0.003978
-1.05000000 0.15000000 -1.05000000 0.007060
-1.05000000 0.15000000 -0.90000000 0.009535
-1.05000000 0.15000000 -0.75000000 0.008276
-1.05000000 0.15000000 -0.60000000 0.007736
-1.05000000 0.15000000 -0.45000000 0.012874
-1.05000000 0.15000000 -0.30000000 0.042474
-1.05000000 0.15000000 -0.15000000 0.344950
-1.05000000 0.15000000 0.00000000 0.574116
-1.05000000 0.15000000 0.15000000 0.356522
-1.05000000 0.15000000 0.30000000 0.023427
-1.05000000 0.15000000 0.45000000 0.013190
-1.05000000 0.15000000 0.60000000 0.006999
-1.05000000 0.15000000 0.75000000 0.005865
-1.05000000 0.15000000 0.90000000 0.004939
-1.05000000 0.15000000 1.05000000 0.003870
-1.05000000 0.30000000 -1.05000000 0.007121
-1.05000000 0.30000000 -0.90000000 0.009328
-1.05000000 0.30000000 -0.75000000 0.007969
-1.05000000 0.30000000 -0.60000000 0.007908
-1.05000000 0.30000000 -0.45000000 0.013201
-1.05000000 0.30000000 -0.30000000 0.042820
-1.05000000 0.30000000 -0.15000000 0.342762
-1.05000000 0.30000000 0.00000000 0.575265
-1.05000000 0.30000000 0.15000000 0.359585
-1.05000000 0.30000000 0.30000000 0.022521
-1.05000000 0.30000000 0.45000000 0.012952
-1.05000000 0.30000000 0.60000000 0.006920
-1.05000000 0.30000000 0.75000000 0.005956
-1.05000000 0.30000000 0.90000000 0.004901
-1.05000000 0.30000000 1.05000000 0.003890
-1.05000000 0.45000000 -1.05000000 0.007388
-1.05000000 0.45000000 -0.90000000 0.009218
-1.05000000 0.45000000 -0.75000000 0.007941
-1.05000000 0.45000000 -0.60000000 0.008166
-1.05000000 0.45000000 -0.45000000 0.013426
-1.05000000 0.45000000 -0.30000000 0.043442
-1.05000000 0.45000000 -0.15000000 0.339138
-1.05000000 0.45000000 0.00000000 0.573915
-1.05000000 0.45000000 0.15000000 0.361881
-1.05000000 0.45000000 0.30000000 0.021389
-1.05000000 0.45000000 0.45000000 0.012476
-1.05000000 0.45000000 0.60000000 0.006863
-1.05000000 0.45000000 0.75000000 0.005881
-1.05000000 0.45000000 0.90000000 0.004923
-1.05000000 0.45000000 1.05000000 0.003866
-1.05000000 0.60000000 -1.05000000 0.007501
-1.05000000 0.60000000 -0.90000000 0.009373
-1.05000000 0.60000000 -0.75000000 0.007957
-1.05000000 0.60000000 -0.60000000 0.008099
-1.05000000 0.60000000 -0.45000000 0.013547
-1.05000000 0.60000000 -0.30000000 0.044215
-1.05000000 0.60000000 -0.15000000 0.334473
-1.05000000 0.60000000 0.00000000 0.570772
-1.05000000 0.60000000 0.15000000 0.361809
-1.05000000 0.60000000 0.30000000 0.021024
-1.05000000 0.60000000 0.45000000 0.012009
-1.05000000 0.60000000 0.60000000 0.006844
-1.05000000 0.60000000 0.75000000 0.005895
-1.05000000 0.60000000 0.90000000 0.005033
-1.05000000 0.60000000 1.05000000 0.003912
-1.05000000 0.75000000 -1.05000000 0.007764
-1.05000000 0.75000000 -0.90000000 0.009669
-1.05000000 0.75000000 -0.75000000 0.008181
-1.05000000 0.75000000 -0.60000000 0.007849
-1.05000000 0.75000000 -0.45000000 0.013115
-1.05000000 0.75000000 -0.30000000 0.044613
-1.05000000 0.75000000 -0.15000000 0.329222
-1.05000000 0.75000000 0.00000000 0.564476
-1.05000000 0.75000000 0.15000000 0.359342
-1.05000000 0.75000000 0.30000000 0.021209
-1.05000000 0.75000000 0.45000000 0.011541
-1.05000000 0.75000000 0.60000000 0.007094
-1.05000000 0.75000000 0.75000000 0.006111
-1.05000000 0.75000000 0.90000000 0.005163
-1.05000000 0.75000000 1.05000000 0.004136
-1.05000000 0.90000000 -1.05000000 0.008021
-1.05000000 0.90000000 -0.90000000 0.009992
-1.05000000 0.90000000 -0.75000000 0.008249
-1.05000000 0.90000000 -0.60000000 0.007520
-1.05000000 0.90000000 -0.45000000 0.012895
-1.05000000 0.90000000 -0.30000000 0.044899
-1.05000000 0.90000000 -0.15000000 0.323793
-1.05000000 0.90000000 0.00000000 0.557146
-1.05000000 0.90000000 0.15000000 0.356274
-1.05000000 0.90000000 0.30000000 0.022032
-1.05000000 0.90000000 0.45000000 0.011203
-1.05000000 0.90000000 0.60000000 0.007384
-1.05000000 0.90000000 0.75000000 0.006189
-1.05000000 0.90000000 0.90000000 0.005369
-1.05000000 0.90000000 1.05000000 0.004421
-1.05000000 1.05000000 -1.05000000 0.008357
-1.05000000 1.05000000 -0.90000000 0.010391
-1.05000000 1.05000000 -0.75000000 0.008417
-1.05000000 1.05000000 -0.60000000 0.007520
-1.05000000 1.05000000 -0.45000000 0.013193
-1.05000000 1.05000000 -0.30000000 0.045103
-1.05000000 1.05000000 -0.15000000 0.317665
-1.05000000 1.05000000 0.00000000 0.548070
-1.05000000 1.05000000 0.15000000 0.352329
-1.05000000 1.05000000 0.30000000 0.022912
-1.05000000 1.05000000 0.45000000 0.010806
-1.05000000 1.05000000 0.60000000 0.007515
-1.05000000 1.05000000 0.75000000 0.006260
-1.05000000 1.05000000 0.90000000 0.005640
-1.05000000 1.05000000 1.05000000 0.004882
-0.90000000 -1.05000000 -1.05000000 0.006393
-0.90000000 -1.05000000 -0.90000000 0.008771
-0.90000000 -1.05000000 -0.75000000 0.008675
-0.90000000 -1.05000000 -0.60000000 0.008486
-0.90000000 -1.05000000 -0.45000000 0.016510
-0.90000000 -1.05000000 -0.30000000 0.042648
-0.90000000 -1.05000000 -0.15000000 0.331205
-0.90000000 -1.05000000 0.00000000 0.545365
-0.90000000 -1.05000000 0.15000000 0.335167
-0.90000000 -1.05000000 0.30000000 0.023745
-0.90000000 -1.05000000 0.45000000 0.013586
-0.90000000 -1.05000000 0.60000000 0.008553
-0.90000000 -1.05000000 0.75000000 0.004596
-0.90000000 -1.05000000 0.90000000 0.004890
-0.90000000 -1.05000000 1.05000000 0.004607
-0.90000000 -0.90000000 -1.05000000 0.006349
-0.90000000 -0.90000000 -0.90000000 0.008883
