//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.028427
-1.05000000 -1.05000000 -0.90000000 0.033250
-1.05000000 -1.05000000 -0.75000000 0.035693
-1.05000000 -1.05000000 -0.60000000 0.042989
-1.05000000 -1.05000000 -0.45000000 0.064890
-1.05000000 -1.05000000 -0.30000000 0.250703
-1.05000000 -1.05000000 -0.15000000 0.685396
-1.05000000 -1.05000000 0.00000000 0.723079
-1.05000000 -1.05000000 0.15000000 0.653761
-1.05000000 -1.05000000 0.30000000 0.236463
-1.05000000 -1.05000000 0.45000000 0.050057
-1.05000000 -1.05000000 0.60000000 0.041233
-1.05000000 -1.05000000 0.75000000 0.035252
-1.05000000 -1.05000000 0.90000000 0.029834
-1.05000000 -1.05000000 1.05000000 0.025019
-1.05000000 -0.90000000 -1.05000000 0.028416
-1.05000000 -0.90000000 -0.90000000 0.033508
-1.05000000 -0.90000000 -0.75000000 0.035764
-1.05000000 -0.90000000 -0.60000000 0.042113
-1.05000000 -0.90000000 -0.45000000 0.064732
-1.05000000 -0.90000000 -0.30000000 0.251466
-1.05000000 -0.90000000 -0.15000000 0.692930
-1.05000000 -0.90000000 0.00000000 0.728900
-1.05000000 -0.90000000 0.15000000 0.659259
-1.05000000 -0.90000000 0.30000000 0.239503
-1.05000000 -0.90000000 0.45000000 0.050666
-1.05000000 -0.90000000 0.60000000 0.041543
-1.05000000 -0.90000000 0.75000000 0.034338
-1.05000000 -0.90000000 0.90000000 0.029516
-1.05000000 -0.90000000 1.05000000 0.024615
-1.05000000 -0.75000000 -1.05000000 0.028418
-1.05000000 -0.75000000 -0.90000000 0.033743
-1.05000000 -0.75000000 -0.75000000 0.036108
-1.05000000 -0.75000000 -0.60000000 0.041164
-1.05000000 -0.75000000 -0.45000000 0.064454
-1.05000000 -0.75000000 -0.30000000 0.252187
-1.05000000 -0.75000000 -0.15000000 0.699750
-1.05000000 -0.75000000 0.00000000 0.735000
-1.05000000 -0.75000000 0.15000000 0.666085
-1.05000000 -0.75000000 0.30000000 0.242889
-1.05000000 -0.75000000 0.45000000 0.050932
-1.05000000 -0.75000000 0.60000000 0.041468
-1.05000000 -0.75000000 0.75000000 0.033541
-1.05000000 -0.75000000 0.90000000 0.028915
-1.05000000 -0.75000000 1.05000000 0.024180
-1.05000000 -0.60000000 -1.05000000 0.028483
-1.05000000 -0.60000000 -0.90000000 0.033887
-1.05000000 -0.60000000 -0.75000000 0.036407
-1.05000000 -0.60000000 -0.60000000 0.039884
-1.05000000 -0.60000000 -0.45000000 0.064519
-1.05000000 -0.60000000 -0.30000000 0.252577
-1.05000000 -0.60000000 -0.15000000 0.706688
-1.05000000 -0.60000000 0.00000000 0.741669
-1.05000000 -0.60000000 0.15000000 0.672812
-1.05000000 -0.60000000 0.30000000 0.245783
-1.05000000 -0.60000000 0.45000000 0.051245
-1.05000000 -0.60000000 0.60000000 0.041196
-1.05000000 -0.60000000 0.75000000 0.033002
-1.05000000 -0.60000000 0.90000000 0.028425
-1.05000000 -0.60000000 1.05000000 0.023718
-1.05000000 -0.45000000 -1.05000000 0.028331
-1.05000000 -0.45000000 -0.90000000 0.033899
-1.05000000 -0.45000000 -0.75000000 0.036855
-1.05000000 -0.45000000 -0.60000000 0.039162
-1.05000000 -0.45000000 -0.45000000 0.064070
-1.05000000 -0.45000000 -0.30000000 0.253064
-1.05000000 -0.45000000 -0.15000000 0.712595
-1.05000000 -0.45000000 0.00000000 0.748832
-1.05000000 -0.45000000 0.15000000 0.679389
-1.05000000 -0.45000000 0.30000000 0.249700
-1.05000000 -0.45000000 0.45000000 0.051389
-1.05000000 -0.45000000 0.60000000 0.040699
-1.05000000 -0.45000000 0.75000000 0.032863
-1.05000000 -0.45000000 0.90000000 0.028244
-1.05000000 -0.45000000 1.05000000 0.023277
-1.05000000 -0.30000000 -1.05000000 0.028308
-1.05000000 -0.30000000 -0.90000000 0.033859
-1.05000000 -0.30000000 -0.75000000 0.036932
-1.05000000 -0.30000000 -0.60000000 0.039356
-1.05000000 -0.30000000 -0.45000000 0.062879
-1.05000000 -0.30000000 -0.30000000 0.253047
-1.05000000 -0.30000000 -0.15000000 0.718638
-1.05000000 -0.30000000 0.00000000 0.755754
-1.05000000 -0.30000000 0.15000000 0.685457
-1.05000000 -0.30000000 0.30000000 0.253300
-1.05000000 -0.30000000 0.45000000 0.051380
-1.05000000 -0.30000000 0.60000000 0.040266
-1.05000000 -0.30000000 0.75000000 0.032844
-1.05000000 -0.30000000 0.90000000 0.027949
-1.05000000 -0.30000000 1.05000000 0.023017
-1.05000000 -0.15000000 -1.05000000 0.028252
-1.05000000 -0.15000000 -0.90000000 0.033932
-1.05000000 -0.15000000 -0.75000000 0.036816
-1.05000000 -0.15000000 -0.60000000 0.039507
-1.05000000 -0.15000000 -0.45000000 0.061929
-1.05000000 -0.15000000 -0.30000000 0.252770
-1.05000000 -0.15000000 -0.15000000 0.723088
-1.05000000 -0.15000000 0.00000000 0.762604
-1.05000000 -0.15000000 0.15000000 0.691516
-1.05000000 -0.15000000 0.30000000 0.256362
-1.05000000 -0.15000000 0.45000000 0.051206
-1.05000000 -0.15000000 0.60000000 0.040001
-1.05000000 -0.15000000 0.75000000 0.032697
-1.05000000 -0.15000000 0.90000000 0.028202
-1.05000000 -0.15000000 1.05000000 0.022810
-1.05000000 0.00000000 -1.05000000 0.028170
-1.05000000 0.00000000 -0.90000000 0.033784
-1.05000000 0.00000000 -0.75000000 0.036853
-1.05000000 0.00000000 -0.60000000 0.039522
-1.05000000 0.00000000 -0.45000000 0.061271
-1.05000000 0.00000000 -0.30000000 0.252076
-1.05000000 0.00000000 -0.15000000 0.726749
-1.05000000 0.00000000 0.00000000 0.767284
-1.05000000 0.00000000 0.15000000 0.696042
-1.05000000 0.00000000 0.30000000 0.259945
-1.05000000 0.00000000 0.45000000 0.050522
-1.05000000 0.00000000 0.60000000 0.040059
-1.05000000 0.00000000 0.75000000 0.032672
-1.05000000 0.00000000 0.90000000 0.028159
-1.05000000 0.00000000 1.05000000 0.022757
-1.05000000 0.15000000 -1.05000000 0.028111
-1.05000000 0.15000000 -0.90000000 0.033624
-1.05000000 0.15000000 -0.75000000 0.036658
-1.05000000 0.15000000 -0.60000000 0.039718
-1.05000000 0.15000000 -0.45000000 0.061392
-1.05000000 0.15000000 -0.30000000 0.249989
-1.05000000 0.15000000 -0.15000000 0.729246
-1.05000000 0.15000000 0.00000000 0.770210
-1.05000000 0.15000000 0.15000000 0.699570
-1.05000000 0.15000000 0.30000000 0.263035
-1.05000000 0.15000000 0.45000000 0.049149
-1.05000000 0.15000000 0.60000000 0.040031
-1.05000000 0.15000000 0.75000000 0.032412
-1.05000000 0.15000000 0.90000000 0.027965
-1.05000000 0.15000000 1.05000000 0.022195
-1.05000000 0.30000000 -1.05000000 0.027881
-1.05000000 0.30000000 -0.90000000 0.033533
-1.05000000 0.30000000 -0.75000000 0.036921
-1.05000000 0.30000000 -0.60000000 0.040017
-1.05000000 0.30000000 -0.45000000 0.062342
-1.05000000 0.30000000 -0.30000000 0.247230
-1.05000000 0.30000000 -0.15000000 0.730357
-1.05000000 0.30000000 0.00000000 0.770443
-1.05000000 0.30000000 0.15000000 0.700171
-1.05000000 0.30000000 0.30000000 0.265851
-1.05000000 0.30000000 0.45000000 0.047778
-1.05000000 0.30000000 0.60000000 0.039924
-1.05000000 0.30000000 0.75000000 0.031947
-1.05000000 0.30000000 0.90000000 0.027588
-1.05000000 0.30000000 1.05000000 0.021896
-1.05000000 0.45000000 -1.05000000 0.027834
-1.05000000 0.45000000 -0.90000000 0.033950
-1.05000000 0.45000000 -0.75000000 0.037022
-1.05000000 0.45000000 -0.60000000 0.040087
-1.05000000 0.45000000 -0.45000000 0.063610
-1.05000000 0.45000000 -0.30000000 0.243745
-1.05000000 0.45000000 -0.15000000 0.728642
-1.05000000 0.45000000 0.00000000 0.768696
-1.05000000 0.45000000 0.15000000 0.698246
-1.05000000 0.45000000 0.30000000 0.269054
-1.05000000 0.45000000 0.45000000 0.046986
-1.05000000 0.45000000 0.60000000 0.039516
-1.05000000 0.45000000 0.75000000 0.031545
-1.05000000 0.45000000 0.90000000 0.027284
-1.05000000 0.45000000 1.05000000 0.021569
-1.05000000 0.60000000 -1.05000000 0.028062
-1.05000000 0.60000000 -0.90000000 0.033946
-1.05000000 0.60000000 -0.75000000 0.036883
-1.05000000 0.60000000 -0.60000000 0.040186
-1.05000000 0.60000000 -0.45000000 0.064117
-1.05000000 0.60000000 -0.30000000 0.240848
-1.05000000 0.60000000 -0.15000000 0.724644
-1.05000000 0.60000000 0.00000000 0.765127
-1.05000000 0.60000000 0.15000000 0.694323
-1.05000000 0.60000000 0.30000000 0.271413
-1.05000000 0.60000000 0.45000000 0.046651
-1.05000000 0.60000000 0.60000000 0.039687
-1.05000000 0.60000000 0.75000000 0.032137
-1.05000000 0.60000000 0.90000000 0.027719
-1.05000000 0.60000000 1.05000000 0.021813
-1.05000000 0.75000000 -1.05000000 0.028367
-1.05000000 0.75000000 -0.90000000 0.033779
-1.05000000 0.75000000 -0.75000000 0.036561
-1.05000000 0.75000000 -0.60000000 0.039402
-1.05000000 0.75000000 -0.45000000 0.063823
-1.05000000 0.75000000 -0.30000000 0.239502
-1.05000000 0.75000000 -0.15000000 0.717615
-1.05000000 0.75000000 0.00000000 0.759489
-1.05000000 0.75000000 0.15000000 0.688038
-1.05000000 0.75000000 0.30000000 0.271872
-1.05000000 0.75000000 0.45000000 0.046452
-1.05000000 0.75000000 0.60000000 0.039978
-1.05000000 0.75000000 0.75000000 0.033489
-1.05000000 0.75000000 0.90000000 0.029228
-1.05000000 0.75000000 1.05000000 0.023037
-1.05000000 0.90000000 -1.05000000 0.028979
-1.05000000 0.90000000 -0.90000000 0.033901
-1.05000000 0.90000000 -0.75000000 0.036246
-1.05000000 0.90000000 -0.60000000 0.038708
-1.05000000 0.90000000 -0.45000000 0.063690
-1.05000000 0.90000000 -0.30000000 0.237645
-1.05000000 0.90000000 -0.15000000 0.708475
-1.05000000 0.90000000 0.00000000 0.751745
-1.05000000 0.90000000 0.15000000 0.679330
-1.05000000 0.90000000 0.30000000 0.272427
-1.05000000 0.90000000 0.45000000 0.046457
-1.05000000 0.90000000 0.60000000 0.040239
-1.05000000 0.90000000 0.75000000 0.034954
-1.05000000 0.90000000 0.90000000 0.030994
-1.05000000 0.90000000 1.05000000 0.024891
-1.05000000 1.05000000 -1.05000000 0.029510
-1.05000000 1.05000000 -0.90000000 0.034430
-1.05000000 1.05000000 -0.75000000 0.036273
-1.05000000 1.05000000 -0.60000000 0.038583
-1.05000000 1.05000000 -0.45000000 0.063467
-1.05000000 1.05000000 -0.30000000 0.236059
-1.05000000 1.05000000 -0.15000000 0.698372
-1.05000000 1.05000000 0.00000000 0.742650
-1.05000000 1.05000000 0.15000000 0.670036
-1.05000000 1.05000000 0.30000000 0.272373
-1.05000000 1.05000000 0.45000000 0.047228
-1.05000000 1.05000000 0.60000000 0.040295
-1.05000000 1.05000000 0.75000000 0.036066
-1.05000000 1.05000000 0.90000000 0.032522
-1.05000000 1.05000000 1.05000000 0.026741
-0.90000000 -1.05000000 -1.05000000 0.027868
-0.90000000 -1.05000000 -0.90000000 0.032625
-0.90000000 -1.05000000 -0.75000000 0.035075
-0.90000000 -1.05000000 -0.60000000 0.042733
-0.90000000 -1.05000000 -0.45000000 0.064050
-0.90000000 -1.05000000 -0.30000000 0.246804
-0.90000000 -1.05000000 -0.15000000 0.693237
-0.90000000 -1.05000000 0.00000000 0.732336
-0.90000000 -1.05000000 0.15000000 0.664789
-0.90000000 -1.05000000 0.30000000 0.242865
-0.90000000 -1.05000000 0.45000000 0.048830
-0.90000000 -1.05000000 0.60000000 0.039840
-0.90000000 -1.05000000 0.75000000 0.033615
-0.90000000 -1.05000000 0.90000000 0.028533
-0.90000000 -1.05000000 1.05000000 0.023862
-0.90000000 -0.90000000 -1.05000000 0.027644
-0.90000000 -0.90000000 -0.90000000 0.032772
-0.90000000 -0.90000000 -0.75000000 0.035077
-0.90000000 -0.90000000 -0.60000000 0.041432
-0.90000000 -0.90000000 -0.45000000 0.063906
-0.90000000 -0.90000000 -0.30000000 0.247679
-0.90000000 -0.90000000 -0.15000000 0.701157
-0.90000000 -0.90000000 0.00000000 0.738792
-0.90000000 -0.90000000 0.15000000 0.671160
-0.90000000 -0.90000000 0.30000000 0.245887
-0.90000000 -0.90000000 0.45000000 0.049922
-0.90000000 -0.90000000 0.60000000 0.040094
-0.90000000 -0.90000000 0.75000000 0.032534
-0.90000000 -0.90000000 0.90000000 0.028057
-0.90000000 -0.90000000 1.05000000 0.023313
-0.90000000 -0.75000000 -1.05000000 0.027625
-0.90000000 -0.75000000 -0.90000000 0.032902
-0.90000000 -0.75000000 -0.75000000 0.035272
-0.90000000 -0.75000000 -0.60000000 0.040186
-0.90000000 -0.75000000 -0.45000000 0.063543
-0.90000000 -0.75000000 -0.30000000 0.248499
-0.90000000 -0.75000000 -0.15000000 0.708034
-0.90000000 -0.75000000 0.00000000 0.745495
-0.90000000 -0.75000000 0.15000000 0.678538
-0.90000000 -0.75000000 0.30000000 0.249546
-0.90000000 -0.75000000 0.45000000 0.050489
-0.90000000 -0.75000000 0.60000000 0.039939
-0.90000000 -0.75000000 0.75000000 0.031713
-0.90000000 -0.75000000 0.90000000 0.027397
-0.90000000 -0.75000000 1.05000000 0.022723
-0.90000000 -0.60000000 -1.05000000 0.027586
-0.90000000 -0.60000000 -0.90000000 0.033181
-0.90000000 -0.60000000 -0.75000000 0.035523
-0.90000000 -0.60000000 -0.60000000 0.038855
-0.90000000 -0.60000000 -0.45000000 0.063139
-0.90000000 -0.60000000 -0.30000000 0.248869
-0.90000000 -0.60000000 -0.15000000 0.714953
-0.90000000 -0.60000000 0.00000000 0.752875
-0.90000000 -0.60000000 0.15000000 0.685544
-0.90000000 -0.60000000 0.30000000 0.252560
-0.90000000 -0.60000000 0.45000000 0.051095
-0.90000000 -0.60000000 0.60000000 0.039591
-0.90000000 -0.60000000 0.75000000 0.031393
-0.90000000 -0.60000000 0.90000000 0.026697
-0.90000000 -0.60000000 1.05000000 0.022324
-0.90000000 -0.45000000 -1.05000000 0.027391
-0.90000000 -0.45000000 -0.90000000 0.032962
-0.90000000 -0.45000000 -0.75000000 0.035948
-0.90000000 -0.45000000 -0.60000000 0.038387
-0.90000000 -0.45000000 -0.45000000 0.062441
-0.90000000 -0.45000000 -0.30000000 0.249514
-0.90000000 -0.45000000 -0.15000000 0.721225
-0.90000000 -0.45000000 0.00000000 0.760752
-0.90000000 -0.45000000 0.15000000 0.692881
-0.90000000 -0.45000000 0.30000000 0.256692
-0.90000000 -0.45000000 0.45000000 0.051616
-0.90000000 -0.45000000 0.60000000 0.039095
-0.90000000 -0.45000000 0.75000000 0.031088
-0.90000000 -0.45000000 0.90000000 0.026217
-0.90000000 -0.45000000 1.05000000 0.021791
-0.90000000 -0.30000000 -1.05000000 0.027350
-0.90000000 -0.30000000 -0.90000000 0.032902
-0.90000000 -0.30000000 -0.75000000 0.036006
-0.90000000 -0.30000000 -0.60000000 0.038735
-0.90000000 -0.30000000 -0.45000000 0.061058
-0.90000000 -0.30000000 -0.30000000 0.249362
-0.90000000 -0.30000000 -0.15000000 0.727296
-0.90000000 -0.30000000 0.00000000 0.767931
-0.90000000 -0.30000000 0.15000000 0.699814
-0.90000000 -0.30000000 0.30000000 0.260709
-0.90000000 -0.30000000 0.45000000 0.052028
-0.90000000 -0.30000000 0.60000000 0.038785
-0.90000000 -0.30000000 0.75000000 0.030927
-0.90000000 -0.30000000 0.90000000 0.025731
-0.90000000 -0.30000000 1.05000000 0.021279
-0.90000000 -0.15000000 -1.05000000 0.027201
-0.90000000 -0.15000000 -0.90000000 0.032796
-0.90000000 -0.15000000 -0.75000000 0.035970
-0.90000000 -0.15000000 -0.60000000 0.039096
-0.90000000 -0.15000000 -0.45000000 0.059956
-0.90000000 -0.15000000 -0.30000000 0.249506
-0.90000000 -0.15000000 -0.15000000 0.732250
-0.90000000 -0.15000000 0.00000000 0.774845
-0.90000000 -0.15000000 0.15000000 0.706652
-0.90000000 -0.15000000 0.30000000 0.264284
-0.90000000 -0.15000000 0.45000000 0.051868
-0.90000000 -0.15000000 0.60000000 0.038572
-0.90000000 -0.15000000 0.75000000 0.030731
-0.90000000 -0.15000000 0.90000000 0.025755
-0.90000000 -0.15000000 1.05000000 0.021010
-0.90000000 0.00000000 -1.05000000 0.027054
-0.90000000 0.00000000 -0.90000000 0.032578
-0.90000000 0.00000000 -0.75000000 0.035690
-0.90000000 0.00000000 -0.60000000 0.039201
-0.90000000 0.00000000 -0.45000000 0.059568
-0.90000000 0.00000000 -0.30000000 0.248150
-0.90000000 0.00000000 -0.15000000 0.736068
-0.90000000 0.00000000 0.00000000 0.779624
-0.90000000 0.00000000 0.15000000 0.711529
-0.90000000 0.00000000 0.30000000 0.267802
-0.90000000 0.00000000 0.45000000 0.051051
-0.90000000 0.00000000 0.60000000 0.038688
-0.90000000 0.00000000 0.75000000 0.030739
-0.90000000 0.00000000 0.90000000 0.025523
-0.90000000 0.00000000 1.05000000 0.020771
-0.90000000 0.15000000 -1.05000000 0.026879
-0.90000000 0.15000000 -0.90000000 0.032253
-0.90000000 0.15000000 -0.75000000 0.035646
-0.90000000 0.15000000 -0.60000000 0.039301
-0.90000000 0.15000000 -0.45000000 0.059665
-0.90000000 0.15000000 -0.30000000 0.246172
-0.90000000 0.15000000 -0.15000000 0.738809
-0.90000000 0.15000000 0.00000000 0.781980
-0.90000000 0.15000000 0.15000000 0.714599
-0.90000000 0.15000000 0.30000000 0.271186
-0.90000000 0.15000000 0.45000000 0.049821
-0.90000000 0.15000000 0.60000000 0.038680
-0.90000000 0.15000000 0.75000000 0.030523
-0.90000000 0.15000000 0.90000000 0.025349
-0.90000000 0.15000000 1.05000000 0.020055
-0.90000000 0.30000000 -1.05000000 0.026880
-0.90000000 0.30000000 -0.90000000 0.032290
-0.90000000 0.30000000 -0.75000000 0.035964
-0.90000000 0.30000000 -0.60000000 0.039563
-0.90000000 0.30000000 -0.45000000 0.060567
-0.90000000 0.30000000 -0.30000000 0.242953
-0.90000000 0.30000000 -0.15000000 0.739407
-0.90000000 0.30000000 0.00000000 0.782035
-0.90000000 0.30000000 0.15000000 0.714474
-0.90000000 0.30000000 0.30000000 0.274412
-0.90000000 0.30000000 0.45000000 0.048908
-0.90000000 0.30000000 0.60000000 0.038450
-0.90000000 0.30000000 0.75000000 0.029988
-0.90000000 0.30000000 0.90000000 0.024961
-0.90000000 0.30000000 1.05000000 0.019587
-0.90000000 0.45000000 -1.05000000 0.026774
-0.90000000 0.45000000 -0.90000000 0.032426
-0.90000000 0.45000000 -0.75000000 0.036039
-0.90000000 0.45000000 -0.60000000 0.039615
-0.90000000 0.45000000 -0.45000000 0.061371
-0.90000000 0.45000000 -0.30000000 0.239893
-0.90000000 0.45000000 -0.15000000 0.736761
-0.90000000 0.45000000 0.00000000 0.779579
-0.90000000 0.45000000 0.15000000 0.712315
-0.90000000 0.45000000 0.30000000 0.276727
-0.90000000 0.45000000 0.45000000 0.048226
-0.90000000 0.45000000 0.60000000 0.038267
-0.90000000 0.45000000 0.75000000 0.029833
-0.90000000 0.45000000 0.90000000 0.025102
-0.90000000 0.45000000 1.05000000 0.019509
-0.90000000 0.60000000 -1.05000000 0.026984
-0.90000000 0.60000000 -0.90000000 0.032525
-0.90000000 0.60000000 -0.75000000 0.035902
-0.90000000 0.60000000 -0.60000000 0.039117
-0.90000000 0.60000000 -0.45000000 0.061553
-0.90000000 0.60000000 -0.30000000 0.237733
-0.90000000 0.60000000 -0.15000000 0.732028
-0.90000000 0.60000000 0.00000000 0.775130
-0.90000000 0.60000000 0.15000000 0.706866
-0.90000000 0.60000000 0.30000000 0.278576
-0.90000000 0.60000000 0.45000000 0.047961
-0.90000000 0.60000000 0.60000000 0.038688
-0.90000000 0.60000000 0.75000000 0.030874
-0.90000000 0.60000000 0.90000000 0.025927
-0.90000000 0.60000000 1.05000000 0.020170
-0.90000000 0.75000000 -1.05000000 0.027420
-0.90000000 0.75000000 -0.90000000 0.032530
-0.90000000 0.75000000 -0.75000000 0.035480
-0.90000000 0.75000000 -0.60000000 0.038209
-0.90000000 0.75000000 -0.45000000 0.061126
-0.90000000 0.75000000 -0.30000000 0.236487
-0.90000000 0.75000000 -0.15000000 0.724196
-0.90000000 0.75000000 0.00000000 0.768084
-0.90000000 0.75000000 0.15000000 0.699246
-0.90000000 0.75000000 0.30000000 0.278582
-0.90000000 0.75000000 0.45000000 0.047911
-0.90000000 0.75000000 0.60000000 0.039469
-0.90000000 0.75000000 0.75000000 0.032442
-0.90000000 0.75000000 0.90000000 0.027818
-0.90000000 0.75000000 1.05000000 0.021801
-0.90000000 0.90000000 -1.05000000 0.028057
-0.90000000 0.90000000 -0.90000000 0.032941
-0.90000000 0.90000000 -0.75000000 0.035252
-0.90000000 0.90000000 -0.60000000 0.037456
-0.90000000 0.90000000 -0.45000000 0.060930
-0.90000000 0.90000000 -0.30000000 0.235003
-0.90000000 0.90000000 -0.15000000 0.714084
-0.90000000 0.90000000 0.00000000 0.759641
-0.90000000 0.90000000 0.15000000 0.689821
-0.90000000 0.90000000 0.30000000 0.278717
-0.90000000 0.90000000 0.45000000 0.048309
-0.90000000 0.90000000 0.60000000 0.040075
-0.90000000 0.90000000 0.75000000 0.034195
-0.90000000 0.90000000 0.90000000 0.029901
-0.90000000 0.90000000 1.05000000 0.023819
-0.90000000 1.05000000 -1.05000000 0.028712
-0.90000000 1.05000000 -0.90000000 0.033640
-0.90000000 1.05000000 -0.75000000 0.035562
-0.90000000 1.05000000 -0.60000000 0.037473
-0.90000000 1.05000000 -0.45000000 0.060896
-0.90000000 1.05000000 -0.30000000 0.232833
-0.90000000 1.05000000 -0.15000000 0.703886
-0.90000000 1.05000000 0.00000000 0.749517
-0.90000000 1.05000000 0.15000000 0.679272
-0.90000000 1.05000000 0.30000000 0.278005
-0.90000000 1.05000000 0.45000000 0.049171
-0.90000000 1.05000000 0.60000000 0.040416
-0.90000000 1.05000000 0.75000000 0.035343
