//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.730181
-1.05000000 -1.05000000 -0.90000000 0.730017
-1.05000000 -1.05000000 -0.75000000 0.729829
-1.05000000 -1.05000000 -0.60000000 0.729372
-1.05000000 -1.05000000 -0.45000000 0.728244
-1.05000000 -1.05000000 -0.30000000 0.727121
-1.05000000 -1.05000000 -0.15000000 0.725466
-1.05000000 -1.05000000 0.00000000 0.723341
-1.05000000 -1.05000000 0.15000000 0.720674
-1.05000000 -1.05000000 0.30000000 0.717052
-1.05000000 -1.05000000 0.45000000 0.711839
-1.05000000 -1.05000000 0.60000000 0.704251
-1.05000000 -1.05000000 0.75000000 0.694231
-1.05000000 -1.05000000 0.90000000 0.682408
-1.05000000 -1.05000000 1.05000000 0.669608
-1.05000000 -0.90000000 -1.05000000 0.732170
-1.05000000 -0.90000000 -0.90000000 0.732397
-1.05000000 -0.90000000 -0.75000000 0.732263
-1.05000000 -0.90000000 -0.60000000 0.731834
-1.05000000 -0.90000000 -0.45000000 0.730654
-1.05000000 -0.90000000 -0.30000000 0.729583
-1.05000000 -0.90000000 -0.15000000 0.728085
-1.05000000 -0.90000000 0.00000000 0.725910
-1.05000000 -0.90000000 0.15000000 0.723125
-1.05000000 -0.90000000 0.30000000 0.719596
-1.05000000 -0.90000000 0.45000000 0.714357
-1.05000000 -0.90000000 0.60000000 0.706572
-1.05000000 -0.90000000 0.75000000 0.696310
-1.05000000 -0.90000000 0.90000000 0.684272
-1.05000000 -0.90000000 1.05000000 0.671775
-1.05000000 -0.75000000 -1.05000000 0.734087
-1.05000000 -0.75000000 -0.90000000 0.734435
-1.05000000 -0.75000000 -0.75000000 0.734579
-1.05000000 -0.75000000 -0.60000000 0.733998
-1.05000000 -0.75000000 -0.45000000 0.732975
-1.05000000 -0.75000000 -0.30000000 0.732059
-1.05000000 -0.75000000 -0.15000000 0.730548
-1.05000000 -0.75000000 0.00000000 0.728537
-1.05000000 -0.75000000 0.15000000 0.725719
-1.05000000 -0.75000000 0.30000000 0.722314
-1.05000000 -0.75000000 0.45000000 0.716882
-1.05000000 -0.75000000 0.60000000 0.708743
-1.05000000 -0.75000000 0.75000000 0.698211
-1.05000000 -0.75000000 0.90000000 0.686429
-1.05000000 -0.75000000 1.05000000 0.673645
-1.05000000 -0.60000000 -1.05000000 0.735965
-1.05000000 -0.60000000 -0.90000000 0.736475
-1.05000000 -0.60000000 -0.75000000 0.736622
-1.05000000 -0.60000000 -0.60000000 0.736167
-1.05000000 -0.60000000 -0.45000000 0.735265
