//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.010627
-1.05000000 -1.05000000 -0.90000000 0.014376
-1.05000000 -1.05000000 -0.75000000 0.020577
-1.05000000 -1.05000000 -0.60000000 0.027842
-1.05000000 -1.05000000 -0.45000000 0.036688
-1.05000000 -1.05000000 -0.30000000 0.053640
-1.05000000 -1.05000000 -0.15000000 0.116491
-1.05000000 -1.05000000 0.00000000 0.315239
-1.05000000 -1.05000000 0.15000000 0.331536
-1.05000000 -1.05000000 0.30000000 0.132283
-1.05000000 -1.05000000 0.45000000 0.028324
-1.05000000 -1.05000000 0.60000000 0.011540
-1.05000000 -1.05000000 0.75000000 0.006990
-1.05000000 -1.05000000 0.90000000 0.005703
-1.05000000 -1.05000000 1.05000000 0.004998
-1.05000000 -0.90000000 -1.05000000 0.011819
-1.05000000 -0.90000000 -0.90000000 0.013686
-1.05000000 -0.90000000 -0.75000000 0.020524
-1.05000000 -0.90000000 -0.60000000 0.029064
-1.05000000 -0.90000000 -0.45000000 0.038881
-1.05000000 -0.90000000 -0.30000000 0.055888
-1.05000000 -0.90000000 -0.15000000 0.121744
-1.05000000 -0.90000000 0.00000000 0.324579
-1.05000000 -0.90000000 0.15000000 0.332116
-1.05000000 -0.90000000 0.30000000 0.125649
-1.05000000 -0.90000000 0.45000000 0.025821
-1.05000000 -0.90000000 0.60000000 0.011168
-1.05000000 -0.90000000 0.75000000 0.006913
-1.05000000 -0.90000000 0.90000000 0.005478
-1.05000000 -0.90000000 1.05000000 0.005930
-1.05000000 -0.75000000 -1.05000000 0.016190
-1.05000000 -0.75000000 -0.90000000 0.013994
-1.05000000 -0.75000000 -0.75000000 0.020136
-1.05000000 -0.75000000 -0.60000000 0.029772
-1.05000000 -0.75000000 -0.45000000 0.041124
-1.05000000 -0.75000000 -0.30000000 0.057985
-1.05000000 -0.75000000 -0.15000000 0.127120
-1.05000000 -0.75000000 0.00000000 0.332812
-1.05000000 -0.75000000 0.15000000 0.332657
-1.05000000 -0.75000000 0.30000000 0.118966
-1.05000000 -0.75000000 0.45000000 0.023863
-1.05000000 -0.75000000 0.60000000 0.010742
-1.05000000 -0.75000000 0.75000000 0.006966
-1.05000000 -0.75000000 0.90000000 0.006009
-1.05000000 -0.75000000 1.05000000 0.009685
-1.05000000 -0.60000000 -1.05000000 0.020156
-1.05000000 -0.60000000 -0.90000000 0.017972
-1.05000000 -0.60000000 -0.75000000 0.019934
-1.05000000 -0.60000000 -0.60000000 0.030150
