//X Y Z Consensus 
1.00000000 1.00000000 1.00000000 0.000172
1.00000000 0.95000000 1.00000000 0.000196
0.95000000 1.00000000 1.00000000 0.000198
1.00000000 1.00000000 0.95000000 0.000213
0.95000000 0.95000000 1.00000000 0.000226
1.00000000 0.95000000 0.95000000 0.000243
0.95000000 1.00000000 0.95000000 0.000245
1.00000000 0.90000000 1.00000000 0.000247
0.90000000 1.00000000 1.00000000 0.000253
0.95000000 0.95000000 0.95000000 0.000278
0.95000000 0.90000000 1.00000000 0.000282
1.00000000 -1.00000000 1.00000000 0.000285
0.90000000 0.95000000 1.00000000 0.000286
1.00000000 1.00000000 0.90000000 0.000299
1.00000000 0.90000000 0.95000000 0.000303
0.90000000 1.00000000 0.95000000 0.000311
1.00000000 -0.95000000 1.00000000 0.000320
0.95000000 -1.00000000 1.00000000 0.000324
1.00000000 0.85000000 1.00000000 0.000324
0.85000000 1.00000000 1.00000000 0.000337
1.00000000 0.95000000 0.90000000 0.000339
0.95000000 1.00000000 0.90000000 0.000343
0.95000000 0.90000000 0.95000000 0.000345
0.90000000 0.95000000 0.95000000 0.000351
0.90000000 0.90000000 1.00000000 0.000353
1.00000000 -1.00000000 0.95000000 0.000356
0.95000000 -0.95000000 1.00000000 0.000362
0.95000000 0.85000000 1.00000000 0.000368
0.85000000 0.95000000 1.00000000 0.000378
0.95000000 0.95000000 0.90000000 0.000388
1.00000000 -0.90000000 1.00000000 0.000390
-1.00000000 1.00000000 1.00000000 0.000395
1.00000000 0.85000000 0.95000000 0.000396
1.00000000 -0.95000000 0.95000000 0.000397
0.95000000 -1.00000000 0.95000000 0.000402
0.90000000 -1.00000000 1.00000000 0.000403
0.85000000 1.00000000 0.95000000 0.000413
1.00000000 0.90000000 0.90000000 0.000421
0.90000000 0.90000000 0.95000000 0.000431
1.00000000 0.80000000 1.00000000 0.000431
0.90000000 1.00000000 0.90000000 0.000433
-0.95000000 1.00000000 1.00000000 0.000433
0.95000000 -0.90000000 1.00000000 0.000438
1.00000000 1.00000000 0.85000000 0.000443
0.95000000 -0.95000000 0.95000000 0.000447
0.90000000 -0.95000000 1.00000000 0.000447
0.95000000 0.85000000 0.95000000 0.000448
-1.00000000 0.95000000 1.00000000 0.000453
0.80000000 1.00000000 1.00000000 0.000453
0.90000000 0.85000000 1.00000000 0.000456
0.85000000 0.95000000 0.95000000 0.000462
0.85000000 0.90000000 1.00000000 0.000463
0.95000000 0.90000000 0.90000000 0.000478
1.00000000 -0.90000000 0.95000000 0.000481
0.90000000 0.95000000 0.90000000 0.000486
0.95000000 0.80000000 1.00000000 0.000486
-1.00000000 1.00000000 0.95000000 0.000490
-0.95000000 0.95000000 1.00000000 0.000494
1.00000000 -0.85000000 1.00000000 0.000496
0.90000000 -1.00000000 0.95000000 0.000496
1.00000000 0.95000000 0.85000000 0.000500
1.00000000 -1.00000000 0.90000000 0.000504
0.80000000 0.95000000 1.00000000 0.000506
0.95000000 1.00000000 0.85000000 0.000506
-0.90000000 1.00000000 1.00000000 0.000508
1.00000000 0.80000000 0.95000000 0.000525
0.85000000 -1.00000000 1.00000000 0.000526
-0.95000000 1.00000000 0.95000000 0.000536
0.90000000 -0.90000000 1.00000000 0.000537
0.95000000 -0.90000000 0.95000000 0.000538
1.00000000 0.85000000 0.90000000 0.000546
0.90000000 -0.95000000 0.95000000 0.000549
0.80000000 1.00000000 0.95000000 0.000553
0.90000000 0.85000000 0.95000000 0.000553
0.95000000 -0.85000000 1.00000000 0.000554
-1.00000000 0.95000000 0.95000000 0.000559
1.00000000 -0.95000000 0.90000000 0.000560
0.85000000 0.90000000 0.95000000 0.000562
0.95000000 -1.00000000 0.90000000 0.000566
0.95000000 0.95000000 0.85000000 0.000569
-1.00000000 0.90000000 1.00000000 0.000570
1.00000000 0.75000000 1.00000000 0.000571
0.85000000 1.00000000 0.90000000 0.000571
-0.90000000 0.95000000 1.00000000 0.000577
0.85000000 -0.95000000 1.00000000 0.000580
0.95000000 0.80000000 0.95000000 0.000589
0.85000000 0.85000000 1.00000000 0.000590
0.90000000 0.90000000 0.90000000 0.000593
0.90000000 0.80000000 1.00000000 0.000596
0.75000000 1.00000000 1.00000000 0.000604
1.00000000 -0.85000000 0.95000000 0.000608
-0.95000000 0.95000000 0.95000000 0.000609
0.80000000 0.90000000 1.00000000 0.000612
0.95000000 0.85000000 0.90000000 0.000615
0.80000000 0.95000000 0.95000000 0.000616
1.00000000 0.90000000 0.85000000 0.000616
-0.95000000 0.90000000 1.00000000 0.000619
-0.85000000 1.00000000 1.00000000 0.000620
-0.90000000 1.00000000 0.95000000 0.000626
0.95000000 -0.95000000 0.90000000 0.000627
0.90000000 1.00000000 0.85000000 0.000634
0.85000000 0.95000000 0.90000000 0.000636
0.95000000 0.75000000 1.00000000 0.000639
1.00000000 -0.80000000 1.00000000 0.000640
0.85000000 -1.00000000 0.95000000 0.000641
0.90000000 -0.90000000 0.95000000 0.000654
1.00000000 1.00000000 0.80000000 0.000666
0.75000000 0.95000000 1.00000000 0.000670
0.90000000 -0.85000000 1.00000000 0.000671
1.00000000 -0.90000000 0.90000000 0.000673
0.95000000 -0.85000000 0.95000000 0.000676
0.85000000 -0.90000000 1.00000000 0.000688
1.00000000 0.75000000 0.95000000 0.000691
0.90000000 -1.00000000 0.90000000 0.000692
-1.00000000 1.00000000 0.90000000 0.000693
0.80000000 -1.00000000 1.00000000 0.000695
0.95000000 0.90000000 0.85000000 0.000696
-1.00000000 0.90000000 0.95000000 0.000699
-0.85000000 0.95000000 1.00000000 0.000700
0.85000000 -0.95000000 0.95000000 0.000705
-0.90000000 0.95000000 0.95000000 0.000708
0.90000000 0.95000000 0.85000000 0.000709
0.95000000 -0.80000000 1.00000000 0.000710
0.85000000 0.85000000 0.95000000 0.000713
-0.90000000 0.90000000 1.00000000 0.000717
1.00000000 0.80000000 0.90000000 0.000717
0.90000000 0.80000000 0.95000000 0.000720
0.75000000 1.00000000 0.95000000 0.000735
0.80000000 0.90000000 0.95000000 0.000741
1.00000000 0.70000000 1.00000000 0.000744
0.95000000 -0.90000000 0.90000000 0.000748
1.00000000 0.95000000 0.80000000 0.000749
-1.00000000 0.85000000 1.00000000 0.000750
-0.95000000 1.00000000 0.90000000 0.000755
0.90000000 0.85000000 0.90000000 0.000755
1.00000000 -1.00000000 0.85000000 0.000756
