//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.048524
-1.05000000 -1.05000000 -0.90000000 0.053398
-1.05000000 -1.05000000 -0.75000000 0.064440
-1.05000000 -1.05000000 -0.60000000 0.076911
-1.05000000 -1.05000000 -0.45000000 0.091054
-1.05000000 -1.05000000 -0.30000000 0.134264
-1.05000000 -1.05000000 -0.15000000 0.246313
-1.05000000 -1.05000000 0.00000000 0.267069
-1.05000000 -1.05000000 0.15000000 0.229644
-1.05000000 -1.05000000 0.30000000 0.118936
-1.05000000 -1.05000000 0.45000000 0.050386
-1.05000000 -1.05000000 0.60000000 0.041990
-1.05000000 -1.05000000 0.75000000 0.035075
-1.05000000 -1.05000000 0.90000000 0.029508
-1.05000000 -1.05000000 1.05000000 0.024026
-1.05000000 -0.90000000 -1.05000000 0.050504
-1.05000000 -0.90000000 -0.90000000 0.051903
-1.05000000 -0.90000000 -0.75000000 0.060622
-1.05000000 -0.90000000 -0.60000000 0.074707
-1.05000000 -0.90000000 -0.45000000 0.091916
-1.05000000 -0.90000000 -0.30000000 0.136969
-1.05000000 -0.90000000 -0.15000000 0.256105
-1.05000000 -0.90000000 0.00000000 0.279145
-1.05000000 -0.90000000 0.15000000 0.239043
-1.05000000 -0.90000000 0.30000000 0.122631
-1.05000000 -0.90000000 0.45000000 0.050719
-1.05000000 -0.90000000 0.60000000 0.039891
-1.05000000 -0.90000000 0.75000000 0.032270
-1.05000000 -0.90000000 0.90000000 0.027464
-1.05000000 -0.90000000 1.05000000 0.023053
-1.05000000 -0.75000000 -1.05000000 0.053900
-1.05000000 -0.75000000 -0.90000000 0.053149
-1.05000000 -0.75000000 -0.75000000 0.058368
-1.05000000 -0.75000000 -0.60000000 0.070363
-1.05000000 -0.75000000 -0.45000000 0.090287
-1.05000000 -0.75000000 -0.30000000 0.138073
-1.05000000 -0.75000000 -0.15000000 0.265163
-1.05000000 -0.75000000 0.00000000 0.293196
-1.05000000 -0.75000000 0.15000000 0.249358
-1.05000000 -0.75000000 0.30000000 0.125569
-1.05000000 -0.75000000 0.45000000 0.049816
-1.05000000 -0.75000000 0.60000000 0.036547
-1.05000000 -0.75000000 0.75000000 0.030215
-1.05000000 -0.75000000 0.90000000 0.026856
-1.05000000 -0.75000000 1.05000000 0.022599
-1.05000000 -0.60000000 -1.05000000 0.056853
-1.05000000 -0.60000000 -0.90000000 0.055743
-1.05000000 -0.60000000 -0.75000000 0.058389
-1.05000000 -0.60000000 -0.60000000 0.067281
-1.05000000 -0.60000000 -0.45000000 0.086526
-1.05000000 -0.60000000 -0.30000000 0.138204
-1.05000000 -0.60000000 -0.15000000 0.273791
-1.05000000 -0.60000000 0.00000000 0.303533
-1.05000000 -0.60000000 0.15000000 0.259453
-1.05000000 -0.60000000 0.30000000 0.129268
-1.05000000 -0.60000000 0.45000000 0.047358
-1.05000000 -0.60000000 0.60000000 0.034364
-1.05000000 -0.60000000 0.75000000 0.029908
-1.05000000 -0.60000000 0.90000000 0.026709
-1.05000000 -0.60000000 1.05000000 0.022456
-1.05000000 -0.45000000 -1.05000000 0.058279
-1.05000000 -0.45000000 -0.90000000 0.059406
-1.05000000 -0.45000000 -0.75000000 0.060083
-1.05000000 -0.45000000 -0.60000000 0.067251
-1.05000000 -0.45000000 -0.45000000 0.083406
-1.05000000 -0.45000000 -0.30000000 0.138369
