//X Y Z Consensus 
1.00000000 -0.20000000 -0.60000000 0.006000
1.00000000 -0.60000000 -0.40000000 0.006000
1.00000000 -0.80000000 0.20000000 0.006000
1.00000000 -0.80000000 0.80000000 0.006000
1.00000000 -0.80000000 1.00000000 0.006000
1.00000000 -1.00000000 0.00000000 0.006000
1.00000000 0.20000000 0.20000000 0.006000
1.00000000 0.40000000 -0.60000000 0.006000
1.00000000 0.60000000 -0.40000000 0.006000
1.00000000 0.60000000 0.00000000 0.006000
1.00000000 0.80000000 -0.40000000 0.006000
-0.20000000 -0.40000000 -0.80000000 0.007000
-0.20000000 -0.80000000 0.80000000 0.007000
-0.20000000 0.00000000 -0.40000000 0.007000
-0.20000000 0.20000000 -0.40000000 0.007000
-0.40000000 -0.40000000 -0.80000000 0.007000
-0.40000000 -0.60000000 0.00000000 0.007000
-0.40000000 0.80000000 -0.60000000 0.007000
-0.60000000 -0.20000000 -0.80000000 0.007000
-0.60000000 -0.20000000 0.00000000 0.007000
-0.60000000 0.00000000 -0.80000000 0.007000
-0.60000000 1.00000000 -0.60000000 0.007000
-0.80000000 -0.40000000 1.00000000 0.007000
-0.80000000 -0.60000000 0.20000000 0.007000
-0.80000000 -0.80000000 0.80000000 0.007000
-0.80000000 0.80000000 -0.40000000 0.007000
-1.00000000 -0.40000000 0.60000000 0.007000
-1.00000000 0.20000000 0.80000000 0.007000
-1.00000000 0.80000000 -0.60000000 0.007000
-1.00000000 1.00000000 -0.40000000 0.007000
0.00000000 -0.20000000 -0.80000000 0.007000
0.00000000 -0.40000000 -0.40000000 0.007000
0.00000000 -0.40000000 -0.80000000 0.007000
0.00000000 -0.80000000 0.00000000 0.007000
0.00000000 -1.00000000 0.00000000 0.007000
0.00000000 0.00000000 0.20000000 0.007000
0.00000000 0.40000000 -0.20000000 0.007000
0.00000000 0.40000000 0.20000000 0.007000
0.00000000 0.40000000 0.40000000 0.007000
0.20000000 -0.20000000 -0.40000000 0.007000
0.20000000 -0.20000000 0.40000000 0.007000
0.20000000 -0.60000000 0.00000000 0.007000
0.20000000 -0.80000000 0.40000000 0.007000
0.20000000 -1.00000000 -0.20000000 0.007000
