//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.014385
-1.05000000 -1.05000000 -0.90000000 0.020287
-1.05000000 -1.05000000 -0.75000000 0.026434
-1.05000000 -1.05000000 -0.60000000 0.032959
-1.05000000 -1.05000000 -0.45000000 0.046279
-1.05000000 -1.05000000 -0.30000000 0.085039
-1.05000000 -1.05000000 -0.15000000 0.296602
-1.05000000 -1.05000000 0.00000000 0.366224
-1.05000000 -1.05000000 0.15000000 0.193651
-1.05000000 -1.05000000 0.30000000 0.027052
-1.05000000 -1.05000000 0.45000000 0.034906
-1.05000000 -1.05000000 0.60000000 0.046758
-1.05000000 -1.05000000 0.75000000 0.049090
-1.05000000 -1.05000000 0.90000000 0.038240
-1.05000000 -1.05000000 1.05000000 0.021535
-1.05000000 -0.90000000 -1.05000000 0.014591
-1.05000000 -0.90000000 -0.90000000 0.020501
-1.05000000 -0.90000000 -0.75000000 0.026174
-1.05000000 -0.90000000 -0.60000000 0.032910
-1.05000000 -0.90000000 -0.45000000 0.047171
-1.05000000 -0.90000000 -0.30000000 0.087546
-1.05000000 -0.90000000 -0.15000000 0.304269
-1.05000000 -0.90000000 0.00000000 0.372998
-1.05000000 -0.90000000 0.15000000 0.201283
-1.05000000 -0.90000000 0.30000000 0.041048
-1.05000000 -0.90000000 0.45000000 0.049191
-1.05000000 -0.90000000 0.60000000 0.050768
-1.05000000 -0.90000000 0.75000000 0.040002
-1.05000000 -0.90000000 0.90000000 0.023436
-1.05000000 -0.90000000 1.05000000 0.011026
-1.05000000 -0.75000000 -1.05000000 0.014810
-1.05000000 -0.75000000 -0.90000000 0.020356
-1.05000000 -0.75000000 -0.75000000 0.026261
-1.05000000 -0.75000000 -0.60000000 0.033124
-1.05000000 -0.75000000 -0.45000000 0.047570
-1.05000000 -0.75000000 -0.30000000 0.089285
-1.05000000 -0.75000000 -0.15000000 0.311774
-1.05000000 -0.75000000 0.00000000 0.383940
-1.05000000 -0.75000000 0.15000000 0.217422
-1.05000000 -0.75000000 0.30000000 0.055956
-1.05000000 -0.75000000 0.45000000 0.054691
-1.05000000 -0.75000000 0.60000000 0.042258
-1.05000000 -0.75000000 0.75000000 0.025290
-1.05000000 -0.75000000 0.90000000 0.012225
-1.05000000 -0.75000000 1.05000000 0.006465
-1.05000000 -0.60000000 -1.05000000 0.015122
-1.05000000 -0.60000000 -0.90000000 0.020579
-1.05000000 -0.60000000 -0.75000000 0.026535
-1.05000000 -0.60000000 -0.60000000 0.033468
-1.05000000 -0.60000000 -0.45000000 0.047521
-1.05000000 -0.60000000 -0.30000000 0.091059
-1.05000000 -0.60000000 -0.15000000 0.320873
-1.05000000 -0.60000000 0.00000000 0.401604
-1.05000000 -0.60000000 0.15000000 0.234497
-1.05000000 -0.60000000 0.30000000 0.061623
