//X Y Z Consensus 
1.00000000 1.00000000 1.00000000 0.000099
0.95000000 1.00000000 1.00000000 0.000114
1.00000000 0.95000000 1.00000000 0.000115
1.00000000 1.00000000 0.95000000 0.000125
0.95000000 0.95000000 1.00000000 0.000132
0.95000000 1.00000000 0.95000000 0.000143
1.00000000 0.95000000 0.95000000 0.000144
0.90000000 1.00000000 1.00000000 0.000145
1.00000000 0.90000000 1.00000000 0.000147
0.95000000 0.95000000 0.95000000 0.000164
0.90000000 0.95000000 1.00000000 0.000167
0.95000000 0.90000000 1.00000000 0.000168
1.00000000 1.00000000 0.90000000 0.000178
0.90000000 1.00000000 0.95000000 0.000180
1.00000000 0.90000000 0.95000000 0.000182
-1.00000000 1.00000000 1.00000000 0.000191
0.85000000 1.00000000 1.00000000 0.000193
1.00000000 0.85000000 1.00000000 0.000197
0.95000000 1.00000000 0.90000000 0.000203
1.00000000 0.95000000 0.90000000 0.000204
0.90000000 0.95000000 0.95000000 0.000206
0.95000000 0.90000000 0.95000000 0.000207
0.90000000 0.90000000 1.00000000 0.000211
-0.95000000 1.00000000 1.00000000 0.000213
-1.00000000 0.95000000 1.00000000 0.000218
0.85000000 0.95000000 1.00000000 0.000220
0.95000000 0.85000000 1.00000000 0.000224
0.95000000 0.95000000 0.90000000 0.000231
0.85000000 1.00000000 0.95000000 0.000237
-1.00000000 1.00000000 0.95000000 0.000239
-0.95000000 0.95000000 1.00000000 0.000242
1.00000000 0.85000000 0.95000000 0.000243
0.90000000 1.00000000 0.90000000 0.000253
1.00000000 0.90000000 0.90000000 0.000257
-0.90000000 1.00000000 1.00000000 0.000257
0.90000000 0.90000000 0.95000000 0.000258
0.80000000 1.00000000 1.00000000 0.000260
-0.95000000 1.00000000 0.95000000 0.000265
1.00000000 0.80000000 1.00000000 0.000268
1.00000000 1.00000000 0.85000000 0.000269
0.85000000 0.95000000 0.95000000 0.000270
-1.00000000 0.95000000 0.95000000 0.000271
-1.00000000 0.90000000 1.00000000 0.000273
0.95000000 0.85000000 0.95000000 0.000275
0.85000000 0.90000000 1.00000000 0.000276
0.90000000 0.85000000 1.00000000 0.000279
0.90000000 0.95000000 0.90000000 0.000287
0.95000000 0.90000000 0.90000000 0.000290
-0.90000000 0.95000000 1.00000000 0.000291
0.80000000 0.95000000 1.00000000 0.000295
-0.95000000 0.95000000 0.95000000 0.000300
-0.95000000 0.90000000 1.00000000 0.000302
0.95000000 0.80000000 1.00000000 0.000303
0.95000000 1.00000000 0.85000000 0.000304
1.00000000 0.95000000 0.85000000 0.000306
0.80000000 1.00000000 0.95000000 0.000317
-0.90000000 1.00000000 0.95000000 0.000317
-0.85000000 1.00000000 1.00000000 0.000323
1.00000000 0.80000000 0.95000000 0.000328
0.85000000 1.00000000 0.90000000 0.000330
0.85000000 0.90000000 0.95000000 0.000336
-1.00000000 0.90000000 0.95000000 0.000337
-1.00000000 1.00000000 0.90000000 0.000338
1.00000000 0.85000000 0.90000000 0.000338
0.90000000 0.85000000 0.95000000 0.000339
0.95000000 0.95000000 0.85000000 0.000345
0.75000000 1.00000000 1.00000000 0.000347
0.90000000 0.90000000 0.90000000 0.000356
-0.90000000 0.95000000 0.95000000 0.000357
-1.00000000 0.85000000 1.00000000 0.000358
0.80000000 0.95000000 0.95000000 0.000358
-0.90000000 0.90000000 1.00000000 0.000360
1.00000000 0.75000000 1.00000000 0.000362
0.85000000 0.85000000 1.00000000 0.000363
-0.85000000 0.95000000 1.00000000 0.000365
0.80000000 0.90000000 1.00000000 0.000367
0.95000000 0.80000000 0.95000000 0.000369
-0.95000000 0.90000000 0.95000000 0.000371
0.85000000 0.95000000 0.90000000 0.000372
-0.95000000 1.00000000 0.90000000 0.000373
0.90000000 0.80000000 1.00000000 0.000374
0.90000000 1.00000000 0.85000000 0.000375
0.95000000 0.85000000 0.90000000 0.000380
1.00000000 0.90000000 0.85000000 0.000381
-1.00000000 0.95000000 0.90000000 0.000382
0.75000000 0.95000000 1.00000000 0.000393
-0.95000000 0.85000000 1.00000000 0.000394
-0.85000000 1.00000000 0.95000000 0.000396
0.95000000 0.75000000 1.00000000 0.000407
1.00000000 1.00000000 0.80000000 0.000413
-0.80000000 1.00000000 1.00000000 0.000413
-0.95000000 0.95000000 0.90000000 0.000420
0.75000000 1.00000000 0.95000000 0.000421
0.90000000 0.95000000 0.85000000 0.000423
0.95000000 0.90000000 0.85000000 0.000427
0.80000000 1.00000000 0.90000000 0.000436
0.85000000 0.85000000 0.95000000 0.000437
-1.00000000 0.85000000 0.95000000 0.000438
-0.90000000 0.90000000 0.95000000 0.000439
1.00000000 0.75000000 0.95000000 0.000439
-0.90000000 1.00000000 0.90000000 0.000442
0.80000000 0.90000000 0.95000000 0.000442
-0.85000000 0.95000000 0.95000000 0.000444
-0.85000000 0.90000000 1.00000000 0.000448
0.90000000 0.80000000 0.95000000 0.000451
1.00000000 0.80000000 0.90000000 0.000452
0.70000000 1.00000000 1.00000000 0.000457
0.85000000 0.90000000 0.90000000 0.000458
0.90000000 0.85000000 0.90000000 0.000463
-0.80000000 0.95000000 1.00000000 0.000464
0.95000000 1.00000000 0.80000000 0.000465
-0.90000000 0.85000000 1.00000000 0.000466
1.00000000 0.95000000 0.80000000 0.000468
-1.00000000 0.90000000 0.90000000 0.000470
