//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.001495
-1.05000000 -1.05000000 -0.90000000 0.001332
-1.05000000 -1.05000000 -0.75000000 0.001989
-1.05000000 -1.05000000 -0.60000000 0.003135
-1.05000000 -1.05000000 -0.45000000 0.006669
-1.05000000 -1.05000000 -0.30000000 0.014494
-1.05000000 -1.05000000 -0.15000000 0.155503
-1.05000000 -1.05000000 0.00000000 0.304315
-1.05000000 -1.05000000 0.15000000 0.131358
-1.05000000 -1.05000000 0.30000000 0.011591
-1.05000000 -1.05000000 0.45000000 0.005862
-1.05000000 -1.05000000 0.60000000 0.001601
-1.05000000 -1.05000000 0.75000000 0.001229
-1.05000000 -1.05000000 0.90000000 0.001162
-1.05000000 -1.05000000 1.05000000 0.001691
-1.05000000 -0.90000000 -1.05000000 0.001793
-1.05000000 -0.90000000 -0.90000000 0.001232
-1.05000000 -0.90000000 -0.75000000 0.001847
-1.05000000 -0.90000000 -0.60000000 0.002992
-1.05000000 -0.90000000 -0.45000000 0.005849
-1.05000000 -0.90000000 -0.30000000 0.014384
-1.05000000 -0.90000000 -0.15000000 0.156679
-1.05000000 -0.90000000 0.00000000 0.305487
-1.05000000 -0.90000000 0.15000000 0.132368
-1.05000000 -0.90000000 0.30000000 0.012093
-1.05000000 -0.90000000 0.45000000 0.005231
-1.05000000 -0.90000000 0.60000000 0.001637
-1.05000000 -0.90000000 0.75000000 0.001146
-1.05000000 -0.90000000 0.90000000 0.001166
-1.05000000 -0.90000000 1.05000000 0.002102
-1.05000000 -0.75000000 -1.05000000 0.002252
-1.05000000 -0.75000000 -0.90000000 0.001554
-1.05000000 -0.75000000 -0.75000000 0.001764
-1.05000000 -0.75000000 -0.60000000 0.002873
-1.05000000 -0.75000000 -0.45000000 0.005214
-1.05000000 -0.75000000 -0.30000000 0.014417
-1.05000000 -0.75000000 -0.15000000 0.157549
-1.05000000 -0.75000000 0.00000000 0.305816
-1.05000000 -0.75000000 0.15000000 0.134035
-1.05000000 -0.75000000 0.30000000 0.012006
-1.05000000 -0.75000000 0.45000000 0.004710
-1.05000000 -0.75000000 0.60000000 0.001664
-1.05000000 -0.75000000 0.75000000 0.001129
-1.05000000 -0.75000000 0.90000000 0.001196
-1.05000000 -0.75000000 1.05000000 0.002677
-1.05000000 -0.60000000 -1.05000000 0.002517
-1.05000000 -0.60000000 -0.90000000 0.002126
-1.05000000 -0.60000000 -0.75000000 0.001840
-1.05000000 -0.60000000 -0.60000000 0.002727
-1.05000000 -0.60000000 -0.45000000 0.005065
-1.05000000 -0.60000000 -0.30000000 0.014358
-1.05000000 -0.60000000 -0.15000000 0.157642
-1.05000000 -0.60000000 0.00000000 0.307716
-1.05000000 -0.60000000 0.15000000 0.134706
-1.05000000 -0.60000000 0.30000000 0.012179
-1.05000000 -0.60000000 0.45000000 0.004324
-1.05000000 -0.60000000 0.60000000 0.001664
