//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.015264
-1.05000000 -1.05000000 -0.90000000 0.015796
-1.05000000 -1.05000000 -0.75000000 0.017642
-1.05000000 -1.05000000 -0.60000000 0.021648
-1.05000000 -1.05000000 -0.45000000 0.033349
-1.05000000 -1.05000000 -0.30000000 0.127602
-1.05000000 -1.05000000 -0.15000000 0.555453
-1.05000000 -1.05000000 0.00000000 0.649284
-1.05000000 -1.05000000 0.15000000 0.527455
-1.05000000 -1.05000000 0.30000000 0.096193
-1.05000000 -1.05000000 0.45000000 0.026646
-1.05000000 -1.05000000 0.60000000 0.016759
-1.05000000 -1.05000000 0.75000000 0.013265
-1.05000000 -1.05000000 0.90000000 0.014736
-1.05000000 -1.05000000 1.05000000 0.016208
-1.05000000 -0.90000000 -1.05000000 0.016161
-1.05000000 -0.90000000 -0.90000000 0.016470
-1.05000000 -0.90000000 -0.75000000 0.017639
-1.05000000 -0.90000000 -0.60000000 0.020671
-1.05000000 -0.90000000 -0.45000000 0.033202
-1.05000000 -0.90000000 -0.30000000 0.127356
-1.05000000 -0.90000000 -0.15000000 0.560405
-1.05000000 -0.90000000 0.00000000 0.653758
-1.05000000 -0.90000000 0.15000000 0.531613
-1.05000000 -0.90000000 0.30000000 0.095884
-1.05000000 -0.90000000 0.45000000 0.026650
-1.05000000 -0.90000000 0.60000000 0.015470
-1.05000000 -0.90000000 0.75000000 0.013378
-1.05000000 -0.90000000 0.90000000 0.014663
-1.05000000 -0.90000000 1.05000000 0.017520
-1.05000000 -0.75000000 -1.05000000 0.016968
-1.05000000 -0.75000000 -0.90000000 0.017450
-1.05000000 -0.75000000 -0.75000000 0.017911
-1.05000000 -0.75000000 -0.60000000 0.020223
-1.05000000 -0.75000000 -0.45000000 0.032611
-1.05000000 -0.75000000 -0.30000000 0.127486
-1.05000000 -0.75000000 -0.15000000 0.561820
-1.05000000 -0.75000000 0.00000000 0.657053
-1.05000000 -0.75000000 0.15000000 0.533868
-1.05000000 -0.75000000 0.30000000 0.095525
-1.05000000 -0.75000000 0.45000000 0.026513
-1.05000000 -0.75000000 0.60000000 0.014414
-1.05000000 -0.75000000 0.75000000 0.013175
-1.05000000 -0.75000000 0.90000000 0.015726
-1.05000000 -0.75000000 1.05000000 0.018204
-1.05000000 -0.60000000 -1.05000000 0.017593
-1.05000000 -0.60000000 -0.90000000 0.018028
-1.05000000 -0.60000000 -0.75000000 0.018738
-1.05000000 -0.60000000 -0.60000000 0.020392
-1.05000000 -0.60000000 -0.45000000 0.031924
-1.05000000 -0.60000000 -0.30000000 0.127084
-1.05000000 -0.60000000 -0.15000000 0.563769
-1.05000000 -0.60000000 0.00000000 0.659836
-1.05000000 -0.60000000 0.15000000 0.536289
-1.05000000 -0.60000000 0.30000000 0.095173
-1.05000000 -0.60000000 0.45000000 0.025926
-1.05000000 -0.60000000 0.60000000 0.014069
-1.05000000 -0.60000000 0.75000000 0.014042
-1.05000000 -0.60000000 0.90000000 0.016523
-1.05000000 -0.60000000 1.05000000 0.018469
-1.05000000 -0.45000000 -1.05000000 0.017513
-1.05000000 -0.45000000 -0.90000000 0.018390
-1.05000000 -0.45000000 -0.75000000 0.019110
-1.05000000 -0.45000000 -0.60000000 0.020867
-1.05000000 -0.45000000 -0.45000000 0.031063
-1.05000000 -0.45000000 -0.30000000 0.125430
-1.05000000 -0.45000000 -0.15000000 0.564171
-1.05000000 -0.45000000 0.00000000 0.662709
-1.05000000 -0.45000000 0.15000000 0.537103
-1.05000000 -0.45000000 0.30000000 0.095077
-1.05000000 -0.45000000 0.45000000 0.025547
-1.05000000 -0.45000000 0.60000000 0.015454
-1.05000000 -0.45000000 0.75000000 0.015158
-1.05000000 -0.45000000 0.90000000 0.017164
-1.05000000 -0.45000000 1.05000000 0.018845
-1.05000000 -0.30000000 -1.05000000 0.016955
-1.05000000 -0.30000000 -0.90000000 0.018107
-1.05000000 -0.30000000 -0.75000000 0.019266
-1.05000000 -0.30000000 -0.60000000 0.021492
-1.05000000 -0.30000000 -0.45000000 0.030565
-1.05000000 -0.30000000 -0.30000000 0.124486
-1.05000000 -0.30000000 -0.15000000 0.562972
-1.05000000 -0.30000000 0.00000000 0.664476
-1.05000000 -0.30000000 0.15000000 0.537907
-1.05000000 -0.30000000 0.30000000 0.095568
-1.05000000 -0.30000000 0.45000000 0.025182
-1.05000000 -0.30000000 0.60000000 0.017270
-1.05000000 -0.30000000 0.75000000 0.016334
-1.05000000 -0.30000000 0.90000000 0.017334
-1.05000000 -0.30000000 1.05000000 0.018818
-1.05000000 -0.15000000 -1.05000000 0.016002
-1.05000000 -0.15000000 -0.90000000 0.017320
-1.05000000 -0.15000000 -0.75000000 0.019247
-1.05000000 -0.15000000 -0.60000000 0.022129
-1.05000000 -0.15000000 -0.45000000 0.030346
-1.05000000 -0.15000000 -0.30000000 0.122965
-1.05000000 -0.15000000 -0.15000000 0.562570
-1.05000000 -0.15000000 0.00000000 0.665386
-1.05000000 -0.15000000 0.15000000 0.539176
-1.05000000 -0.15000000 0.30000000 0.095535
-1.05000000 -0.15000000 0.45000000 0.026125
-1.05000000 -0.15000000 0.60000000 0.018675
-1.05000000 -0.15000000 0.75000000 0.017071
-1.05000000 -0.15000000 0.90000000 0.017526
-1.05000000 -0.15000000 1.05000000 0.018337
-1.05000000 0.00000000 -1.05000000 0.015161
-1.05000000 0.00000000 -0.90000000 0.016360
-1.05000000 0.00000000 -0.75000000 0.018616
-1.05000000 0.00000000 -0.60000000 0.022242
-1.05000000 0.00000000 -0.45000000 0.029971
-1.05000000 0.00000000 -0.30000000 0.121952
-1.05000000 0.00000000 -0.15000000 0.562298
-1.05000000 0.00000000 0.00000000 0.665203
-1.05000000 0.00000000 0.15000000 0.540544
-1.05000000 0.00000000 0.30000000 0.097010
-1.05000000 0.00000000 0.45000000 0.026261
-1.05000000 0.00000000 0.60000000 0.019140
-1.05000000 0.00000000 0.75000000 0.016550
-1.05000000 0.00000000 0.90000000 0.016732
-1.05000000 0.00000000 1.05000000 0.017274
-1.05000000 0.15000000 -1.05000000 0.014972
-1.05000000 0.15000000 -0.90000000 0.015523
-1.05000000 0.15000000 -0.75000000 0.018004
-1.05000000 0.15000000 -0.60000000 0.021522
-1.05000000 0.15000000 -0.45000000 0.028945
-1.05000000 0.15000000 -0.30000000 0.119525
-1.05000000 0.15000000 -0.15000000 0.561923
-1.05000000 0.15000000 0.00000000 0.664585
-1.05000000 0.15000000 0.15000000 0.542354
-1.05000000 0.15000000 0.30000000 0.097621
-1.05000000 0.15000000 0.45000000 0.025769
-1.05000000 0.15000000 0.60000000 0.019147
-1.05000000 0.15000000 0.75000000 0.015753
-1.05000000 0.15000000 0.90000000 0.015420
-1.05000000 0.15000000 1.05000000 0.016922
-1.05000000 0.30000000 -1.05000000 0.015387
-1.05000000 0.30000000 -0.90000000 0.015327
-1.05000000 0.30000000 -0.75000000 0.016839
-1.05000000 0.30000000 -0.60000000 0.020718
-1.05000000 0.30000000 -0.45000000 0.027822
-1.05000000 0.30000000 -0.30000000 0.117528
-1.05000000 0.30000000 -0.15000000 0.560063
-1.05000000 0.30000000 0.00000000 0.664981
-1.05000000 0.30000000 0.15000000 0.542909
-1.05000000 0.30000000 0.30000000 0.096834
-1.05000000 0.30000000 0.45000000 0.024992
-1.05000000 0.30000000 0.60000000 0.017955
-1.05000000 0.30000000 0.75000000 0.014318
-1.05000000 0.30000000 0.90000000 0.014763
-1.05000000 0.30000000 1.05000000 0.017204
-1.05000000 0.45000000 -1.05000000 0.014969
-1.05000000 0.45000000 -0.90000000 0.015195
-1.05000000 0.45000000 -0.75000000 0.016211
-1.05000000 0.45000000 -0.60000000 0.019213
-1.05000000 0.45000000 -0.45000000 0.026670
-1.05000000 0.45000000 -0.30000000 0.114426
-1.05000000 0.45000000 -0.15000000 0.559661
-1.05000000 0.45000000 0.00000000 0.665688
-1.05000000 0.45000000 0.15000000 0.545061
-1.05000000 0.45000000 0.30000000 0.095070
-1.05000000 0.45000000 0.45000000 0.023415
-1.05000000 0.45000000 0.60000000 0.016546
-1.05000000 0.45000000 0.75000000 0.013228
-1.05000000 0.45000000 0.90000000 0.014989
-1.05000000 0.45000000 1.05000000 0.017443
-1.05000000 0.60000000 -1.05000000 0.014378
-1.05000000 0.60000000 -0.90000000 0.014743
-1.05000000 0.60000000 -0.75000000 0.015763
-1.05000000 0.60000000 -0.60000000 0.018373
-1.05000000 0.60000000 -0.45000000 0.024740
-1.05000000 0.60000000 -0.30000000 0.111331
-1.05000000 0.60000000 -0.15000000 0.559017
-1.05000000 0.60000000 0.00000000 0.664333
-1.05000000 0.60000000 0.15000000 0.544280
-1.05000000 0.60000000 0.30000000 0.094207
-1.05000000 0.60000000 0.45000000 0.021236
-1.05000000 0.60000000 0.60000000 0.014510
-1.05000000 0.60000000 0.75000000 0.013222
-1.05000000 0.60000000 0.90000000 0.015155
-1.05000000 0.60000000 1.05000000 0.017759
-1.05000000 0.75000000 -1.05000000 0.014324
-1.05000000 0.75000000 -0.90000000 0.014381
-1.05000000 0.75000000 -0.75000000 0.015849
-1.05000000 0.75000000 -0.60000000 0.018283
-1.05000000 0.75000000 -0.45000000 0.023597
-1.05000000 0.75000000 -0.30000000 0.110375
-1.05000000 0.75000000 -0.15000000 0.556041
-1.05000000 0.75000000 0.00000000 0.660856
-1.05000000 0.75000000 0.15000000 0.541806
-1.05000000 0.75000000 0.30000000 0.094648
-1.05000000 0.75000000 0.45000000 0.019476
-1.05000000 0.75000000 0.60000000 0.014368
-1.05000000 0.75000000 0.75000000 0.013650
-1.05000000 0.75000000 0.90000000 0.015889
-1.05000000 0.75000000 1.05000000 0.017925
-1.05000000 0.90000000 -1.05000000 0.014165
-1.05000000 0.90000000 -0.90000000 0.014474
-1.05000000 0.90000000 -0.75000000 0.016101
-1.05000000 0.90000000 -0.60000000 0.018197
-1.05000000 0.90000000 -0.45000000 0.024338
-1.05000000 0.90000000 -0.30000000 0.111055
-1.05000000 0.90000000 -0.15000000 0.549232
-1.05000000 0.90000000 0.00000000 0.654990
-1.05000000 0.90000000 0.15000000 0.536754
-1.05000000 0.90000000 0.30000000 0.095040
-1.05000000 0.90000000 0.45000000 0.019868
-1.05000000 0.90000000 0.60000000 0.014746
-1.05000000 0.90000000 0.75000000 0.014348
-1.05000000 0.90000000 0.90000000 0.016477
-1.05000000 0.90000000 1.05000000 0.018170
-1.05000000 1.05000000 -1.05000000 0.014132
-1.05000000 1.05000000 -0.90000000 0.014524
-1.05000000 1.05000000 -0.75000000 0.016463
-1.05000000 1.05000000 -0.60000000 0.019403
-1.05000000 1.05000000 -0.45000000 0.026068
-1.05000000 1.05000000 -0.30000000 0.112885
-1.05000000 1.05000000 -0.15000000 0.541653
-1.05000000 1.05000000 0.00000000 0.647146
-1.05000000 1.05000000 0.15000000 0.529039
-1.05000000 1.05000000 0.30000000 0.097146
-1.05000000 1.05000000 0.45000000 0.021120
-1.05000000 1.05000000 0.60000000 0.015753
-1.05000000 1.05000000 0.75000000 0.015052
-1.05000000 1.05000000 0.90000000 0.016888
-1.05000000 1.05000000 1.05000000 0.018609
-0.90000000 -1.05000000 -1.05000000 0.015806
-0.90000000 -1.05000000 -0.90000000 0.016055
-0.90000000 -1.05000000 -0.75000000 0.017297
-0.90000000 -1.05000000 -0.60000000 0.020622
-0.90000000 -1.05000000 -0.45000000 0.032857
-0.90000000 -1.05000000 -0.30000000 0.122630
-0.90000000 -1.05000000 -0.15000000 0.558090
-0.90000000 -1.05000000 0.00000000 0.656236
-0.90000000 -1.05000000 0.15000000 0.537817
-0.90000000 -1.05000000 0.30000000 0.098793
-0.90000000 -1.05000000 0.45000000 0.026437
-0.90000000 -1.05000000 0.60000000 0.016058
-0.90000000 -1.05000000 0.75000000 0.013853
-0.90000000 -1.05000000 0.90000000 0.015364
-0.90000000 -1.05000000 1.05000000 0.017463
-0.90000000 -0.90000000 -1.05000000 0.016407
-0.90000000 -0.90000000 -0.90000000 0.016972
-0.90000000 -0.90000000 -0.75000000 0.017772
-0.90000000 -0.90000000 -0.60000000 0.020346
-0.90000000 -0.90000000 -0.45000000 0.032256
-0.90000000 -0.90000000 -0.30000000 0.122613
-0.90000000 -0.90000000 -0.15000000 0.563793
-0.90000000 -0.90000000 0.00000000 0.663028
-0.90000000 -0.90000000 0.15000000 0.542205
-0.90000000 -0.90000000 0.30000000 0.097498
-0.90000000 -0.90000000 0.45000000 0.026125
-0.90000000 -0.90000000 0.60000000 0.014796
-0.90000000 -0.90000000 0.75000000 0.013760
-0.90000000 -0.90000000 0.90000000 0.016174
-0.90000000 -0.90000000 1.05000000 0.018137
-0.90000000 -0.75000000 -1.05000000 0.016872
-0.90000000 -0.75000000 -0.90000000 0.017629
-0.90000000 -0.75000000 -0.75000000 0.018519
-0.90000000 -0.75000000 -0.60000000 0.020236
-0.90000000 -0.75000000 -0.45000000 0.031704
-0.90000000 -0.75000000 -0.30000000 0.122929
-0.90000000 -0.75000000 -0.15000000 0.567692
-0.90000000 -0.75000000 0.00000000 0.667614
-0.90000000 -0.75000000 0.15000000 0.544978
-0.90000000 -0.75000000 0.30000000 0.097488
-0.90000000 -0.75000000 0.45000000 0.025510
-0.90000000 -0.75000000 0.60000000 0.014212
-0.90000000 -0.75000000 0.75000000 0.014584
-0.90000000 -0.75000000 0.90000000 0.016440
-0.90000000 -0.75000000 1.05000000 0.017948
-0.90000000 -0.60000000 -1.05000000 0.017148
-0.90000000 -0.60000000 -0.90000000 0.018230
-0.90000000 -0.60000000 -0.75000000 0.019180
-0.90000000 -0.60000000 -0.60000000 0.020877
-0.90000000 -0.60000000 -0.45000000 0.030924
-0.90000000 -0.60000000 -0.30000000 0.121783
-0.90000000 -0.60000000 -0.15000000 0.568469
-0.90000000 -0.60000000 0.00000000 0.670922
-0.90000000 -0.60000000 0.15000000 0.547037
-0.90000000 -0.60000000 0.30000000 0.097302
-0.90000000 -0.60000000 0.45000000 0.024949
-0.90000000 -0.60000000 0.60000000 0.014992
-0.90000000 -0.60000000 0.75000000 0.015231
-0.90000000 -0.60000000 0.90000000 0.016570
-0.90000000 -0.60000000 1.05000000 0.017466
-0.90000000 -0.45000000 -1.05000000 0.016825
-0.90000000 -0.45000000 -0.90000000 0.018051
-0.90000000 -0.45000000 -0.75000000 0.018978
-0.90000000 -0.45000000 -0.60000000 0.021296
-0.90000000 -0.45000000 -0.45000000 0.030276
-0.90000000 -0.45000000 -0.30000000 0.120909
-0.90000000 -0.45000000 -0.15000000 0.569492
-0.90000000 -0.45000000 0.00000000 0.673941
-0.90000000 -0.45000000 0.15000000 0.549199
-0.90000000 -0.45000000 0.30000000 0.097352
-0.90000000 -0.45000000 0.45000000 0.024594
-0.90000000 -0.45000000 0.60000000 0.016965
-0.90000000 -0.45000000 0.75000000 0.015693
-0.90000000 -0.45000000 0.90000000 0.016394
-0.90000000 -0.45000000 1.05000000 0.016948
-0.90000000 -0.30000000 -1.05000000 0.015809
-0.90000000 -0.30000000 -0.90000000 0.017410
-0.90000000 -0.30000000 -0.75000000 0.019087
-0.90000000 -0.30000000 -0.60000000 0.021744
-0.90000000 -0.30000000 -0.45000000 0.029898
-0.90000000 -0.30000000 -0.30000000 0.120212
-0.90000000 -0.30000000 -0.15000000 0.570189
-0.90000000 -0.30000000 0.00000000 0.675585
-0.90000000 -0.30000000 0.15000000 0.550571
-0.90000000 -0.30000000 0.30000000 0.097139
-0.90000000 -0.30000000 0.45000000 0.025324
-0.90000000 -0.30000000 0.60000000 0.017689
-0.90000000 -0.30000000 0.75000000 0.015763
-0.90000000 -0.30000000 0.90000000 0.016148
-0.90000000 -0.30000000 1.05000000 0.016779
-0.90000000 -0.15000000 -1.05000000 0.015092
-0.90000000 -0.15000000 -0.90000000 0.016367
-0.90000000 -0.15000000 -0.75000000 0.018582
-0.90000000 -0.15000000 -0.60000000 0.021651
-0.90000000 -0.15000000 -0.45000000 0.029669
-0.90000000 -0.15000000 -0.30000000 0.118761
-0.90000000 -0.15000000 -0.15000000 0.569983
-0.90000000 -0.15000000 0.00000000 0.676987
-0.90000000 -0.15000000 0.15000000 0.552550
-0.90000000 -0.15000000 0.30000000 0.098352
-0.90000000 -0.15000000 0.45000000 0.025407
-0.90000000 -0.15000000 0.60000000 0.018237
-0.90000000 -0.15000000 0.75000000 0.015929
-0.90000000 -0.15000000 0.90000000 0.015381
-0.90000000 -0.15000000 1.05000000 0.016002
-0.90000000 0.00000000 -1.05000000 0.014949
-0.90000000 0.00000000 -0.90000000 0.015437
-0.90000000 0.00000000 -0.75000000 0.017696
-0.90000000 0.00000000 -0.60000000 0.021455
-0.90000000 0.00000000 -0.45000000 0.029360
-0.90000000 0.00000000 -0.30000000 0.117645
-0.90000000 0.00000000 -0.15000000 0.569126
-0.90000000 0.00000000 0.00000000 0.676562
-0.90000000 0.00000000 0.15000000 0.555333
-0.90000000 0.00000000 0.30000000 0.099594
-0.90000000 0.00000000 0.45000000 0.025122
-0.90000000 0.00000000 0.60000000 0.017828
-0.90000000 0.00000000 0.75000000 0.015012
-0.90000000 0.00000000 0.90000000 0.014454
-0.90000000 0.00000000 1.05000000 0.015875
-0.90000000 0.15000000 -1.05000000 0.014779
-0.90000000 0.15000000 -0.90000000 0.015221
-0.90000000 0.15000000 -0.75000000 0.016839
-0.90000000 0.15000000 -0.60000000 0.020110
-0.90000000 0.15000000 -0.45000000 0.028064
-0.90000000 0.15000000 -0.30000000 0.114596
-0.90000000 0.15000000 -0.15000000 0.569701
-0.90000000 0.15000000 0.00000000 0.676259
-0.90000000 0.15000000 0.15000000 0.557648
-0.90000000 0.15000000 0.30000000 0.098910
-0.90000000 0.15000000 0.45000000 0.024756
-0.90000000 0.15000000 0.60000000 0.017427
-0.90000000 0.15000000 0.75000000 0.013690
-0.90000000 0.15000000 0.90000000 0.013989
-0.90000000 0.15000000 1.05000000 0.016374
-0.90000000 0.30000000 -1.05000000 0.014760
-0.90000000 0.30000000 -0.90000000 0.015032
-0.90000000 0.30000000 -0.75000000 0.015965
-0.90000000 0.30000000 -0.60000000 0.019001
-0.90000000 0.30000000 -0.45000000 0.026620
-0.90000000 0.30000000 -0.30000000 0.111746
-0.90000000 0.30000000 -0.15000000 0.567257
-0.90000000 0.30000000 0.00000000 0.676774
-0.90000000 0.30000000 0.15000000 0.557064
-0.90000000 0.30000000 0.30000000 0.097870
-0.90000000 0.30000000 0.45000000 0.023498
-0.90000000 0.30000000 0.60000000 0.015935
-0.90000000 0.30000000 0.75000000 0.012541
-0.90000000 0.30000000 0.90000000 0.014029
-0.90000000 0.30000000 1.05000000 0.016420
-0.90000000 0.45000000 -1.05000000 0.014643
-0.90000000 0.45000000 -0.90000000 0.015032
-0.90000000 0.45000000 -0.75000000 0.015832
-0.90000000 0.45000000 -0.60000000 0.018353
-0.90000000 0.45000000 -0.45000000 0.025441
-0.90000000 0.45000000 -0.30000000 0.107615
-0.90000000 0.45000000 -0.15000000 0.566861
-0.90000000 0.45000000 0.00000000 0.674426
-0.90000000 0.45000000 0.15000000 0.557266
-0.90000000 0.45000000 0.30000000 0.096983
-0.90000000 0.45000000 0.45000000 0.021412
-0.90000000 0.45000000 0.60000000 0.014198
-0.90000000 0.45000000 0.75000000 0.012644
-0.90000000 0.45000000 0.90000000 0.014421
-0.90000000 0.45000000 1.05000000 0.016709
-0.90000000 0.60000000 -1.05000000 0.014285
-0.90000000 0.60000000 -0.90000000 0.014584
-0.90000000 0.60000000 -0.75000000 0.015547
-0.90000000 0.60000000 -0.60000000 0.017918
-0.90000000 0.60000000 -0.45000000 0.024142
-0.90000000 0.60000000 -0.30000000 0.106768
-0.90000000 0.60000000 -0.15000000 0.562746
-0.90000000 0.60000000 0.00000000 0.671055
-0.90000000 0.60000000 0.15000000 0.554158
-0.90000000 0.60000000 0.30000000 0.096894
-0.90000000 0.60000000 0.45000000 0.018981
-0.90000000 0.60000000 0.60000000 0.013640
-0.90000000 0.60000000 0.75000000 0.012740
-0.90000000 0.60000000 0.90000000 0.015088
-0.90000000 0.60000000 1.05000000 0.017340
-0.90000000 0.75000000 -1.05000000 0.014012
-0.90000000 0.75000000 -0.90000000 0.014245
-0.90000000 0.75000000 -0.75000000 0.015623
-0.90000000 0.75000000 -0.60000000 0.018257
-0.90000000 0.75000000 -0.45000000 0.024776
-0.90000000 0.75000000 -0.30000000 0.106864
-0.90000000 0.75000000 -0.15000000 0.557396
-0.90000000 0.75000000 0.00000000 0.665196
-0.90000000 0.75000000 0.15000000 0.549113
-0.90000000 0.75000000 0.30000000 0.097080
-0.90000000 0.75000000 0.45000000 0.019389
-0.90000000 0.75000000 0.60000000 0.013976
-0.90000000 0.75000000 0.75000000 0.013624
-0.90000000 0.75000000 0.90000000 0.015949
-0.90000000 0.75000000 1.05000000 0.017656
-0.90000000 0.90000000 -1.05000000 0.014231
-0.90000000 0.90000000 -0.90000000 0.014600
-0.90000000 0.90000000 -0.75000000 0.015792
-0.90000000 0.90000000 -0.60000000 0.019286
-0.90000000 0.90000000 -0.45000000 0.026507
-0.90000000 0.90000000 -0.30000000 0.107977
-0.90000000 0.90000000 -0.15000000 0.547618
-0.90000000 0.90000000 0.00000000 0.656193
-0.90000000 0.90000000 0.15000000 0.540262
-0.90000000 0.90000000 0.30000000 0.098494
-0.90000000 0.90000000 0.45000000 0.021007
-0.90000000 0.90000000 0.60000000 0.015155
-0.90000000 0.90000000 0.75000000 0.014417
-0.90000000 0.90000000 0.90000000 0.016414
-0.90000000 0.90000000 1.05000000 0.018210
-0.90000000 1.05000000 -1.05000000 0.014411
-0.90000000 1.05000000 -0.90000000 0.014892
-0.90000000 1.05000000 -0.75000000 0.016786
-0.90000000 1.05000000 -0.60000000 0.021329
-0.90000000 1.05000000 -0.45000000 0.027822
-0.90000000 1.05000000 -0.30000000 0.110494
-0.90000000 1.05000000 -0.15000000 0.537485
-0.90000000 1.05000000 0.00000000 0.646325
-0.90000000 1.05000000 0.15000000 0.530766
-0.90000000 1.05000000 0.30000000 0.101636
-0.90000000 1.05000000 0.45000000 0.022229
-0.90000000 1.05000000 0.60000000 0.016603
-0.90000000 1.05000000 0.75000000 0.015244
-0.90000000 1.05000000 0.90000000 0.016762
-0.90000000 1.05000000 1.05000000 0.018592
-0.75000000 -1.05000000 -1.05000000 0.016045
-0.75000000 -1.05000000 -0.90000000 0.016633
-0.75000000 -1.05000000 -0.75000000 0.017609
-0.75000000 -1.05000000 -0.60000000 0.020326
-0.75000000 -1.05000000 -0.45000000 0.031701
-0.75000000 -1.05000000 -0.30000000 0.117841
-0.75000000 -1.05000000 -0.15000000 0.559057
-0.75000000 -1.05000000 0.00000000 0.661570
-0.75000000 -1.05000000 0.15000000 0.545828
-0.75000000 -1.05000000 0.30000000 0.101859
-0.75000000 -1.05000000 0.45000000 0.026450
-0.75000000 -1.05000000 0.60000000 0.015424
-0.75000000 -1.05000000 0.75000000 0.014411
-0.75000000 -1.05000000 0.90000000 0.016536
-0.75000000 -1.05000000 1.05000000 0.018586
-0.75000000 -0.90000000 -1.05000000 0.016281
-0.75000000 -0.90000000 -0.90000000 0.017074
-0.75000000 -0.90000000 -0.75000000 0.018599
-0.75000000 -0.90000000 -0.60000000 0.020346
-0.75000000 -0.90000000 -0.45000000 0.030927
-0.75000000 -0.90000000 -0.30000000 0.117432
-0.75000000 -0.90000000 -0.15000000 0.566420
-0.75000000 -0.90000000 0.00000000 0.670975
-0.75000000 -0.90000000 0.15000000 0.552962
-0.75000000 -0.90000000 0.30000000 0.100653
-0.75000000 -0.90000000 0.45000000 0.025597
-0.75000000 -0.90000000 0.60000000 0.014965
-0.75000000 -0.90000000 0.75000000 0.014962
-0.75000000 -0.90000000 0.90000000 0.016915
-0.75000000 -0.90000000 1.05000000 0.018330
-0.75000000 -0.75000000 -1.05000000 0.016370
-0.75000000 -0.75000000 -0.90000000 0.017612
-0.75000000 -0.75000000 -0.75000000 0.019007
-0.75000000 -0.75000000 -0.60000000 0.020901
-0.75000000 -0.75000000 -0.45000000 0.030429
-0.75000000 -0.75000000 -0.30000000 0.117422
-0.75000000 -0.75000000 -0.15000000 0.570525
