//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.003854
-1.05000000 -1.05000000 -0.90000000 0.004609
-1.05000000 -1.05000000 -0.75000000 0.006494
-1.05000000 -1.05000000 -0.60000000 0.008667
-1.05000000 -1.05000000 -0.45000000 0.014987
-1.05000000 -1.05000000 -0.30000000 0.035509
-1.05000000 -1.05000000 -0.15000000 0.136274
-1.05000000 -1.05000000 0.00000000 0.215775
-1.05000000 -1.05000000 0.15000000 0.094691
-1.05000000 -1.05000000 0.30000000 0.010059
-1.05000000 -1.05000000 0.45000000 0.006762
-1.05000000 -1.05000000 0.60000000 0.002734
-1.05000000 -1.05000000 0.75000000 0.001379
-1.05000000 -1.05000000 0.90000000 0.001375
-1.05000000 -1.05000000 1.05000000 0.001481
-1.05000000 -0.90000000 -1.05000000 0.003781
-1.05000000 -0.90000000 -0.90000000 0.004600
-1.05000000 -0.90000000 -0.75000000 0.006674
-1.05000000 -0.90000000 -0.60000000 0.008821
-1.05000000 -0.90000000 -0.45000000 0.014616
-1.05000000 -0.90000000 -0.30000000 0.035641
-1.05000000 -0.90000000 -0.15000000 0.137659
-1.05000000 -0.90000000 0.00000000 0.217249
-1.05000000 -0.90000000 0.15000000 0.094829
-1.05000000 -0.90000000 0.30000000 0.010641
-1.05000000 -0.90000000 0.45000000 0.006530
-1.05000000 -0.90000000 0.60000000 0.002292
-1.05000000 -0.90000000 0.75000000 0.001455
-1.05000000 -0.90000000 0.90000000 0.001423
-1.05000000 -0.90000000 1.05000000 0.001642
-1.05000000 -0.75000000 -1.05000000 0.004054
-1.05000000 -0.75000000 -0.90000000 0.004490
-1.05000000 -0.75000000 -0.75000000 0.006637
-1.05000000 -0.75000000 -0.60000000 0.009100
-1.05000000 -0.75000000 -0.45000000 0.014174
-1.05000000 -0.75000000 -0.30000000 0.035709
-1.05000000 -0.75000000 -0.15000000 0.138818
-1.05000000 -0.75000000 0.00000000 0.218186
-1.05000000 -0.75000000 0.15000000 0.095684
-1.05000000 -0.75000000 0.30000000 0.011064
-1.05000000 -0.75000000 0.45000000 0.006207
-1.05000000 -0.75000000 0.60000000 0.002103
-1.05000000 -0.75000000 0.75000000 0.001582
-1.05000000 -0.75000000 0.90000000 0.001613
-1.05000000 -0.75000000 1.05000000 0.001931
-1.05000000 -0.60000000 -1.05000000 0.004539
-1.05000000 -0.60000000 -0.90000000 0.004544
-1.05000000 -0.60000000 -0.75000000 0.006521
-1.05000000 -0.60000000 -0.60000000 0.009141
-1.05000000 -0.60000000 -0.45000000 0.013854
-1.05000000 -0.60000000 -0.30000000 0.035438
-1.05000000 -0.60000000 -0.15000000 0.139793
-1.05000000 -0.60000000 0.00000000 0.219172
-1.05000000 -0.60000000 0.15000000 0.096299
-1.05000000 -0.60000000 0.30000000 0.011507
-1.05000000 -0.60000000 0.45000000 0.005848
-1.05000000 -0.60000000 0.60000000 0.002178
-1.05000000 -0.60000000 0.75000000 0.001736
-1.05000000 -0.60000000 0.90000000 0.001836
-1.05000000 -0.60000000 1.05000000 0.002271
-1.05000000 -0.45000000 -1.05000000 0.005136
-1.05000000 -0.45000000 -0.90000000 0.004876
-1.05000000 -0.45000000 -0.75000000 0.006247
-1.05000000 -0.45000000 -0.60000000 0.008927
-1.05000000 -0.45000000 -0.45000000 0.013656
-1.05000000 -0.45000000 -0.30000000 0.034906
-1.05000000 -0.45000000 -0.15000000 0.140322
-1.05000000 -0.45000000 0.00000000 0.219411
-1.05000000 -0.45000000 0.15000000 0.097054
-1.05000000 -0.45000000 0.30000000 0.011907
-1.05000000 -0.45000000 0.45000000 0.005469
-1.05000000 -0.45000000 0.60000000 0.002338
-1.05000000 -0.45000000 0.75000000 0.001950
-1.05000000 -0.45000000 0.90000000 0.002130
-1.05000000 -0.45000000 1.05000000 0.002521
-1.05000000 -0.30000000 -1.05000000 0.005385
-1.05000000 -0.30000000 -0.90000000 0.005440
-1.05000000 -0.30000000 -0.75000000 0.006299
-1.05000000 -0.30000000 -0.60000000 0.008760
-1.05000000 -0.30000000 -0.45000000 0.013658
-1.05000000 -0.30000000 -0.30000000 0.035112
-1.05000000 -0.30000000 -0.15000000 0.140517
-1.05000000 -0.30000000 0.00000000 0.219739
-1.05000000 -0.30000000 0.15000000 0.097915
-1.05000000 -0.30000000 0.30000000 0.012248
-1.05000000 -0.30000000 0.45000000 0.005076
-1.05000000 -0.30000000 0.60000000 0.002645
-1.05000000 -0.30000000 0.75000000 0.002132
-1.05000000 -0.30000000 0.90000000 0.002376
-1.05000000 -0.30000000 1.05000000 0.002555
-1.05000000 -0.15000000 -1.05000000 0.005162
-1.05000000 -0.15000000 -0.90000000 0.005774
-1.05000000 -0.15000000 -0.75000000 0.006824
-1.05000000 -0.15000000 -0.60000000 0.008704
-1.05000000 -0.15000000 -0.45000000 0.013768
-1.05000000 -0.15000000 -0.30000000 0.034878
-1.05000000 -0.15000000 -0.15000000 0.140359
-1.05000000 -0.15000000 0.00000000 0.220258
-1.05000000 -0.15000000 0.15000000 0.098713
-1.05000000 -0.15000000 0.30000000 0.012426
-1.05000000 -0.15000000 0.45000000 0.004729
-1.05000000 -0.15000000 0.60000000 0.002972
-1.05000000 -0.15000000 0.75000000 0.002489
-1.05000000 -0.15000000 0.90000000 0.002495
-1.05000000 -0.15000000 1.05000000 0.002349
-1.05000000 0.00000000 -1.05000000 0.004488
-1.05000000 0.00000000 -0.90000000 0.005539
-1.05000000 0.00000000 -0.75000000 0.007203
-1.05000000 0.00000000 -0.60000000 0.008970
-1.05000000 0.00000000 -0.45000000 0.013737
-1.05000000 0.00000000 -0.30000000 0.034358
-1.05000000 0.00000000 -0.15000000 0.140426
-1.05000000 0.00000000 0.00000000 0.220483
-1.05000000 0.00000000 0.15000000 0.099328
-1.05000000 0.00000000 0.30000000 0.012474
-1.05000000 0.00000000 0.45000000 0.004572
-1.05000000 0.00000000 0.60000000 0.003270
-1.05000000 0.00000000 0.75000000 0.002716
-1.05000000 0.00000000 0.90000000 0.002361
-1.05000000 0.00000000 1.05000000 0.001976
-1.05000000 0.15000000 -1.05000000 0.003850
-1.05000000 0.15000000 -0.90000000 0.004926
-1.05000000 0.15000000 -0.75000000 0.007142
-1.05000000 0.15000000 -0.60000000 0.009270
-1.05000000 0.15000000 -0.45000000 0.013896
-1.05000000 0.15000000 -0.30000000 0.033473
-1.05000000 0.15000000 -0.15000000 0.139319
-1.05000000 0.15000000 0.00000000 0.220675
-1.05000000 0.15000000 0.15000000 0.099832
-1.05000000 0.15000000 0.30000000 0.012440
-1.05000000 0.15000000 0.45000000 0.004627
-1.05000000 0.15000000 0.60000000 0.003431
-1.05000000 0.15000000 0.75000000 0.002687
-1.05000000 0.15000000 0.90000000 0.002024
-1.05000000 0.15000000 1.05000000 0.001680
-1.05000000 0.30000000 -1.05000000 0.003544
-1.05000000 0.30000000 -0.90000000 0.004301
-1.05000000 0.30000000 -0.75000000 0.006714
-1.05000000 0.30000000 -0.60000000 0.009553
