//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.049720
-1.05000000 -1.05000000 -0.90000000 0.055712
-1.05000000 -1.05000000 -0.75000000 0.064668
-1.05000000 -1.05000000 -0.60000000 0.084642
-1.05000000 -1.05000000 -0.45000000 0.129667
-1.05000000 -1.05000000 -0.30000000 0.384166
-1.05000000 -1.05000000 -0.15000000 0.661221
-1.05000000 -1.05000000 0.00000000 0.649165
-1.05000000 -1.05000000 0.15000000 0.568106
-1.05000000 -1.05000000 0.30000000 0.207630
-1.05000000 -1.05000000 0.45000000 0.053394
-1.05000000 -1.05000000 0.60000000 0.043139
-1.05000000 -1.05000000 0.75000000 0.031235
-1.05000000 -1.05000000 0.90000000 0.024920
-1.05000000 -1.05000000 1.05000000 0.024036
-1.05000000 -0.90000000 -1.05000000 0.051094
-1.05000000 -0.90000000 -0.90000000 0.057149
-1.05000000 -0.90000000 -0.75000000 0.066030
-1.05000000 -0.90000000 -0.60000000 0.086026
-1.05000000 -0.90000000 -0.45000000 0.131307
-1.05000000 -0.90000000 -0.30000000 0.387830
-1.05000000 -0.90000000 -0.15000000 0.667828
-1.05000000 -0.90000000 0.00000000 0.653961
-1.05000000 -0.90000000 0.15000000 0.573708
-1.05000000 -0.90000000 0.30000000 0.207516
-1.05000000 -0.90000000 0.45000000 0.052335
-1.05000000 -0.90000000 0.60000000 0.041513
-1.05000000 -0.90000000 0.75000000 0.028456
-1.05000000 -0.90000000 0.90000000 0.024196
-1.05000000 -0.90000000 1.05000000 0.023809
-1.05000000 -0.75000000 -1.05000000 0.052319
-1.05000000 -0.75000000 -0.90000000 0.058298
-1.05000000 -0.75000000 -0.75000000 0.066976
-1.05000000 -0.75000000 -0.60000000 0.086766
-1.05000000 -0.75000000 -0.45000000 0.132596
-1.05000000 -0.75000000 -0.30000000 0.390854
-1.05000000 -0.75000000 -0.15000000 0.672518
-1.05000000 -0.75000000 0.00000000 0.658427
-1.05000000 -0.75000000 0.15000000 0.577929
-1.05000000 -0.75000000 0.30000000 0.206776
-1.05000000 -0.75000000 0.45000000 0.051662
-1.05000000 -0.75000000 0.60000000 0.040150
-1.05000000 -0.75000000 0.75000000 0.027591
-1.05000000 -0.75000000 0.90000000 0.024823
-1.05000000 -0.75000000 1.05000000 0.024142
-1.05000000 -0.60000000 -1.05000000 0.053553
-1.05000000 -0.60000000 -0.90000000 0.058971
-1.05000000 -0.60000000 -0.75000000 0.067794
-1.05000000 -0.60000000 -0.60000000 0.086737
-1.05000000 -0.60000000 -0.45000000 0.133961
-1.05000000 -0.60000000 -0.30000000 0.393123
-1.05000000 -0.60000000 -0.15000000 0.675497
-1.05000000 -0.60000000 0.00000000 0.662232
-1.05000000 -0.60000000 0.15000000 0.580486
-1.05000000 -0.60000000 0.30000000 0.206499
-1.05000000 -0.60000000 0.45000000 0.051711
-1.05000000 -0.60000000 0.60000000 0.039644
-1.05000000 -0.60000000 0.75000000 0.027917
-1.05000000 -0.60000000 0.90000000 0.025845
-1.05000000 -0.60000000 1.05000000 0.024856
-1.05000000 -0.45000000 -1.05000000 0.054649
-1.05000000 -0.45000000 -0.90000000 0.059677
-1.05000000 -0.45000000 -0.75000000 0.068217
-1.05000000 -0.45000000 -0.60000000 0.086163
-1.05000000 -0.45000000 -0.45000000 0.135218
-1.05000000 -0.45000000 -0.30000000 0.394651
-1.05000000 -0.45000000 -0.15000000 0.677010
-1.05000000 -0.45000000 0.00000000 0.665866
-1.05000000 -0.45000000 0.15000000 0.582037
-1.05000000 -0.45000000 0.30000000 0.206310
-1.05000000 -0.45000000 0.45000000 0.052299
-1.05000000 -0.45000000 0.60000000 0.039408
-1.05000000 -0.45000000 0.75000000 0.029476
-1.05000000 -0.45000000 0.90000000 0.027385
-1.05000000 -0.45000000 1.05000000 0.025887
-1.05000000 -0.30000000 -1.05000000 0.055285
-1.05000000 -0.30000000 -0.90000000 0.060638
-1.05000000 -0.30000000 -0.75000000 0.068971
-1.05000000 -0.30000000 -0.60000000 0.085804
-1.05000000 -0.30000000 -0.45000000 0.136094
-1.05000000 -0.30000000 -0.30000000 0.396078
-1.05000000 -0.30000000 -0.15000000 0.677898
-1.05000000 -0.30000000 0.00000000 0.669028
-1.05000000 -0.30000000 0.15000000 0.582425
-1.05000000 -0.30000000 0.30000000 0.206568
-1.05000000 -0.30000000 0.45000000 0.053613
-1.05000000 -0.30000000 0.60000000 0.039402
-1.05000000 -0.30000000 0.75000000 0.031349
-1.05000000 -0.30000000 0.90000000 0.028867
-1.05000000 -0.30000000 1.05000000 0.026551
-1.05000000 -0.15000000 -1.05000000 0.055426
-1.05000000 -0.15000000 -0.90000000 0.061210
-1.05000000 -0.15000000 -0.75000000 0.070014
-1.05000000 -0.15000000 -0.60000000 0.086192
-1.05000000 -0.15000000 -0.45000000 0.136337
-1.05000000 -0.15000000 -0.30000000 0.396730
-1.05000000 -0.15000000 -0.15000000 0.677863
-1.05000000 -0.15000000 0.00000000 0.671386
-1.05000000 -0.15000000 0.15000000 0.582331
-1.05000000 -0.15000000 0.30000000 0.207936
-1.05000000 -0.15000000 0.45000000 0.055602
-1.05000000 -0.15000000 0.60000000 0.039816
-1.05000000 -0.15000000 0.75000000 0.033173
-1.05000000 -0.15000000 0.90000000 0.029926
-1.05000000 -0.15000000 1.05000000 0.026529
-1.05000000 0.00000000 -1.05000000 0.055149
-1.05000000 0.00000000 -0.90000000 0.061512
-1.05000000 0.00000000 -0.75000000 0.070775
-1.05000000 0.00000000 -0.60000000 0.086490
-1.05000000 0.00000000 -0.45000000 0.135810
-1.05000000 0.00000000 -0.30000000 0.396360
-1.05000000 0.00000000 -0.15000000 0.676572
-1.05000000 0.00000000 0.00000000 0.672216
-1.05000000 0.00000000 0.15000000 0.581641
-1.05000000 0.00000000 0.30000000 0.209084
-1.05000000 0.00000000 0.45000000 0.057893
-1.05000000 0.00000000 0.60000000 0.040674
-1.05000000 0.00000000 0.75000000 0.034651
-1.05000000 0.00000000 0.90000000 0.030307
-1.05000000 0.00000000 1.05000000 0.026094
-1.05000000 0.15000000 -1.05000000 0.054519
-1.05000000 0.15000000 -0.90000000 0.061439
-1.05000000 0.15000000 -0.75000000 0.070894
-1.05000000 0.15000000 -0.60000000 0.087013
-1.05000000 0.15000000 -0.45000000 0.134792
-1.05000000 0.15000000 -0.30000000 0.394559
-1.05000000 0.15000000 -0.15000000 0.674335
-1.05000000 0.15000000 0.00000000 0.671473
-1.05000000 0.15000000 0.15000000 0.580804
-1.05000000 0.15000000 0.30000000 0.210646
-1.05000000 0.15000000 0.45000000 0.059986
-1.05000000 0.15000000 0.60000000 0.042087
-1.05000000 0.15000000 0.75000000 0.035338
-1.05000000 0.15000000 0.90000000 0.030009
-1.05000000 0.15000000 1.05000000 0.025174
-1.05000000 0.30000000 -1.05000000 0.053648
-1.05000000 0.30000000 -0.90000000 0.060642
-1.05000000 0.30000000 -0.75000000 0.070236
-1.05000000 0.30000000 -0.60000000 0.087189
-1.05000000 0.30000000 -0.45000000 0.133837
-1.05000000 0.30000000 -0.30000000 0.392138
-1.05000000 0.30000000 -0.15000000 0.671134
-1.05000000 0.30000000 0.00000000 0.669016
