//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.000000
-1.05000000 -1.05000000 -0.90000000 0.000000
-1.05000000 -1.05000000 -0.75000000 0.000000
-1.05000000 -1.05000000 -0.60000000 0.001930
-1.05000000 -1.05000000 -0.45000000 0.068821
-1.05000000 -1.05000000 -0.30000000 0.564027
-1.05000000 -1.05000000 -0.15000000 0.884659
-1.05000000 -1.05000000 0.00000000 0.558658
-1.05000000 -1.05000000 0.15000000 0.031376
-1.05000000 -1.05000000 0.30000000 0.000180
-1.05000000 -1.05000000 0.45000000 0.000072
-1.05000000 -1.05000000 0.60000000 0.000067
-1.05000000 -1.05000000 0.75000000 0.000014
-1.05000000 -1.05000000 0.90000000 0.000000
-1.05000000 -1.05000000 1.05000000 0.000000
-1.05000000 -0.90000000 -1.05000000 0.000000
-1.05000000 -0.90000000 -0.90000000 0.000000
-1.05000000 -0.90000000 -0.75000000 0.000000
-1.05000000 -0.90000000 -0.60000000 0.001970
-1.05000000 -0.90000000 -0.45000000 0.069494
-1.05000000 -0.90000000 -0.30000000 0.574218
-1.05000000 -0.90000000 -0.15000000 0.886424
-1.05000000 -0.90000000 0.00000000 0.553698
-1.05000000 -0.90000000 0.15000000 0.028538
-1.05000000 -0.90000000 0.30000000 0.000161
-1.05000000 -0.90000000 0.45000000 0.000077
-1.05000000 -0.90000000 0.60000000 0.000073
-1.05000000 -0.90000000 0.75000000 0.000012
-1.05000000 -0.90000000 0.90000000 0.000000
-1.05000000 -0.90000000 1.05000000 0.000000
-1.05000000 -0.75000000 -1.05000000 0.000000
-1.05000000 -0.75000000 -0.90000000 0.000000
-1.05000000 -0.75000000 -0.75000000 0.000000
-1.05000000 -0.75000000 -0.60000000 0.002072
-1.05000000 -0.75000000 -0.45000000 0.070309
-1.05000000 -0.75000000 -0.30000000 0.584165
-1.05000000 -0.75000000 -0.15000000 0.888142
-1.05000000 -0.75000000 0.00000000 0.547790
-1.05000000 -0.75000000 0.15000000 0.026109
-1.05000000 -0.75000000 0.30000000 0.000135
-1.05000000 -0.75000000 0.45000000 0.000074
-1.05000000 -0.75000000 0.60000000 0.000067
-1.05000000 -0.75000000 0.75000000 0.000016
-1.05000000 -0.75000000 0.90000000 0.000000
-1.05000000 -0.75000000 1.05000000 0.000000
-1.05000000 -0.60000000 -1.05000000 0.000000
-1.05000000 -0.60000000 -0.90000000 0.000000
-1.05000000 -0.60000000 -0.75000000 0.000000
-1.05000000 -0.60000000 -0.60000000 0.002161
-1.05000000 -0.60000000 -0.45000000 0.071361
-1.05000000 -0.60000000 -0.30000000 0.593763
-1.05000000 -0.60000000 -0.15000000 0.889597
-1.05000000 -0.60000000 0.00000000 0.541933
-1.05000000 -0.60000000 0.15000000 0.023860
-1.05000000 -0.60000000 0.30000000 0.000125
-1.05000000 -0.60000000 0.45000000 0.000076
-1.05000000 -0.60000000 0.60000000 0.000065
-1.05000000 -0.60000000 0.75000000 0.000015
-1.05000000 -0.60000000 0.90000000 0.000000
-1.05000000 -0.60000000 1.05000000 0.000000
-1.05000000 -0.45000000 -1.05000000 0.000000
-1.05000000 -0.45000000 -0.90000000 0.000000
-1.05000000 -0.45000000 -0.75000000 0.000000
-1.05000000 -0.45000000 -0.60000000 0.002312
-1.05000000 -0.45000000 -0.45000000 0.072434
-1.05000000 -0.45000000 -0.30000000 0.603391
-1.05000000 -0.45000000 -0.15000000 0.891268
-1.05000000 -0.45000000 0.00000000 0.535095
-1.05000000 -0.45000000 0.15000000 0.021924
