//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.369745
-1.05000000 -1.05000000 -0.90000000 0.368800
-1.05000000 -1.05000000 -0.75000000 0.367275
-1.05000000 -1.05000000 -0.60000000 0.365231
-1.05000000 -1.05000000 -0.45000000 0.363294
-1.05000000 -1.05000000 -0.30000000 0.361052
-1.05000000 -1.05000000 -0.15000000 0.358181
-1.05000000 -1.05000000 0.00000000 0.354657
-1.05000000 -1.05000000 0.15000000 0.350921
-1.05000000 -1.05000000 0.30000000 0.347096
-1.05000000 -1.05000000 0.45000000 0.343196
-1.05000000 -1.05000000 0.60000000 0.339179
-1.05000000 -1.05000000 0.75000000 0.334823
-1.05000000 -1.05000000 0.90000000 0.330177
-1.05000000 -1.05000000 1.05000000 0.325711
-1.05000000 -0.90000000 -1.05000000 0.369245
-1.05000000 -0.90000000 -0.90000000 0.368184
-1.05000000 -0.90000000 -0.75000000 0.366750
-1.05000000 -0.90000000 -0.60000000 0.364717
-1.05000000 -0.90000000 -0.45000000 0.362899
-1.05000000 -0.90000000 -0.30000000 0.360707
-1.05000000 -0.90000000 -0.15000000 0.357945
-1.05000000 -0.90000000 0.00000000 0.354731
-1.05000000 -0.90000000 0.15000000 0.350801
-1.05000000 -0.90000000 0.30000000 0.347003
-1.05000000 -0.90000000 0.45000000 0.343398
-1.05000000 -0.90000000 0.60000000 0.339492
-1.05000000 -0.90000000 0.75000000 0.335262
-1.05000000 -0.90000000 0.90000000 0.330756
-1.05000000 -0.90000000 1.05000000 0.326069
-1.05000000 -0.75000000 -1.05000000 0.368792
-1.05000000 -0.75000000 -0.90000000 0.367677
-1.05000000 -0.75000000 -0.75000000 0.366140
-1.05000000 -0.75000000 -0.60000000 0.364390
-1.05000000 -0.75000000 -0.45000000 0.362599
-1.05000000 -0.75000000 -0.30000000 0.360380
-1.05000000 -0.75000000 -0.15000000 0.357661
-1.05000000 -0.75000000 0.00000000 0.354505
-1.05000000 -0.75000000 0.15000000 0.350811
-1.05000000 -0.75000000 0.30000000 0.347036
-1.05000000 -0.75000000 0.45000000 0.343459
-1.05000000 -0.75000000 0.60000000 0.339580
-1.05000000 -0.75000000 0.75000000 0.335389
-1.05000000 -0.75000000 0.90000000 0.331067
-1.05000000 -0.75000000 1.05000000 0.326461
-1.05000000 -0.60000000 -1.05000000 0.368425
-1.05000000 -0.60000000 -0.90000000 0.367313
-1.05000000 -0.60000000 -0.75000000 0.365647
-1.05000000 -0.60000000 -0.60000000 0.363889
-1.05000000 -0.60000000 -0.45000000 0.362045
-1.05000000 -0.60000000 -0.30000000 0.359901
-1.05000000 -0.60000000 -0.15000000 0.357213
-1.05000000 -0.60000000 0.00000000 0.353935
