//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.006057
-1.05000000 -1.05000000 -0.90000000 0.008965
-1.05000000 -1.05000000 -0.75000000 0.012923
-1.05000000 -1.05000000 -0.60000000 0.015255
-1.05000000 -1.05000000 -0.45000000 0.015478
-1.05000000 -1.05000000 -0.30000000 0.017119
-1.05000000 -1.05000000 -0.15000000 0.044259
-1.05000000 -1.05000000 0.00000000 0.105587
-1.05000000 -1.05000000 0.15000000 0.089167
-1.05000000 -1.05000000 0.30000000 0.017973
-1.05000000 -1.05000000 0.45000000 0.002971
-1.05000000 -1.05000000 0.60000000 0.001150
-1.05000000 -1.05000000 0.75000000 0.000651
-1.05000000 -1.05000000 0.90000000 0.000449
-1.05000000 -1.05000000 1.05000000 0.000304
-1.05000000 -0.90000000 -1.05000000 0.006127
-1.05000000 -0.90000000 -0.90000000 0.008950
-1.05000000 -0.90000000 -0.75000000 0.013003
-1.05000000 -0.90000000 -0.60000000 0.015323
-1.05000000 -0.90000000 -0.45000000 0.015606
-1.05000000 -0.90000000 -0.30000000 0.017170
-1.05000000 -0.90000000 -0.15000000 0.044113
-1.05000000 -0.90000000 0.00000000 0.106273
-1.05000000 -0.90000000 0.15000000 0.089446
-1.05000000 -0.90000000 0.30000000 0.017778
-1.05000000 -0.90000000 0.45000000 0.002957
-1.05000000 -0.90000000 0.60000000 0.001128
-1.05000000 -0.90000000 0.75000000 0.000650
-1.05000000 -0.90000000 0.90000000 0.000474
-1.05000000 -0.90000000 1.05000000 0.000311
-1.05000000 -0.75000000 -1.05000000 0.006130
-1.05000000 -0.75000000 -0.90000000 0.009021
-1.05000000 -0.75000000 -0.75000000 0.012985
-1.05000000 -0.75000000 -0.60000000 0.015386
-1.05000000 -0.75000000 -0.45000000 0.015580
-1.05000000 -0.75000000 -0.30000000 0.017314
-1.05000000 -0.75000000 -0.15000000 0.044062
-1.05000000 -0.75000000 0.00000000 0.106305
-1.05000000 -0.75000000 0.15000000 0.090218
-1.05000000 -0.75000000 0.30000000 0.017756
-1.05000000 -0.75000000 0.45000000 0.002967
-1.05000000 -0.75000000 0.60000000 0.001174
-1.05000000 -0.75000000 0.75000000 0.000693
-1.05000000 -0.75000000 0.90000000 0.000482
-1.05000000 -0.75000000 1.05000000 0.000346
-1.05000000 -0.60000000 -1.05000000 0.006200
-1.05000000 -0.60000000 -0.90000000 0.009077
-1.05000000 -0.60000000 -0.75000000 0.012923
-1.05000000 -0.60000000 -0.60000000 0.015269
-1.05000000 -0.60000000 -0.45000000 0.015684
-1.05000000 -0.60000000 -0.30000000 0.017560
-1.05000000 -0.60000000 -0.15000000 0.043731
-1.05000000 -0.60000000 0.00000000 0.106681
-1.05000000 -0.60000000 0.15000000 0.090805
-1.05000000 -0.60000000 0.30000000 0.017809
-1.05000000 -0.60000000 0.45000000 0.003021
-1.05000000 -0.60000000 0.60000000 0.001239
-1.05000000 -0.60000000 0.75000000 0.000726
-1.05000000 -0.60000000 0.90000000 0.000500
-1.05000000 -0.60000000 1.05000000 0.000359
-1.05000000 -0.45000000 -1.05000000 0.006213
-1.05000000 -0.45000000 -0.90000000 0.009172
-1.05000000 -0.45000000 -0.75000000 0.012969
-1.05000000 -0.45000000 -0.60000000 0.015246
-1.05000000 -0.45000000 -0.45000000 0.015920
-1.05000000 -0.45000000 -0.30000000 0.017748
-1.05000000 -0.45000000 -0.15000000 0.043539
-1.05000000 -0.45000000 0.00000000 0.106512
-1.05000000 -0.45000000 0.15000000 0.091369
-1.05000000 -0.45000000 0.30000000 0.017829
-1.05000000 -0.45000000 0.45000000 0.003105
-1.05000000 -0.45000000 0.60000000 0.001329
-1.05000000 -0.45000000 0.75000000 0.000738
-1.05000000 -0.45000000 0.90000000 0.000535
-1.05000000 -0.45000000 1.05000000 0.000353
-1.05000000 -0.30000000 -1.05000000 0.006246
-1.05000000 -0.30000000 -0.90000000 0.009374
-1.05000000 -0.30000000 -0.75000000 0.012968
-1.05000000 -0.30000000 -0.60000000 0.015159
-1.05000000 -0.30000000 -0.45000000 0.015921
-1.05000000 -0.30000000 -0.30000000 0.017888
-1.05000000 -0.30000000 -0.15000000 0.043305
-1.05000000 -0.30000000 0.00000000 0.106824
-1.05000000 -0.30000000 0.15000000 0.091617
-1.05000000 -0.30000000 0.30000000 0.017979
-1.05000000 -0.30000000 0.45000000 0.003184
-1.05000000 -0.30000000 0.60000000 0.001397
-1.05000000 -0.30000000 0.75000000 0.000779
-1.05000000 -0.30000000 0.90000000 0.000547
-1.05000000 -0.30000000 1.05000000 0.000397
-1.05000000 -0.15000000 -1.05000000 0.006243
-1.05000000 -0.15000000 -0.90000000 0.009438
-1.05000000 -0.15000000 -0.75000000 0.012764
-1.05000000 -0.15000000 -0.60000000 0.015067
-1.05000000 -0.15000000 -0.45000000 0.016012
-1.05000000 -0.15000000 -0.30000000 0.017932
-1.05000000 -0.15000000 -0.15000000 0.042886
-1.05000000 -0.15000000 0.00000000 0.106294
-1.05000000 -0.15000000 0.15000000 0.091870
-1.05000000 -0.15000000 0.30000000 0.018388
-1.05000000 -0.15000000 0.45000000 0.003260
-1.05000000 -0.15000000 0.60000000 0.001452
-1.05000000 -0.15000000 0.75000000 0.000820
-1.05000000 -0.15000000 0.90000000 0.000567
-1.05000000 -0.15000000 1.05000000 0.000389
-1.05000000 0.00000000 -1.05000000 0.006263
-1.05000000 0.00000000 -0.90000000 0.009425
-1.05000000 0.00000000 -0.75000000 0.012616
-1.05000000 0.00000000 -0.60000000 0.014860
-1.05000000 0.00000000 -0.45000000 0.016124
-1.05000000 0.00000000 -0.30000000 0.017692
-1.05000000 0.00000000 -0.15000000 0.042665
-1.05000000 0.00000000 0.00000000 0.106214
-1.05000000 0.00000000 0.15000000 0.091775
-1.05000000 0.00000000 0.30000000 0.018638
-1.05000000 0.00000000 0.45000000 0.003414
-1.05000000 0.00000000 0.60000000 0.001513
-1.05000000 0.00000000 0.75000000 0.000868
-1.05000000 0.00000000 0.90000000 0.000594
-1.05000000 0.00000000 1.05000000 0.000395
-1.05000000 0.15000000 -1.05000000 0.006256
-1.05000000 0.15000000 -0.90000000 0.009301
-1.05000000 0.15000000 -0.75000000 0.012377
-1.05000000 0.15000000 -0.60000000 0.014796
-1.05000000 0.15000000 -0.45000000 0.016050
-1.05000000 0.15000000 -0.30000000 0.017602
-1.05000000 0.15000000 -0.15000000 0.042331
-1.05000000 0.15000000 0.00000000 0.105301
-1.05000000 0.15000000 0.15000000 0.091471
-1.05000000 0.15000000 0.30000000 0.019110
-1.05000000 0.15000000 0.45000000 0.003550
-1.05000000 0.15000000 0.60000000 0.001563
-1.05000000 0.15000000 0.75000000 0.000889
-1.05000000 0.15000000 0.90000000 0.000624
-1.05000000 0.15000000 1.05000000 0.000451
-1.05000000 0.30000000 -1.05000000 0.006133
-1.05000000 0.30000000 -0.90000000 0.009192
-1.05000000 0.30000000 -0.75000000 0.012271
-1.05000000 0.30000000 -0.60000000 0.014619
-1.05000000 0.30000000 -0.45000000 0.015898
-1.05000000 0.30000000 -0.30000000 0.017455
-1.05000000 0.30000000 -0.15000000 0.041921
-1.05000000 0.30000000 0.00000000 0.104493
-1.05000000 0.30000000 0.15000000 0.090854
-1.05000000 0.30000000 0.30000000 0.019620
-1.05000000 0.30000000 0.45000000 0.003712
-1.05000000 0.30000000 0.60000000 0.001557
-1.05000000 0.30000000 0.75000000 0.000880
-1.05000000 0.30000000 0.90000000 0.000647
-1.05000000 0.30000000 1.05000000 0.000553
-1.05000000 0.45000000 -1.05000000 0.006061
-1.05000000 0.45000000 -0.90000000 0.009090
-1.05000000 0.45000000 -0.75000000 0.012080
-1.05000000 0.45000000 -0.60000000 0.014411
-1.05000000 0.45000000 -0.45000000 0.015675
-1.05000000 0.45000000 -0.30000000 0.017386
-1.05000000 0.45000000 -0.15000000 0.041660
-1.05000000 0.45000000 0.00000000 0.103193
-1.05000000 0.45000000 0.15000000 0.090451
-1.05000000 0.45000000 0.30000000 0.020080
-1.05000000 0.45000000 0.45000000 0.003874
-1.05000000 0.45000000 0.60000000 0.001692
-1.05000000 0.45000000 0.75000000 0.000884
-1.05000000 0.45000000 0.90000000 0.000715
-1.05000000 0.45000000 1.05000000 0.000591
-1.05000000 0.60000000 -1.05000000 0.006053
-1.05000000 0.60000000 -0.90000000 0.009025
-1.05000000 0.60000000 -0.75000000 0.012082
-1.05000000 0.60000000 -0.60000000 0.014337
-1.05000000 0.60000000 -0.45000000 0.015572
-1.05000000 0.60000000 -0.30000000 0.017154
-1.05000000 0.60000000 -0.15000000 0.041286
-1.05000000 0.60000000 0.00000000 0.102179
-1.05000000 0.60000000 0.15000000 0.089727
-1.05000000 0.60000000 0.30000000 0.020603
-1.05000000 0.60000000 0.45000000 0.003967
-1.05000000 0.60000000 0.60000000 0.001759
-1.05000000 0.60000000 0.75000000 0.000939
-1.05000000 0.60000000 0.90000000 0.000761
-1.05000000 0.60000000 1.05000000 0.000562
-1.05000000 0.75000000 -1.05000000 0.005961
-1.05000000 0.75000000 -0.90000000 0.008926
-1.05000000 0.75000000 -0.75000000 0.012027
-1.05000000 0.75000000 -0.60000000 0.014301
-1.05000000 0.75000000 -0.45000000 0.015344
-1.05000000 0.75000000 -0.30000000 0.017077
-1.05000000 0.75000000 -0.15000000 0.040994
-1.05000000 0.75000000 0.00000000 0.100935
-1.05000000 0.75000000 0.15000000 0.089155
-1.05000000 0.75000000 0.30000000 0.021123
-1.05000000 0.75000000 0.45000000 0.004096
-1.05000000 0.75000000 0.60000000 0.001816
-1.05000000 0.75000000 0.75000000 0.000972
-1.05000000 0.75000000 0.90000000 0.000870
-1.05000000 0.75000000 1.05000000 0.000587
-1.05000000 0.90000000 -1.05000000 0.005815
-1.05000000 0.90000000 -0.90000000 0.009020
-1.05000000 0.90000000 -0.75000000 0.012024
-1.05000000 0.90000000 -0.60000000 0.014091
-1.05000000 0.90000000 -0.45000000 0.015084
-1.05000000 0.90000000 -0.30000000 0.016821
-1.05000000 0.90000000 -0.15000000 0.040675
-1.05000000 0.90000000 0.00000000 0.099768
-1.05000000 0.90000000 0.15000000 0.088492
-1.05000000 0.90000000 0.30000000 0.021632
-1.05000000 0.90000000 0.45000000 0.004127
-1.05000000 0.90000000 0.60000000 0.001834
-1.05000000 0.90000000 0.75000000 0.001081
-1.05000000 0.90000000 0.90000000 0.000930
-1.05000000 0.90000000 1.05000000 0.000622
-1.05000000 1.05000000 -1.05000000 0.005770
-1.05000000 1.05000000 -0.90000000 0.009020
-1.05000000 1.05000000 -0.75000000 0.012285
-1.05000000 1.05000000 -0.60000000 0.013892
-1.05000000 1.05000000 -0.45000000 0.014827
-1.05000000 1.05000000 -0.30000000 0.016806
-1.05000000 1.05000000 -0.15000000 0.040542
-1.05000000 1.05000000 0.00000000 0.098398
-1.05000000 1.05000000 0.15000000 0.087874
-1.05000000 1.05000000 0.30000000 0.022144
-1.05000000 1.05000000 0.45000000 0.004200
-1.05000000 1.05000000 0.60000000 0.001901
-1.05000000 1.05000000 0.75000000 0.001111
-1.05000000 1.05000000 0.90000000 0.000997
-1.05000000 1.05000000 1.05000000 0.000655
-0.90000000 -1.05000000 -1.05000000 0.006007
-0.90000000 -1.05000000 -0.90000000 0.008808
-0.90000000 -1.05000000 -0.75000000 0.012948
-0.90000000 -1.05000000 -0.60000000 0.015581
-0.90000000 -1.05000000 -0.45000000 0.015862
-0.90000000 -1.05000000 -0.30000000 0.017470
-0.90000000 -1.05000000 -0.15000000 0.043820
-0.90000000 -1.05000000 0.00000000 0.106490
-0.90000000 -1.05000000 0.15000000 0.090399
-0.90000000 -1.05000000 0.30000000 0.018003
-0.90000000 -1.05000000 0.45000000 0.002800
-0.90000000 -1.05000000 0.60000000 0.001036
-0.90000000 -1.05000000 0.75000000 0.000537
-0.90000000 -1.05000000 0.90000000 0.000325
-0.90000000 -1.05000000 1.05000000 0.000229
