//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.030612
-1.05000000 -1.05000000 -0.90000000 0.037711
-1.05000000 -1.05000000 -0.75000000 0.045343
-1.05000000 -1.05000000 -0.60000000 0.050467
-1.05000000 -1.05000000 -0.45000000 0.053570
-1.05000000 -1.05000000 -0.30000000 0.068455
-1.05000000 -1.05000000 -0.15000000 0.147650
-1.05000000 -1.05000000 0.00000000 0.164240
-1.05000000 -1.05000000 0.15000000 0.151361
-1.05000000 -1.05000000 0.30000000 0.098107
-1.05000000 -1.05000000 0.45000000 0.022614
-1.05000000 -1.05000000 0.60000000 0.011635
-1.05000000 -1.05000000 0.75000000 0.008562
-1.05000000 -1.05000000 0.90000000 0.006740
-1.05000000 -1.05000000 1.05000000 0.005271
-1.05000000 -0.90000000 -1.05000000 0.030524
-1.05000000 -0.90000000 -0.90000000 0.038097
-1.05000000 -0.90000000 -0.75000000 0.045891
-1.05000000 -0.90000000 -0.60000000 0.051185
-1.05000000 -0.90000000 -0.45000000 0.054375
-1.05000000 -0.90000000 -0.30000000 0.068824
-1.05000000 -0.90000000 -0.15000000 0.148556
-1.05000000 -0.90000000 0.00000000 0.164916
-1.05000000 -0.90000000 0.15000000 0.152270
-1.05000000 -0.90000000 0.30000000 0.098887
-1.05000000 -0.90000000 0.45000000 0.022774
-1.05000000 -0.90000000 0.60000000 0.011578
-1.05000000 -0.90000000 0.75000000 0.008506
-1.05000000 -0.90000000 0.90000000 0.006717
-1.05000000 -0.90000000 1.05000000 0.005367
-1.05000000 -0.75000000 -1.05000000 0.030657
-1.05000000 -0.75000000 -0.90000000 0.038395
-1.05000000 -0.75000000 -0.75000000 0.046319
-1.05000000 -0.75000000 -0.60000000 0.051733
-1.05000000 -0.75000000 -0.45000000 0.055229
-1.05000000 -0.75000000 -0.30000000 0.068976
-1.05000000 -0.75000000 -0.15000000 0.149353
-1.05000000 -0.75000000 0.00000000 0.165685
-1.05000000 -0.75000000 0.15000000 0.152825
-1.05000000 -0.75000000 0.30000000 0.099770
-1.05000000 -0.75000000 0.45000000 0.022973
-1.05000000 -0.75000000 0.60000000 0.011702
-1.05000000 -0.75000000 0.75000000 0.008545
-1.05000000 -0.75000000 0.90000000 0.006832
-1.05000000 -0.75000000 1.05000000 0.005446
-1.05000000 -0.60000000 -1.05000000 0.030841
-1.05000000 -0.60000000 -0.90000000 0.038688
-1.05000000 -0.60000000 -0.75000000 0.046507
-1.05000000 -0.60000000 -0.60000000 0.052167
-1.05000000 -0.60000000 -0.45000000 0.055636
-1.05000000 -0.60000000 -0.30000000 0.068927
-1.05000000 -0.60000000 -0.15000000 0.149951
-1.05000000 -0.60000000 0.00000000 0.166299
-1.05000000 -0.60000000 0.15000000 0.153345
-1.05000000 -0.60000000 0.30000000 0.100714
-1.05000000 -0.60000000 0.45000000 0.023326
-1.05000000 -0.60000000 0.60000000 0.012012
-1.05000000 -0.60000000 0.75000000 0.008682
-1.05000000 -0.60000000 0.90000000 0.006845
-1.05000000 -0.60000000 1.05000000 0.005493
-1.05000000 -0.45000000 -1.05000000 0.030977
-1.05000000 -0.45000000 -0.90000000 0.038917
-1.05000000 -0.45000000 -0.75000000 0.046604
-1.05000000 -0.45000000 -0.60000000 0.052424
-1.05000000 -0.45000000 -0.45000000 0.055858
-1.05000000 -0.45000000 -0.30000000 0.069058
-1.05000000 -0.45000000 -0.15000000 0.150106
-1.05000000 -0.45000000 0.00000000 0.166941
-1.05000000 -0.45000000 0.15000000 0.153955
-1.05000000 -0.45000000 0.30000000 0.101792
-1.05000000 -0.45000000 0.45000000 0.023704
-1.05000000 -0.45000000 0.60000000 0.012308
-1.05000000 -0.45000000 0.75000000 0.008883
-1.05000000 -0.45000000 0.90000000 0.006949
-1.05000000 -0.45000000 1.05000000 0.005604
-1.05000000 -0.30000000 -1.05000000 0.030986
-1.05000000 -0.30000000 -0.90000000 0.038749
-1.05000000 -0.30000000 -0.75000000 0.046218
-1.05000000 -0.30000000 -0.60000000 0.052105
-1.05000000 -0.30000000 -0.45000000 0.055592
-1.05000000 -0.30000000 -0.30000000 0.069077
-1.05000000 -0.30000000 -0.15000000 0.150298
-1.05000000 -0.30000000 0.00000000 0.167151
-1.05000000 -0.30000000 0.15000000 0.154676
-1.05000000 -0.30000000 0.30000000 0.102852
-1.05000000 -0.30000000 0.45000000 0.024276
-1.05000000 -0.30000000 0.60000000 0.012737
-1.05000000 -0.30000000 0.75000000 0.009080
-1.05000000 -0.30000000 0.90000000 0.007184
-1.05000000 -0.30000000 1.05000000 0.005846
-1.05000000 -0.15000000 -1.05000000 0.030789
-1.05000000 -0.15000000 -0.90000000 0.038357
-1.05000000 -0.15000000 -0.75000000 0.045785
-1.05000000 -0.15000000 -0.60000000 0.051702
-1.05000000 -0.15000000 -0.45000000 0.055139
-1.05000000 -0.15000000 -0.30000000 0.068818
-1.05000000 -0.15000000 -0.15000000 0.150076
-1.05000000 -0.15000000 0.00000000 0.167390
-1.05000000 -0.15000000 0.15000000 0.154955
-1.05000000 -0.15000000 0.30000000 0.103538
-1.05000000 -0.15000000 0.45000000 0.024857
-1.05000000 -0.15000000 0.60000000 0.013159
-1.05000000 -0.15000000 0.75000000 0.009420
-1.05000000 -0.15000000 0.90000000 0.007408
-1.05000000 -0.15000000 1.05000000 0.006108
-1.05000000 0.00000000 -1.05000000 0.030347
-1.05000000 0.00000000 -0.90000000 0.037808
-1.05000000 0.00000000 -0.75000000 0.045211
-1.05000000 0.00000000 -0.60000000 0.050923
-1.05000000 0.00000000 -0.45000000 0.054284
-1.05000000 0.00000000 -0.30000000 0.068464
-1.05000000 0.00000000 -0.15000000 0.149158
-1.05000000 0.00000000 0.00000000 0.166967
-1.05000000 0.00000000 0.15000000 0.154952
-1.05000000 0.00000000 0.30000000 0.103835
-1.05000000 0.00000000 0.45000000 0.025518
-1.05000000 0.00000000 0.60000000 0.013462
-1.05000000 0.00000000 0.75000000 0.009727
-1.05000000 0.00000000 0.90000000 0.007728
-1.05000000 0.00000000 1.05000000 0.006392
-1.05000000 0.15000000 -1.05000000 0.029714
-1.05000000 0.15000000 -0.90000000 0.037200
-1.05000000 0.15000000 -0.75000000 0.044537
-1.05000000 0.15000000 -0.60000000 0.049967
-1.05000000 0.15000000 -0.45000000 0.053355
-1.05000000 0.15000000 -0.30000000 0.067817
-1.05000000 0.15000000 -0.15000000 0.147908
-1.05000000 0.15000000 0.00000000 0.166145
-1.05000000 0.15000000 0.15000000 0.154470
-1.05000000 0.15000000 0.30000000 0.104020
-1.05000000 0.15000000 0.45000000 0.026043
-1.05000000 0.15000000 0.60000000 0.013825
-1.05000000 0.15000000 0.75000000 0.010114
-1.05000000 0.15000000 0.90000000 0.008122
-1.05000000 0.15000000 1.05000000 0.006652
-1.05000000 0.30000000 -1.05000000 0.028944
-1.05000000 0.30000000 -0.90000000 0.036544
-1.05000000 0.30000000 -0.75000000 0.043835
-1.05000000 0.30000000 -0.60000000 0.048922
-1.05000000 0.30000000 -0.45000000 0.052450
-1.05000000 0.30000000 -0.30000000 0.066879
-1.05000000 0.30000000 -0.15000000 0.145902
-1.05000000 0.30000000 0.00000000 0.165058
-1.05000000 0.30000000 0.15000000 0.153735
-1.05000000 0.30000000 0.30000000 0.104017
-1.05000000 0.30000000 0.45000000 0.026557
-1.05000000 0.30000000 0.60000000 0.014153
-1.05000000 0.30000000 0.75000000 0.010487
-1.05000000 0.30000000 0.90000000 0.008459
-1.05000000 0.30000000 1.05000000 0.007104
-1.05000000 0.45000000 -1.05000000 0.028313
-1.05000000 0.45000000 -0.90000000 0.035702
-1.05000000 0.45000000 -0.75000000 0.043151
-1.05000000 0.45000000 -0.60000000 0.047881
-1.05000000 0.45000000 -0.45000000 0.051458
-1.05000000 0.45000000 -0.30000000 0.065742
-1.05000000 0.45000000 -0.15000000 0.143787
-1.05000000 0.45000000 0.00000000 0.163871
-1.05000000 0.45000000 0.15000000 0.152809
-1.05000000 0.45000000 0.30000000 0.103765
-1.05000000 0.45000000 0.45000000 0.027253
-1.05000000 0.45000000 0.60000000 0.014592
-1.05000000 0.45000000 0.75000000 0.010818
-1.05000000 0.45000000 0.90000000 0.008872
-1.05000000 0.45000000 1.05000000 0.007526
-1.05000000 0.60000000 -1.05000000 0.027842
-1.05000000 0.60000000 -0.90000000 0.035143
-1.05000000 0.60000000 -0.75000000 0.042356
-1.05000000 0.60000000 -0.60000000 0.047246
-1.05000000 0.60000000 -0.45000000 0.050428
-1.05000000 0.60000000 -0.30000000 0.064810
-1.05000000 0.60000000 -0.15000000 0.141395
-1.05000000 0.60000000 0.00000000 0.162382
-1.05000000 0.60000000 0.15000000 0.151877
-1.05000000 0.60000000 0.30000000 0.103363
-1.05000000 0.60000000 0.45000000 0.027769
-1.05000000 0.60000000 0.60000000 0.014821
-1.05000000 0.60000000 0.75000000 0.011160
-1.05000000 0.60000000 0.90000000 0.009145
-1.05000000 0.60000000 1.05000000 0.007795
-1.05000000 0.75000000 -1.05000000 0.027503
-1.05000000 0.75000000 -0.90000000 0.034647
-1.05000000 0.75000000 -0.75000000 0.041691
-1.05000000 0.75000000 -0.60000000 0.046597
-1.05000000 0.75000000 -0.45000000 0.049669
-1.05000000 0.75000000 -0.30000000 0.063860
-1.05000000 0.75000000 -0.15000000 0.138965
-1.05000000 0.75000000 0.00000000 0.160831
-1.05000000 0.75000000 0.15000000 0.150636
-1.05000000 0.75000000 0.30000000 0.102918
-1.05000000 0.75000000 0.45000000 0.028274
-1.05000000 0.75000000 0.60000000 0.015217
-1.05000000 0.75000000 0.75000000 0.011607
-1.05000000 0.75000000 0.90000000 0.009501
-1.05000000 0.75000000 1.05000000 0.008066
-1.05000000 0.90000000 -1.05000000 0.027237
-1.05000000 0.90000000 -0.90000000 0.034292
-1.05000000 0.90000000 -0.75000000 0.040977
-1.05000000 0.90000000 -0.60000000 0.045935
-1.05000000 0.90000000 -0.45000000 0.048907
-1.05000000 0.90000000 -0.30000000 0.062917
-1.05000000 0.90000000 -0.15000000 0.136728
-1.05000000 0.90000000 0.00000000 0.159195
-1.05000000 0.90000000 0.15000000 0.149323
-1.05000000 0.90000000 0.30000000 0.102349
-1.05000000 0.90000000 0.45000000 0.028548
-1.05000000 0.90000000 0.60000000 0.015370
-1.05000000 0.90000000 0.75000000 0.011818
-1.05000000 0.90000000 0.90000000 0.009956
-1.05000000 0.90000000 1.05000000 0.008464
-1.05000000 1.05000000 -1.05000000 0.027116
-1.05000000 1.05000000 -0.90000000 0.034174
-1.05000000 1.05000000 -0.75000000 0.040581
-1.05000000 1.05000000 -0.60000000 0.045101
-1.05000000 1.05000000 -0.45000000 0.048136
-1.05000000 1.05000000 -0.30000000 0.062067
-1.05000000 1.05000000 -0.15000000 0.134764
-1.05000000 1.05000000 0.00000000 0.157668
-1.05000000 1.05000000 0.15000000 0.148087
-1.05000000 1.05000000 0.30000000 0.101696
-1.05000000 1.05000000 0.45000000 0.028867
-1.05000000 1.05000000 0.60000000 0.015224
-1.05000000 1.05000000 0.75000000 0.012020
-1.05000000 1.05000000 0.90000000 0.010206
-1.05000000 1.05000000 1.05000000 0.008769
-0.90000000 -1.05000000 -1.05000000 0.030846
-0.90000000 -1.05000000 -0.90000000 0.037913
-0.90000000 -1.05000000 -0.75000000 0.045801
-0.90000000 -1.05000000 -0.60000000 0.051397
-0.90000000 -1.05000000 -0.45000000 0.055010
-0.90000000 -1.05000000 -0.30000000 0.068939
-0.90000000 -1.05000000 -0.15000000 0.149059
-0.90000000 -1.05000000 0.00000000 0.165366
-0.90000000 -1.05000000 0.15000000 0.152338
-0.90000000 -1.05000000 0.30000000 0.099309
-0.90000000 -1.05000000 0.45000000 0.022135
-0.90000000 -1.05000000 0.60000000 0.010951
-0.90000000 -1.05000000 0.75000000 0.007946
-0.90000000 -1.05000000 0.90000000 0.006084
-0.90000000 -1.05000000 1.05000000 0.004717
-0.90000000 -0.90000000 -1.05000000 0.030706
-0.90000000 -0.90000000 -0.90000000 0.038480
-0.90000000 -0.90000000 -0.75000000 0.046541
-0.90000000 -0.90000000 -0.60000000 0.052473
-0.90000000 -0.90000000 -0.45000000 0.056087
-0.90000000 -0.90000000 -0.30000000 0.069603
-0.90000000 -0.90000000 -0.15000000 0.150209
-0.90000000 -0.90000000 0.00000000 0.166314
-0.90000000 -0.90000000 0.15000000 0.152954
-0.90000000 -0.90000000 0.30000000 0.099890
-0.90000000 -0.90000000 0.45000000 0.021835
-0.90000000 -0.90000000 0.60000000 0.010745
-0.90000000 -0.90000000 0.75000000 0.007676
-0.90000000 -0.90000000 0.90000000 0.005956
-0.90000000 -0.90000000 1.05000000 0.004571
-0.90000000 -0.75000000 -1.05000000 0.030889
-0.90000000 -0.75000000 -0.90000000 0.039020
-0.90000000 -0.75000000 -0.75000000 0.047146
-0.90000000 -0.75000000 -0.60000000 0.053174
-0.90000000 -0.75000000 -0.45000000 0.056868
-0.90000000 -0.75000000 -0.30000000 0.069711
-0.90000000 -0.75000000 -0.15000000 0.151418
-0.90000000 -0.75000000 0.00000000 0.167264
-0.90000000 -0.75000000 0.15000000 0.153935
-0.90000000 -0.75000000 0.30000000 0.100645
-0.90000000 -0.75000000 0.45000000 0.021826
-0.90000000 -0.75000000 0.60000000 0.010785
-0.90000000 -0.75000000 0.75000000 0.007707
-0.90000000 -0.75000000 0.90000000 0.005911
-0.90000000 -0.75000000 1.05000000 0.004565
-0.90000000 -0.60000000 -1.05000000 0.031087
-0.90000000 -0.60000000 -0.90000000 0.039452
-0.90000000 -0.60000000 -0.75000000 0.047579
-0.90000000 -0.60000000 -0.60000000 0.053580
-0.90000000 -0.60000000 -0.45000000 0.057442
-0.90000000 -0.60000000 -0.30000000 0.070025
-0.90000000 -0.60000000 -0.15000000 0.152033
-0.90000000 -0.60000000 0.00000000 0.168074
-0.90000000 -0.60000000 0.15000000 0.154680
-0.90000000 -0.60000000 0.30000000 0.101557
-0.90000000 -0.60000000 0.45000000 0.022134
-0.90000000 -0.60000000 0.60000000 0.010973
-0.90000000 -0.60000000 0.75000000 0.007713
-0.90000000 -0.60000000 0.90000000 0.005973
-0.90000000 -0.60000000 1.05000000 0.004573
-0.90000000 -0.45000000 -1.05000000 0.030990
-0.90000000 -0.45000000 -0.90000000 0.039620
-0.90000000 -0.45000000 -0.75000000 0.047721
-0.90000000 -0.45000000 -0.60000000 0.053738
-0.90000000 -0.45000000 -0.45000000 0.057539
-0.90000000 -0.45000000 -0.30000000 0.070019
-0.90000000 -0.45000000 -0.15000000 0.152865
-0.90000000 -0.45000000 0.00000000 0.168740
-0.90000000 -0.45000000 0.15000000 0.155438
-0.90000000 -0.45000000 0.30000000 0.102783
-0.90000000 -0.45000000 0.45000000 0.022340
-0.90000000 -0.45000000 0.60000000 0.011187
-0.90000000 -0.45000000 0.75000000 0.007953
-0.90000000 -0.45000000 0.90000000 0.006055
-0.90000000 -0.45000000 1.05000000 0.004648
-0.90000000 -0.30000000 -1.05000000 0.031078
-0.90000000 -0.30000000 -0.90000000 0.039410
-0.90000000 -0.30000000 -0.75000000 0.047274
-0.90000000 -0.30000000 -0.60000000 0.053417
-0.90000000 -0.30000000 -0.45000000 0.057418
-0.90000000 -0.30000000 -0.30000000 0.070100
-0.90000000 -0.30000000 -0.15000000 0.152976
-0.90000000 -0.30000000 0.00000000 0.169404
-0.90000000 -0.30000000 0.15000000 0.156161
-0.90000000 -0.30000000 0.30000000 0.103790
-0.90000000 -0.30000000 0.45000000 0.022806
-0.90000000 -0.30000000 0.60000000 0.011674
-0.90000000 -0.30000000 0.75000000 0.008212
-0.90000000 -0.30000000 0.90000000 0.006250
-0.90000000 -0.30000000 1.05000000 0.004885
-0.90000000 -0.15000000 -1.05000000 0.030971
-0.90000000 -0.15000000 -0.90000000 0.038934
-0.90000000 -0.15000000 -0.75000000 0.046662
-0.90000000 -0.15000000 -0.60000000 0.052997
-0.90000000 -0.15000000 -0.45000000 0.056844
-0.90000000 -0.15000000 -0.30000000 0.069738
-0.90000000 -0.15000000 -0.15000000 0.152943
-0.90000000 -0.15000000 0.00000000 0.169637
-0.90000000 -0.15000000 0.15000000 0.156485
-0.90000000 -0.15000000 0.30000000 0.104725
-0.90000000 -0.15000000 0.45000000 0.023628
-0.90000000 -0.15000000 0.60000000 0.012024
-0.90000000 -0.15000000 0.75000000 0.008504
-0.90000000 -0.15000000 0.90000000 0.006627
-0.90000000 -0.15000000 1.05000000 0.005139
-0.90000000 0.00000000 -1.05000000 0.030428
-0.90000000 0.00000000 -0.90000000 0.038217
-0.90000000 0.00000000 -0.75000000 0.045883
-0.90000000 0.00000000 -0.60000000 0.052104
-0.90000000 0.00000000 -0.45000000 0.055998
-0.90000000 0.00000000 -0.30000000 0.069301
-0.90000000 0.00000000 -0.15000000 0.151854
-0.90000000 0.00000000 0.00000000 0.169267
-0.90000000 0.00000000 0.15000000 0.156615
-0.90000000 0.00000000 0.30000000 0.105374
-0.90000000 0.00000000 0.45000000 0.024344
-0.90000000 0.00000000 0.60000000 0.012481
-0.90000000 0.00000000 0.75000000 0.008849
-0.90000000 0.00000000 0.90000000 0.006938
-0.90000000 0.00000000 1.05000000 0.005540
-0.90000000 0.15000000 -1.05000000 0.029769
-0.90000000 0.15000000 -0.90000000 0.037608
-0.90000000 0.15000000 -0.75000000 0.045065
-0.90000000 0.15000000 -0.60000000 0.051005
-0.90000000 0.15000000 -0.45000000 0.054831
-0.90000000 0.15000000 -0.30000000 0.068492
-0.90000000 0.15000000 -0.15000000 0.150433
-0.90000000 0.15000000 0.00000000 0.168309
-0.90000000 0.15000000 0.15000000 0.156053
-0.90000000 0.15000000 0.30000000 0.105498
-0.90000000 0.15000000 0.45000000 0.024854
-0.90000000 0.15000000 0.60000000 0.012968
-0.90000000 0.15000000 0.75000000 0.009250
-0.90000000 0.15000000 0.90000000 0.007365
-0.90000000 0.15000000 1.05000000 0.005947
-0.90000000 0.30000000 -1.05000000 0.028945
-0.90000000 0.30000000 -0.90000000 0.036888
-0.90000000 0.30000000 -0.75000000 0.044389
-0.90000000 0.30000000 -0.60000000 0.049806
-0.90000000 0.30000000 -0.45000000 0.053672
-0.90000000 0.30000000 -0.30000000 0.067510
-0.90000000 0.30000000 -0.15000000 0.148351
-0.90000000 0.30000000 0.00000000 0.167019
-0.90000000 0.30000000 0.15000000 0.155374
-0.90000000 0.30000000 0.30000000 0.105336
-0.90000000 0.30000000 0.45000000 0.025695
-0.90000000 0.30000000 0.60000000 0.013520
-0.90000000 0.30000000 0.75000000 0.009806
-0.90000000 0.30000000 0.90000000 0.007793
-0.90000000 0.30000000 1.05000000 0.006465
-0.90000000 0.45000000 -1.05000000 0.028342
-0.90000000 0.45000000 -0.90000000 0.036044
-0.90000000 0.45000000 -0.75000000 0.043845
-0.90000000 0.45000000 -0.60000000 0.048670
-0.90000000 0.45000000 -0.45000000 0.052428
-0.90000000 0.45000000 -0.30000000 0.066126
-0.90000000 0.45000000 -0.15000000 0.145794
-0.90000000 0.45000000 0.00000000 0.165713
-0.90000000 0.45000000 0.15000000 0.154459
-0.90000000 0.45000000 0.30000000 0.105103
-0.90000000 0.45000000 0.45000000 0.026575
-0.90000000 0.45000000 0.60000000 0.014060
-0.90000000 0.45000000 0.75000000 0.010241
-0.90000000 0.45000000 0.90000000 0.008369
-0.90000000 0.45000000 1.05000000 0.007004
-0.90000000 0.60000000 -1.05000000 0.027746
-0.90000000 0.60000000 -0.90000000 0.035422
-0.90000000 0.60000000 -0.75000000 0.042894
-0.90000000 0.60000000 -0.60000000 0.047853
-0.90000000 0.60000000 -0.45000000 0.051209
-0.90000000 0.60000000 -0.30000000 0.065147
-0.90000000 0.60000000 -0.15000000 0.143042
-0.90000000 0.60000000 0.00000000 0.164058
-0.90000000 0.60000000 0.15000000 0.153321
-0.90000000 0.60000000 0.30000000 0.104730
-0.90000000 0.60000000 0.45000000 0.027313
-0.90000000 0.60000000 0.60000000 0.014445
-0.90000000 0.60000000 0.75000000 0.010678
-0.90000000 0.60000000 0.90000000 0.008719
-0.90000000 0.60000000 1.05000000 0.007352
-0.90000000 0.75000000 -1.05000000 0.027362
-0.90000000 0.75000000 -0.90000000 0.034875
-0.90000000 0.75000000 -0.75000000 0.042236
-0.90000000 0.75000000 -0.60000000 0.047163
-0.90000000 0.75000000 -0.45000000 0.050345
-0.90000000 0.75000000 -0.30000000 0.064201
-0.90000000 0.75000000 -0.15000000 0.140405
-0.90000000 0.75000000 0.00000000 0.162353
-0.90000000 0.75000000 0.15000000 0.152002
-0.90000000 0.75000000 0.30000000 0.104288
-0.90000000 0.75000000 0.45000000 0.027998
-0.90000000 0.75000000 0.60000000 0.014781
-0.90000000 0.75000000 0.75000000 0.011290
-0.90000000 0.75000000 0.90000000 0.009127
-0.90000000 0.75000000 1.05000000 0.007622
-0.90000000 0.90000000 -1.05000000 0.026872
-0.90000000 0.90000000 -0.90000000 0.034390
-0.90000000 0.90000000 -0.75000000 0.041441
-0.90000000 0.90000000 -0.60000000 0.046408
-0.90000000 0.90000000 -0.45000000 0.049624
-0.90000000 0.90000000 -0.30000000 0.063273
-0.90000000 0.90000000 -0.15000000 0.138019
-0.90000000 0.90000000 0.00000000 0.160551
-0.90000000 0.90000000 0.15000000 0.150660
-0.90000000 0.90000000 0.30000000 0.103579
-0.90000000 0.90000000 0.45000000 0.028433
-0.90000000 0.90000000 0.60000000 0.014962
-0.90000000 0.90000000 0.75000000 0.011568
-0.90000000 0.90000000 0.90000000 0.009649
-0.90000000 0.90000000 1.05000000 0.008054
-0.90000000 1.05000000 -1.05000000 0.026717
-0.90000000 1.05000000 -0.90000000 0.034153
-0.90000000 1.05000000 -0.75000000 0.040961
-0.90000000 1.05000000 -0.60000000 0.045632
-0.90000000 1.05000000 -0.45000000 0.048902
-0.90000000 1.05000000 -0.30000000 0.062453
-0.90000000 1.05000000 -0.15000000 0.135732
-0.90000000 1.05000000 0.00000000 0.158906
-0.90000000 1.05000000 0.15000000 0.149396
-0.90000000 1.05000000 0.30000000 0.102848
-0.90000000 1.05000000 0.45000000 0.028704
-0.90000000 1.05000000 0.60000000 0.014990
-0.90000000 1.05000000 0.75000000 0.011753
-0.90000000 1.05000000 0.90000000 0.009883
-0.90000000 1.05000000 1.05000000 0.008348
-0.75000000 -1.05000000 -1.05000000 0.030777
-0.75000000 -1.05000000 -0.90000000 0.038065
-0.75000000 -1.05000000 -0.75000000 0.046423
-0.75000000 -1.05000000 -0.60000000 0.052649
-0.75000000 -1.05000000 -0.45000000 0.056295
-0.75000000 -1.05000000 -0.30000000 0.069351
-0.75000000 -1.05000000 -0.15000000 0.149805
-0.75000000 -1.05000000 0.00000000 0.166459
-0.75000000 -1.05000000 0.15000000 0.153192
-0.75000000 -1.05000000 0.30000000 0.100419
-0.75000000 -1.05000000 0.45000000 0.021808
-0.75000000 -1.05000000 0.60000000 0.010347
-0.75000000 -1.05000000 0.75000000 0.007149
-0.75000000 -1.05000000 0.90000000 0.005428
-0.75000000 -1.05000000 1.05000000 0.004117
-0.75000000 -0.90000000 -1.05000000 0.030803
-0.75000000 -0.90000000 -0.90000000 0.038805
-0.75000000 -0.90000000 -0.75000000 0.047338
-0.75000000 -0.90000000 -0.60000000 0.053666
-0.75000000 -0.90000000 -0.45000000 0.057447
-0.75000000 -0.90000000 -0.30000000 0.070111
