//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.884731
-1.05000000 -1.05000000 -0.90000000 0.885137
-1.05000000 -1.05000000 -0.75000000 0.885202
-1.05000000 -1.05000000 -0.60000000 0.885579
-1.05000000 -1.05000000 -0.45000000 0.885823
-1.05000000 -1.05000000 -0.30000000 0.885654
-1.05000000 -1.05000000 -0.15000000 0.885641
-1.05000000 -1.05000000 0.00000000 0.885225
-1.05000000 -1.05000000 0.15000000 0.884568
-1.05000000 -1.05000000 0.30000000 0.883135
-1.05000000 -1.05000000 0.45000000 0.878540
-1.05000000 -1.05000000 0.60000000 0.867781
-1.05000000 -1.05000000 0.75000000 0.849323
-1.05000000 -1.05000000 0.90000000 0.824698
-1.05000000 -1.05000000 1.05000000 0.798731
-1.05000000 -0.90000000 -1.05000000 0.884923
-1.05000000 -0.90000000 -0.90000000 0.885527
-1.05000000 -0.90000000 -0.75000000 0.885573
-1.05000000 -0.90000000 -0.60000000 0.885920
-1.05000000 -0.90000000 -0.45000000 0.885829
-1.05000000 -0.90000000 -0.30000000 0.885946
-1.05000000 -0.90000000 -0.15000000 0.886031
-1.05000000 -0.90000000 0.00000000 0.885573
-1.05000000 -0.90000000 0.15000000 0.885183
-1.05000000 -0.90000000 0.30000000 0.883720
-1.05000000 -0.90000000 0.45000000 0.879236
-1.05000000 -0.90000000 0.60000000 0.867966
-1.05000000 -0.90000000 0.75000000 0.848573
-1.05000000 -0.90000000 0.90000000 0.823847
-1.05000000 -0.90000000 1.05000000 0.798617
-1.05000000 -0.75000000 -1.05000000 0.884880
-1.05000000 -0.75000000 -0.90000000 0.885491
-1.05000000 -0.75000000 -0.75000000 0.885787
-1.05000000 -0.75000000 -0.60000000 0.885751
-1.05000000 -0.75000000 -0.45000000 0.885949
-1.05000000 -0.75000000 -0.30000000 0.885995
-1.05000000 -0.75000000 -0.15000000 0.886115
-1.05000000 -0.75000000 0.00000000 0.885683
-1.05000000 -0.75000000 0.15000000 0.884851
-1.05000000 -0.75000000 0.30000000 0.883376
-1.05000000 -0.75000000 0.45000000 0.879324
-1.05000000 -0.75000000 0.60000000 0.867966
-1.05000000 -0.75000000 0.75000000 0.847913
-1.05000000 -0.75000000 0.90000000 0.823064
-1.05000000 -0.75000000 1.05000000 0.798549
-1.05000000 -0.60000000 -1.05000000 0.884789
-1.05000000 -0.60000000 -0.90000000 0.885475
-1.05000000 -0.60000000 -0.75000000 0.885793
-1.05000000 -0.60000000 -0.60000000 0.885852
-1.05000000 -0.60000000 -0.45000000 0.886154
-1.05000000 -0.60000000 -0.30000000 0.886050
-1.05000000 -0.60000000 -0.15000000 0.886053
-1.05000000 -0.60000000 0.00000000 0.885300
-1.05000000 -0.60000000 0.15000000 0.884851
-1.05000000 -0.60000000 0.30000000 0.883334
-1.05000000 -0.60000000 0.45000000 0.879333
-1.05000000 -0.60000000 0.60000000 0.867781
-1.05000000 -0.60000000 0.75000000 0.847263
-1.05000000 -0.60000000 0.90000000 0.822602
-1.05000000 -0.60000000 1.05000000 0.798620
-1.05000000 -0.45000000 -1.05000000 0.884074
-1.05000000 -0.45000000 -0.90000000 0.884958
-1.05000000 -0.45000000 -0.75000000 0.885547
-1.05000000 -0.45000000 -0.60000000 0.885732
-1.05000000 -0.45000000 -0.45000000 0.885930
-1.05000000 -0.45000000 -0.30000000 0.886294
-1.05000000 -0.45000000 -0.15000000 0.886070
-1.05000000 -0.45000000 0.00000000 0.885374
-1.05000000 -0.45000000 0.15000000 0.884802
-1.05000000 -0.45000000 0.30000000 0.883178
-1.05000000 -0.45000000 0.45000000 0.878999
-1.05000000 -0.45000000 0.60000000 0.867303
-1.05000000 -0.45000000 0.75000000 0.846825
-1.05000000 -0.45000000 0.90000000 0.822404
-1.05000000 -0.45000000 1.05000000 0.798263
-1.05000000 -0.30000000 -1.05000000 0.884026
-1.05000000 -0.30000000 -0.90000000 0.884851
-1.05000000 -0.30000000 -0.75000000 0.885322
-1.05000000 -0.30000000 -0.60000000 0.885667
-1.05000000 -0.30000000 -0.45000000 0.885829
-1.05000000 -0.30000000 -0.30000000 0.886073
-1.05000000 -0.30000000 -0.15000000 0.885777
-1.05000000 -0.30000000 0.00000000 0.884929
-1.05000000 -0.30000000 0.15000000 0.884468
-1.05000000 -0.30000000 0.30000000 0.882693
-1.05000000 -0.30000000 0.45000000 0.878394
-1.05000000 -0.30000000 0.60000000 0.866481
-1.05000000 -0.30000000 0.75000000 0.846451
-1.05000000 -0.30000000 0.90000000 0.822222
-1.05000000 -0.30000000 1.05000000 0.797658
-1.05000000 -0.15000000 -1.05000000 0.883759
-1.05000000 -0.15000000 -0.90000000 0.884698
-1.05000000 -0.15000000 -0.75000000 0.884939
-1.05000000 -0.15000000 -0.60000000 0.884978
-1.05000000 -0.15000000 -0.45000000 0.885277
-1.05000000 -0.15000000 -0.30000000 0.885754
-1.05000000 -0.15000000 -0.15000000 0.885579
-1.05000000 -0.15000000 0.00000000 0.884799
-1.05000000 -0.15000000 0.15000000 0.884175
-1.05000000 -0.15000000 0.30000000 0.882219
-1.05000000 -0.15000000 0.45000000 0.877507
-1.05000000 -0.15000000 0.60000000 0.865350
-1.05000000 -0.15000000 0.75000000 0.846178
-1.05000000 -0.15000000 0.90000000 0.821959
-1.05000000 -0.15000000 1.05000000 0.796732
-1.05000000 0.00000000 -1.05000000 0.883165
-1.05000000 0.00000000 -0.90000000 0.884009
-1.05000000 0.00000000 -0.75000000 0.884260
-1.05000000 0.00000000 -0.60000000 0.884598
-1.05000000 0.00000000 -0.45000000 0.884945
