//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.000842
-1.05000000 -1.05000000 -0.90000000 0.001111
-1.05000000 -1.05000000 -0.75000000 0.001856
-1.05000000 -1.05000000 -0.60000000 0.002083
-1.05000000 -1.05000000 -0.45000000 0.002882
-1.05000000 -1.05000000 -0.30000000 0.008550
-1.05000000 -1.05000000 -0.15000000 0.047766
-1.05000000 -1.05000000 0.00000000 0.111747
-1.05000000 -1.05000000 0.15000000 0.114177
-1.05000000 -1.05000000 0.30000000 0.070298
-1.05000000 -1.05000000 0.45000000 0.032275
-1.05000000 -1.05000000 0.60000000 0.016319
-1.05000000 -1.05000000 0.75000000 0.010568
-1.05000000 -1.05000000 0.90000000 0.008943
-1.05000000 -1.05000000 1.05000000 0.011724
-1.05000000 -0.90000000 -1.05000000 0.000816
-1.05000000 -0.90000000 -0.90000000 0.001027
-1.05000000 -0.90000000 -0.75000000 0.001690
-1.05000000 -0.90000000 -0.60000000 0.002106
-1.05000000 -0.90000000 -0.45000000 0.002837
-1.05000000 -0.90000000 -0.30000000 0.007796
-1.05000000 -0.90000000 -0.15000000 0.049728
-1.05000000 -0.90000000 0.00000000 0.115734
-1.05000000 -0.90000000 0.15000000 0.112465
-1.05000000 -0.90000000 0.30000000 0.069499
-1.05000000 -0.90000000 0.45000000 0.031830
-1.05000000 -0.90000000 0.60000000 0.015666
-1.05000000 -0.90000000 0.75000000 0.010298
-1.05000000 -0.90000000 0.90000000 0.008884
-1.05000000 -0.90000000 1.05000000 0.011835
-1.05000000 -0.75000000 -1.05000000 0.000803
-1.05000000 -0.75000000 -0.90000000 0.001085
-1.05000000 -0.75000000 -0.75000000 0.001732
-1.05000000 -0.75000000 -0.60000000 0.002161
-1.05000000 -0.75000000 -0.45000000 0.002798
-1.05000000 -0.75000000 -0.30000000 0.007253
-1.05000000 -0.75000000 -0.15000000 0.052991
-1.05000000 -0.75000000 0.00000000 0.118668
-1.05000000 -0.75000000 0.15000000 0.110460
-1.05000000 -0.75000000 0.30000000 0.067656
-1.05000000 -0.75000000 0.45000000 0.031521
-1.05000000 -0.75000000 0.60000000 0.015397
-1.05000000 -0.75000000 0.75000000 0.010204
-1.05000000 -0.75000000 0.90000000 0.009148
-1.05000000 -0.75000000 1.05000000 0.011848
-1.05000000 -0.60000000 -1.05000000 0.000874
-1.05000000 -0.60000000 -0.90000000 0.000968
-1.05000000 -0.60000000 -0.75000000 0.001703
-1.05000000 -0.60000000 -0.60000000 0.002236
-1.05000000 -0.60000000 -0.45000000 0.002977
-1.05000000 -0.60000000 -0.30000000 0.007344
-1.05000000 -0.60000000 -0.15000000 0.056881
