//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.894871
-1.05000000 -1.05000000 -0.90000000 0.895082
-1.05000000 -1.05000000 -0.75000000 0.895194
-1.05000000 -1.05000000 -0.60000000 0.895311
-1.05000000 -1.05000000 -0.45000000 0.895082
-1.05000000 -1.05000000 -0.30000000 0.894576
-1.05000000 -1.05000000 -0.15000000 0.893864
-1.05000000 -1.05000000 0.00000000 0.892924
-1.05000000 -1.05000000 0.15000000 0.891339
-1.05000000 -1.05000000 0.30000000 0.888715
-1.05000000 -1.05000000 0.45000000 0.884792
-1.05000000 -1.05000000 0.60000000 0.880119
-1.05000000 -1.05000000 0.75000000 0.875078
-1.05000000 -1.05000000 0.90000000 0.869784
-1.05000000 -1.05000000 1.05000000 0.864513
-1.05000000 -0.90000000 -1.05000000 0.894946
-1.05000000 -0.90000000 -0.90000000 0.895197
-1.05000000 -0.90000000 -0.75000000 0.895387
-1.05000000 -0.90000000 -0.60000000 0.895513
-1.05000000 -0.90000000 -0.45000000 0.895379
-1.05000000 -0.90000000 -0.30000000 0.894813
-1.05000000 -0.90000000 -0.15000000 0.894142
-1.05000000 -0.90000000 0.00000000 0.893173
-1.05000000 -0.90000000 0.15000000 0.891649
-1.05000000 -0.90000000 0.30000000 0.888997
-1.05000000 -0.90000000 0.45000000 0.885119
-1.05000000 -0.90000000 0.60000000 0.880496
-1.05000000 -0.90000000 0.75000000 0.875401
-1.05000000 -0.90000000 0.90000000 0.870105
-1.05000000 -0.90000000 1.05000000 0.864954
-1.05000000 -0.75000000 -1.05000000 0.894951
-1.05000000 -0.75000000 -0.90000000 0.895381
-1.05000000 -0.75000000 -0.75000000 0.895612
-1.05000000 -0.75000000 -0.60000000 0.895746
-1.05000000 -0.75000000 -0.45000000 0.895603
-1.05000000 -0.75000000 -0.30000000 0.895085
-1.05000000 -0.75000000 -0.15000000 0.894423
-1.05000000 -0.75000000 0.00000000 0.893426
-1.05000000 -0.75000000 0.15000000 0.891902
-1.05000000 -0.75000000 0.30000000 0.889273
-1.05000000 -0.75000000 0.45000000 0.885437
-1.05000000 -0.75000000 0.60000000 0.880808
-1.05000000 -0.75000000 0.75000000 0.875728
-1.05000000 -0.75000000 0.90000000 0.870408
-1.05000000 -0.75000000 1.05000000 0.865354
-1.05000000 -0.60000000 -1.05000000 0.894961
-1.05000000 -0.60000000 -0.90000000 0.895534
-1.05000000 -0.60000000 -0.75000000 0.895771
-1.05000000 -0.60000000 -0.60000000 0.895854
-1.05000000 -0.60000000 -0.45000000 0.895755
-1.05000000 -0.60000000 -0.30000000 0.895301
-1.05000000 -0.60000000 -0.15000000 0.894600
-1.05000000 -0.60000000 0.00000000 0.893627
-1.05000000 -0.60000000 0.15000000 0.892163
-1.05000000 -0.60000000 0.30000000 0.889506
-1.05000000 -0.60000000 0.45000000 0.885678
-1.05000000 -0.60000000 0.60000000 0.881030
-1.05000000 -0.60000000 0.75000000 0.875862
-1.05000000 -0.60000000 0.90000000 0.870624
-1.05000000 -0.60000000 1.05000000 0.865523
-1.05000000 -0.45000000 -1.05000000 0.894974
-1.05000000 -0.45000000 -0.90000000 0.895626
-1.05000000 -0.45000000 -0.75000000 0.895857
-1.05000000 -0.45000000 -0.60000000 0.895982
-1.05000000 -0.45000000 -0.45000000 0.895911
-1.05000000 -0.45000000 -0.30000000 0.895465
-1.05000000 -0.45000000 -0.15000000 0.894846
-1.05000000 -0.45000000 0.00000000 0.893826
-1.05000000 -0.45000000 0.15000000 0.892373
