//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.926865
-1.05000000 -1.05000000 -0.90000000 0.926470
-1.05000000 -1.05000000 -0.75000000 0.926033
-1.05000000 -1.05000000 -0.60000000 0.925451
-1.05000000 -1.05000000 -0.45000000 0.924906
-1.05000000 -1.05000000 -0.30000000 0.924163
-1.05000000 -1.05000000 -0.15000000 0.922934
-1.05000000 -1.05000000 0.00000000 0.921126
-1.05000000 -1.05000000 0.15000000 0.917734
-1.05000000 -1.05000000 0.30000000 0.911752
-1.05000000 -1.05000000 0.45000000 0.902319
-1.05000000 -1.05000000 0.60000000 0.889621
-1.05000000 -1.05000000 0.75000000 0.877036
-1.05000000 -1.05000000 0.90000000 0.865712
-1.05000000 -1.05000000 1.05000000 0.855809
-1.05000000 -0.90000000 -1.05000000 0.927384
-1.05000000 -0.90000000 -0.90000000 0.927000
-1.05000000 -0.90000000 -0.75000000 0.926619
-1.05000000 -0.90000000 -0.60000000 0.926009
-1.05000000 -0.90000000 -0.45000000 0.925454
-1.05000000 -0.90000000 -0.30000000 0.924681
-1.05000000 -0.90000000 -0.15000000 0.923435
-1.05000000 -0.90000000 0.00000000 0.921551
-1.05000000 -0.90000000 0.15000000 0.918327
-1.05000000 -0.90000000 0.30000000 0.912184
-1.05000000 -0.90000000 0.45000000 0.902501
-1.05000000 -0.90000000 0.60000000 0.889968
-1.05000000 -0.90000000 0.75000000 0.877530
-1.05000000 -0.90000000 0.90000000 0.866199
-1.05000000 -0.90000000 1.05000000 0.856219
-1.05000000 -0.75000000 -1.05000000 0.927921
-1.05000000 -0.75000000 -0.90000000 0.927490
-1.05000000 -0.75000000 -0.75000000 0.927138
-1.05000000 -0.75000000 -0.60000000 0.926519
-1.05000000 -0.75000000 -0.45000000 0.925990
-1.05000000 -0.75000000 -0.30000000 0.925156
-1.05000000 -0.75000000 -0.15000000 0.924044
-1.05000000 -0.75000000 0.00000000 0.922169
-1.05000000 -0.75000000 0.15000000 0.918904
-1.05000000 -0.75000000 0.30000000 0.912702
-1.05000000 -0.75000000 0.45000000 0.902975
-1.05000000 -0.75000000 0.60000000 0.890358
-1.05000000 -0.75000000 0.75000000 0.877928
-1.05000000 -0.75000000 0.90000000 0.866818
-1.05000000 -0.75000000 1.05000000 0.856700
-1.05000000 -0.60000000 -1.05000000 0.928450
-1.05000000 -0.60000000 -0.90000000 0.928050
-1.05000000 -0.60000000 -0.75000000 0.927670
-1.05000000 -0.60000000 -0.60000000 0.927056
-1.05000000 -0.60000000 -0.45000000 0.926521
-1.05000000 -0.60000000 -0.30000000 0.925730
-1.05000000 -0.60000000 -0.15000000 0.924543
-1.05000000 -0.60000000 0.00000000 0.922755
-1.05000000 -0.60000000 0.15000000 0.919416
-1.05000000 -0.60000000 0.30000000 0.913399
-1.05000000 -0.60000000 0.45000000 0.903278
-1.05000000 -0.60000000 0.60000000 0.890626
-1.05000000 -0.60000000 0.75000000 0.878423
-1.05000000 -0.60000000 0.90000000 0.867374
-1.05000000 -0.60000000 1.05000000 0.857299
-1.05000000 -0.45000000 -1.05000000 0.928796
-1.05000000 -0.45000000 -0.90000000 0.928460
-1.05000000 -0.45000000 -0.75000000 0.928006
-1.05000000 -0.45000000 -0.60000000 0.927451
-1.05000000 -0.45000000 -0.45000000 0.926935
-1.05000000 -0.45000000 -0.30000000 0.926107
-1.05000000 -0.45000000 -0.15000000 0.924950
