//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.002868
-1.05000000 -1.05000000 -0.90000000 0.005086
-1.05000000 -1.05000000 -0.75000000 0.011528
-1.05000000 -1.05000000 -0.60000000 0.018458
-1.05000000 -1.05000000 -0.45000000 0.028702
-1.05000000 -1.05000000 -0.30000000 0.070607
-1.05000000 -1.05000000 -0.15000000 0.349572
-1.05000000 -1.05000000 0.00000000 0.607252
-1.05000000 -1.05000000 0.15000000 0.407415
-1.05000000 -1.05000000 0.30000000 0.041798
-1.05000000 -1.05000000 0.45000000 0.009124
-1.05000000 -1.05000000 0.60000000 0.004396
-1.05000000 -1.05000000 0.75000000 0.001997
-1.05000000 -1.05000000 0.90000000 0.001975
-1.05000000 -1.05000000 1.05000000 0.001850
-1.05000000 -0.90000000 -1.05000000 0.002752
-1.05000000 -0.90000000 -0.90000000 0.004773
-1.05000000 -0.90000000 -0.75000000 0.011389
-1.05000000 -0.90000000 -0.60000000 0.018421
-1.05000000 -0.90000000 -0.45000000 0.028695
-1.05000000 -0.90000000 -0.30000000 0.070688
-1.05000000 -0.90000000 -0.15000000 0.360659
-1.05000000 -0.90000000 0.00000000 0.612336
-1.05000000 -0.90000000 0.15000000 0.402646
-1.05000000 -0.90000000 0.30000000 0.038522
-1.05000000 -0.90000000 0.45000000 0.008683
-1.05000000 -0.90000000 0.60000000 0.004066
-1.05000000 -0.90000000 0.75000000 0.001861
-1.05000000 -0.90000000 0.90000000 0.001905
-1.05000000 -0.90000000 1.05000000 0.001817
-1.05000000 -0.75000000 -1.05000000 0.002567
-1.05000000 -0.75000000 -0.90000000 0.004462
-1.05000000 -0.75000000 -0.75000000 0.011164
-1.05000000 -0.75000000 -0.60000000 0.018229
-1.05000000 -0.75000000 -0.45000000 0.028639
-1.05000000 -0.75000000 -0.30000000 0.071419
-1.05000000 -0.75000000 -0.15000000 0.372312
-1.05000000 -0.75000000 0.00000000 0.617615
-1.05000000 -0.75000000 0.15000000 0.396906
-1.05000000 -0.75000000 0.30000000 0.035091
-1.05000000 -0.75000000 0.45000000 0.008125
-1.05000000 -0.75000000 0.60000000 0.003743
-1.05000000 -0.75000000 0.75000000 0.001771
-1.05000000 -0.75000000 0.90000000 0.001797
-1.05000000 -0.75000000 1.05000000 0.001817
-1.05000000 -0.60000000 -1.05000000 0.002416
-1.05000000 -0.60000000 -0.90000000 0.004335
-1.05000000 -0.60000000 -0.75000000 0.010875
-1.05000000 -0.60000000 -0.60000000 0.018111
-1.05000000 -0.60000000 -0.45000000 0.028759
-1.05000000 -0.60000000 -0.30000000 0.071694
-1.05000000 -0.60000000 -0.15000000 0.384620
-1.05000000 -0.60000000 0.00000000 0.622623
