//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.911650
-1.05000000 -1.05000000 -0.90000000 0.910873
-1.05000000 -1.05000000 -0.75000000 0.910669
-1.05000000 -1.05000000 -0.60000000 0.910301
-1.05000000 -1.05000000 -0.45000000 0.910444
-1.05000000 -1.05000000 -0.30000000 0.910934
-1.05000000 -1.05000000 -0.15000000 0.911200
-1.05000000 -1.05000000 0.00000000 0.912386
-1.05000000 -1.05000000 0.15000000 0.914655
-1.05000000 -1.05000000 0.30000000 0.914634
-1.05000000 -1.05000000 0.45000000 0.911057
-1.05000000 -1.05000000 0.60000000 0.903555
-1.05000000 -1.05000000 0.75000000 0.889613
-1.05000000 -1.05000000 0.90000000 0.861751
-1.05000000 -1.05000000 1.05000000 0.829719
-1.05000000 -0.90000000 -1.05000000 0.912304
-1.05000000 -0.90000000 -0.90000000 0.911323
-1.05000000 -0.90000000 -0.75000000 0.910566
-1.05000000 -0.90000000 -0.60000000 0.910444
-1.05000000 -0.90000000 -0.45000000 0.910648
-1.05000000 -0.90000000 -0.30000000 0.910710
-1.05000000 -0.90000000 -0.15000000 0.910710
-1.05000000 -0.90000000 0.00000000 0.911670
-1.05000000 -0.90000000 0.15000000 0.913183
-1.05000000 -0.90000000 0.30000000 0.913612
-1.05000000 -0.90000000 0.45000000 0.909851
-1.05000000 -0.90000000 0.60000000 0.902287
-1.05000000 -0.90000000 0.75000000 0.887569
-1.05000000 -0.90000000 0.90000000 0.858399
-1.05000000 -0.90000000 1.05000000 0.825589
-1.05000000 -0.75000000 -1.05000000 0.912958
-1.05000000 -0.75000000 -0.90000000 0.911527
-1.05000000 -0.75000000 -0.75000000 0.911118
-1.05000000 -0.75000000 -0.60000000 0.910812
-1.05000000 -0.75000000 -0.45000000 0.910771
-1.05000000 -0.75000000 -0.30000000 0.910669
-1.05000000 -0.75000000 -0.15000000 0.911139
-1.05000000 -0.75000000 0.00000000 0.912222
-1.05000000 -0.75000000 0.15000000 0.913142
-1.05000000 -0.75000000 0.30000000 0.912611
-1.05000000 -0.75000000 0.45000000 0.908338
-1.05000000 -0.75000000 0.60000000 0.901184
-1.05000000 -0.75000000 0.75000000 0.886179
-1.05000000 -0.75000000 0.90000000 0.855884
-1.05000000 -0.75000000 1.05000000 0.822094
-1.05000000 -0.60000000 -1.05000000 0.913306
-1.05000000 -0.60000000 -0.90000000 0.911936
-1.05000000 -0.60000000 -0.75000000 0.911098
-1.05000000 -0.60000000 -0.60000000 0.910894
-1.05000000 -0.60000000 -0.45000000 0.910730
-1.05000000 -0.60000000 -0.30000000 0.911118
-1.05000000 -0.60000000 -0.15000000 0.911568
-1.05000000 -0.60000000 0.00000000 0.912365
-1.05000000 -0.60000000 0.15000000 0.913285
-1.05000000 -0.60000000 0.30000000 0.912161
-1.05000000 -0.60000000 0.45000000 0.907316
-1.05000000 -0.60000000 0.60000000 0.900080
-1.05000000 -0.60000000 0.75000000 0.883869
-1.05000000 -0.60000000 0.90000000 0.852654
-1.05000000 -0.60000000 1.05000000 0.817719
-1.05000000 -0.45000000 -1.05000000 0.913755
-1.05000000 -0.45000000 -0.90000000 0.912059
-1.05000000 -0.45000000 -0.75000000 0.911221
-1.05000000 -0.45000000 -0.60000000 0.911016
-1.05000000 -0.45000000 -0.45000000 0.910710
-1.05000000 -0.45000000 -0.30000000 0.911118
-1.05000000 -0.45000000 -0.15000000 0.912365
-1.05000000 -0.45000000 0.00000000 0.912958
-1.05000000 -0.45000000 0.15000000 0.913817
-1.05000000 -0.45000000 0.30000000 0.912345
-1.05000000 -0.45000000 0.45000000 0.907071
-1.05000000 -0.45000000 0.60000000 0.899058
-1.05000000 -0.45000000 0.75000000 0.882009
-1.05000000 -0.45000000 0.90000000 0.849936
-1.05000000 -0.45000000 1.05000000 0.814305
-1.05000000 -0.30000000 -1.05000000 0.914205
