//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.001451
-1.05000000 -1.05000000 -0.90000000 0.001472
-1.05000000 -1.05000000 -0.75000000 0.002923
-1.05000000 -1.05000000 -0.60000000 0.005090
-1.05000000 -1.05000000 -0.45000000 0.009138
-1.05000000 -1.05000000 -0.30000000 0.034077
-1.05000000 -1.05000000 -0.15000000 0.289826
-1.05000000 -1.05000000 0.00000000 0.521004
-1.05000000 -1.05000000 0.15000000 0.342444
-1.05000000 -1.05000000 0.30000000 0.041947
-1.05000000 -1.05000000 0.45000000 0.003332
-1.05000000 -1.05000000 0.60000000 0.000266
-1.05000000 -1.05000000 0.75000000 0.000307
-1.05000000 -1.05000000 0.90000000 0.000204
-1.05000000 -1.05000000 1.05000000 0.000164
-1.05000000 -0.90000000 -1.05000000 0.001451
-1.05000000 -0.90000000 -0.90000000 0.001656
-1.05000000 -0.90000000 -0.75000000 0.002964
-1.05000000 -0.90000000 -0.60000000 0.004947
-1.05000000 -0.90000000 -0.45000000 0.009812
-1.05000000 -0.90000000 -0.30000000 0.033198
-1.05000000 -0.90000000 -0.15000000 0.292627
-1.05000000 -0.90000000 0.00000000 0.530734
-1.05000000 -0.90000000 0.15000000 0.345122
-1.05000000 -0.90000000 0.30000000 0.038635
-1.05000000 -0.90000000 0.45000000 0.002821
-1.05000000 -0.90000000 0.60000000 0.000102
-1.05000000 -0.90000000 0.75000000 0.000204
-1.05000000 -0.90000000 0.90000000 0.000143
-1.05000000 -0.90000000 1.05000000 0.000123
-1.05000000 -0.75000000 -1.05000000 0.001390
-1.05000000 -0.75000000 -0.90000000 0.001656
-1.05000000 -0.75000000 -0.75000000 0.002657
-1.05000000 -0.75000000 -0.60000000 0.005151
-1.05000000 -0.75000000 -0.45000000 0.009199
-1.05000000 -0.75000000 -0.30000000 0.032973
-1.05000000 -0.75000000 -0.15000000 0.295284
-1.05000000 -0.75000000 0.00000000 0.539627
-1.05000000 -0.75000000 0.15000000 0.346777
-1.05000000 -0.75000000 0.30000000 0.036428
-1.05000000 -0.75000000 0.45000000 0.002392
-1.05000000 -0.75000000 0.60000000 0.000041
-1.05000000 -0.75000000 0.75000000 0.000061
-1.05000000 -0.75000000 0.90000000 0.000123
-1.05000000 -0.75000000 1.05000000 0.000164
-1.05000000 -0.60000000 -1.05000000 0.001513
-1.05000000 -0.60000000 -0.90000000 0.001656
-1.05000000 -0.60000000 -0.75000000 0.003087
-1.05000000 -0.60000000 -0.60000000 0.005294
-1.05000000 -0.60000000 -0.45000000 0.008667
-1.05000000 -0.60000000 -0.30000000 0.032605
-1.05000000 -0.60000000 -0.15000000 0.300374
-1.05000000 -0.60000000 0.00000000 0.548764
-1.05000000 -0.60000000 0.15000000 0.351009
-1.05000000 -0.60000000 0.30000000 0.033198
-1.05000000 -0.60000000 0.45000000 0.002228
-1.05000000 -0.60000000 0.60000000 0.000102
-1.05000000 -0.60000000 0.75000000 0.000164
-1.05000000 -0.60000000 0.90000000 0.000266
-1.05000000 -0.60000000 1.05000000 0.000245
-1.05000000 -0.45000000 -1.05000000 0.001288
-1.05000000 -0.45000000 -0.90000000 0.001717
-1.05000000 -0.45000000 -0.75000000 0.003393
-1.05000000 -0.45000000 -0.60000000 0.004804
-1.05000000 -0.45000000 -0.45000000 0.008892
-1.05000000 -0.45000000 -0.30000000 0.031583
-1.05000000 -0.45000000 -0.15000000 0.305873
-1.05000000 -0.45000000 0.00000000 0.554713
-1.05000000 -0.45000000 0.15000000 0.351315
-1.05000000 -0.45000000 0.30000000 0.030786
-1.05000000 -0.45000000 0.45000000 0.001881
-1.05000000 -0.45000000 0.60000000 0.000143
-1.05000000 -0.45000000 0.75000000 0.000348
-1.05000000 -0.45000000 0.90000000 0.000450
-1.05000000 -0.45000000 1.05000000 0.000204
-1.05000000 -0.30000000 -1.05000000 0.001165
-1.05000000 -0.30000000 -0.90000000 0.001717
-1.05000000 -0.30000000 -0.75000000 0.003148
-1.05000000 -0.30000000 -0.60000000 0.004375
-1.05000000 -0.30000000 -0.45000000 0.008279
-1.05000000 -0.30000000 -0.30000000 0.031746
-1.05000000 -0.30000000 -0.15000000 0.308694
-1.05000000 -0.30000000 0.00000000 0.561847
-1.05000000 -0.30000000 0.15000000 0.351131
-1.05000000 -0.30000000 0.30000000 0.029089
-1.05000000 -0.30000000 0.45000000 0.001594
-1.05000000 -0.30000000 0.60000000 0.000327
-1.05000000 -0.30000000 0.75000000 0.000388
-1.05000000 -0.30000000 0.90000000 0.000429
-1.05000000 -0.30000000 1.05000000 0.000204
-1.05000000 -0.15000000 -1.05000000 0.001002
-1.05000000 -0.15000000 -0.90000000 0.001778
-1.05000000 -0.15000000 -0.75000000 0.003025
-1.05000000 -0.15000000 -0.60000000 0.004518
-1.05000000 -0.15000000 -0.45000000 0.008810
-1.05000000 -0.15000000 -0.30000000 0.031338
-1.05000000 -0.15000000 -0.15000000 0.310432
-1.05000000 -0.15000000 0.00000000 0.567550
-1.05000000 -0.15000000 0.15000000 0.352317
-1.05000000 -0.15000000 0.30000000 0.026493
-1.05000000 -0.15000000 0.45000000 0.001635
-1.05000000 -0.15000000 0.60000000 0.000348
-1.05000000 -0.15000000 0.75000000 0.000409
-1.05000000 -0.15000000 0.90000000 0.000368
-1.05000000 -0.15000000 1.05000000 0.000429
-1.05000000 0.00000000 -1.05000000 0.000981
-1.05000000 0.00000000 -0.90000000 0.001840
-1.05000000 0.00000000 -0.75000000 0.003230
-1.05000000 0.00000000 -0.60000000 0.005213
-1.05000000 0.00000000 -0.45000000 0.009281
-1.05000000 0.00000000 -0.30000000 0.030295
-1.05000000 0.00000000 -0.15000000 0.311413
-1.05000000 0.00000000 0.00000000 0.571741
-1.05000000 0.00000000 0.15000000 0.352235
-1.05000000 0.00000000 0.30000000 0.025246
-1.05000000 0.00000000 0.45000000 0.001431
-1.05000000 0.00000000 0.60000000 0.000225
-1.05000000 0.00000000 0.75000000 0.000266
-1.05000000 0.00000000 0.90000000 0.000266
-1.05000000 0.00000000 1.05000000 0.000450
-1.05000000 0.15000000 -1.05000000 0.000777
-1.05000000 0.15000000 -0.90000000 0.001431
-1.05000000 0.15000000 -0.75000000 0.003312
-1.05000000 0.15000000 -0.60000000 0.005417
-1.05000000 0.15000000 -0.45000000 0.008831
-1.05000000 0.15000000 -0.30000000 0.029150
-1.05000000 0.15000000 -0.15000000 0.310840
-1.05000000 0.15000000 0.00000000 0.569697
-1.05000000 0.15000000 0.15000000 0.348331
-1.05000000 0.15000000 0.30000000 0.023467
-1.05000000 0.15000000 0.45000000 0.001186
-1.05000000 0.15000000 0.60000000 0.000245
-1.05000000 0.15000000 0.75000000 0.000307
-1.05000000 0.15000000 0.90000000 0.000245
-1.05000000 0.15000000 1.05000000 0.000470
-1.05000000 0.30000000 -1.05000000 0.000634
-1.05000000 0.30000000 -0.90000000 0.001349
-1.05000000 0.30000000 -0.75000000 0.003046
-1.05000000 0.30000000 -0.60000000 0.005029
-1.05000000 0.30000000 -0.45000000 0.008156
-1.05000000 0.30000000 -0.30000000 0.027924
-1.05000000 0.30000000 -0.15000000 0.310738
-1.05000000 0.30000000 0.00000000 0.569104
-1.05000000 0.30000000 0.15000000 0.344283
-1.05000000 0.30000000 0.30000000 0.022404
-1.05000000 0.30000000 0.45000000 0.001186
-1.05000000 0.30000000 0.60000000 0.000164
-1.05000000 0.30000000 0.75000000 0.000164
-1.05000000 0.30000000 0.90000000 0.000184
-1.05000000 0.30000000 1.05000000 0.000266
-1.05000000 0.45000000 -1.05000000 0.000572
-1.05000000 0.45000000 -0.90000000 0.001308
-1.05000000 0.45000000 -0.75000000 0.002780
-1.05000000 0.45000000 -0.60000000 0.004252
-1.05000000 0.45000000 -0.45000000 0.007850
-1.05000000 0.45000000 -0.30000000 0.027678
-1.05000000 0.45000000 -0.15000000 0.310656
-1.05000000 0.45000000 0.00000000 0.566303
-1.05000000 0.45000000 0.15000000 0.340522
-1.05000000 0.45000000 0.30000000 0.021587
-1.05000000 0.45000000 0.45000000 0.001063
-1.05000000 0.45000000 0.60000000 0.000143
-1.05000000 0.45000000 0.75000000 0.000082
-1.05000000 0.45000000 0.90000000 0.000061
-1.05000000 0.45000000 1.05000000 0.000082
-1.05000000 0.60000000 -1.05000000 0.000777
-1.05000000 0.60000000 -0.90000000 0.001390
-1.05000000 0.60000000 -0.75000000 0.002392
-1.05000000 0.60000000 -0.60000000 0.004007
-1.05000000 0.60000000 -0.45000000 0.008075
-1.05000000 0.60000000 -0.30000000 0.027188
-1.05000000 0.60000000 -0.15000000 0.310432
-1.05000000 0.60000000 0.00000000 0.563237
-1.05000000 0.60000000 0.15000000 0.336781
-1.05000000 0.60000000 0.30000000 0.021689
