//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.015720
-1.05000000 -1.05000000 -0.90000000 0.017928
-1.05000000 -1.05000000 -0.75000000 0.020810
-1.05000000 -1.05000000 -0.60000000 0.023815
-1.05000000 -1.05000000 -0.45000000 0.042131
-1.05000000 -1.05000000 -0.30000000 0.217523
-1.05000000 -1.05000000 -0.15000000 0.645066
-1.05000000 -1.05000000 0.00000000 0.741491
-1.05000000 -1.05000000 0.15000000 0.671150
-1.05000000 -1.05000000 0.30000000 0.277070
-1.05000000 -1.05000000 0.45000000 0.037429
-1.05000000 -1.05000000 0.60000000 0.009362
-1.05000000 -1.05000000 0.75000000 0.008402
-1.05000000 -1.05000000 0.90000000 0.008238
-1.05000000 -1.05000000 1.05000000 0.009812
-1.05000000 -0.90000000 -1.05000000 0.016067
-1.05000000 -0.90000000 -0.90000000 0.018132
-1.05000000 -0.90000000 -0.75000000 0.020360
-1.05000000 -0.90000000 -0.60000000 0.024183
-1.05000000 -0.90000000 -0.45000000 0.042131
-1.05000000 -0.90000000 -0.30000000 0.219669
-1.05000000 -0.90000000 -0.15000000 0.655635
-1.05000000 -0.90000000 0.00000000 0.749974
-1.05000000 -0.90000000 0.15000000 0.678428
-1.05000000 -0.90000000 0.30000000 0.277561
-1.05000000 -0.90000000 0.45000000 0.035589
-1.05000000 -0.90000000 0.60000000 0.008831
-1.05000000 -0.90000000 0.75000000 0.008545
-1.05000000 -0.90000000 0.90000000 0.008259
-1.05000000 -0.90000000 1.05000000 0.009649
-1.05000000 -0.75000000 -1.05000000 0.016374
-1.05000000 -0.75000000 -0.90000000 0.018357
-1.05000000 -0.75000000 -0.75000000 0.020278
-1.05000000 -0.75000000 -0.60000000 0.024203
-1.05000000 -0.75000000 -0.45000000 0.041722
-1.05000000 -0.75000000 -0.30000000 0.222286
-1.05000000 -0.75000000 -0.15000000 0.668145
-1.05000000 -0.75000000 0.00000000 0.758376
-1.05000000 -0.75000000 0.15000000 0.685848
-1.05000000 -0.75000000 0.30000000 0.275455
-1.05000000 -0.75000000 0.45000000 0.033382
-1.05000000 -0.75000000 0.60000000 0.008463
-1.05000000 -0.75000000 0.75000000 0.008606
-1.05000000 -0.75000000 0.90000000 0.009056
-1.05000000 -0.75000000 1.05000000 0.010691
-1.05000000 -0.60000000 -1.05000000 0.016456
-1.05000000 -0.60000000 -0.90000000 0.018459
-1.05000000 -0.60000000 -0.75000000 0.020953
-1.05000000 -0.60000000 -0.60000000 0.024633
-1.05000000 -0.60000000 -0.45000000 0.041783
-1.05000000 -0.60000000 -0.30000000 0.225843
-1.05000000 -0.60000000 -0.15000000 0.679204
-1.05000000 -0.60000000 0.00000000 0.768638
-1.05000000 -0.60000000 0.15000000 0.694413
-1.05000000 -0.60000000 0.30000000 0.273963
-1.05000000 -0.60000000 0.45000000 0.031767
-1.05000000 -0.60000000 0.60000000 0.009444
-1.05000000 -0.60000000 0.75000000 0.009996
-1.05000000 -0.60000000 0.90000000 0.010466
-1.05000000 -0.60000000 1.05000000 0.011529
-1.05000000 -0.45000000 -1.05000000 0.016538
-1.05000000 -0.45000000 -0.90000000 0.018500
-1.05000000 -0.45000000 -0.75000000 0.020851
