//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.953266
-1.05000000 -1.05000000 -0.90000000 0.954477
-1.05000000 -1.05000000 -0.75000000 0.955045
-1.05000000 -1.05000000 -0.60000000 0.955422
-1.05000000 -1.05000000 -0.45000000 0.955210
-1.05000000 -1.05000000 -0.30000000 0.954418
-1.05000000 -1.05000000 -0.15000000 0.952756
-1.05000000 -1.05000000 0.00000000 0.950659
-1.05000000 -1.05000000 0.15000000 0.948721
-1.05000000 -1.05000000 0.30000000 0.946259
-1.05000000 -1.05000000 0.45000000 0.941156
-1.05000000 -1.05000000 0.60000000 0.935536
-1.05000000 -1.05000000 0.75000000 0.929352
-1.05000000 -1.05000000 0.90000000 0.923873
-1.05000000 -1.05000000 1.05000000 0.918589
-1.05000000 -0.90000000 -1.05000000 0.953618
-1.05000000 -0.90000000 -0.90000000 0.954734
-1.05000000 -0.90000000 -0.75000000 0.955363
-1.05000000 -0.90000000 -0.60000000 0.955703
-1.05000000 -0.90000000 -0.45000000 0.955245
-1.05000000 -0.90000000 -0.30000000 0.954416
-1.05000000 -0.90000000 -0.15000000 0.952615
-1.05000000 -0.90000000 0.00000000 0.950871
-1.05000000 -0.90000000 0.15000000 0.949245
-1.05000000 -0.90000000 0.30000000 0.946668
-1.05000000 -0.90000000 0.45000000 0.941556
-1.05000000 -0.90000000 0.60000000 0.935862
-1.05000000 -0.90000000 0.75000000 0.929554
-1.05000000 -0.90000000 0.90000000 0.924125
-1.05000000 -0.90000000 1.05000000 0.918877
-1.05000000 -0.75000000 -1.05000000 0.953974
-1.05000000 -0.75000000 -0.90000000 0.954967
-1.05000000 -0.75000000 -0.75000000 0.955637
-1.05000000 -0.75000000 -0.60000000 0.956031
-1.05000000 -0.75000000 -0.45000000 0.955452
-1.05000000 -0.75000000 -0.30000000 0.954519
-1.05000000 -0.75000000 -0.15000000 0.952815
-1.05000000 -0.75000000 0.00000000 0.951383
-1.05000000 -0.75000000 0.15000000 0.949943
-1.05000000 -0.75000000 0.30000000 0.947344
-1.05000000 -0.75000000 0.45000000 0.941980
-1.05000000 -0.75000000 0.60000000 0.936146
-1.05000000 -0.75000000 0.75000000 0.929774
-1.05000000 -0.75000000 0.90000000 0.924201
-1.05000000 -0.75000000 1.05000000 0.919039
-1.05000000 -0.60000000 -1.05000000 0.954610
-1.05000000 -0.60000000 -0.90000000 0.955532
-1.05000000 -0.60000000 -0.75000000 0.956033
-1.05000000 -0.60000000 -0.60000000 0.956357
-1.05000000 -0.60000000 -0.45000000 0.955877
-1.05000000 -0.60000000 -0.30000000 0.954788
-1.05000000 -0.60000000 -0.15000000 0.953180
-1.05000000 -0.60000000 0.00000000 0.951947
-1.05000000 -0.60000000 0.15000000 0.950450
-1.05000000 -0.60000000 0.30000000 0.947883
-1.05000000 -0.60000000 0.45000000 0.942492
-1.05000000 -0.60000000 0.60000000 0.936355
-1.05000000 -0.60000000 0.75000000 0.930308
-1.05000000 -0.60000000 0.90000000 0.924412
-1.05000000 -0.60000000 1.05000000 0.919332
-1.05000000 -0.45000000 -1.05000000 0.955286
-1.05000000 -0.45000000 -0.90000000 0.956082
-1.05000000 -0.45000000 -0.75000000 0.956598
-1.05000000 -0.45000000 -0.60000000 0.956892
-1.05000000 -0.45000000 -0.45000000 0.956448
-1.05000000 -0.45000000 -0.30000000 0.955187
-1.05000000 -0.45000000 -0.15000000 0.953457
-1.05000000 -0.45000000 0.00000000 0.952183
-1.05000000 -0.45000000 0.15000000 0.950656
-1.05000000 -0.45000000 0.30000000 0.948211
-1.05000000 -0.45000000 0.45000000 0.943073
-1.05000000 -0.45000000 0.60000000 0.936936
-1.05000000 -0.45000000 0.75000000 0.930864
-1.05000000 -0.45000000 0.90000000 0.925001
-1.05000000 -0.45000000 1.05000000 0.919703
-1.05000000 -0.30000000 -1.05000000 0.956058
-1.05000000 -0.30000000 -0.90000000 0.956823
-1.05000000 -0.30000000 -0.75000000 0.957330
-1.05000000 -0.30000000 -0.60000000 0.957497
-1.05000000 -0.30000000 -0.45000000 0.956974
-1.05000000 -0.30000000 -0.30000000 0.955580
-1.05000000 -0.30000000 -0.15000000 0.953807
-1.05000000 -0.30000000 0.00000000 0.952461
-1.05000000 -0.30000000 0.15000000 0.950916
-1.05000000 -0.30000000 0.30000000 0.948532
-1.05000000 -0.30000000 0.45000000 0.943328
-1.05000000 -0.30000000 0.60000000 0.937359
-1.05000000 -0.30000000 0.75000000 0.931317
-1.05000000 -0.30000000 0.90000000 0.925673
-1.05000000 -0.30000000 1.05000000 0.920343
-1.05000000 -0.15000000 -1.05000000 0.956697
-1.05000000 -0.15000000 -0.90000000 0.957404
-1.05000000 -0.15000000 -0.75000000 0.957815
