//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.006421
-1.05000000 -1.05000000 -0.90000000 0.008740
-1.05000000 -1.05000000 -0.75000000 0.007858
-1.05000000 -1.05000000 -0.60000000 0.007775
-1.05000000 -1.05000000 -0.45000000 0.062045
-1.05000000 -1.05000000 -0.30000000 0.192736
-1.05000000 -1.05000000 -0.15000000 0.393290
-1.05000000 -1.05000000 0.00000000 0.492053
-1.05000000 -1.05000000 0.15000000 0.385707
-1.05000000 -1.05000000 0.30000000 0.160325
-1.05000000 -1.05000000 0.45000000 0.083001
-1.05000000 -1.05000000 0.60000000 0.018236
-1.05000000 -1.05000000 0.75000000 0.001344
-1.05000000 -1.05000000 0.90000000 0.000632
-1.05000000 -1.05000000 1.05000000 0.000546
-1.05000000 -0.90000000 -1.05000000 0.006579
-1.05000000 -0.90000000 -0.90000000 0.008593
-1.05000000 -0.90000000 -0.75000000 0.007765
-1.05000000 -0.90000000 -0.60000000 0.007638
-1.05000000 -0.90000000 -0.45000000 0.059385
-1.05000000 -0.90000000 -0.30000000 0.192821
-1.05000000 -0.90000000 -0.15000000 0.399760
-1.05000000 -0.90000000 0.00000000 0.497781
-1.05000000 -0.90000000 0.15000000 0.386168
-1.05000000 -0.90000000 0.30000000 0.159365
-1.05000000 -0.90000000 0.45000000 0.081334
-1.05000000 -0.90000000 0.60000000 0.017381
-1.05000000 -0.90000000 0.75000000 0.001222
-1.05000000 -0.90000000 0.90000000 0.000625
-1.05000000 -0.90000000 1.05000000 0.000510
-1.05000000 -0.75000000 -1.05000000 0.006899
-1.05000000 -0.75000000 -0.90000000 0.008719
-1.05000000 -0.75000000 -0.75000000 0.007514
-1.05000000 -0.75000000 -0.60000000 0.007224
-1.05000000 -0.75000000 -0.45000000 0.053280
-1.05000000 -0.75000000 -0.30000000 0.190024
-1.05000000 -0.75000000 -0.15000000 0.408999
-1.05000000 -0.75000000 0.00000000 0.509556
-1.05000000 -0.75000000 0.15000000 0.389973
-1.05000000 -0.75000000 0.30000000 0.156756
-1.05000000 -0.75000000 0.45000000 0.076968
-1.05000000 -0.75000000 0.60000000 0.015549
-1.05000000 -0.75000000 0.75000000 0.001049
-1.05000000 -0.75000000 0.90000000 0.000626
-1.05000000 -0.75000000 1.05000000 0.000507
-1.05000000 -0.60000000 -1.05000000 0.006897
-1.05000000 -0.60000000 -0.90000000 0.008578
-1.05000000 -0.60000000 -0.75000000 0.007415
-1.05000000 -0.60000000 -0.60000000 0.006655
-1.05000000 -0.60000000 -0.45000000 0.044502
-1.05000000 -0.60000000 -0.30000000 0.184085
-1.05000000 -0.60000000 -0.15000000 0.420026
-1.05000000 -0.60000000 0.00000000 0.526400
-1.05000000 -0.60000000 0.15000000 0.397125
-1.05000000 -0.60000000 0.30000000 0.154056
-1.05000000 -0.60000000 0.45000000 0.069454
-1.05000000 -0.60000000 0.60000000 0.012766
-1.05000000 -0.60000000 0.75000000 0.000878
-1.05000000 -0.60000000 0.90000000 0.000634
-1.05000000 -0.60000000 1.05000000 0.000499
-1.05000000 -0.45000000 -1.05000000 0.007011
-1.05000000 -0.45000000 -0.90000000 0.008613
-1.05000000 -0.45000000 -0.75000000 0.007421
-1.05000000 -0.45000000 -0.60000000 0.006394
-1.05000000 -0.45000000 -0.45000000 0.034262
-1.05000000 -0.45000000 -0.30000000 0.175042
-1.05000000 -0.45000000 -0.15000000 0.431065
-1.05000000 -0.45000000 0.00000000 0.546383
-1.05000000 -0.45000000 0.15000000 0.407238
-1.05000000 -0.45000000 0.30000000 0.150589
-1.05000000 -0.45000000 0.45000000 0.058772
-1.05000000 -0.45000000 0.60000000 0.009646
-1.05000000 -0.45000000 0.75000000 0.000823
-1.05000000 -0.45000000 0.90000000 0.000666
-1.05000000 -0.45000000 1.05000000 0.000575
-1.05000000 -0.30000000 -1.05000000 0.006984
-1.05000000 -0.30000000 -0.90000000 0.008616
-1.05000000 -0.30000000 -0.75000000 0.007325
-1.05000000 -0.30000000 -0.60000000 0.006240
-1.05000000 -0.30000000 -0.45000000 0.024044
-1.05000000 -0.30000000 -0.30000000 0.164632
-1.05000000 -0.30000000 -0.15000000 0.439388
-1.05000000 -0.30000000 0.00000000 0.568867
-1.05000000 -0.30000000 0.15000000 0.417713
-1.05000000 -0.30000000 0.30000000 0.146213
-1.05000000 -0.30000000 0.45000000 0.047029
-1.05000000 -0.30000000 0.60000000 0.006562
-1.05000000 -0.30000000 0.75000000 0.000800
