//X Y Z Consensus 
1.00000000 1.00000000 1.00000000 0.000111
1.00000000 0.95000000 1.00000000 0.000122
0.95000000 1.00000000 1.00000000 0.000124
0.95000000 0.95000000 1.00000000 0.000137
1.00000000 0.90000000 1.00000000 0.000146
0.90000000 1.00000000 1.00000000 0.000152
1.00000000 1.00000000 0.95000000 0.000154
0.95000000 0.90000000 1.00000000 0.000162
0.90000000 0.95000000 1.00000000 0.000166
1.00000000 0.95000000 0.95000000 0.000170
0.95000000 1.00000000 0.95000000 0.000173
1.00000000 0.85000000 1.00000000 0.000180
0.95000000 0.95000000 0.95000000 0.000190
0.85000000 1.00000000 1.00000000 0.000193
0.90000000 0.90000000 1.00000000 0.000194
0.95000000 0.85000000 1.00000000 0.000199
1.00000000 0.90000000 0.95000000 0.000203
0.85000000 0.95000000 1.00000000 0.000210
0.90000000 1.00000000 0.95000000 0.000210
-1.00000000 1.00000000 1.00000000 0.000213
0.95000000 0.90000000 0.95000000 0.000225
1.00000000 0.80000000 1.00000000 0.000226
0.90000000 0.95000000 0.95000000 0.000230
-0.95000000 1.00000000 1.00000000 0.000232
-1.00000000 0.95000000 1.00000000 0.000233
0.90000000 0.85000000 1.00000000 0.000236
0.85000000 0.90000000 1.00000000 0.000244
1.00000000 -1.00000000 1.00000000 0.000244
0.95000000 0.80000000 1.00000000 0.000248
1.00000000 1.00000000 0.90000000 0.000249
0.80000000 1.00000000 1.00000000 0.000250
1.00000000 0.85000000 0.95000000 0.000251
-0.95000000 0.95000000 1.00000000 0.000253
1.00000000 -0.95000000 1.00000000 0.000262
0.85000000 1.00000000 0.95000000 0.000267
0.90000000 0.90000000 0.95000000 0.000269
0.80000000 0.95000000 1.00000000 0.000270
-0.90000000 1.00000000 1.00000000 0.000270
-1.00000000 0.90000000 1.00000000 0.000271
0.95000000 -1.00000000 1.00000000 0.000272
1.00000000 0.95000000 0.90000000 0.000275
0.95000000 0.85000000 0.95000000 0.000276
0.95000000 1.00000000 0.90000000 0.000278
1.00000000 0.75000000 1.00000000 0.000282
0.85000000 0.95000000 0.95000000 0.000291
0.95000000 -0.95000000 1.00000000 0.000291
0.90000000 0.80000000 1.00000000 0.000291
0.85000000 0.85000000 1.00000000 0.000293
-0.90000000 0.95000000 1.00000000 0.000293
-0.95000000 0.90000000 1.00000000 0.000293
1.00000000 -0.90000000 1.00000000 0.000296
-1.00000000 1.00000000 0.95000000 0.000298
0.95000000 0.95000000 0.90000000 0.000306
0.95000000 0.75000000 1.00000000 0.000307
0.80000000 0.90000000 1.00000000 0.000309
1.00000000 0.80000000 0.95000000 0.000314
0.75000000 1.00000000 1.00000000 0.000321
-0.95000000 1.00000000 0.95000000 0.000324
-1.00000000 0.95000000 0.95000000 0.000325
1.00000000 0.90000000 0.90000000 0.000326
0.95000000 -0.90000000 1.00000000 0.000327
-0.85000000 1.00000000 1.00000000 0.000327
0.90000000 0.85000000 0.95000000 0.000327
0.90000000 -1.00000000 1.00000000 0.000328
-1.00000000 0.85000000 1.00000000 0.000328
1.00000000 -1.00000000 0.95000000 0.000335
0.85000000 0.90000000 0.95000000 0.000336
-0.90000000 0.90000000 1.00000000 0.000336
0.90000000 1.00000000 0.90000000 0.000338
0.95000000 0.80000000 0.95000000 0.000344
0.80000000 1.00000000 0.95000000 0.000344
0.75000000 0.95000000 1.00000000 0.000345
1.00000000 -0.85000000 1.00000000 0.000346
1.00000000 0.70000000 1.00000000 0.000348
0.90000000 -0.95000000 1.00000000 0.000349
-0.85000000 0.95000000 1.00000000 0.000352
-0.95000000 0.95000000 0.95000000 0.000353
-0.95000000 0.85000000 1.00000000 0.000353
0.85000000 0.80000000 1.00000000 0.000356
0.90000000 0.75000000 1.00000000 0.000357
1.00000000 -0.95000000 0.95000000 0.000359
0.95000000 0.90000000 0.90000000 0.000361
0.80000000 0.85000000 1.00000000 0.000367
0.90000000 0.95000000 0.90000000 0.000369
0.80000000 0.95000000 0.95000000 0.000372
0.95000000 -1.00000000 0.95000000 0.000372
1.00000000 1.00000000 -1.00000000 0.000374
-0.90000000 1.00000000 0.95000000 0.000376
0.95000000 0.70000000 1.00000000 0.000376
-1.00000000 0.90000000 0.95000000 0.000379
0.95000000 -0.85000000 1.00000000 0.000379
0.90000000 -0.90000000 1.00000000 0.000388
0.75000000 0.90000000 1.00000000 0.000392
1.00000000 0.75000000 0.95000000 0.000392
0.95000000 -0.95000000 0.95000000 0.000397
-0.85000000 0.90000000 1.00000000 0.000400
-0.90000000 0.85000000 1.00000000 0.000401
-0.80000000 1.00000000 1.00000000 0.000402
-1.00000000 0.80000000 1.00000000 0.000403
0.90000000 0.80000000 0.95000000 0.000403
0.85000000 0.85000000 0.95000000 0.000404
1.00000000 0.85000000 0.90000000 0.000404
1.00000000 -0.90000000 0.95000000 0.000406
-0.90000000 0.95000000 0.95000000 0.000407
0.70000000 1.00000000 1.00000000 0.000408
-0.95000000 0.90000000 0.95000000 0.000409
1.00000000 -0.80000000 1.00000000 0.000409
0.85000000 -1.00000000 1.00000000 0.000412
1.00000000 1.00000000 0.85000000 0.000414
1.00000000 0.95000000 -1.00000000 0.000414
0.95000000 1.00000000 -1.00000000 0.000418
1.00000000 0.65000000 1.00000000 0.000421
0.80000000 0.90000000 0.95000000 0.000426
0.95000000 0.75000000 0.95000000 0.000426
0.85000000 1.00000000 0.90000000 0.000428
-0.80000000 0.95000000 1.00000000 0.000429
-0.95000000 0.80000000 1.00000000 0.000430
0.85000000 0.75000000 1.00000000 0.000431
0.90000000 0.90000000 0.90000000 0.000432
0.90000000 0.70000000 1.00000000 0.000434
0.85000000 -0.95000000 1.00000000 0.000435
0.70000000 0.95000000 1.00000000 0.000436
0.80000000 0.80000000 1.00000000 0.000441
0.75000000 1.00000000 0.95000000 0.000442
0.95000000 0.85000000 0.90000000 0.000444
0.95000000 -0.80000000 1.00000000 0.000446
0.90000000 -0.85000000 1.00000000 0.000446
0.95000000 -0.90000000 0.95000000 0.000447
0.90000000 -1.00000000 0.95000000 0.000447
-0.85000000 1.00000000 0.95000000 0.000453
0.95000000 0.65000000 1.00000000 0.000454
1.00000000 0.95000000 0.85000000 0.000457
-1.00000000 0.85000000 0.95000000 0.000458
0.75000000 0.85000000 1.00000000 0.000460
0.95000000 0.95000000 -1.00000000 0.000461
0.95000000 1.00000000 0.85000000 0.000462
0.85000000 0.95000000 0.90000000 0.000464
-0.90000000 0.90000000 0.95000000 0.000467
-0.85000000 0.85000000 1.00000000 0.000471
1.00000000 -0.85000000 0.95000000 0.000474
0.75000000 0.95000000 0.95000000 0.000474
0.90000000 -0.95000000 0.95000000 0.000475
0.85000000 -0.90000000 1.00000000 0.000481
-1.00000000 1.00000000 0.90000000 0.000483
1.00000000 0.70000000 0.95000000 0.000483
-0.90000000 0.80000000 1.00000000 0.000483
-0.80000000 0.90000000 1.00000000 0.000484
1.00000000 -0.75000000 1.00000000 0.000484
-0.85000000 0.95000000 0.95000000 0.000487
0.85000000 0.80000000 0.95000000 0.000490
0.70000000 0.90000000 1.00000000 0.000490
-0.95000000 0.85000000 0.95000000 0.000491
-1.00000000 0.75000000 1.00000000 0.000492
1.00000000 1.00000000 -0.95000000 0.000493
-0.75000000 1.00000000 1.00000000 0.000493
1.00000000 0.90000000 -1.00000000 0.000493
0.90000000 0.75000000 0.95000000 0.000494
1.00000000 0.60000000 1.00000000 0.000502
0.80000000 0.85000000 0.95000000 0.000505
1.00000000 0.80000000 0.90000000 0.000505
0.90000000 1.00000000 -1.00000000 0.000507
-1.00000000 -1.00000000 1.00000000 0.000508
0.95000000 0.95000000 0.85000000 0.000508
0.65000000 1.00000000 1.00000000 0.000509
0.85000000 0.70000000 1.00000000 0.000518
0.90000000 0.65000000 1.00000000 0.000518
0.95000000 -0.85000000 0.95000000 0.000518
0.90000000 -0.80000000 1.00000000 0.000519
0.95000000 0.70000000 0.95000000 0.000522
-0.95000000 0.75000000 1.00000000 0.000522
-0.95000000 1.00000000 0.90000000 0.000524
0.90000000 0.85000000 0.90000000 0.000524
0.95000000 -0.75000000 1.00000000 0.000524
-0.75000000 0.95000000 1.00000000 0.000524
0.80000000 -1.00000000 1.00000000 0.000525
-1.00000000 0.95000000 0.90000000 0.000527
0.80000000 0.75000000 1.00000000 0.000528
0.90000000 -0.90000000 0.95000000 0.000529
1.00000000 -1.00000000 0.90000000 0.000530
0.85000000 0.90000000 0.90000000 0.000537
0.95000000 0.60000000 1.00000000 0.000538
0.75000000 0.90000000 0.95000000 0.000538
-1.00000000 -0.95000000 1.00000000 0.000540
0.65000000 0.95000000 1.00000000 0.000541
1.00000000 0.90000000 0.85000000 0.000543
1.00000000 0.95000000 -0.95000000 0.000544
0.85000000 -0.85000000 1.00000000 0.000545
0.75000000 0.80000000 1.00000000 0.000545
0.95000000 0.90000000 -1.00000000 0.000546
-0.95000000 -1.00000000 1.00000000 0.000548
0.80000000 1.00000000 0.90000000 0.000549
0.95000000 1.00000000 -0.95000000 0.000549
0.80000000 -0.95000000 1.00000000 0.000552
0.95000000 0.80000000 0.90000000 0.000552
-0.85000000 0.90000000 0.95000000 0.000554
-0.80000000 1.00000000 0.95000000 0.000555
0.90000000 0.95000000 -1.00000000 0.000555
-0.90000000 0.85000000 0.95000000 0.000556
0.70000000 1.00000000 0.95000000 0.000559
0.90000000 1.00000000 0.85000000 0.000559
0.85000000 -1.00000000 0.95000000 0.000559
1.00000000 -0.80000000 0.95000000 0.000561
-1.00000000 0.80000000 0.95000000 0.000561
-0.85000000 0.80000000 1.00000000 0.000561
-0.80000000 0.85000000 1.00000000 0.000563
1.00000000 -0.70000000 1.00000000 0.000567
1.00000000 -0.95000000 0.90000000 0.000568
0.70000000 0.85000000 1.00000000 0.000569
-0.95000000 0.95000000 0.90000000 0.000570
-0.95000000 -0.95000000 1.00000000 0.000581
-0.90000000 0.75000000 1.00000000 0.000582
1.00000000 0.65000000 0.95000000 0.000585
-0.75000000 0.90000000 1.00000000 0.000585
1.00000000 0.55000000 1.00000000 0.000587
0.95000000 -1.00000000 0.90000000 0.000587
0.85000000 -0.95000000 0.95000000 0.000591
0.80000000 0.95000000 0.90000000 0.000592
-0.80000000 0.95000000 0.95000000 0.000593
0.85000000 0.75000000 0.95000000 0.000594
-1.00000000 0.70000000 1.00000000 0.000595
0.70000000 0.95000000 0.95000000 0.000597
-0.95000000 0.80000000 0.95000000 0.000598
0.90000000 0.70000000 0.95000000 0.000599
-0.70000000 1.00000000 1.00000000 0.000600
0.95000000 0.90000000 0.85000000 0.000600
-1.00000000 -0.90000000 1.00000000 0.000601
0.80000000 -0.90000000 1.00000000 0.000603
0.90000000 -0.75000000 1.00000000 0.000603
0.65000000 0.90000000 1.00000000 0.000604
0.95000000 0.95000000 -0.95000000 0.000605
0.80000000 0.80000000 0.95000000 0.000606
-0.90000000 1.00000000 0.90000000 0.000606
0.90000000 -0.85000000 0.95000000 0.000607
0.90000000 0.60000000 1.00000000 0.000608
0.95000000 -0.80000000 0.95000000 0.000610
0.95000000 -0.70000000 1.00000000 0.000611
0.90000000 0.95000000 0.85000000 0.000611
0.85000000 0.65000000 1.00000000 0.000612
1.00000000 0.85000000 -1.00000000 0.000612
-1.00000000 0.90000000 0.90000000 0.000613
0.60000000 1.00000000 1.00000000 0.000624
0.95000000 0.55000000 1.00000000 0.000626
0.80000000 0.70000000 1.00000000 0.000627
0.85000000 -0.80000000 1.00000000 0.000627
0.95000000 -0.95000000 0.90000000 0.000627
-0.95000000 0.70000000 1.00000000 0.000628
-0.90000000 -1.00000000 1.00000000 0.000628
0.95000000 0.65000000 0.95000000 0.000629
0.75000000 0.85000000 0.95000000 0.000630
1.00000000 0.75000000 0.90000000 0.000630
-0.70000000 0.95000000 1.00000000 0.000635
0.85000000 1.00000000 -1.00000000 0.000641
1.00000000 -0.90000000 0.90000000 0.000642
0.85000000 0.85000000 0.90000000 0.000644
-0.95000000 -0.90000000 1.00000000 0.000644
0.90000000 0.80000000 0.90000000 0.000645
0.75000000 0.75000000 1.00000000 0.000646
1.00000000 0.90000000 -0.95000000 0.000647
-0.85000000 0.85000000 0.95000000 0.000651
0.85000000 -0.90000000 0.95000000 0.000652
0.90000000 0.90000000 -1.00000000 0.000652
