//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.017815
-1.05000000 -1.05000000 -0.90000000 0.020674
-1.05000000 -1.05000000 -0.75000000 0.021761
-1.05000000 -1.05000000 -0.60000000 0.046433
-1.05000000 -1.05000000 -0.45000000 0.185715
-1.05000000 -1.05000000 -0.30000000 0.377841
-1.05000000 -1.05000000 -0.15000000 0.694254
-1.05000000 -1.05000000 0.00000000 0.730144
-1.05000000 -1.05000000 0.15000000 0.640700
-1.05000000 -1.05000000 0.30000000 0.395563
-1.05000000 -1.05000000 0.45000000 0.175636
-1.05000000 -1.05000000 0.60000000 0.075993
-1.05000000 -1.05000000 0.75000000 0.017286
-1.05000000 -1.05000000 0.90000000 0.006442
-1.05000000 -1.05000000 1.05000000 0.006219
-1.05000000 -0.90000000 -1.05000000 0.018139
-1.05000000 -0.90000000 -0.90000000 0.020752
-1.05000000 -0.90000000 -0.75000000 0.021808
-1.05000000 -0.90000000 -0.60000000 0.044327
-1.05000000 -0.90000000 -0.45000000 0.185405
-1.05000000 -0.90000000 -0.30000000 0.381303
-1.05000000 -0.90000000 -0.15000000 0.699426
-1.05000000 -0.90000000 0.00000000 0.737673
-1.05000000 -0.90000000 0.15000000 0.644927
-1.05000000 -0.90000000 0.30000000 0.394236
-1.05000000 -0.90000000 0.45000000 0.174141
-1.05000000 -0.90000000 0.60000000 0.074464
-1.05000000 -0.90000000 0.75000000 0.016928
-1.05000000 -0.90000000 0.90000000 0.006404
-1.05000000 -0.90000000 1.05000000 0.006225
-1.05000000 -0.75000000 -1.05000000 0.018385
-1.05000000 -0.75000000 -0.90000000 0.020773
-1.05000000 -0.75000000 -0.75000000 0.021738
-1.05000000 -0.75000000 -0.60000000 0.040269
-1.05000000 -0.75000000 -0.45000000 0.180343
-1.05000000 -0.75000000 -0.30000000 0.385098
-1.05000000 -0.75000000 -0.15000000 0.707854
-1.05000000 -0.75000000 0.00000000 0.751322
-1.05000000 -0.75000000 0.15000000 0.654000
-1.05000000 -0.75000000 0.30000000 0.393105
-1.05000000 -0.75000000 0.45000000 0.170200
