//X Y Z Consensus 
-1.00000000 -1.00000000 -1.00000000 0.000000
-1.00000000 -1.00000000 -0.80000000 0.000000
-1.00000000 -1.00000000 -0.60000000 0.000000
-1.00000000 -1.00000000 -0.40000000 0.000000
-1.00000000 -1.00000000 -0.20000000 0.000000
-1.00000000 -1.00000000 0.00000000 0.000000
-1.00000000 -1.00000000 0.20000000 0.000000
-1.00000000 -1.00000000 0.40000000 0.000000
-1.00000000 -1.00000000 0.60000000 0.000000
-1.00000000 -1.00000000 0.80000000 0.000000
-1.00000000 -1.00000000 1.00000000 0.000000
-1.00000000 -0.80000000 -1.00000000 0.000000
-1.00000000 -0.80000000 -0.80000000 0.000000
-1.00000000 -0.80000000 -0.60000000 0.000000
-1.00000000 -0.80000000 -0.40000000 0.000000
-1.00000000 -0.80000000 -0.20000000 0.000000
-1.00000000 -0.80000000 0.00000000 0.000000
-1.00000000 -0.80000000 0.20000000 0.000000
-1.00000000 -0.80000000 0.40000000 0.000000
-1.00000000 -0.80000000 0.60000000 0.000000
-1.00000000 -0.80000000 0.80000000 0.000000
-1.00000000 -0.80000000 1.00000000 0.000000
-1.00000000 -0.60000000 -1.00000000 0.000000
-1.00000000 -0.60000000 -0.80000000 0.000000
-1.00000000 -0.60000000 -0.60000000 0.000000
-1.00000000 -0.60000000 -0.40000000 0.000000
-1.00000000 -0.60000000 -0.20000000 0.000000
-1.00000000 -0.60000000 0.00000000 0.000000
-1.00000000 -0.60000000 0.20000000 0.000000
-1.00000000 -0.60000000 0.40000000 0.000000
-1.00000000 -0.60000000 0.60000000 0.000000
-1.00000000 -0.60000000 0.80000000 0.000000
-1.00000000 -0.60000000 1.00000000 0.000000
-1.00000000 -0.40000000 -1.00000000 0.000000
-1.00000000 -0.40000000 -0.80000000 0.000000
-1.00000000 -0.40000000 -0.60000000 0.000000
-1.00000000 -0.40000000 -0.40000000 0.000014
-1.00000000 -0.40000000 -0.20000000 0.008490
-1.00000000 -0.40000000 0.00000000 0.072211
-1.00000000 -0.40000000 0.20000000 0.027578
-1.00000000 -0.40000000 0.40000000 0.000011
-1.00000000 -0.40000000 0.60000000 0.000000
-1.00000000 -0.40000000 0.80000000 0.000000
-1.00000000 -0.40000000 1.00000000 0.000000
-1.00000000 -0.20000000 -1.00000000 0.000000
-1.00000000 -0.20000000 -0.80000000 0.000000
-1.00000000 -0.20000000 -0.60000000 0.000000
-1.00000000 -0.20000000 -0.40000000 0.004472
-1.00000000 -0.20000000 -0.20000000 0.049967
-1.00000000 -0.20000000 0.00000000 0.263740
-1.00000000 -0.20000000 0.20000000 0.141364
-1.00000000 -0.20000000 0.40000000 0.002733
-1.00000000 -0.20000000 0.60000000 0.000000
-1.00000000 -0.20000000 0.80000000 0.000000
-1.00000000 -0.20000000 1.00000000 0.000000
-1.00000000 0.00000000 -1.00000000 0.000000
-1.00000000 0.00000000 -0.80000000 0.000000
-1.00000000 0.00000000 -0.60000000 0.000000
-1.00000000 0.00000000 -0.40000000 0.010726
-1.00000000 0.00000000 -0.20000000 0.064634
-1.00000000 0.00000000 0.00000000 0.321588
-1.00000000 0.00000000 0.20000000 0.186266
-1.00000000 0.00000000 0.40000000 0.006422
-1.00000000 0.00000000 0.60000000 0.000000
-1.00000000 0.00000000 0.80000000 0.000000
-1.00000000 0.00000000 1.00000000 0.000000
-1.00000000 0.20000000 -1.00000000 0.000000
-1.00000000 0.20000000 -0.80000000 0.000000
-1.00000000 0.20000000 -0.60000000 0.000000
-1.00000000 0.20000000 -0.40000000 0.004703
-1.00000000 0.20000000 -0.20000000 0.049624
-1.00000000 0.20000000 0.00000000 0.262349
-1.00000000 0.20000000 0.20000000 0.146221
-1.00000000 0.20000000 0.40000000 0.003122
-1.00000000 0.20000000 0.60000000 0.000000
-1.00000000 0.20000000 0.80000000 0.000000
-1.00000000 0.20000000 1.00000000 0.000000
-1.00000000 0.40000000 -1.00000000 0.000000
-1.00000000 0.40000000 -0.80000000 0.000000
-1.00000000 0.40000000 -0.60000000 0.000000
-1.00000000 0.40000000 -0.40000000 0.000019
-1.00000000 0.40000000 -0.20000000 0.007963
-1.00000000 0.40000000 0.00000000 0.069758
-1.00000000 0.40000000 0.20000000 0.028760
-1.00000000 0.40000000 0.40000000 0.000016
-1.00000000 0.40000000 0.60000000 0.000000
-1.00000000 0.40000000 0.80000000 0.000000
-1.00000000 0.40000000 1.00000000 0.000000
-1.00000000 0.60000000 -1.00000000 0.000000
-1.00000000 0.60000000 -0.80000000 0.000000
-1.00000000 0.60000000 -0.60000000 0.000000
-1.00000000 0.60000000 -0.40000000 0.000000
-1.00000000 0.60000000 -0.20000000 0.000000
-1.00000000 0.60000000 0.00000000 0.000000
-1.00000000 0.60000000 0.20000000 0.000000
-1.00000000 0.60000000 0.40000000 0.000000
-1.00000000 0.60000000 0.60000000 0.000000
-1.00000000 0.60000000 0.80000000 0.000000
-1.00000000 0.60000000 1.00000000 0.000000
-1.00000000 0.80000000 -1.00000000 0.000000
-1.00000000 0.80000000 -0.80000000 0.000000
-1.00000000 0.80000000 -0.60000000 0.000000
-1.00000000 0.80000000 -0.40000000 0.000000
-1.00000000 0.80000000 -0.20000000 0.000000
-1.00000000 0.80000000 0.00000000 0.000000
-1.00000000 0.80000000 0.20000000 0.000000
-1.00000000 0.80000000 0.40000000 0.000000
-1.00000000 0.80000000 0.60000000 0.000000
-1.00000000 0.80000000 0.80000000 0.000000
-1.00000000 0.80000000 1.00000000 0.000000
-1.00000000 1.00000000 -1.00000000 0.000000
-1.00000000 1.00000000 -0.80000000 0.000000
-1.00000000 1.00000000 -0.60000000 0.000000
-1.00000000 1.00000000 -0.40000000 0.000000
-1.00000000 1.00000000 -0.20000000 0.000000
-1.00000000 1.00000000 0.00000000 0.000000
-1.00000000 1.00000000 0.20000000 0.000000
-1.00000000 1.00000000 0.40000000 0.000000
-1.00000000 1.00000000 0.60000000 0.000000
-1.00000000 1.00000000 0.80000000 0.000000
-1.00000000 1.00000000 1.00000000 0.000000
-0.80000000 -1.00000000 -1.00000000 0.000000
-0.80000000 -1.00000000 -0.80000000 0.000000
-0.80000000 -1.00000000 -0.60000000 0.000000
-0.80000000 -1.00000000 -0.40000000 0.000000
-0.80000000 -1.00000000 -0.20000000 0.000000
-0.80000000 -1.00000000 0.00000000 0.000000
-0.80000000 -1.00000000 0.20000000 0.000000
-0.80000000 -1.00000000 0.40000000 0.000000
-0.80000000 -1.00000000 0.60000000 0.000000
-0.80000000 -1.00000000 0.80000000 0.000000
-0.80000000 -1.00000000 1.00000000 0.000000
-0.80000000 -0.80000000 -1.00000000 0.000000
-0.80000000 -0.80000000 -0.80000000 0.000000
-0.80000000 -0.80000000 -0.60000000 0.000000
-0.80000000 -0.80000000 -0.40000000 0.000000
-0.80000000 -0.80000000 -0.20000000 0.000000
-0.80000000 -0.80000000 0.00000000 0.000674
-0.80000000 -0.80000000 0.20000000 0.000000
-0.80000000 -0.80000000 0.40000000 0.000000
-0.80000000 -0.80000000 0.60000000 0.000000
-0.80000000 -0.80000000 0.80000000 0.000000
-0.80000000 -0.80000000 1.00000000 0.000000
-0.80000000 -0.60000000 -1.00000000 0.000000
-0.80000000 -0.60000000 -0.80000000 0.000000
-0.80000000 -0.60000000 -0.60000000 0.000000
-0.80000000 -0.60000000 -0.40000000 0.010720
-0.80000000 -0.60000000 -0.20000000 0.065061
-0.80000000 -0.60000000 0.00000000 0.333748
-0.80000000 -0.60000000 0.20000000 0.157227
-0.80000000 -0.60000000 0.40000000 0.005507
-0.80000000 -0.60000000 0.60000000 0.000000
-0.80000000 -0.60000000 0.80000000 0.000000
-0.80000000 -0.60000000 1.00000000 0.000000
-0.80000000 -0.40000000 -1.00000000 0.000000
-0.80000000 -0.40000000 -0.80000000 0.000000
-0.80000000 -0.40000000 -0.60000000 0.008069
-0.80000000 -0.40000000 -0.40000000 0.055248
-0.80000000 -0.40000000 -0.20000000 0.139288
-0.80000000 -0.40000000 0.00000000 0.594252
-0.80000000 -0.40000000 0.20000000 0.331365
-0.80000000 -0.40000000 0.40000000 0.027771
-0.80000000 -0.40000000 0.60000000 0.002203
-0.80000000 -0.40000000 0.80000000 0.000000
-0.80000000 -0.40000000 1.00000000 0.000000
-0.80000000 -0.20000000 -1.00000000 0.000000
-0.80000000 -0.20000000 -0.80000000 0.000003
-0.80000000 -0.20000000 -0.60000000 0.025948
-0.80000000 -0.20000000 -0.40000000 0.076816
-0.80000000 -0.20000000 -0.20000000 0.146178
-0.80000000 -0.20000000 0.00000000 0.611930
-0.80000000 -0.20000000 0.20000000 0.354200
-0.80000000 -0.20000000 0.40000000 0.037836
-0.80000000 -0.20000000 0.60000000 0.008194
-0.80000000 -0.20000000 0.80000000 0.000000
-0.80000000 -0.20000000 1.00000000 0.000000
-0.80000000 0.00000000 -1.00000000 0.000000
-0.80000000 0.00000000 -0.80000000 0.000128
-0.80000000 0.00000000 -0.60000000 0.033495
-0.80000000 0.00000000 -0.40000000 0.080965
-0.80000000 0.00000000 -0.20000000 0.146056
-0.80000000 0.00000000 0.00000000 0.613620
-0.80000000 0.00000000 0.20000000 0.360728
-0.80000000 0.00000000 0.40000000 0.038668
-0.80000000 0.00000000 0.60000000 0.010786
-0.80000000 0.00000000 0.80000000 0.000038
-0.80000000 0.00000000 1.00000000 0.000000
-0.80000000 0.20000000 -1.00000000 0.000000
-0.80000000 0.20000000 -0.80000000 0.000003
-0.80000000 0.20000000 -0.60000000 0.025926
-0.80000000 0.20000000 -0.40000000 0.077172
-0.80000000 0.20000000 -0.20000000 0.145539
-0.80000000 0.20000000 0.00000000 0.606494
-0.80000000 0.20000000 0.20000000 0.366004
-0.80000000 0.20000000 0.40000000 0.038439
-0.80000000 0.20000000 0.60000000 0.008042
-0.80000000 0.20000000 0.80000000 0.000003
-0.80000000 0.20000000 1.00000000 0.000000
-0.80000000 0.40000000 -1.00000000 0.000000
-0.80000000 0.40000000 -0.80000000 0.000000
-0.80000000 0.40000000 -0.60000000 0.007580
-0.80000000 0.40000000 -0.40000000 0.055253
-0.80000000 0.40000000 -0.20000000 0.135794
-0.80000000 0.40000000 0.00000000 0.578960
-0.80000000 0.40000000 0.20000000 0.351681
-0.80000000 0.40000000 0.40000000 0.028727
-0.80000000 0.40000000 0.60000000 0.002339
-0.80000000 0.40000000 0.80000000 0.000000
-0.80000000 0.40000000 1.00000000 0.000000
-0.80000000 0.60000000 -1.00000000 0.000000
-0.80000000 0.60000000 -0.80000000 0.000000
-0.80000000 0.60000000 -0.60000000 0.000000
-0.80000000 0.60000000 -0.40000000 0.010492
-0.80000000 0.60000000 -0.20000000 0.063659
-0.80000000 0.60000000 0.00000000 0.325204
-0.80000000 0.60000000 0.20000000 0.172278
-0.80000000 0.60000000 0.40000000 0.005624
