//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.057017
-1.05000000 -1.05000000 -0.90000000 0.064374
-1.05000000 -1.05000000 -0.75000000 0.077098
-1.05000000 -1.05000000 -0.60000000 0.093116
-1.05000000 -1.05000000 -0.45000000 0.115420
-1.05000000 -1.05000000 -0.30000000 0.164876
-1.05000000 -1.05000000 -0.15000000 0.382242
-1.05000000 -1.05000000 0.00000000 0.500824
-1.05000000 -1.05000000 0.15000000 0.485773
-1.05000000 -1.05000000 0.30000000 0.382445
-1.05000000 -1.05000000 0.45000000 0.128547
-1.05000000 -1.05000000 0.60000000 0.055271
-1.05000000 -1.05000000 0.75000000 0.041150
-1.05000000 -1.05000000 0.90000000 0.035338
-1.05000000 -1.05000000 1.05000000 0.033091
-1.05000000 -0.90000000 -1.05000000 0.062036
-1.05000000 -0.90000000 -0.90000000 0.066186
-1.05000000 -0.90000000 -0.75000000 0.078324
-1.05000000 -0.90000000 -0.60000000 0.095687
-1.05000000 -0.90000000 -0.45000000 0.119477
-1.05000000 -0.90000000 -0.30000000 0.171445
-1.05000000 -0.90000000 -0.15000000 0.395541
-1.05000000 -0.90000000 0.00000000 0.508732
-1.05000000 -0.90000000 0.15000000 0.489033
-1.05000000 -0.90000000 0.30000000 0.379357
-1.05000000 -0.90000000 0.45000000 0.121903
-1.05000000 -0.90000000 0.60000000 0.053654
-1.05000000 -0.90000000 0.75000000 0.040912
-1.05000000 -0.90000000 0.90000000 0.036408
-1.05000000 -0.90000000 1.05000000 0.037972
-1.05000000 -0.75000000 -1.05000000 0.065938
-1.05000000 -0.75000000 -0.90000000 0.071396
-1.05000000 -0.75000000 -0.75000000 0.080221
-1.05000000 -0.75000000 -0.60000000 0.097931
-1.05000000 -0.75000000 -0.45000000 0.122927
-1.05000000 -0.75000000 -0.30000000 0.178403
-1.05000000 -0.75000000 -0.15000000 0.408765
-1.05000000 -0.75000000 0.00000000 0.515720
-1.05000000 -0.75000000 0.15000000 0.492015
-1.05000000 -0.75000000 0.30000000 0.376131
-1.05000000 -0.75000000 0.45000000 0.115519
-1.05000000 -0.75000000 0.60000000 0.052370
-1.05000000 -0.75000000 0.75000000 0.041282
-1.05000000 -0.75000000 0.90000000 0.040693
-1.05000000 -0.75000000 1.05000000 0.043772
-1.05000000 -0.60000000 -1.05000000 0.068544
-1.05000000 -0.60000000 -0.90000000 0.075638
-1.05000000 -0.60000000 -0.75000000 0.085808
-1.05000000 -0.60000000 -0.60000000 0.100400
-1.05000000 -0.60000000 -0.45000000 0.126151
-1.05000000 -0.60000000 -0.30000000 0.185551
-1.05000000 -0.60000000 -0.15000000 0.421654
-1.05000000 -0.60000000 0.00000000 0.522239
-1.05000000 -0.60000000 0.15000000 0.494426
-1.05000000 -0.60000000 0.30000000 0.372866
-1.05000000 -0.60000000 0.45000000 0.109572
-1.05000000 -0.60000000 0.60000000 0.051807
-1.05000000 -0.60000000 0.75000000 0.044727
-1.05000000 -0.60000000 0.90000000 0.046703
-1.05000000 -0.60000000 1.05000000 0.048336
-1.05000000 -0.45000000 -1.05000000 0.069634
-1.05000000 -0.45000000 -0.90000000 0.078541
-1.05000000 -0.45000000 -0.75000000 0.091548
-1.05000000 -0.45000000 -0.60000000 0.105714
-1.05000000 -0.45000000 -0.45000000 0.129324
-1.05000000 -0.45000000 -0.30000000 0.192176
-1.05000000 -0.45000000 -0.15000000 0.435262
-1.05000000 -0.45000000 0.00000000 0.527767
-1.05000000 -0.45000000 0.15000000 0.496194
-1.05000000 -0.45000000 0.30000000 0.369106
-1.05000000 -0.45000000 0.45000000 0.103955
-1.05000000 -0.45000000 0.60000000 0.053940
-1.05000000 -0.45000000 0.75000000 0.051145
-1.05000000 -0.45000000 0.90000000 0.051839
-1.05000000 -0.45000000 1.05000000 0.051181
-1.05000000 -0.30000000 -1.05000000 0.069695
-1.05000000 -0.30000000 -0.90000000 0.079696
-1.05000000 -0.30000000 -0.75000000 0.094703
-1.05000000 -0.30000000 -0.60000000 0.112933
-1.05000000 -0.30000000 -0.45000000 0.134639
-1.05000000 -0.30000000 -0.30000000 0.198536
-1.05000000 -0.30000000 -0.15000000 0.449325
-1.05000000 -0.30000000 0.00000000 0.532907
-1.05000000 -0.30000000 0.15000000 0.497605
-1.05000000 -0.30000000 0.30000000 0.365161
-1.05000000 -0.30000000 0.45000000 0.100605
-1.05000000 -0.30000000 0.60000000 0.059873
-1.05000000 -0.30000000 0.75000000 0.056629
-1.05000000 -0.30000000 0.90000000 0.054943
-1.05000000 -0.30000000 1.05000000 0.052115
-1.05000000 -0.15000000 -1.05000000 0.067692
-1.05000000 -0.15000000 -0.90000000 0.079686
-1.05000000 -0.15000000 -0.75000000 0.095312
-1.05000000 -0.15000000 -0.60000000 0.117837
-1.05000000 -0.15000000 -0.45000000 0.143964
-1.05000000 -0.15000000 -0.30000000 0.205830
-1.05000000 -0.15000000 -0.15000000 0.463146
-1.05000000 -0.15000000 0.00000000 0.537237
-1.05000000 -0.15000000 0.15000000 0.498624
-1.05000000 -0.15000000 0.30000000 0.361559
-1.05000000 -0.15000000 0.45000000 0.101323
-1.05000000 -0.15000000 0.60000000 0.065829
-1.05000000 -0.15000000 0.75000000 0.059856
-1.05000000 -0.15000000 0.90000000 0.056007
-1.05000000 -0.15000000 1.05000000 0.050672
-1.05000000 0.00000000 -1.05000000 0.061617
-1.05000000 0.00000000 -0.90000000 0.078313
-1.05000000 0.00000000 -0.75000000 0.095305
-1.05000000 0.00000000 -0.60000000 0.119186
-1.05000000 0.00000000 -0.45000000 0.151429
-1.05000000 0.00000000 -0.30000000 0.217705
-1.05000000 0.00000000 -0.15000000 0.476133
-1.05000000 0.00000000 0.00000000 0.541363
-1.05000000 0.00000000 0.15000000 0.499485
-1.05000000 0.00000000 0.30000000 0.360831
-1.05000000 0.00000000 0.45000000 0.103207
-1.05000000 0.00000000 0.60000000 0.069353
-1.05000000 0.00000000 0.75000000 0.061230
-1.05000000 0.00000000 0.90000000 0.055053
-1.05000000 0.00000000 1.05000000 0.045210
-1.05000000 0.15000000 -1.05000000 0.055941
-1.05000000 0.15000000 -0.90000000 0.073252
-1.05000000 0.15000000 -0.75000000 0.094023
-1.05000000 0.15000000 -0.60000000 0.118342
-1.05000000 0.15000000 -0.45000000 0.155028
-1.05000000 0.15000000 -0.30000000 0.228625
-1.05000000 0.15000000 -0.15000000 0.491888
-1.05000000 0.15000000 0.00000000 0.545510
-1.05000000 0.15000000 0.15000000 0.502930
-1.05000000 0.15000000 0.30000000 0.361310
-1.05000000 0.15000000 0.45000000 0.103221
-1.05000000 0.15000000 0.60000000 0.070487
-1.05000000 0.15000000 0.75000000 0.060482
-1.05000000 0.15000000 0.90000000 0.050340
-1.05000000 0.15000000 1.05000000 0.037964
-1.05000000 0.30000000 -1.05000000 0.053155
-1.05000000 0.30000000 -0.90000000 0.066371
-1.05000000 0.30000000 -0.75000000 0.089983
