//X Y Z Consensus 
-1.05000000 1.05000000 1.05000000 0.258777
-0.90000000 1.05000000 1.05000000 0.261847
-1.05000000 0.90000000 1.05000000 0.261850
-1.05000000 1.05000000 0.90000000 0.261952
-0.75000000 1.05000000 1.05000000 0.264749
-1.05000000 1.05000000 0.75000000 0.264765
-0.90000000 1.05000000 0.90000000 0.264918
-1.05000000 0.75000000 1.05000000 0.264921
-0.90000000 0.90000000 1.05000000 0.265177
-1.05000000 0.90000000 0.90000000 0.265185
-1.05000000 1.05000000 0.60000000 0.267046
-1.05000000 -1.05000000 1.05000000 0.267064
-0.60000000 1.05000000 1.05000000 0.267649
-0.90000000 1.05000000 0.75000000 0.267731
-0.75000000 1.05000000 0.90000000 0.267908
-1.05000000 0.90000000 0.75000000 0.267952
-1.05000000 0.60000000 1.05000000 0.267957
-1.05000000 0.75000000 0.90000000 0.268065
-0.90000000 0.75000000 1.05000000 0.268201
-0.75000000 0.90000000 1.05000000 0.268257
-0.90000000 0.90000000 0.90000000 0.268337
-1.05000000 1.05000000 0.45000000 0.268590
-1.05000000 -0.90000000 1.05000000 0.269368
-1.05000000 1.05000000 0.30000000 0.269619
-1.05000000 -1.05000000 0.90000000 0.269662
-0.90000000 1.05000000 0.60000000 0.269853
-1.05000000 0.90000000 0.60000000 0.270155
-0.45000000 1.05000000 1.05000000 0.270232
-1.05000000 1.05000000 0.15000000 0.270248
-0.90000000 -1.05000000 1.05000000 0.270553
-1.05000000 0.45000000 1.05000000 0.270654
-1.05000000 1.05000000 0.00000000 0.270658
-0.75000000 1.05000000 0.75000000 0.270687
-1.05000000 0.75000000 0.75000000 0.270827
-0.60000000 1.05000000 0.90000000 0.270892
-1.05000000 1.05000000 -0.15000000 0.270979
-1.05000000 0.60000000 0.90000000 0.271074
-0.90000000 0.60000000 1.05000000 0.271115
-0.90000000 0.90000000 0.75000000 0.271118
-1.05000000 1.05000000 -0.30000000 0.271234
-1.05000000 -0.75000000 1.05000000 0.271276
-0.90000000 0.75000000 0.90000000 0.271350
-0.60000000 0.90000000 1.05000000 0.271362
-0.75000000 0.90000000 0.90000000 0.271421
-0.75000000 0.75000000 1.05000000 0.271430
-1.05000000 1.05000000 -0.45000000 0.271488
-0.90000000 1.05000000 0.45000000 0.271581
-1.05000000 0.90000000 0.45000000 0.271587
-1.05000000 1.05000000 -0.60000000 0.271767
-1.05000000 -0.90000000 0.90000000 0.271899
-1.05000000 1.05000000 -0.75000000 0.272054
1.05000000 1.05000000 1.05000000 0.272179
-1.05000000 -1.05000000 0.75000000 0.272204
-1.05000000 1.05000000 -0.90000000 0.272271
-1.05000000 1.05000000 -1.05000000 0.272518
-1.05000000 0.90000000 0.30000000 0.272579
-0.30000000 1.05000000 1.05000000 0.272601
-0.90000000 1.05000000 0.30000000 0.272695
-1.05000000 0.75000000 0.60000000 0.272842
-0.75000000 1.05000000 0.60000000 0.272855
-1.05000000 0.30000000 1.05000000 0.272855
-1.05000000 -0.60000000 1.05000000 0.272868
-0.90000000 -0.90000000 1.05000000 0.272901
-0.90000000 -1.05000000 0.90000000 0.273090
