//X Y Z Consensus 
-0.50000000 0.50000000 -0.50000000 0.173580
-0.50000000 0.40000000 -0.50000000 0.174805
-0.50000000 0.30000000 -0.50000000 0.176057
-0.50000000 0.20000000 -0.50000000 0.177168
-0.50000000 0.10000000 -0.50000000 0.178302
-0.50000000 0.00000000 -0.50000000 0.179381
-0.40000000 0.50000000 -0.50000000 0.179819
-0.50000000 -0.10000000 -0.50000000 0.180373
-0.40000000 0.40000000 -0.50000000 0.181171
-0.50000000 -0.20000000 -0.50000000 0.181247
-0.50000000 -0.50000000 -0.50000000 0.181346
-0.50000000 -0.40000000 -0.50000000 0.181642
-0.50000000 -0.30000000 -0.50000000 0.181698
-0.40000000 0.30000000 -0.50000000 0.182392
-0.40000000 0.20000000 -0.50000000 0.183437
-0.40000000 0.10000000 -0.50000000 0.184438
-0.40000000 0.00000000 -0.50000000 0.185631
-0.30000000 0.50000000 -0.50000000 0.185855
-0.40000000 -0.10000000 -0.50000000 0.186710
-0.30000000 0.40000000 -0.50000000 0.187447
-0.40000000 -0.20000000 -0.50000000 0.187495
-0.40000000 -0.50000000 -0.50000000 0.187578
-0.40000000 -0.30000000 -0.50000000 0.188020
-0.40000000 -0.40000000 -0.50000000 0.188033
-0.30000000 0.30000000 -0.50000000 0.188845
-0.30000000 0.20000000 -0.50000000 0.189852
-0.30000000 0.10000000 -0.50000000 0.190913
-0.30000000 0.00000000 -0.50000000 0.191922
-0.20000000 0.50000000 -0.50000000 0.192018
-0.30000000 -0.10000000 -0.50000000 0.192860
-0.20000000 0.40000000 -0.50000000 0.193631
-0.30000000 -0.20000000 -0.50000000 0.193788
-0.30000000 -0.50000000 -0.50000000 0.194091
-0.30000000 -0.30000000 -0.50000000 0.194253
-0.30000000 -0.40000000 -0.50000000 0.194493
-0.20000000 0.30000000 -0.50000000 0.194990
-0.20000000 0.20000000 -0.50000000 0.196294
-0.20000000 0.10000000 -0.50000000 0.197439
-0.10000000 0.50000000 -0.50000000 0.198048
-0.20000000 0.00000000 -0.50000000 0.198607
-0.20000000 -0.10000000 -0.50000000 0.199403
-0.10000000 0.40000000 -0.50000000 0.199838
-0.20000000 -0.20000000 -0.50000000 0.200437
-0.20000000 -0.50000000 -0.50000000 0.200809
-0.20000000 -0.30000000 -0.50000000 0.200947
-0.20000000 -0.40000000 -0.50000000 0.200953
-0.10000000 0.30000000 -0.50000000 0.201465
-0.10000000 0.20000000 -0.50000000 0.202830
-0.10000000 0.10000000 -0.50000000 0.204135
0.00000000 0.50000000 -0.50000000 0.204172
-0.10000000 0.00000000 -0.50000000 0.205176
0.00000000 0.40000000 -0.50000000 0.206183
-0.10000000 -0.10000000 -0.50000000 0.206229
-0.10000000 -0.20000000 -0.50000000 0.207134
-0.10000000 -0.50000000 -0.50000000 0.207475
-0.10000000 -0.40000000 -0.50000000 0.207724
-0.10000000 -0.30000000 -0.50000000 0.207725
0.00000000 0.30000000 -0.50000000 0.207916
0.00000000 0.20000000 -0.50000000 0.209557
0.00000000 0.10000000 -0.50000000 0.210936
0.10000000 0.50000000 -0.50000000 0.211176
0.00000000 0.00000000 -0.50000000 0.212288
0.00000000 -0.10000000 -0.50000000 0.213315
0.10000000 0.40000000 -0.50000000 0.213323
0.00000000 -0.20000000 -0.50000000 0.214229
0.00000000 -0.50000000 -0.50000000 0.214394
0.00000000 -0.40000000 -0.50000000 0.214612
