//X Y Z Consensus 
0.50000000 0.00000000 0.50000000 0.013749
0.50000000 -0.10000000 0.50000000 0.013757
0.50000000 -0.20000000 0.50000000 0.013883
0.50000000 0.10000000 0.50000000 0.014028
0.50000000 -0.30000000 0.50000000 0.014267
0.40000000 -0.10000000 0.50000000 0.014400
0.50000000 0.20000000 0.50000000 0.014434
0.40000000 0.00000000 0.50000000 0.014444
0.50000000 -0.40000000 0.50000000 0.014466
0.40000000 -0.20000000 0.50000000 0.014494
0.50000000 -0.50000000 0.50000000 0.014685
0.40000000 0.10000000 0.50000000 0.014823
0.40000000 -0.30000000 0.50000000 0.014900
0.50000000 0.30000000 0.50000000 0.015057
0.40000000 -0.40000000 0.50000000 0.015125
0.40000000 -0.50000000 0.50000000 0.015354
0.40000000 0.20000000 0.50000000 0.015405
0.50000000 0.40000000 0.50000000 0.015472
0.50000000 0.50000000 0.50000000 0.015886
0.40000000 0.30000000 0.50000000 0.016012
0.40000000 0.40000000 0.50000000 0.016544
0.40000000 0.50000000 0.50000000 0.017124
0.30000000 -0.10000000 0.50000000 0.017435
0.30000000 -0.20000000 0.50000000 0.017469
0.30000000 0.00000000 0.50000000 0.017593
0.30000000 -0.30000000 0.50000000 0.017712
0.30000000 -0.40000000 0.50000000 0.018007
0.30000000 0.10000000 0.50000000 0.018078
0.30000000 -0.50000000 0.50000000 0.018198
0.30000000 0.20000000 0.50000000 0.018835
0.30000000 0.30000000 0.50000000 0.019550
0.30000000 0.40000000 0.50000000 0.020199
0.30000000 0.50000000 0.50000000 0.020747
-0.50000000 -0.10000000 0.50000000 0.021699
-0.50000000 0.00000000 0.50000000 0.021725
-0.50000000 0.10000000 0.50000000 0.021738
-0.50000000 -0.20000000 0.50000000 0.021752
-0.50000000 -0.30000000 0.50000000 0.021913
-0.50000000 -0.40000000 0.50000000 0.022014
-0.50000000 0.20000000 0.50000000 0.022169
-0.50000000 -0.50000000 0.50000000 0.022239
-0.50000000 0.30000000 0.50000000 0.022477
-0.50000000 0.40000000 0.50000000 0.022766
-0.50000000 0.50000000 0.50000000 0.022995
0.20000000 -0.20000000 0.50000000 0.023869
0.20000000 -0.30000000 0.50000000 0.023924
0.20000000 -0.10000000 0.50000000 0.023967
0.20000000 -0.40000000 0.50000000 0.024079
0.20000000 -0.50000000 0.50000000 0.024167
0.40000000 -0.10000000 0.40000000 0.024330
0.20000000 0.00000000 0.50000000 0.024371
0.40000000 -0.20000000 0.40000000 0.024435
0.40000000 -0.30000000 0.40000000 0.024540
0.40000000 0.00000000 0.40000000 0.024577
0.40000000 -0.40000000 0.40000000 0.024679
0.40000000 -0.50000000 0.40000000 0.024817
0.20000000 0.10000000 0.50000000 0.024873
0.50000000 0.00000000 0.40000000 0.024931
0.50000000 -0.10000000 0.40000000 0.024937
-0.40000000 0.00000000 0.50000000 0.024962
-0.40000000 -0.10000000 0.50000000 0.025052
0.50000000 -0.20000000 0.40000000 0.025079
-0.40000000 0.10000000 0.50000000 0.025118
-0.40000000 -0.20000000 0.50000000 0.025132
0.40000000 0.10000000 0.40000000 0.025132
0.50000000 0.10000000 0.40000000 0.025206
-0.40000000 -0.30000000 0.50000000 0.025248
0.50000000 -0.30000000 0.40000000 0.025344
-0.40000000 -0.40000000 0.50000000 0.025435
-0.40000000 0.20000000 0.50000000 0.025458
0.50000000 0.20000000 0.40000000 0.025550
0.50000000 -0.40000000 0.40000000 0.025556
-0.40000000 -0.50000000 0.50000000 0.025662
0.20000000 0.20000000 0.50000000 0.025687
0.40000000 0.20000000 0.40000000 0.025735
-0.40000000 0.30000000 0.50000000 0.025742
0.50000000 -0.50000000 0.40000000 0.025817
-0.40000000 0.40000000 0.50000000 0.025865
0.50000000 0.30000000 0.40000000 0.026013
-0.40000000 0.50000000 0.50000000 0.026160
0.40000000 0.30000000 0.40000000 0.026306
0.20000000 0.30000000 0.50000000 0.026468
0.50000000 0.40000000 0.40000000 0.026502
0.50000000 0.50000000 0.40000000 0.026870
0.40000000 0.40000000 0.40000000 0.026999
0.20000000 0.40000000 0.50000000 0.027084
0.40000000 0.50000000 0.40000000 0.027555
0.20000000 0.50000000 0.50000000 0.027730
-0.30000000 0.00000000 0.50000000 0.030325
-0.30000000 -0.10000000 0.50000000 0.030342
-0.40000000 -0.10000000 0.40000000 0.030349
-0.30000000 -0.20000000 0.50000000 0.030409
-0.30000000 -0.30000000 0.50000000 0.030437
-0.30000000 0.10000000 0.50000000 0.030502
-0.40000000 0.00000000 0.40000000 0.030574
-0.40000000 -0.20000000 0.40000000 0.030591
-0.30000000 -0.40000000 0.50000000 0.030599
0.30000000 -0.30000000 0.40000000 0.030625
0.30000000 -0.20000000 0.40000000 0.030634
0.30000000 -0.50000000 0.40000000 0.030706
-0.30000000 0.20000000 0.50000000 0.030743
0.30000000 -0.40000000 0.40000000 0.030752
0.30000000 -0.10000000 0.40000000 0.030762
-0.40000000 -0.30000000 0.40000000 0.030800
-0.30000000 -0.50000000 0.50000000 0.030996
-0.40000000 0.10000000 0.40000000 0.031097
-0.30000000 0.30000000 0.50000000 0.031097
0.30000000 0.00000000 0.40000000 0.031114
-0.30000000 0.40000000 0.50000000 0.031157
-0.40000000 -0.40000000 0.40000000 0.031215
-0.30000000 0.50000000 0.50000000 0.031387
-0.50000000 -0.10000000 0.40000000 0.031445
-0.50000000 -0.20000000 0.40000000 0.031556
-0.50000000 0.00000000 0.40000000 0.031570
-0.40000000 -0.50000000 0.40000000 0.031621
-0.40000000 0.20000000 0.40000000 0.031637
0.30000000 0.10000000 0.40000000 0.031661
0.10000000 -0.50000000 0.50000000 0.031714
0.10000000 -0.30000000 0.50000000 0.031729
0.10000000 -0.40000000 0.50000000 0.031774
0.10000000 -0.20000000 0.50000000 0.031867
-0.50000000 -0.30000000 0.40000000 0.031897
0.10000000 -0.10000000 0.50000000 0.032021
-0.50000000 -0.40000000 0.40000000 0.032025
-0.50000000 0.10000000 0.40000000 0.032120
-0.40000000 0.30000000 0.40000000 0.032164
-0.30000000 -0.10000000 0.40000000 0.032268
-0.30000000 0.00000000 0.40000000 0.032413
0.30000000 0.20000000 0.40000000 0.032431
0.10000000 0.00000000 0.50000000 0.032433
-0.50000000 -0.50000000 0.40000000 0.032454
-0.30000000 -0.20000000 0.40000000 0.032496
-0.50000000 0.20000000 0.40000000 0.032600
-0.30000000 -0.30000000 0.40000000 0.032680
-0.40000000 0.40000000 0.40000000 0.032758
-0.30000000 0.10000000 0.40000000 0.032830
0.10000000 0.10000000 0.50000000 0.032935
0.30000000 0.30000000 0.40000000 0.033118
-0.30000000 -0.40000000 0.40000000 0.033152
-0.50000000 0.30000000 0.40000000 0.033295
-0.40000000 0.50000000 0.40000000 0.033328
-0.30000000 0.20000000 0.40000000 0.033348
0.10000000 0.20000000 0.50000000 0.033702
-0.30000000 -0.50000000 0.40000000 0.033761
0.30000000 0.40000000 0.40000000 0.033801
-0.50000000 0.40000000 0.40000000 0.033871
-0.30000000 0.30000000 0.40000000 0.033934
0.10000000 0.30000000 0.50000000 0.034229
-0.50000000 0.50000000 0.40000000 0.034433
-0.30000000 0.40000000 0.40000000 0.034454
0.30000000 0.50000000 0.40000000 0.034514
-0.30000000 0.50000000 0.40000000 0.034803
0.10000000 0.40000000 0.50000000 0.034819
-0.20000000 -0.20000000 0.50000000 0.035006
-0.20000000 -0.30000000 0.50000000 0.035014
-0.20000000 -0.10000000 0.50000000 0.035131
-0.20000000 -0.40000000 0.50000000 0.035143
-0.20000000 0.00000000 0.50000000 0.035208
0.10000000 0.50000000 0.50000000 0.035247
-0.20000000 -0.50000000 0.50000000 0.035333
-0.20000000 0.10000000 0.50000000 0.035509
-0.20000000 0.20000000 0.50000000 0.035782
-0.20000000 0.30000000 0.50000000 0.036007
-0.20000000 0.40000000 0.50000000 0.036214
-0.20000000 0.50000000 0.50000000 0.036394
0.00000000 -0.50000000 0.50000000 0.036435
0.00000000 -0.20000000 0.50000000 0.036502
0.00000000 -0.30000000 0.50000000 0.036514
0.00000000 -0.40000000 0.50000000 0.036556
0.00000000 -0.10000000 0.50000000 0.036774
0.00000000 0.00000000 0.50000000 0.036986
-0.10000000 -0.30000000 0.50000000 0.037277
-0.10000000 -0.20000000 0.50000000 0.037319
-0.20000000 -0.10000000 0.40000000 0.037370
-0.10000000 -0.40000000 0.50000000 0.037392
0.00000000 0.10000000 0.50000000 0.037392
-0.20000000 0.00000000 0.40000000 0.037393
-0.10000000 -0.10000000 0.50000000 0.037435
-0.20000000 -0.20000000 0.40000000 0.037490
-0.10000000 -0.50000000 0.50000000 0.037494
-0.10000000 0.00000000 0.50000000 0.037628
-0.20000000 0.10000000 0.40000000 0.037636
-0.20000000 -0.30000000 0.40000000 0.037752
-0.10000000 0.10000000 0.50000000 0.037912
