//X Y Z Consensus 
-1.05000000 -1.05000000 -1.05000000 0.681324
-1.05000000 -1.05000000 -0.90000000 0.682021
-1.05000000 -1.05000000 -0.75000000 0.683169
-1.05000000 -1.05000000 -0.60000000 0.684548
-1.05000000 -1.05000000 -0.45000000 0.685041
-1.05000000 -1.05000000 -0.30000000 0.685507
-1.05000000 -1.05000000 -0.15000000 0.685927
-1.05000000 -1.05000000 0.00000000 0.686163
-1.05000000 -1.05000000 0.15000000 0.685800
-1.05000000 -1.05000000 0.30000000 0.684430
-1.05000000 -1.05000000 0.45000000 0.682257
-1.05000000 -1.05000000 0.60000000 0.678876
-1.05000000 -1.05000000 0.75000000 0.674625
-1.05000000 -1.05000000 0.90000000 0.669843
-1.05000000 -1.05000000 1.05000000 0.664278
-1.05000000 -0.90000000 -1.05000000 0.681593
-1.05000000 -0.90000000 -0.90000000 0.682590
-1.05000000 -0.90000000 -0.75000000 0.684025
-1.05000000 -0.90000000 -0.60000000 0.685293
-1.05000000 -0.90000000 -0.45000000 0.685857
-1.05000000 -0.90000000 -0.30000000 0.686321
-1.05000000 -0.90000000 -0.15000000 0.686798
-1.05000000 -0.90000000 0.00000000 0.687109
-1.05000000 -0.90000000 0.15000000 0.686598
-1.05000000 -0.90000000 0.30000000 0.685235
-1.05000000 -0.90000000 0.45000000 0.683032
-1.05000000 -0.90000000 0.60000000 0.679500
-1.05000000 -0.90000000 0.75000000 0.675371
-1.05000000 -0.90000000 0.90000000 0.670441
-1.05000000 -0.90000000 1.05000000 0.664847
-1.05000000 -0.75000000 -1.05000000 0.682132
-1.05000000 -0.75000000 -0.90000000 0.683135
-1.05000000 -0.75000000 -0.75000000 0.684601
-1.05000000 -0.75000000 -0.60000000 0.685885
-1.05000000 -0.75000000 -0.45000000 0.686696
-1.05000000 -0.75000000 -0.30000000 0.687449
-1.05000000 -0.75000000 -0.15000000 0.687932
-1.05000000 -0.75000000 0.00000000 0.688040
-1.05000000 -0.75000000 0.15000000 0.687463
-1.05000000 -0.75000000 0.30000000 0.686168
-1.05000000 -0.75000000 0.45000000 0.683797
-1.05000000 -0.75000000 0.60000000 0.680271
